"","auth","piece","line"
"0","akutagawa","agunino_kami.txt","アグニの神"
"1","akutagawa","agunino_kami.txt","芥川龍之介"
"2","akutagawa","agunino_kami.txt",""
"3","akutagawa","agunino_kami.txt","-------------------------------------------------------"
"4","akutagawa","agunino_kami.txt","【テキスト中に現れる記号について】"
"5","akutagawa","agunino_kami.txt",""
"6","akutagawa","agunino_kami.txt","《》：ルビ"
"7","akutagawa","agunino_kami.txt","（例）上海の"
"8","akutagawa","agunino_kami.txt",""
"9","akutagawa","agunino_kami.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","agunino_kami.txt","（例）三百｜弗の"
"11","akutagawa","agunino_kami.txt",""
"12","akutagawa","agunino_kami.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","agunino_kami.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","agunino_kami.txt","（例）※々"
"15","akutagawa","agunino_kami.txt","-------------------------------------------------------"
"16","akutagawa","agunino_kami.txt",""
"17","akutagawa","agunino_kami.txt","一"
"18","akutagawa","agunino_kami.txt",""
"19","akutagawa","agunino_kami.txt","支那の上海の或町です。"
"20","akutagawa","agunino_kami.txt","昼でも薄暗い或家の二階に、人相の悪い印度人の婆さんが一人、商人らしい一人の亜米利加人と何か頻に話し合つてゐました。"
"21","akutagawa","agunino_kami.txt",""
"22","akutagawa","agunino_kami.txt","「実は今度もお婆さんに、占ひを頼みに来たのだがね、――」"
"23","akutagawa","agunino_kami.txt","亜米利加人はさう言ひながら、新しい煙草へ火をつけました。"
"24","akutagawa","agunino_kami.txt",""
"25","akutagawa","agunino_kami.txt","「占ひですか？占ひは当分見ないことにしましたよ。"
"26","akutagawa","agunino_kami.txt","」"
"27","akutagawa","agunino_kami.txt","婆さんは嘲るやうに、じろりと相手の顔を見ました。"
"28","akutagawa","agunino_kami.txt",""
"29","akutagawa","agunino_kami.txt","「この頃は折角見て上げても、御礼さへ碌にしない人が、多くなつて来ましたからね。"
"30","akutagawa","agunino_kami.txt","」"
"31","akutagawa","agunino_kami.txt","「そりや勿論御礼をするよ。"
"32","akutagawa","agunino_kami.txt","」"
"33","akutagawa","agunino_kami.txt","亜米利加人は惜しげもなく、三百｜弗の小切手を一枚、婆さんの前へ投げてやりました。"
"34","akutagawa","agunino_kami.txt",""
"35","akutagawa","agunino_kami.txt","「差当りこれだけ取つて置くさ。"
"36","akutagawa","agunino_kami.txt","もしお婆さんの占ひが当れば、その時は別に御礼をするから、――」"
"37","akutagawa","agunino_kami.txt","婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。"
"38","akutagawa","agunino_kami.txt",""
"39","akutagawa","agunino_kami.txt","「こんなに沢山頂いては、反つて御気の毒ですね。"
"40","akutagawa","agunino_kami.txt","――さうして一体又あなたは、何を占つてくれろとおつしやるんです？」"
"41","akutagawa","agunino_kami.txt","「私が見て貰ひたいのは、――」"
"42","akutagawa","agunino_kami.txt","亜米利加人は煙草を啣へたなり、狡猾さうな微笑を浮べました。"
"43","akutagawa","agunino_kami.txt",""
"44","akutagawa","agunino_kami.txt","「一体日米戦争はいつあるかといふことなんだ。"
"45","akutagawa","agunino_kami.txt","それさへちやんとわかつてゐれば、我々商人は忽ちの内に、大金儲けが出来るからね。"
"46","akutagawa","agunino_kami.txt","」"
"47","akutagawa","agunino_kami.txt","「ぢや明日いらつしやい。"
"48","akutagawa","agunino_kami.txt","それまでに占つて置いて上げますから。"
"49","akutagawa","agunino_kami.txt","」"
"50","akutagawa","agunino_kami.txt","「さうか。"
"51","akutagawa","agunino_kami.txt","ぢや間違ひのないやうに、――」"
"52","akutagawa","agunino_kami.txt","印度人の婆さんは、得意さうに胸を反らせました。"
"53","akutagawa","agunino_kami.txt",""
"54","akutagawa","agunino_kami.txt","「私の占ひは五十年来、一度も外れたことはないのですよ。"
"55","akutagawa","agunino_kami.txt","何しろ私のはアグニの神が、御自身御告げをなさるのですからね。"
"56","akutagawa","agunino_kami.txt","」"
"57","akutagawa","agunino_kami.txt","亜米利加人が帰つてしまふと、婆さんは次の間の戸口へ行つて、"
"58","akutagawa","agunino_kami.txt","「恵蓮。"
"59","akutagawa","agunino_kami.txt","恵蓮。"
"60","akutagawa","agunino_kami.txt","」と呼び立てました。"
"61","akutagawa","agunino_kami.txt",""
"62","akutagawa","agunino_kami.txt","その声に応じて出て来たのは、美しい支那人の女の子です。"
"63","akutagawa","agunino_kami.txt","が、何か苦労でもあるのか、この女の子の下ぶくれの頬は、まるで蝋のやうな色をしてゐました。"
"64","akutagawa","agunino_kami.txt",""
"65","akutagawa","agunino_kami.txt","「何を愚図愚図してゐるんだえ？ほんたうにお前位、づうづうしい女はありやしないよ。"
"66","akutagawa","agunino_kami.txt","きつと又台所で居眠りか何かしてゐたんだらう？」"
"67","akutagawa","agunino_kami.txt","恵蓮はいくら叱られても、ぢつと俯向いた儘黙つてゐました。"
"68","akutagawa","agunino_kami.txt",""
"69","akutagawa","agunino_kami.txt","「よくお聞きよ。"
"70","akutagawa","agunino_kami.txt","今夜は久しぶりにアグニの神へ、御伺ひを立てるんだからね、そのつもりでゐるんだよ。"
"71","akutagawa","agunino_kami.txt","」"
"72","akutagawa","agunino_kami.txt","女の子はまつ黒な婆さんの顔へ、悲しさうな眼を挙げました。"
"73","akutagawa","agunino_kami.txt",""
"74","akutagawa","agunino_kami.txt","「今夜ですか？」"
"75","akutagawa","agunino_kami.txt","「今夜の十二時。"
"76","akutagawa","agunino_kami.txt","好いかえ？忘れちやいけないよ。"
"77","akutagawa","agunino_kami.txt","」"
"78","akutagawa","agunino_kami.txt","印度人の婆さんは、脅すやうに指を挙げました。"
"79","akutagawa","agunino_kami.txt",""
"80","akutagawa","agunino_kami.txt","「又お前がこの間のやうに、私に世話ばかり焼かせると、今度こそお前の命はないよ。"
"81","akutagawa","agunino_kami.txt","お前なんぞは殺さうと思へば、雛つ仔の頸を絞めるより――」"
"82","akutagawa","agunino_kami.txt","かう言ひかけた婆さんは、急に顔をしかめました。"
"83","akutagawa","agunino_kami.txt","ふと相手に気がついて見ると、恵蓮はいつか窓側に行つて、丁度明いてゐた硝子窓から、寂しい往来を眺めてゐるのです。"
"84","akutagawa","agunino_kami.txt",""
"85","akutagawa","agunino_kami.txt","「何を見てゐるんだえ？」"
"86","akutagawa","agunino_kami.txt","恵蓮は愈色を失つて、もう一度婆さんの顔を見上げました。"
"87","akutagawa","agunino_kami.txt",""
