"","auth","piece","line"
"0","akutagawa","anikino_yona_kokoromochi.txt","兄貴のような心持"
"1","akutagawa","anikino_yona_kokoromochi.txt","――菊池寛氏の印象――"
"2","akutagawa","anikino_yona_kokoromochi.txt","芥川龍之介"
"3","akutagawa","anikino_yona_kokoromochi.txt",""
"4","akutagawa","anikino_yona_kokoromochi.txt","-------------------------------------------------------"
"5","akutagawa","anikino_yona_kokoromochi.txt","【テキスト中に現れる記号について】"
"6","akutagawa","anikino_yona_kokoromochi.txt",""
"7","akutagawa","anikino_yona_kokoromochi.txt","《》：ルビ"
"8","akutagawa","anikino_yona_kokoromochi.txt","（例）然める所にも"
"9","akutagawa","anikino_yona_kokoromochi.txt",""
"10","akutagawa","anikino_yona_kokoromochi.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"11","akutagawa","anikino_yona_kokoromochi.txt","（例）一日ぶら／＼して"
"12","akutagawa","anikino_yona_kokoromochi.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"13","akutagawa","anikino_yona_kokoromochi.txt","-------------------------------------------------------"
"14","akutagawa","anikino_yona_kokoromochi.txt",""
"15","akutagawa","anikino_yona_kokoromochi.txt","自分は菊池寛と一しょにいて、気づまりを感じた事は一度もない。"
"16","akutagawa","anikino_yona_kokoromochi.txt","と同時に退屈した覚えも皆無である。"
"17","akutagawa","anikino_yona_kokoromochi.txt","菊池となら一日ぶら／＼していても、飽きるような事はなかろうと思う。"
"18","akutagawa","anikino_yona_kokoromochi.txt","（尤も菊池は飽きるかも知れないが、）それと云うのは、菊池と一しょにいると、何時も兄貴と一しょにいるような心もちがする。"
"19","akutagawa","anikino_yona_kokoromochi.txt","こっちの善い所は勿論了解してくれるし、よしんば悪い所を出しても同情してくれそうな心もちがする。"
"20","akutagawa","anikino_yona_kokoromochi.txt","又実際、過去の記憶に照して見ても、そうでなかった事は一度もない。"
"21","akutagawa","anikino_yona_kokoromochi.txt","唯、この弟たるべき自分が、時々向うの好意にもたれかゝって、あるまじき勝手な熱を吹く事もあるが、それさえ自分に云わせると、兄貴らしい気がすればこそである。"
"22","akutagawa","anikino_yona_kokoromochi.txt",""
"23","akutagawa","anikino_yona_kokoromochi.txt","この兄貴らしい心もちは、勿論一部は菊池の学殖が然しめる所にも相違ない。"
"24","akutagawa","anikino_yona_kokoromochi.txt","彼のカルテュアは多方面で、しかもそれ／″＼に理解が行き届いている。"
"25","akutagawa","anikino_yona_kokoromochi.txt","が、菊池が兄貴らしい心もちを起させるのは、主として彼の人間の出来上っている結果だろうと思う。"
"26","akutagawa","anikino_yona_kokoromochi.txt","ではその人間とはどんなものだと云うと、一口に説明する事は困難だが、苦労人と云う語の持っている一切の俗気を洗ってしまえば、正に菊池は立派な苦労人である。"
"27","akutagawa","anikino_yona_kokoromochi.txt","その証拠には自分の如く平生好んで悪辣な弁舌を弄する人間でも、菊池と或問題を論じ合うと、その議論に勝った時でさえ、どうもこっちの云い分に空疎な所があるような気がして、一向勝ち映えのある心もちになれない。"
