"","auth","piece","line"
"0","akutagawa","aru_shakaishugisha.txt","或社会主義者"
"1","akutagawa","aru_shakaishugisha.txt","芥川龍之介"
"2","akutagawa","aru_shakaishugisha.txt",""
"3","akutagawa","aru_shakaishugisha.txt","-------------------------------------------------------"
"4","akutagawa","aru_shakaishugisha.txt","【テキスト中に現れる記号について】"
"5","akutagawa","aru_shakaishugisha.txt",""
"6","akutagawa","aru_shakaishugisha.txt","《》：ルビ"
"7","akutagawa","aru_shakaishugisha.txt","（例）勘当"
"8","akutagawa","aru_shakaishugisha.txt",""
"9","akutagawa","aru_shakaishugisha.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","aru_shakaishugisha.txt","（例）時々｜籐椅子により"
"11","akutagawa","aru_shakaishugisha.txt",""
"12","akutagawa","aru_shakaishugisha.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","aru_shakaishugisha.txt","（例）（大正十五・一二・一〇）"
"14","akutagawa","aru_shakaishugisha.txt","-------------------------------------------------------"
"15","akutagawa","aru_shakaishugisha.txt",""
"16","akutagawa","aru_shakaishugisha.txt","彼は若い社会主義者だつた。"
"17","akutagawa","aru_shakaishugisha.txt","或小官吏だつた彼の父はそのためにかれを勘当しようとした。"
"18","akutagawa","aru_shakaishugisha.txt","が、彼は屈しなかつた。"
"19","akutagawa","aru_shakaishugisha.txt","それは彼の情熱が烈しかつたためでもあり、又一つには彼の友だちが彼を激励したためでもあつた。"
"20","akutagawa","aru_shakaishugisha.txt",""
"21","akutagawa","aru_shakaishugisha.txt","彼等は或団体をつくり、十ペエジばかりのパンフレツトを出したり、演説会を開いたりしてゐた。"
"22","akutagawa","aru_shakaishugisha.txt","彼も勿論彼等の会合へ絶えず顔を出した上、時々そのパンフレツトへ彼の論文を発表した。"
"23","akutagawa","aru_shakaishugisha.txt","彼の論文は彼等以外に誰も余り読まないらしかつた。"
"24","akutagawa","aru_shakaishugisha.txt","しかし彼はその中の一篇、――「リイプクネヒトを憶ふ」の一篇に多少の自信を抱いてゐた。"
"25","akutagawa","aru_shakaishugisha.txt","それは緻密な思索はないにしても、詩的な情熱に富んだものだつた。"
"26","akutagawa","aru_shakaishugisha.txt",""
"27","akutagawa","aru_shakaishugisha.txt","そのうちに彼は学校を出、或雑誌社へ勤めることになつた。"
"28","akutagawa","aru_shakaishugisha.txt","けれども彼等の会合へ顔を出すことは怠らなかつた。"
"29","akutagawa","aru_shakaishugisha.txt","彼等は相変らず熱心に彼等の問題を論じ合つてゐた。"
"30","akutagawa","aru_shakaishugisha.txt","のみならず地下水の石を鑿つやうにじりじり実行へも移らうとしてゐた。"
"31","akutagawa","aru_shakaishugisha.txt",""
"32","akutagawa","aru_shakaishugisha.txt","彼の父も今となつては彼に干渉を加へなかつた。"
"33","akutagawa","aru_shakaishugisha.txt","彼は或女と結婚し、小さい家に住むやうになつた。"
"34","akutagawa","aru_shakaishugisha.txt","彼の家は実際小さかつた。"
"35","akutagawa","aru_shakaishugisha.txt","が、彼は不満どころか、可なり幸福に感じてゐた。"
"36","akutagawa","aru_shakaishugisha.txt","妻、小犬、庭先のポプラア、――それ等は彼の生活に何か今まで感じなかつた或親しみを与へたのだつた。"
"37","akutagawa","aru_shakaishugisha.txt",""
"38","akutagawa","aru_shakaishugisha.txt","彼は家庭を持つたために、一つには又寸刻を争ふ勤め先の仕事に追はれたために、いつか彼等の会合へ顔を出すのを怠るやうになつた。"
"39","akutagawa","aru_shakaishugisha.txt","しかし彼の情熱は決して衰へた訣ではなかつた。"
