"","auth","piece","line"
"0","akutagawa","aruhino_oishi_kuranosuke.txt","或日の大石内蔵助"
"1","akutagawa","aruhino_oishi_kuranosuke.txt","芥川龍之介"
"2","akutagawa","aruhino_oishi_kuranosuke.txt",""
"3","akutagawa","aruhino_oishi_kuranosuke.txt","-------------------------------------------------------"
"4","akutagawa","aruhino_oishi_kuranosuke.txt","【テキスト中に現れる記号について】"
"5","akutagawa","aruhino_oishi_kuranosuke.txt",""
"6","akutagawa","aruhino_oishi_kuranosuke.txt","《》：ルビ"
"7","akutagawa","aruhino_oishi_kuranosuke.txt","（例）障子"
"8","akutagawa","aruhino_oishi_kuranosuke.txt",""
"9","akutagawa","aruhino_oishi_kuranosuke.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","aruhino_oishi_kuranosuke.txt","（例）元｜浅野内匠頭家来"
"11","akutagawa","aruhino_oishi_kuranosuke.txt",""
"12","akutagawa","aruhino_oishi_kuranosuke.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","aruhino_oishi_kuranosuke.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","aruhino_oishi_kuranosuke.txt","（例）※"
"15","akutagawa","aruhino_oishi_kuranosuke.txt","-------------------------------------------------------"
"16","akutagawa","aruhino_oishi_kuranosuke.txt",""
"17","akutagawa","aruhino_oishi_kuranosuke.txt","立てきった障子にはうららかな日の光がさして、嵯峨たる老木の梅の影が、何間かの明みを、右の端から左の端まで画の如く鮮に領している。"
"18","akutagawa","aruhino_oishi_kuranosuke.txt","元｜浅野内匠頭家来、当時｜細川家に御預り中の大石内蔵助良雄は、その障子を後にして、端然と膝を重ねたまま、さっきから書見に余念がない。"
"19","akutagawa","aruhino_oishi_kuranosuke.txt","書物は恐らく、細川家の家臣の一人が借してくれた三国誌の中の一冊であろう。"
"20","akutagawa","aruhino_oishi_kuranosuke.txt",""
"21","akutagawa","aruhino_oishi_kuranosuke.txt","九人一つ座敷にいる中で、片岡源五右衛門は、今し方｜厠へ立った。"
"22","akutagawa","aruhino_oishi_kuranosuke.txt","早水藤左衛門は、下の間へ話しに行って、未にここへ帰らない。"
