"","auth","piece","line"
"0","akutagawa","aruren'ai_shosetsu.txt","或恋愛小説"
"1","akutagawa","aruren'ai_shosetsu.txt","――或は「恋愛は至上なり」――"
"2","akutagawa","aruren'ai_shosetsu.txt","芥川龍之介"
"3","akutagawa","aruren'ai_shosetsu.txt",""
"4","akutagawa","aruren'ai_shosetsu.txt","-------------------------------------------------------"
"5","akutagawa","aruren'ai_shosetsu.txt","【テキスト中に現れる記号について】"
"6","akutagawa","aruren'ai_shosetsu.txt",""
"7","akutagawa","aruren'ai_shosetsu.txt","《》：ルビ"
"8","akutagawa","aruren'ai_shosetsu.txt","（例）肥った"
"9","akutagawa","aruren'ai_shosetsu.txt",""
"10","akutagawa","aruren'ai_shosetsu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","akutagawa","aruren'ai_shosetsu.txt","（例）近代的｜懐疑とか"
"12","akutagawa","aruren'ai_shosetsu.txt",""
"13","akutagawa","aruren'ai_shosetsu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","akutagawa","aruren'ai_shosetsu.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"15","akutagawa","aruren'ai_shosetsu.txt","（例）※"
"16","akutagawa","aruren'ai_shosetsu.txt","-------------------------------------------------------"
"17","akutagawa","aruren'ai_shosetsu.txt",""
"18","akutagawa","aruren'ai_shosetsu.txt","ある婦人雑誌社の面会室。"
"19","akutagawa","aruren'ai_shosetsu.txt",""
"20","akutagawa","aruren'ai_shosetsu.txt","主筆でっぷり肥った四十前後の紳士。"
"21","akutagawa","aruren'ai_shosetsu.txt",""
"22","akutagawa","aruren'ai_shosetsu.txt","堀川保吉主筆の肥っているだけに痩せた上にも痩せて見える三十前後の、――ちょっと一口には形容出来ない。"
"23","akutagawa","aruren'ai_shosetsu.txt","が、とにかく紳士と呼ぶのに躊躇することだけは事実である。"
"24","akutagawa","aruren'ai_shosetsu.txt",""
"25","akutagawa","aruren'ai_shosetsu.txt","主筆今度は一つうちの雑誌に小説を書いては頂けないでしょうか？どうもこの頃は読者も高級になっていますし、在来の恋愛小説には満足しないようになっていますから、……もっと深い人間性に根ざした、真面目な恋愛小説を書いて頂きたいのです。"
"26","akutagawa","aruren'ai_shosetsu.txt",""
"27","akutagawa","aruren'ai_shosetsu.txt","保吉それは書きますよ。"
"28","akutagawa","aruren'ai_shosetsu.txt","実はこの頃婦人雑誌に書きたいと思っている小説があるのです。"
"29","akutagawa","aruren'ai_shosetsu.txt",""
"30","akutagawa","aruren'ai_shosetsu.txt","主筆そうですか？それは結構です。"
"31","akutagawa","aruren'ai_shosetsu.txt","もし書いて頂ければ、大いに新聞に広告しますよ。"
"32","akutagawa","aruren'ai_shosetsu.txt","「堀川氏の筆に成れる、哀婉極りなき恋愛小説」とか何とか広告しますよ。"
"33","akutagawa","aruren'ai_shosetsu.txt",""
"34","akutagawa","aruren'ai_shosetsu.txt","保吉「哀婉極りなき」？しかし僕の小説は「恋愛は至上なり」と云うのですよ。"
"35","akutagawa","aruren'ai_shosetsu.txt",""
"36","akutagawa","aruren'ai_shosetsu.txt","主筆すると恋愛の讃美ですね。"
"37","akutagawa","aruren'ai_shosetsu.txt","それはいよいよ結構です。"
"38","akutagawa","aruren'ai_shosetsu.txt","厨川博士の「近代恋愛論」以来、一般に青年男女の心は恋愛至上主義に傾いていますから。"
"39","akutagawa","aruren'ai_shosetsu.txt","……勿論近代的恋愛でしょうね？"
"40","akutagawa","aruren'ai_shosetsu.txt","保吉さあ、それは疑問ですね。"
"41","akutagawa","aruren'ai_shosetsu.txt","近代的｜懐疑とか、近代的盗賊とか、近代的｜白髪染めとか――そう云うものは確かに存在するでしょう。"
"42","akutagawa","aruren'ai_shosetsu.txt","しかしどうも恋愛だけはイザナギイザナミの昔以来余り変らないように思いますが。"
"43","akutagawa","aruren'ai_shosetsu.txt",""
"44","akutagawa","aruren'ai_shosetsu.txt","主筆それは理論の上だけですよ。"
