"","auth","piece","line"
"0","akutagawa","baibunmondo.txt","売文問答"
"1","akutagawa","baibunmondo.txt","芥川龍之介"
"2","akutagawa","baibunmondo.txt",""
"3","akutagawa","baibunmondo.txt","-------------------------------------------------------"
"4","akutagawa","baibunmondo.txt","【テキスト中に現れる記号について】"
"5","akutagawa","baibunmondo.txt",""
"6","akutagawa","baibunmondo.txt","《》：ルビ"
"7","akutagawa","baibunmondo.txt","（例）駄目"
"8","akutagawa","baibunmondo.txt",""
"9","akutagawa","baibunmondo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","baibunmondo.txt","（例）十円｜盗まれても"
"11","akutagawa","baibunmondo.txt",""
"12","akutagawa","baibunmondo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","baibunmondo.txt","（例）"
"14","akutagawa","baibunmondo.txt","-------------------------------------------------------"
"15","akutagawa","baibunmondo.txt",""
"16","akutagawa","baibunmondo.txt","編輯者わたしの方の雑誌の来月号に何か書いて貰へないでせうか？"
"17","akutagawa","baibunmondo.txt","作家駄目です。"
"18","akutagawa","baibunmondo.txt","この頃のやうに病気ばかりしてゐては、到底何もかけません。"
"19","akutagawa","baibunmondo.txt",""
"20","akutagawa","baibunmondo.txt","編輯者其処を特に頼みたいのですが。"
"21","akutagawa","baibunmondo.txt",""
"22","akutagawa","baibunmondo.txt",""
"23","akutagawa","baibunmondo.txt","この間に書かば一巻の書をも成すべき押問答あり。"
"24","akutagawa","baibunmondo.txt",""
"25","akutagawa","baibunmondo.txt",""
"26","akutagawa","baibunmondo.txt","作家――と云ふやうな次第ですから、今度だけは不承して下さい。"
"27","akutagawa","baibunmondo.txt",""
"28","akutagawa","baibunmondo.txt","編輯者困りましたね。"
"29","akutagawa","baibunmondo.txt","どんな物でも好いのですが、――二枚でも三枚でもかまひません。"
"30","akutagawa","baibunmondo.txt","あなたの名さへあれば好いのです。"
"31","akutagawa","baibunmondo.txt",""
"32","akutagawa","baibunmondo.txt","作家そんな物を載せるのは愚ぢやありませんか？読者に気の毒なのは勿論ですが、雑誌の為にも損になるでせう。"
"33","akutagawa","baibunmondo.txt","羊頭を掲げて狗肉を売るとでも、悪口を云はれて御覧なさい。"
"34","akutagawa","baibunmondo.txt",""
"35","akutagawa","baibunmondo.txt","編輯者いや、損にはなりませんよ。"
"36","akutagawa","baibunmondo.txt","無名の士の作品を載せる時には、善ければ善い、悪ければ悪いで、責任を負ふのは雑誌社ですが、有名な大家の作品になると、善悪とも責任を負ふものは、何時もその作家にきまつてゐますから。"
"37","akutagawa","baibunmondo.txt",""
"38","akutagawa","baibunmondo.txt","作家それぢやなほ更引き受けられないぢやありませんか？"
"39","akutagawa","baibunmondo.txt","編輯者しかしもうあなた位の大家になれば、一作や二作悪いのを出しても、声名の下ると云ふ患もないでせう。"
"40","akutagawa","baibunmondo.txt",""
"41","akutagawa","baibunmondo.txt","作家それは五円や十円｜盗まれても、暮しに困らない人がある場合、盗んでも好いと云ふ論法ですよ。"
"42","akutagawa","baibunmondo.txt","盗まれる方こそ好い面の皮です。"
"43","akutagawa","baibunmondo.txt",""
"44","akutagawa","baibunmondo.txt","編輯者盗まれると思へば不快ですが、義捐すると思へばかまはんでせう。"
"45","akutagawa","baibunmondo.txt",""
"46","akutagawa","baibunmondo.txt","作家冗談を云つては困ります。"
"47","akutagawa","baibunmondo.txt","雑誌社が原稿を買ひに来るのは、商売に違ひないぢやありませんか？それは或主張を立ててゐるとか、或使命を持つてゐるとか、看板はいろいろあるでせう。"
"48","akutagawa","baibunmondo.txt","が、損をしてまでも、その主張なり使命なりに忠ならんとする雑誌は少いでせう。"
"49","akutagawa","baibunmondo.txt","売れる作家ならば原稿を買ふ、売れない作家ならば頼まれても買はない、――と云ふのが当り前です。"
"50","akutagawa","baibunmondo.txt","して見れば作家も雑誌社には、作家自身の利益を中心に、断るとか引き受けるとかする筈ぢやありませんか？"
"51","akutagawa","baibunmondo.txt","編輯者しかし十万の読者の希望も考へてやつて貰ひたいのですが。"
"52","akutagawa","baibunmondo.txt",""
"53","akutagawa","baibunmondo.txt","作家それは子供｜瞞しのロマンテイシズムですよ。"
"54","akutagawa","baibunmondo.txt","そんな事を真に受けるものは、中学生の中にもゐないでせう。"
"55","akutagawa","baibunmondo.txt",""
"56","akutagawa","baibunmondo.txt","編輯者いや、わたしなどは誠心誠意、読者の希望に副ふつもりなのです。"
"57","akutagawa","baibunmondo.txt",""
"58","akutagawa","baibunmondo.txt","作家それはあなたはさうでせう。"
"59","akutagawa","baibunmondo.txt","読者の希望に副ふ事は、同時に商売の繁昌する事ですから。"
"60","akutagawa","baibunmondo.txt",""
"61","akutagawa","baibunmondo.txt","編輯者さう考へて貰つては困ります。"
"62","akutagawa","baibunmondo.txt","あなたは商売商売と仰有るが、あなたに原稿を書いて貰ひたいのも、商売気ばかりぢやありません。"
"63","akutagawa","baibunmondo.txt","実際あなたの作品を好んでゐる為もあるのです。"
"64","akutagawa","baibunmondo.txt",""
"65","akutagawa","baibunmondo.txt","作家それはさうかも知れません。"
"66","akutagawa","baibunmondo.txt","少くともわたしに書かせたいと云ふのは、何か好意も交つてゐるでせう。"
"67","akutagawa","baibunmondo.txt","わたしのやうに甘い人間は、それだけの好意にも動かされ易い。"
"68","akutagawa","baibunmondo.txt","書けない書けないと云つてゐても、書ければ書きたい気はあるのです。"
"69","akutagawa","baibunmondo.txt","しかし安請合をしたが最期、碌な事はありません。"
"70","akutagawa","baibunmondo.txt","わたしが不快な目に遇はなければ、必あなたが不快な目に遇ひます。"
"71","akutagawa","baibunmondo.txt",""
"72","akutagawa","baibunmondo.txt","編輯者人生意気に感ずと云ふぢやありませんか？一つ意気に感じて下さい。"
"73","akutagawa","baibunmondo.txt",""
"74","akutagawa","baibunmondo.txt","作家出来合ひの意気ぢや感じませんね。"
"75","akutagawa","baibunmondo.txt",""
"76","akutagawa","baibunmondo.txt","編輯者そんなに理窟ばかり云つてゐずに、是非何か書いて下さい。"
"77","akutagawa","baibunmondo.txt","わたしの顔を立てると思つて。"
"78","akutagawa","baibunmondo.txt",""
"79","akutagawa","baibunmondo.txt","作家困りましたね。"
"80","akutagawa","baibunmondo.txt","ぢやあなたとの問答でも書きませう。"
"81","akutagawa","baibunmondo.txt",""
"82","akutagawa","baibunmondo.txt","編輯者やむを得なければそれでもよろしい。"
"83","akutagawa","baibunmondo.txt","ぢや今月中に書いて貰ひます。"
"84","akutagawa","baibunmondo.txt",""
"85","akutagawa","baibunmondo.txt",""
"86","akutagawa","baibunmondo.txt","覆面の人、突然｜二人の間に立ち現る。"
"87","akutagawa","baibunmondo.txt",""
"88","akutagawa","baibunmondo.txt",""
"89","akutagawa","baibunmondo.txt","覆面の人（作家に）貴様は情ない奴だな。"
"90","akutagawa","baibunmondo.txt","偉らさうな事を云つてゐるかと思ふと、もう一時の責塞ぎに、出たらめでも何でも書かうとしやがる。"
"91","akutagawa","baibunmondo.txt","おれは昔バルザツクが、一晩に素破らしい短篇を一つ、書き上げる所を見た事がある。"
"92","akutagawa","baibunmondo.txt","あいつは頭に血が上ると、脚湯をしては又書くのだ。"
"93","akutagawa","baibunmondo.txt","あの凄まじい精力を思へば、貴様なぞは死人も同様だぞ。"
"94","akutagawa","baibunmondo.txt","たとひ一時の責塞ぎにもしろ、なぜあいつを学ばないのだ？（編輯者に）貴様も心がけはよろしくないぞ。"
"95","akutagawa","baibunmondo.txt","見かけ倒しの原稿を載せるのは、亜米利加でも法律問題になりかかつてゐる。"
"96","akutagawa","baibunmondo.txt","ちつとは目前の利害の外にも、高等な物のある事を考へろ。"
"97","akutagawa","baibunmondo.txt",""
"98","akutagawa","baibunmondo.txt",""
"99","akutagawa","baibunmondo.txt","編輯者も作家も声を出す事｜能はず、茫然と覆面の人を見守るのみ。"
"100","akutagawa","baibunmondo.txt",""
"101","akutagawa","baibunmondo.txt",""
"102","akutagawa","baibunmondo.txt","（大正十年頃カ）"
"103","akutagawa","baibunmondo.txt","〔未定稿〕"
"104","akutagawa","baibunmondo.txt",""
"105","akutagawa","baibunmondo.txt",""
"106","akutagawa","baibunmondo.txt",""
"107","akutagawa","baibunmondo.txt","底本：「筑摩全集類聚芥川龍之介全集第四巻」筑摩書房"
"108","akutagawa","baibunmondo.txt","1971（昭和46）年6月5日初版第1刷発行"
"109","akutagawa","baibunmondo.txt","1979（昭和54）年4月10日初版第11刷発行"
"110","akutagawa","baibunmondo.txt","入力：土屋隆"
"111","akutagawa","baibunmondo.txt","校正：松永正敏"
"112","akutagawa","baibunmondo.txt","2007年6月26日作成"
"113","akutagawa","baibunmondo.txt","青空文庫作成ファイル："
"114","akutagawa","baibunmondo.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"115","akutagawa","baibunmondo.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"116","akutagawa","baibunmondo.txt",""
