"","auth","piece","line"
"0","akutagawa","biseino_shin.txt","尾生の信"
"1","akutagawa","biseino_shin.txt","芥川龍之介"
"2","akutagawa","biseino_shin.txt",""
"3","akutagawa","biseino_shin.txt","-------------------------------------------------------"
"4","akutagawa","biseino_shin.txt","【テキスト中に現れる記号について】"
"5","akutagawa","biseino_shin.txt",""
"6","akutagawa","biseino_shin.txt","《》：ルビ"
"7","akutagawa","biseino_shin.txt","（例）尾生は"
"8","akutagawa","biseino_shin.txt",""
"9","akutagawa","biseino_shin.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","biseino_shin.txt","（例）舟｜一艘通らない"
"11","akutagawa","biseino_shin.txt",""
"12","akutagawa","biseino_shin.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","biseino_shin.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","biseino_shin.txt","（例）※"
"15","akutagawa","biseino_shin.txt","-------------------------------------------------------"
"16","akutagawa","biseino_shin.txt",""
"17","akutagawa","biseino_shin.txt","尾生は橋の下に佇んで、さっきから女の来るのを待っている。"
"18","akutagawa","biseino_shin.txt",""
"19","akutagawa","biseino_shin.txt","見上げると、高い石の橋欄には、蔦蘿が半ば這いかかって、時々その間を通りすぎる往来の人の白衣の裾が、鮮かな入日に照らされながら、悠々と風に吹かれて行く。"
"20","akutagawa","biseino_shin.txt","が、女は未だに来ない。"
"21","akutagawa","biseino_shin.txt",""
"22","akutagawa","biseino_shin.txt","尾生はそっと口笛を鳴しながら、気軽く橋の下の洲を見渡した。"
"23","akutagawa","biseino_shin.txt",""
"24","akutagawa","biseino_shin.txt","橋の下の黄泥の洲は、二坪ばかりの広さを剰して、すぐに水と続いている。"
"25","akutagawa","biseino_shin.txt","水際の蘆の間には、大方蟹の棲家であろう、いくつも円い穴があって、そこへ波が当る度に、たぶりと云うかすかな音が聞えた。"
"26","akutagawa","biseino_shin.txt","が、女は未だに来ない。"
"27","akutagawa","biseino_shin.txt",""
"28","akutagawa","biseino_shin.txt","尾生はやや待遠しそうに水際まで歩を移して、舟｜一艘通らない静な川筋を眺めまわした。"
"29","akutagawa","biseino_shin.txt",""
"30","akutagawa","biseino_shin.txt","川筋には青い蘆が、隙間もなくひしひしと生えている。"
"31","akutagawa","biseino_shin.txt","のみならずその蘆の間には、所々に川楊が、こんもりと円く茂っている。"
"32","akutagawa","biseino_shin.txt","だからその間を縫う水の面も、川幅の割には広く見えない。"
"33","akutagawa","biseino_shin.txt","ただ、帯ほどの澄んだ水が、雲母のような雲の影をたった一つ鍍金しながら、ひっそりと蘆の中にうねっている。"
"34","akutagawa","biseino_shin.txt","が、女は未だに来ない。"
"35","akutagawa","biseino_shin.txt",""
"36","akutagawa","biseino_shin.txt","尾生は水際から歩をめぐらせて、今度は広くもない洲の上を、あちらこちらと歩きながら、おもむろに暮色を加えて行く、あたりの静かさに耳を傾けた。"
"37","akutagawa","biseino_shin.txt",""
"38","akutagawa","biseino_shin.txt","橋の上にはしばらくの間、行人の跡を絶ったのであろう。"
"39","akutagawa","biseino_shin.txt","沓の音も、蹄の音も、あるいはまた車の音も、そこからはもう聞えて来ない。"
"40","akutagawa","biseino_shin.txt","風の音、蘆の音、水の音、――それからどこかでけたたましく、蒼鷺の啼く声がした。"
"41","akutagawa","biseino_shin.txt","と思って立止ると、いつか潮がさし出したと見えて、黄泥を洗う水の色が、さっきよりは間近に光っている。"
"42","akutagawa","biseino_shin.txt","が、女は未だに来ない。"
"43","akutagawa","biseino_shin.txt",""
"44","akutagawa","biseino_shin.txt","尾生は険しく眉をひそめながら、橋の下のうす暗い洲を、いよいよ足早に歩き始めた。"
"45","akutagawa","biseino_shin.txt","その内に川の水は、一寸ずつ、一尺ずつ、次第に洲の上へ上って来る。"
"46","akutagawa","biseino_shin.txt","同時にまた川から立昇る藻の※や水の※も、冷たく肌にまつわり出した。"
