"","auth","piece","line"
"0","akutagawa","bokuno_tomodachi_nisannin.txt","僕の友だち二三人"
"1","akutagawa","bokuno_tomodachi_nisannin.txt","芥川龍之介"
"2","akutagawa","bokuno_tomodachi_nisannin.txt",""
"3","akutagawa","bokuno_tomodachi_nisannin.txt","-------------------------------------------------------"
"4","akutagawa","bokuno_tomodachi_nisannin.txt","【テキスト中に現れる記号について】"
"5","akutagawa","bokuno_tomodachi_nisannin.txt",""
"6","akutagawa","bokuno_tomodachi_nisannin.txt","《》：ルビ"
"7","akutagawa","bokuno_tomodachi_nisannin.txt","（例）小穴隆一君"
"8","akutagawa","bokuno_tomodachi_nisannin.txt",""
"9","akutagawa","bokuno_tomodachi_nisannin.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","bokuno_tomodachi_nisannin.txt","（例）又｜発句を"
"11","akutagawa","bokuno_tomodachi_nisannin.txt",""
"12","akutagawa","bokuno_tomodachi_nisannin.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","bokuno_tomodachi_nisannin.txt","（例）"
"14","akutagawa","bokuno_tomodachi_nisannin.txt","-------------------------------------------------------"
"15","akutagawa","bokuno_tomodachi_nisannin.txt",""
"16","akutagawa","bokuno_tomodachi_nisannin.txt","１"
"17","akutagawa","bokuno_tomodachi_nisannin.txt",""
"18","akutagawa","bokuno_tomodachi_nisannin.txt","小穴隆一君（特に「君」の字をつけるのも可笑しい位である）は僕よりも年少である。"
"19","akutagawa","bokuno_tomodachi_nisannin.txt","が、小穴君の仕事は凡庸ではない。"
"20","akutagawa","bokuno_tomodachi_nisannin.txt","若し僕の名も残るとすれば、僕の作品の作者としてよりも小穴君の装幀した本の作者として残るであらう。"
"21","akutagawa","bokuno_tomodachi_nisannin.txt","これは小穴君に媚びるのではない。"
"22","akutagawa","bokuno_tomodachi_nisannin.txt","世間にへり下つて見せるのではなほ更ない。"
"23","akutagawa","bokuno_tomodachi_nisannin.txt","造形美術と文芸との相違を勘定に入れて言ふのである。"
"24","akutagawa","bokuno_tomodachi_nisannin.txt","（文芸などと云ふものは、――殊に小説などと云ふものは三百年ばかりたつた後は滅多に通用するものではない。"
"25","akutagawa","bokuno_tomodachi_nisannin.txt","）しかし大地震か大火事かの為に小穴君の画も焼けてしまへば、今度は或は小穴君の名も僕との腐れ縁の為に残るであらう。"
"26","akutagawa","bokuno_tomodachi_nisannin.txt",""
"27","akutagawa","bokuno_tomodachi_nisannin.txt","小穴君は神経質に徹してゐる。"
"28","akutagawa","bokuno_tomodachi_nisannin.txt","時々勇敢なことをしたり、或は又言つたりするものの、決して豪放な性格の持ち主ではない。"
"29","akutagawa","bokuno_tomodachi_nisannin.txt","が、諧謔的精神は少からず持ち合せてゐる。"
"30","akutagawa","bokuno_tomodachi_nisannin.txt","僕は或時海から上り、「なんだかインキンたむしになりさうだ」と言つた。"
"31","akutagawa","bokuno_tomodachi_nisannin.txt","すると小穴君は机の上にあつたアルコオルの罎を渡しながら、「これを睾丸へ塗つて置くと好いや」と勧めた。"
"32","akutagawa","bokuno_tomodachi_nisannin.txt","僕は小穴君の言葉通りに丁寧に睾丸へアルコオルを塗つた。"
"33","akutagawa","bokuno_tomodachi_nisannin.txt","その時の睾丸の熱くなつたことは火焙りにでもなるかと思ふ位だつた。"
"34","akutagawa","bokuno_tomodachi_nisannin.txt","僕は「これは大変だ」と言ひながら、畳の上を転げまはつた。"
"35","akutagawa","bokuno_tomodachi_nisannin.txt","小穴君はひとり腹を抱へ、「それは大変だ」などと同情（？）してゐた。"
"36","akutagawa","bokuno_tomodachi_nisannin.txt","僕はそれ以来どんなことがあつても、睾丸にアルコオルは塗らないことにしてゐる。"
"37","akutagawa","bokuno_tomodachi_nisannin.txt","……"
"38","akutagawa","bokuno_tomodachi_nisannin.txt","小穴君は又｜発句を作つてゐる。"
"39","akutagawa","bokuno_tomodachi_nisannin.txt","これも亦決して余技ではない。"
"40","akutagawa","bokuno_tomodachi_nisannin.txt","のみならず小穴君の画と深い血脈を通はせてゐる。"
"41","akutagawa","bokuno_tomodachi_nisannin.txt","僕はやはり発句の上にも少からず小穴君の啓発を受けた。"
"42","akutagawa","bokuno_tomodachi_nisannin.txt","（何の啓発も受けないものは災ひなるかな。"
"43","akutagawa","bokuno_tomodachi_nisannin.txt","同時に又仕合せなるかな。"
"44","akutagawa","bokuno_tomodachi_nisannin.txt","）"
"45","akutagawa","bokuno_tomodachi_nisannin.txt","足袋を干す畠の木にも枝のなり隆一"
"46","akutagawa","bokuno_tomodachi_nisannin.txt",""
"47","akutagawa","bokuno_tomodachi_nisannin.txt","２"
"48","akutagawa","bokuno_tomodachi_nisannin.txt",""
"49","akutagawa","bokuno_tomodachi_nisannin.txt","堀辰雄君も僕よりは年少である。"
"50","akutagawa","bokuno_tomodachi_nisannin.txt","が、堀君の作品も凡庸ではない。"
"51","akutagawa","bokuno_tomodachi_nisannin.txt","東京人、坊ちやん、詩人、本好き――それ等の点も僕と共通してゐる。"
"52","akutagawa","bokuno_tomodachi_nisannin.txt","しかし僕のやうに旧時代ではない。"
"53","akutagawa","bokuno_tomodachi_nisannin.txt","僕は「新感覚」に恵まれた諸家の作品を読んでゐる。"
"54","akutagawa","bokuno_tomodachi_nisannin.txt","けれども堀君はかう云ふ諸家に少しも遜色のある作家ではない。"
"55","akutagawa","bokuno_tomodachi_nisannin.txt","次の詩は決して僕の言葉の誇張でないことを明らかにするであらう。"
"56","akutagawa","bokuno_tomodachi_nisannin.txt",""
"57","akutagawa","bokuno_tomodachi_nisannin.txt",""
"58","akutagawa","bokuno_tomodachi_nisannin.txt","硝子の破れてゐる窓"
"59","akutagawa","bokuno_tomodachi_nisannin.txt","僕の蝕歯よ"
"60","akutagawa","bokuno_tomodachi_nisannin.txt","夜になるとお前のなかに"
"61","akutagawa","bokuno_tomodachi_nisannin.txt","洋燈がともり"
"62","akutagawa","bokuno_tomodachi_nisannin.txt","ぢつと聞いてゐると"
"63","akutagawa","bokuno_tomodachi_nisannin.txt","皿やナイフの音がして来る。"
"64","akutagawa","bokuno_tomodachi_nisannin.txt",""
