"","auth","piece","line"
"0","akutagawa","bokuwa.txt","僕は"
"1","akutagawa","bokuwa.txt","芥川龍之介"
"2","akutagawa","bokuwa.txt",""
"3","akutagawa","bokuwa.txt","-------------------------------------------------------"
"4","akutagawa","bokuwa.txt","【テキスト中に現れる記号について】"
"5","akutagawa","bokuwa.txt",""
"6","akutagawa","bokuwa.txt","《》：ルビ"
"7","akutagawa","bokuwa.txt","（例）彼是"
"8","akutagawa","bokuwa.txt",""
"9","akutagawa","bokuwa.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","bokuwa.txt","（例）自己｜嫌悪"
"11","akutagawa","bokuwa.txt",""
"12","akutagawa","bokuwa.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","bokuwa.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","bokuwa.txt","（例）※"
"15","akutagawa","bokuwa.txt","-------------------------------------------------------"
"16","akutagawa","bokuwa.txt",""
"17","akutagawa","bokuwa.txt",""
"18","akutagawa","bokuwa.txt","誰でもわたしのやうだらうか？――ジュウル・ルナアル"
"19","akutagawa","bokuwa.txt",""
"20","akutagawa","bokuwa.txt",""
"21","akutagawa","bokuwa.txt","僕は屈辱を受けた時、なぜか急には不快にはならぬ。"
"22","akutagawa","bokuwa.txt","が、彼是一時間ほどすると、だんだん不快になるのを常としてゐる。"
"23","akutagawa","bokuwa.txt",""
"24","akutagawa","bokuwa.txt","×"
"25","akutagawa","bokuwa.txt","僕はロダンのウゴリノ伯を見た時、――或はウゴリノ伯の写真を見た時、忽ち男色を思ひ出した。"
"26","akutagawa","bokuwa.txt",""
"27","akutagawa","bokuwa.txt","×"
"28","akutagawa","bokuwa.txt","僕は樹木を眺める時、何か我々人間のやうに前後ろのあるやうに思はれてならぬ。"
"29","akutagawa","bokuwa.txt",""
"30","akutagawa","bokuwa.txt","×"
"31","akutagawa","bokuwa.txt","僕は時々暴君になつて大勢の男女を獅子や虎に食はせて見たいと思ふことがある。"
"32","akutagawa","bokuwa.txt","が、膿盆の中に落ちた血だらけのガアゼを見ただけでも、肉体的に忽ち不快になつてしまふ。"
"33","akutagawa","bokuwa.txt",""
"34","akutagawa","bokuwa.txt","×"
"35","akutagawa","bokuwa.txt","僕は度たび他人のことを死ねば善いと思つたことがある。"
"36","akutagawa","bokuwa.txt","その又死ねば善いと思つた中には僕の肉親さへゐないことはない。"
"37","akutagawa","bokuwa.txt",""
"38","akutagawa","bokuwa.txt","×"
"39","akutagawa","bokuwa.txt","僕はどう云ふ良心も、――芸術的良心さへ持つてゐない。"
"40","akutagawa","bokuwa.txt","が、神経は持ち合せてゐる。"
"41","akutagawa","bokuwa.txt",""
"42","akutagawa","bokuwa.txt","×"
"43","akutagawa","bokuwa.txt","僕は滅多に憎んだことはない。"
"44","akutagawa","bokuwa.txt","その代りには時々軽蔑してゐる。"
"45","akutagawa","bokuwa.txt",""
"46","akutagawa","bokuwa.txt","×"
"47","akutagawa","bokuwa.txt","僕自身の経験によれば、最も甚しい自己｜嫌悪の特色はあらゆるものに※を見つけることである。"
"48","akutagawa","bokuwa.txt","しかもその又発見に少しも満足を感じないことである。"
"49","akutagawa","bokuwa.txt",""
"50","akutagawa","bokuwa.txt","×"
"51","akutagawa","bokuwa.txt","僕はいろいろの人の言葉にいつか耳を傾けてゐる。"
"52","akutagawa","bokuwa.txt","たとへば肴屋の小僧などの「こんちはア」と云ふ言葉に。"
"53","akutagawa","bokuwa.txt","あの言葉は母音に終つてゐない、ちよつと羅馬字に書いて見れば、Konchiwaas と云ふのである。"
