"","auth","piece","line"
"0","akutagawa","bungakuzukino_kateikara.txt","文学好きの家庭から"
"1","akutagawa","bungakuzukino_kateikara.txt","芥川龍之介"
"2","akutagawa","bungakuzukino_kateikara.txt",""
"3","akutagawa","bungakuzukino_kateikara.txt","-------------------------------------------------------"
"4","akutagawa","bungakuzukino_kateikara.txt","【テキスト中に現れる記号について】"
"5","akutagawa","bungakuzukino_kateikara.txt",""
"6","akutagawa","bungakuzukino_kateikara.txt","《》：ルビ"
"7","akutagawa","bungakuzukino_kateikara.txt","（例）奥坊主"
"8","akutagawa","bungakuzukino_kateikara.txt","-------------------------------------------------------"
"9","akutagawa","bungakuzukino_kateikara.txt",""
"10","akutagawa","bungakuzukino_kateikara.txt","私の家は代々お奥坊主だったのですが、父も母もはなはだ特徴のない平凡な人間です。"
"11","akutagawa","bungakuzukino_kateikara.txt","父には一中節、囲碁、盆栽、俳句などの道楽がありますが、いずれもものになっていそうもありません。"
"12","akutagawa","bungakuzukino_kateikara.txt","母は津藤の姪で、昔の話をたくさん知っています。"
"13","akutagawa","bungakuzukino_kateikara.txt","そのほかに伯母が一人いて、それが特に私のめんどうをみてくれました。"
"14","akutagawa","bungakuzukino_kateikara.txt","今でもみてくれています。"
"15","akutagawa","bungakuzukino_kateikara.txt","家じゅうで顔がいちばん私に似ているのもこの伯母なら、心もちの上で共通点のいちばん多いのもこの伯母です。"
"16","akutagawa","bungakuzukino_kateikara.txt","伯母がいなかったら、今日のような私ができたかどうかわかりません。"
"17","akutagawa","bungakuzukino_kateikara.txt",""
"18","akutagawa","bungakuzukino_kateikara.txt","文学をやることは、誰も全然反対しませんでした。"
"19","akutagawa","bungakuzukino_kateikara.txt","父母をはじめ伯母もかなり文学好きだからです。"
"20","akutagawa","bungakuzukino_kateikara.txt","その代わり実業家になるとか、工学士になるとか言ったらかえって反対されたかもしれません。"
"21","akutagawa","bungakuzukino_kateikara.txt",""
"22","akutagawa","bungakuzukino_kateikara.txt","芝居や小説はずいぶん小さい時から見ました。"
"23","akutagawa","bungakuzukino_kateikara.txt","先の団十郎、菊五郎、秀調なぞも覚えています。"
"24","akutagawa","bungakuzukino_kateikara.txt","私がはじめて芝居を見たのは、団十郎が斎藤内蔵之助をやった時だそうですが、これはよく覚えていません。"
"25","akutagawa","bungakuzukino_kateikara.txt","なんでもこの時は内蔵之助が馬をひいて花道へかかると、桟敷の後ろで母におぶさっていた私が、うれしがって、大きな声で「ああうまえん」と言ったそうです。"
"26","akutagawa","bungakuzukino_kateikara.txt","二つか三つくらいの時でしょう。"
"27","akutagawa","bungakuzukino_kateikara.txt","小説らしい小説は、泉鏡花氏の「化銀杏」が始めだったかと思います。"
"28","akutagawa","bungakuzukino_kateikara.txt","もっともその前に「倭文庫」や「妙々車」のようなものは卒業していました。"
"29","akutagawa","bungakuzukino_kateikara.txt","これはもう高等小学校へはいってからです。"
"30","akutagawa","bungakuzukino_kateikara.txt",""
"31","akutagawa","bungakuzukino_kateikara.txt",""
"32","akutagawa","bungakuzukino_kateikara.txt",""
"33","akutagawa","bungakuzukino_kateikara.txt",""
"34","akutagawa","bungakuzukino_kateikara.txt","底本：「羅生門・鼻・芋粥」角川文庫、角川書店"
"35","akutagawa","bungakuzukino_kateikara.txt","1950（昭和25）年10月20日初版発行"
"36","akutagawa","bungakuzukino_kateikara.txt","1985（昭和60）年11月10日改版38版発行"
"37","akutagawa","bungakuzukino_kateikara.txt","入力：j.utiyama"
"38","akutagawa","bungakuzukino_kateikara.txt","校正：かとうかおり"
"39","akutagawa","bungakuzukino_kateikara.txt","1999年1月12日公開"
"40","akutagawa","bungakuzukino_kateikara.txt","2004年3月7日修正"
"41","akutagawa","bungakuzukino_kateikara.txt","青空文庫作成ファイル："
"42","akutagawa","bungakuzukino_kateikara.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"43","akutagawa","bungakuzukino_kateikara.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"44","akutagawa","bungakuzukino_kateikara.txt",""
