"","auth","piece","line"
"0","akutagawa","bunsho.txt","文章"
"1","akutagawa","bunsho.txt","芥川龍之介"
"2","akutagawa","bunsho.txt",""
"3","akutagawa","bunsho.txt","-------------------------------------------------------"
"4","akutagawa","bunsho.txt","【テキスト中に現れる記号について】"
"5","akutagawa","bunsho.txt",""
"6","akutagawa","bunsho.txt","《》：ルビ"
"7","akutagawa","bunsho.txt","（例）弔辞"
"8","akutagawa","bunsho.txt",""
"9","akutagawa","bunsho.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","bunsho.txt","（例）きのうの朝｜歿くなられたです"
"11","akutagawa","bunsho.txt",""
"12","akutagawa","bunsho.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","bunsho.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","bunsho.txt","（例）※"
"15","akutagawa","bunsho.txt","-------------------------------------------------------"
"16","akutagawa","bunsho.txt",""
"17","akutagawa","bunsho.txt","「堀川さん。"
"18","akutagawa","bunsho.txt","弔辞を一つ作ってくれませんか？土曜日に本多少佐の葬式がある、――その時に校長の読まれるのですが、……」"
"19","akutagawa","bunsho.txt","藤田大佐は食堂を出しなにこう保吉へ話しかけた。"
"20","akutagawa","bunsho.txt","堀川保吉はこの学校の生徒に英吉利語の訳読を教えている。"
"21","akutagawa","bunsho.txt","が、授業の合い間には弔辞を作ったり、教科書を編んだり、御前講演の添削をしたり、外国の新聞記事を翻訳したり、――そう云うことも時々はやらなければならぬ。"
"22","akutagawa","bunsho.txt","そう云うことをまた云いつけるのはいつもこの藤田大佐である。"
"23","akutagawa","bunsho.txt","大佐はやっと四十くらいであろう。"
"24","akutagawa","bunsho.txt","色の浅黒い、肉の落ちた、神経質らしい顔をしている。"
"25","akutagawa","bunsho.txt","保吉は大佐よりも一足あとに薄暗い廊下を歩みながら、思わず「おや」と云う声を出した。"
"26","akutagawa","bunsho.txt",""
"27","akutagawa","bunsho.txt","「本多少佐は死なれたんですか？」"
"28","akutagawa","bunsho.txt","大佐も「おや」と云うように保吉の顔をふり返った。"
"29","akutagawa","bunsho.txt","保吉はきのうずる休みをしたため、本多少佐の頓死を伝えた通告書を見ずにしまったのである。"
"30","akutagawa","bunsho.txt",""
"31","akutagawa","bunsho.txt","「きのうの朝｜歿くなられたです。"
"32","akutagawa","bunsho.txt","脳溢血だと云うことですが、……じゃ金曜日までに作って来て下さい。"
"33","akutagawa","bunsho.txt","ちょうどあさっての朝までにですね。"
"34","akutagawa","bunsho.txt","」"
"35","akutagawa","bunsho.txt","「ええ、作ることは作りますが、……」"
"36","akutagawa","bunsho.txt","悟りの早い藤田大佐はたちまち保吉の先まわりをした。"
"37","akutagawa","bunsho.txt",""
"38","akutagawa","bunsho.txt","「弔辞を作られる参考には、後ほど履歴書をおとどけしましょう。"
"39","akutagawa","bunsho.txt","」"
"40","akutagawa","bunsho.txt","「しかしどう云う人だったでしょう？僕はただ本多少佐の顔だけ見覚えているくらいなんですが、……」"
"41","akutagawa","bunsho.txt","「さあ、兄弟思いの人だったですね。"
"42","akutagawa","bunsho.txt","それからと……それからいつもクラス・ヘッドだった人です。"
"43","akutagawa","bunsho.txt","あとはどうか名筆を揮って置いて下さい。"
"44","akutagawa","bunsho.txt","」"
"45","akutagawa","bunsho.txt","二人はもう黄色に塗った科長室の扉の前に立っていた。"
"46","akutagawa","bunsho.txt","藤田大佐は科長と呼ばれる副校長の役をしているのである。"
"47","akutagawa","bunsho.txt","保吉はやむを得ず弔辞に関する芸術的良心を抛擲した。"
"48","akutagawa","bunsho.txt",""
"49","akutagawa","bunsho.txt","「資性穎悟と兄弟に友にですね。"
"50","akutagawa","bunsho.txt","じゃどうにかこじつけましょう。"
"51","akutagawa","bunsho.txt","」"
"52","akutagawa","bunsho.txt","「どうかよろしくお願いします。"
"53","akutagawa","bunsho.txt","」"
"54","akutagawa","bunsho.txt","大佐に別れた保吉は喫煙室へ顔を出さずに、誰も人のいない教官室へ帰った。"
"55","akutagawa","bunsho.txt","十一月の日の光はちょうど窓を右にした保吉の机を照らしている。"
"56","akutagawa","bunsho.txt","彼はその前へ腰をおろし、一本のバットへ火を移した。"
"57","akutagawa","bunsho.txt","弔辞はもう今日までに二つばかり作っている。"
"58","akutagawa","bunsho.txt","最初の弔辞は盲腸炎になった重野少尉のために書いたものだった。"
"59","akutagawa","bunsho.txt","当時学校へ来たばかりの彼は重野少尉とはどう云う人か、顔さえはっきりした記憶はなかった。"
"60","akutagawa","bunsho.txt","しかし弔辞の処女作には多少の興味を持っていたから、「悠々たるかな、白雲」などと唐宋八家文じみた文章を草した。"
"61","akutagawa","bunsho.txt","その次のは不慮の溺死を遂げた木村大尉のために書いたものだった。"
"62","akutagawa","bunsho.txt","これも木村大尉その人とは毎日同じ避暑地からこの学校の所在地へ汽車の往復を共にしていたため、素直に哀悼の情を表することが出来た。"
"63","akutagawa","bunsho.txt","が、今度の本多少佐はただ食堂へ出る度に、禿げ鷹に似た顔を見かけただけである。"
"64","akutagawa","bunsho.txt","のみならず弔辞を作ることには興味も何も持っていない。"
"65","akutagawa","bunsho.txt","云わば現在の堀川保吉は註文を受けた葬儀社である。"
"66","akutagawa","bunsho.txt","何月何日の何時までに竜燈や造花を持って来いと云われた精神生活上の葬儀社である。"
"67","akutagawa","bunsho.txt","――保吉はバットを啣えたまま、だんだん憂鬱になりはじめた。"
"68","akutagawa","bunsho.txt","……"
"69","akutagawa","bunsho.txt","「堀川教官。"
"70","akutagawa","bunsho.txt","」"
"71","akutagawa","bunsho.txt","保吉は夢からさめたように、机の側に立った田中中尉を見上げた。"
"72","akutagawa","bunsho.txt","田中中尉は口髭の短い、まろまろと顋の二重になった、愛敬のある顔の持主である。"
"73","akutagawa","bunsho.txt",""
"74","akutagawa","bunsho.txt","「これは本多少佐の履歴書だそうです。"
"75","akutagawa","bunsho.txt","科長から今堀川教官へお渡ししてくれと云うことでしたから。"
"76","akutagawa","bunsho.txt","」"
"77","akutagawa","bunsho.txt","田中中尉は机の上へ罫紙を何枚も綴じたのを出した。"
"78","akutagawa","bunsho.txt","保吉は「はあ」と答えたぎり、茫然と罫紙へ目を落した。"
"79","akutagawa","bunsho.txt","罫紙には叙任の年月ばかり細かい楷書を並べている。"
"80","akutagawa","bunsho.txt","これはただの履歴書ではない。"
"81","akutagawa","bunsho.txt","文官と云わず武官と云わず、あらゆる天下の官吏なるものの一生を暗示する象徴である。"
"82","akutagawa","bunsho.txt","……"
"83","akutagawa","bunsho.txt","「それから一つ伺いたい言葉があるのですが、――いや、海上用語じゃありません。"
"84","akutagawa","bunsho.txt","小説の中にあった言葉なんです。"
"85","akutagawa","bunsho.txt","」"
"86","akutagawa","bunsho.txt","中尉の出した紙切れには何か横文字の言葉が一つ、青鉛筆の痕を残している。"
"87","akutagawa","bunsho.txt","Masochism ――保吉は思わず紙切れから、いつも頬に赤みのさした中尉の童顔へ目を移した。"
"88","akutagawa","bunsho.txt",""
"89","akutagawa","bunsho.txt","「これですか？このマソヒズムと云う……」"
"90","akutagawa","bunsho.txt","「ええ、どうも普通の英和辞書には出て居らんように思いますが。"
"91","akutagawa","bunsho.txt","」"
"92","akutagawa","bunsho.txt","保吉は浮かない顔をしたまま、マソヒズムの意味を説明した。"
"93","akutagawa","bunsho.txt",""
"94","akutagawa","bunsho.txt","「いやあ、そう云うことですか！」"
"95","akutagawa","bunsho.txt","田中中尉は不相変晴ればれした微笑を浮かべている。"
"96","akutagawa","bunsho.txt","こう云う自足した微笑くらい、苛立たしい気もちを煽るものはない。"
"97","akutagawa","bunsho.txt","殊に現在の保吉は実際この幸福な中尉の顔へクラフト・エビングの全｜語彙を叩きつけてやりたい誘惑さえ感じた。"
"98","akutagawa","bunsho.txt",""
