"","auth","piece","line"
"0","akutagawa","bunshoto_kotobato.txt","文章と言葉と"
"1","akutagawa","bunshoto_kotobato.txt","芥川龍之介"
"2","akutagawa","bunshoto_kotobato.txt",""
"3","akutagawa","bunshoto_kotobato.txt","-------------------------------------------------------"
"4","akutagawa","bunshoto_kotobato.txt","【テキスト中に現れる記号について】"
"5","akutagawa","bunshoto_kotobato.txt",""
"6","akutagawa","bunshoto_kotobato.txt","《》：ルビ"
"7","akutagawa","bunshoto_kotobato.txt","（例）凝りすぎる"
"8","akutagawa","bunshoto_kotobato.txt",""
"9","akutagawa","bunshoto_kotobato.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","bunshoto_kotobato.txt","（例）五十年｜前の"
"11","akutagawa","bunshoto_kotobato.txt","-------------------------------------------------------"
"12","akutagawa","bunshoto_kotobato.txt",""
"13","akutagawa","bunshoto_kotobato.txt","文章"
"14","akutagawa","bunshoto_kotobato.txt",""
"15","akutagawa","bunshoto_kotobato.txt","僕に「文章に凝りすぎる。"
"16","akutagawa","bunshoto_kotobato.txt","さう凝るな」といふ友だちがある。"
"17","akutagawa","bunshoto_kotobato.txt","僕は別段必要以上に文章に凝つた覚えはない。"
"18","akutagawa","bunshoto_kotobato.txt","文章は何よりもはつきり書きたい。"
"19","akutagawa","bunshoto_kotobato.txt","頭の中にあるものをはつきり文章に現したい。"
"20","akutagawa","bunshoto_kotobato.txt","僕は只それだけを心がけてゐる。"
"21","akutagawa","bunshoto_kotobato.txt","それだけでもペンを持つて見ると、滅多にすらすら行つたことはない。"
"22","akutagawa","bunshoto_kotobato.txt","必ずごたごたした文章を書いてゐる。"
"23","akutagawa","bunshoto_kotobato.txt","僕の文章上の苦心といふのは（もし苦心といひ得るとすれば）そこをはつきりさせるだけである。"
"24","akutagawa","bunshoto_kotobato.txt","他人の文章に対する注文も僕自身に対するのと同じことである。"
"25","akutagawa","bunshoto_kotobato.txt","はつきりしない文章にはどうしても感心することは出来ない。"
"26","akutagawa","bunshoto_kotobato.txt","少くとも好きになることは出来ない。"
"27","akutagawa","bunshoto_kotobato.txt","つまり僕は文章上のアポロ主義を奉ずるものである。"
"28","akutagawa","bunshoto_kotobato.txt",""
"29","akutagawa","bunshoto_kotobato.txt","僕は誰に何といはれても、方解石のやうにはつきりした、曖昧を許さぬ文章を書きたい。"
"30","akutagawa","bunshoto_kotobato.txt",""
"31","akutagawa","bunshoto_kotobato.txt",""
"32","akutagawa","bunshoto_kotobato.txt","言葉"
"33","akutagawa","bunshoto_kotobato.txt",""
"34","akutagawa","bunshoto_kotobato.txt","五十年｜前の日本人は「神」といふ言葉を聞いた時、大抵髪をみづらに結ひ、首のまはりに勾玉をかけた男女の姿を感じたものである。"
"35","akutagawa","bunshoto_kotobato.txt","しかし今日の日本人は――少くとも今日の青年は大抵長ながと顋髯をのばした西洋人を感じてゐるらしい。"
"36","akutagawa","bunshoto_kotobato.txt","言葉は同じ「神」である。"
"37","akutagawa","bunshoto_kotobato.txt","が、心に浮かぶ姿はこの位すでに変遷してゐる。"
"38","akutagawa","bunshoto_kotobato.txt",""
"39","akutagawa","bunshoto_kotobato.txt","なほ見たし花に明け行く神の顔（葛城山）"
"40","akutagawa","bunshoto_kotobato.txt","僕はいつか小宮さんとかういふ芭蕉の句を論じあつた。"
"41","akutagawa","bunshoto_kotobato.txt","子規居士の考へる所によれば、この句は諧謔を弄したものである。"
"42","akutagawa","bunshoto_kotobato.txt","僕もその説に異存はない。"
"43","akutagawa","bunshoto_kotobato.txt","しかし小宮さんはどうしても荘厳な句だと主張してゐた。"
"44","akutagawa","bunshoto_kotobato.txt","画力は五百年、書力は八百年に尽きるさうである。"
"45","akutagawa","bunshoto_kotobato.txt","文章の力の尽きるのは何百年位かかるものであらう？"
"46","akutagawa","bunshoto_kotobato.txt",""
"47","akutagawa","bunshoto_kotobato.txt",""
"48","akutagawa","bunshoto_kotobato.txt",""
"49","akutagawa","bunshoto_kotobato.txt","底本：「筑摩全集類聚芥川龍之介全集第四巻」筑摩書房"
"50","akutagawa","bunshoto_kotobato.txt","1971（昭和46）年6月5日初版第1刷発行"
"51","akutagawa","bunshoto_kotobato.txt","1979（昭和54）年4月10日初版第11刷発行"
"52","akutagawa","bunshoto_kotobato.txt","入力：土屋隆"
"53","akutagawa","bunshoto_kotobato.txt","校正：松永正敏"
"54","akutagawa","bunshoto_kotobato.txt","2007年6月26日作成"
"55","akutagawa","bunshoto_kotobato.txt","青空文庫作成ファイル："
"56","akutagawa","bunshoto_kotobato.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"57","akutagawa","bunshoto_kotobato.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"58","akutagawa","bunshoto_kotobato.txt",""
