"","auth","piece","line"
"0","akutagawa","celt_no_hakumei.txt","「ケルトの薄明」より"
"1","akutagawa","celt_no_hakumei.txt","THE CELTIC TWILIGHT"
"2","akutagawa","celt_no_hakumei.txt","ウィリアム・バトラー・イエーツWilliam Butler Yeats"
"3","akutagawa","celt_no_hakumei.txt","芥川龍之介訳"
"4","akutagawa","celt_no_hakumei.txt",""
"5","akutagawa","celt_no_hakumei.txt","-------------------------------------------------------"
"6","akutagawa","celt_no_hakumei.txt","【テキスト中に現れる記号について】"
"7","akutagawa","celt_no_hakumei.txt",""
"8","akutagawa","celt_no_hakumei.txt","《》：ルビ"
"9","akutagawa","celt_no_hakumei.txt","（例）揺曳"
"10","akutagawa","celt_no_hakumei.txt",""
"11","akutagawa","celt_no_hakumei.txt","｜：ルビの付く文字列の始まりを特定する記号"
"12","akutagawa","celt_no_hakumei.txt","（例）けれ共｜忽"
"13","akutagawa","celt_no_hakumei.txt",""
"14","akutagawa","celt_no_hakumei.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"15","akutagawa","celt_no_hakumei.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"16","akutagawa","celt_no_hakumei.txt","（例）※"
"17","akutagawa","celt_no_hakumei.txt",""
"18","akutagawa","celt_no_hakumei.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"19","akutagawa","celt_no_hakumei.txt","（例）とう／＼櫃を見つけたので"
"20","akutagawa","celt_no_hakumei.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"21","akutagawa","celt_no_hakumei.txt","-------------------------------------------------------"
"22","akutagawa","celt_no_hakumei.txt",""
"23","akutagawa","celt_no_hakumei.txt","※宝石を食ふもの"
"24","akutagawa","celt_no_hakumei.txt",""
"25","akutagawa","celt_no_hakumei.txt","平俗な名利の念を離れて、暫く人事の匆忙を忘れる時、自分は時として目ざめたるまゝの夢を見る事がある。"
"26","akutagawa","celt_no_hakumei.txt","或は模糊たる、影の如き夢を見る。"
"27","akutagawa","celt_no_hakumei.txt","或は歴々として、我足下の大地の如く、個体の面目を備へたる夢を見る。"
"28","akutagawa","celt_no_hakumei.txt","其模糊たると、歴々たるとを問はず、夢は常に其赴くが儘に赴いて、我意力は之に対して殆ど其一劃を変ずるの権能すらも有してゐない。"
"29","akutagawa","celt_no_hakumei.txt","夢は夢自らの意志を持つて居る。"
"30","akutagawa","celt_no_hakumei.txt","そして彼方此方と揺曳して、其意志の命ずるまゝに、われとわが姿を変へるのである。"
"31","akutagawa","celt_no_hakumei.txt",""
"32","akutagawa","celt_no_hakumei.txt","一日、自分は隠々として、胸壁をめぐらした無底の大坑を見た。"
"33","akutagawa","celt_no_hakumei.txt","坑は漆々然として暗い。"
"34","akutagawa","celt_no_hakumei.txt","胸壁の上には無数の猿がゐて、掌に盛つた宝石を食つてゐる。"
"35","akutagawa","celt_no_hakumei.txt","宝石は或は緑に、或は紅に輝く。"
"36","akutagawa","celt_no_hakumei.txt","猿は飽く事なき饑を以て、ひたすらに食を貪るのである。"
"37","akutagawa","celt_no_hakumei.txt",""
"38","akutagawa","celt_no_hakumei.txt","自分は、自分がケルト民族の地獄を見たのを知つた。"
"39","akutagawa","celt_no_hakumei.txt","己自身の地獄である。"
"40","akutagawa","celt_no_hakumei.txt","芸術の士の地獄である。"
"41","akutagawa","celt_no_hakumei.txt","自分は又、貪婪止むを知らざる渇望を以て、美なる物を求め奇異なる物を追ふ人々が、平和と形状とを失つて、遂には無形と平俗とに堕する事を知つた。"
"42","akutagawa","celt_no_hakumei.txt",""
"43","akutagawa","celt_no_hakumei.txt","自分は又他の人々の地獄をも見た事がある。"
"44","akutagawa","celt_no_hakumei.txt","其一つの中で、ピイタアと呼ばるゝ幽界の霊を見た。"
"45","akutagawa","celt_no_hakumei.txt","顔は黒く唇は白い。"
"46","akutagawa","celt_no_hakumei.txt","奇異なる二重の天秤の盤の上に、見えざる「影」の犯した悪行と、未行はれずして止んだ善行とを量つてゐるのである。"
"47","akutagawa","celt_no_hakumei.txt","自分には天秤の盤の上り下りが見えた。"
"48","akutagawa","celt_no_hakumei.txt","けれ共ピイタアの周囲に群つてゐる多くの「影」は遂に見る事が出来なかつた。"
"49","akutagawa","celt_no_hakumei.txt",""
"50","akutagawa","celt_no_hakumei.txt","自分は其外に又、ありとあらゆる形をした悪魔の群を見た。"
"51","akutagawa","celt_no_hakumei.txt","魚のやうな形をしたのもゐる。"
"52","akutagawa","celt_no_hakumei.txt","蛇のやうな形をしたのもゐる。"
"53","akutagawa","celt_no_hakumei.txt","猿のやうな形をしたのもゐる。"
"54","akutagawa","celt_no_hakumei.txt","犬のやうな形をしたのもゐる。"
"55","akutagawa","celt_no_hakumei.txt","それが皆、自分の地獄にあつたやうな、暗い坑のまはりに坐つてゐる。"
"56","akutagawa","celt_no_hakumei.txt","そして坑の底からさす天空の、月のやうな反射をぢつと眺めてゐるのである。"
"57","akutagawa","celt_no_hakumei.txt",""
"58","akutagawa","celt_no_hakumei.txt",""
"59","akutagawa","celt_no_hakumei.txt","※三人のオービユルンと悪しき精霊等"
"60","akutagawa","celt_no_hakumei.txt",""
"61","akutagawa","celt_no_hakumei.txt","幽暗の王国には、無量の貴重な物がある。"
"62","akutagawa","celt_no_hakumei.txt","地上に於けるよりも、更に多くの愛がある。"
"63","akutagawa","celt_no_hakumei.txt","地上に於けるよりも、更に多くの舞踏がある。"
"64","akutagawa","celt_no_hakumei.txt","そして地上に於けるよりも、更に多くの宝がある。"
"65","akutagawa","celt_no_hakumei.txt","太初、大塊は恐らく人間の望を充たす為に造られたものであつた。"
"66","akutagawa","celt_no_hakumei.txt","けれ共、今は老来して滅落の底に沈んでゐる。"
"67","akutagawa","celt_no_hakumei.txt","我等が他界の宝を盗まうとしたにせよ、それが何の不思議であらう。"
"68","akutagawa","celt_no_hakumei.txt",""
"69","akutagawa","celt_no_hakumei.txt","自分の友人の一人が或時、スリイヴ、リイグに近い村にゐた事がある。"
"70","akutagawa","celt_no_hakumei.txt","或日其男がカシエル、ノアと呼ぶ砦の辺を散歩してゐると、一人の男が砦へ来て地を掘り始めた。"
"71","akutagawa","celt_no_hakumei.txt","憔悴した顔をして、髪には櫛の目もはいつてゐない。"
"72","akutagawa","celt_no_hakumei.txt","衣服はぼろぼろに裂けて下つてゐる。"
"73","akutagawa","celt_no_hakumei.txt","自分の友人は、傍に仕事をしてゐた農夫に向つて、あの男は誰だと訊ねた。"
"74","akutagawa","celt_no_hakumei.txt","「あれは三代目のオービユルンです」と農夫が答へた。"
"75","akutagawa","celt_no_hakumei.txt",""
"76","akutagawa","celt_no_hakumei.txt","それから五六日経つて、かう云ふ話をきいた。"
"77","akutagawa","celt_no_hakumei.txt","多くの宝が異教の行はれた昔から此砦の中に埋めてある。"
"78","akutagawa","celt_no_hakumei.txt","そして悪い精霊の一群が其宝を守つてゐる。"
"79","akutagawa","celt_no_hakumei.txt","けれ共何時か一度、其宝はオービユルンの一家に見出されて其物になる筈になつてゐる。"
"80","akutagawa","celt_no_hakumei.txt","がさうなる迄には三人のオービユルン家のものが、其宝を見出して、そして死なゝければならない。"
"81","akutagawa","celt_no_hakumei.txt","二人は既にさうした。"
"82","akutagawa","celt_no_hakumei.txt","第一のオービユルンは掘つて掘つて、遂に宝の入れてある石棺を一目見た。"
"83","akutagawa","celt_no_hakumei.txt","けれ共｜忽、大きな、毛深い犬のやうなものが山を下りて来て、彼をずたずたに引裂いてしまつた。"
"84","akutagawa","celt_no_hakumei.txt","宝は翌朝、再深く土中に隠れて又と人目にかゝらないやうになつて仕舞つた。"
"85","akutagawa","celt_no_hakumei.txt","それから第二のオービユルンが来て、又掘りに掘つた。"
"86","akutagawa","celt_no_hakumei.txt","とう／＼櫃を見つけたので、蓋を擡げて中の黄金が光つてゐるのまで見た。"
"87","akutagawa","celt_no_hakumei.txt","けれ共次の瞬間に何か恐しい物を見たので、発狂すると其まゝ狂ひ死に死んでしまつた。"
"88","akutagawa","celt_no_hakumei.txt","そこで宝も亦土の下へ沈んでしまつたのである。"
"89","akutagawa","celt_no_hakumei.txt","第三のオービユルンは今掘つてゐる。"
"90","akutagawa","celt_no_hakumei.txt","彼は、自分が宝を見出す刹那に何か恐しい死方をすると云ふ事を信じてゐる。"
"91","akutagawa","celt_no_hakumei.txt","けれ共又呪が其時に破れて、それから永久にオービユルン家のものが昔に変らぬ富貴になると云ふ事も信じてゐる。"
"92","akutagawa","celt_no_hakumei.txt",""
"93","akutagawa","celt_no_hakumei.txt","近隣の農夫の一人は嘗て此宝を見た。"
"94","akutagawa","celt_no_hakumei.txt","其農夫は草の中に兎の脛骨の落ちてゐるのを見つけた。"
"95","akutagawa","celt_no_hakumei.txt","取上げてみると穴が明いてゐる。"
"96","akutagawa","celt_no_hakumei.txt","其穴を覗いて見ると、地下に山積してある黄金が見えた。"
"97","akutagawa","celt_no_hakumei.txt","そこで、急いで家へ鋤をとりに帰つたが、又砦へ来てみると、今度は何うしてもさつきそれを見た場所を見つける事が出来なかつた。"
"98","akutagawa","celt_no_hakumei.txt",""
"99","akutagawa","celt_no_hakumei.txt",""
"100","akutagawa","celt_no_hakumei.txt","※女王よ、矮人の女王よ、我来れり"
"101","akutagawa","celt_no_hakumei.txt",""
"102","akutagawa","celt_no_hakumei.txt","或夜、一生を車馬の喧噪から遠ざかつて暮した中年の男と、其親戚の若い娘と、自分との三人が、遠い西の方の砂浜を歩いてゐた。"
"103","akutagawa","celt_no_hakumei.txt","此娘は野原の上、家畜の間に動く怪し火の一つをも見逃さない能力があると云はれてゐる女であつた。"
"104","akutagawa","celt_no_hakumei.txt","自分たちは「忘れやすき人々」の事を話した。"
"105","akutagawa","celt_no_hakumei.txt","「忘れやすき人々」とは時として、精霊の群に与へらるゝ名前である。"
"106","akutagawa","celt_no_hakumei.txt","話｜半に、自分たちは、精霊の出没する場所として名高い、黒い岩の中にある浅い洞窟へ辿りついた。"
"107","akutagawa","celt_no_hakumei.txt","濡れた砂の上には、洞窟の反影が落ちてゐる。"
"108","akutagawa","celt_no_hakumei.txt",""
"109","akutagawa","celt_no_hakumei.txt","自分は其娘に何か見えるかと聞いた。"
"110","akutagawa","celt_no_hakumei.txt","それは自分が「忘れやすき人々」に訊ねやうと思ふ事を、沢山持つてゐたからである。"
"111","akutagawa","celt_no_hakumei.txt","娘は数分の間静に立つてゐた。"
"112","akutagawa","celt_no_hakumei.txt","自分は彼女が、目ざめたる夢幻に陥つて行くのを見た。"
"113","akutagawa","celt_no_hakumei.txt","冷な海風も今は彼女を煩はさなければ、懶い海のつぶやきも今は彼女の注意を擾さない。"
"114","akutagawa","celt_no_hakumei.txt",""
"115","akutagawa","celt_no_hakumei.txt","自分は其時、声高く大なる精霊たちの名を呼んだ。"
"116","akutagawa","celt_no_hakumei.txt","彼女は直に岩の中で遠い音楽の声が聞えると云つた。"
"117","akutagawa","celt_no_hakumei.txt","それから、がやがやと人の語りあふ声や、恰も見えない楽人を賞讃するやうに、足を踏鳴らす音が、きこえると云つた。"
"118","akutagawa","celt_no_hakumei.txt","それ迄、もう一人のつれは、二三間はなれた所を、あちこちと歩いてゐたが、此時自分たちの側を通りながら、急に、「何処か岩の向ふで、小供の笑ひ声が聞えるから、きつと邪魔がはいりませう」とかう云つた。"
"119","akutagawa","celt_no_hakumei.txt","けれ共、此処には自分たちの外に誰もゐない。"
"120","akutagawa","celt_no_hakumei.txt","これは彼の上にも亦、此処の精霊が既に其魅力を投げ始めてゐたのである。"
"121","akutagawa","celt_no_hakumei.txt",""
