"","auth","piece","line"
"0","akutagawa","chuto.txt","偸盗"
"1","akutagawa","chuto.txt","芥川龍之介"
"2","akutagawa","chuto.txt",""
"3","akutagawa","chuto.txt","-------------------------------------------------------"
"4","akutagawa","chuto.txt","【テキスト中に現れる記号について】"
"5","akutagawa","chuto.txt",""
"6","akutagawa","chuto.txt","《》：ルビ"
"7","akutagawa","chuto.txt","（例）猪熊"
"8","akutagawa","chuto.txt",""
"9","akutagawa","chuto.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","chuto.txt","（例）もう一年｜前の事だ"
"11","akutagawa","chuto.txt",""
"12","akutagawa","chuto.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","chuto.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","chuto.txt","（例）※"
"15","akutagawa","chuto.txt","-------------------------------------------------------"
"16","akutagawa","chuto.txt",""
"17","akutagawa","chuto.txt","一"
"18","akutagawa","chuto.txt",""
"19","akutagawa","chuto.txt","「おばば、猪熊のおばば。"
"20","akutagawa","chuto.txt","」"
"21","akutagawa","chuto.txt","朱雀綾小路の辻で、じみな紺の水干に揉烏帽子をかけた、二十ばかりの、醜い、片目の侍が、平骨の扇を上げて、通りかかりの老婆を呼びとめた。"
"22","akutagawa","chuto.txt","――"
"23","akutagawa","chuto.txt","むし暑く夏霞のたなびいた空が、息をひそめたように、家々の上をおおいかぶさった、七月のある日ざかりである。"
"24","akutagawa","chuto.txt","男の足をとめた辻には、枝のまばらな、ひょろ長い葉柳が一本、このごろはやる疫病にでもかかったかと思う姿で、形ばかりの影を地の上に落としているが、ここにさえ、その日にかわいた葉を動かそうという風はない。"
"25","akutagawa","chuto.txt","まして、日の光に照りつけられた大路には、あまりの暑さにめげたせいか、人通りも今はひとしきりとだえて、たださっき通った牛車のわだちが長々とうねっているばかり、その車の輪にひかれた、小さな蛇も、切れ口の肉を青ませながら、始めは尾をぴくぴくやっていたが、いつか脂ぎった腹を上へ向けて、もう鱗一つ動かさないようになってしまった。"
"26","akutagawa","chuto.txt","どこもかしこも、炎天のほこりを浴びたこの町の辻で、わずかに一滴の湿りを点じたものがあるとすれば、それはこの蛇の切れ口から出た、なまぐさい腐れ水ばかりであろう。"
"27","akutagawa","chuto.txt",""
"28","akutagawa","chuto.txt","「おばば。"
"29","akutagawa","chuto.txt","」"
"30","akutagawa","chuto.txt","「……」"
"31","akutagawa","chuto.txt","老婆は、あわただしくふり返った。"
"32","akutagawa","chuto.txt","見ると、年は六十ばかりであろう。"
"33","akutagawa","chuto.txt","垢じみた檜皮色の帷子に、黄ばんだ髪の毛をたらして、尻の切れた藁草履をひきずりながら、長い蛙股の杖をついた、目の丸い、口の大きな、どこか蟇の顔を思わせる、卑しげな女である。"
"34","akutagawa","chuto.txt",""
"35","akutagawa","chuto.txt","「おや、太郎さんか。"
"36","akutagawa","chuto.txt","」"
"37","akutagawa","chuto.txt","日の光にむせるような声で、こう言うと、老婆は、杖をひきずりながら、二足三足あとへ帰って、まず口を切る前に、上くちびるをべろりとなめて見せた。"
"38","akutagawa","chuto.txt",""
"39","akutagawa","chuto.txt","「何か用でもおありか。"
"40","akutagawa","chuto.txt","」"
"41","akutagawa","chuto.txt","「いや、別に用じゃない。"
"42","akutagawa","chuto.txt","」"
"43","akutagawa","chuto.txt","片目は、うすいあばたのある顔に、しいて作ったらしい微笑をうかべながら、どこか無理のある声で、快活にこう言った。"
"44","akutagawa","chuto.txt",""
"45","akutagawa","chuto.txt","「ただ、沙金がこのごろは、どこにいるかと思ってな。"
"46","akutagawa","chuto.txt","」"
"47","akutagawa","chuto.txt","「用のあるは、いつも娘ばかりさね。"
"48","akutagawa","chuto.txt","鳶が鷹を生んだおかげには。"
"49","akutagawa","chuto.txt","」"
"50","akutagawa","chuto.txt","猪熊のばばは、いやみらしく、くちびるをそらせながら、にやついた。"
"51","akutagawa","chuto.txt",""
"52","akutagawa","chuto.txt","「用と言うほどの用じゃないが、今夜の手はずも、まだ聞かないからな。"
"53","akutagawa","chuto.txt","」"
"54","akutagawa","chuto.txt","「なに、手はずに変わりがあるものかね。"
"55","akutagawa","chuto.txt","集まるのは羅生門、刻限は亥の上刻――みんな昔から、きまっているとおりさ。"
"56","akutagawa","chuto.txt","」"
"57","akutagawa","chuto.txt","老婆は、こう言って、わるがしこそうに、じろじろ、左右をみまわしたが、人通りのないのに安心したのかまた、厚いくちびるをちょいとなめて、"
"58","akutagawa","chuto.txt","「家内の様子は、たいてい娘が探って来たそうだよ。"
"59","akutagawa","chuto.txt","それも、侍たちの中には、手のきくやつがいるまいという事さ。"
