"","auth","piece","line"
"0","akutagawa","dekiagatta_hito.txt","出来上った人"
"1","akutagawa","dekiagatta_hito.txt","――室生犀星氏――"
"2","akutagawa","dekiagatta_hito.txt","芥川龍之介"
"3","akutagawa","dekiagatta_hito.txt",""
"4","akutagawa","dekiagatta_hito.txt","-------------------------------------------------------"
"5","akutagawa","dekiagatta_hito.txt","【テキスト中に現れる記号について】"
"6","akutagawa","dekiagatta_hito.txt",""
"7","akutagawa","dekiagatta_hito.txt","《》：ルビ"
"8","akutagawa","dekiagatta_hito.txt","（例）埒"
"9","akutagawa","dekiagatta_hito.txt","-------------------------------------------------------"
"10","akutagawa","dekiagatta_hito.txt",""
"11","akutagawa","dekiagatta_hito.txt","室生犀星はちゃんと出来上った人である。"
"12","akutagawa","dekiagatta_hito.txt","僕は実は近頃まであの位室生犀星なりに出来上っていようとは思わなかった。"
"13","akutagawa","dekiagatta_hito.txt","出来上った人と云う意味はまあ簡単に埒を明ければ、一家を成した人と思えば好い。"
"14","akutagawa","dekiagatta_hito.txt","或は何も他に待たずに生きられる人と思えば好い。"
"15","akutagawa","dekiagatta_hito.txt","室生は大袈裟に形容すれば、日星河岳前にあり、室生犀星茲にありと傍若無人に尻を据えている。"
"16","akutagawa","dekiagatta_hito.txt","あの尻の据えかたは必しも容易に出来るものではない。"
"17","akutagawa","dekiagatta_hito.txt","ざっと周囲を見渡した所、僕の知っている連中でも大抵は何かを恐れている。"
"18","akutagawa","dekiagatta_hito.txt","勿論外見は恐れてはいない。"
"19","akutagawa","dekiagatta_hito.txt","内見も――内見と言う言葉はないかも知れない。"
"20","akutagawa","dekiagatta_hito.txt","では夫子自身にさえ己は無畏だぞと言い聞かせている。"
"21","akutagawa","dekiagatta_hito.txt","しかしやはり肚の底には多少は何かを恐れている。"
"22","akutagawa","dekiagatta_hito.txt","この恐怖の有無になると、室生犀星は頗る強い。"
"23","akutagawa","dekiagatta_hito.txt","世間に気も使わなければ、気を使われようとも思っていない。"
"24","akutagawa","dekiagatta_hito.txt","庭をいじって、話を書いて、芋がしらの水差しを玩んで――つまり前にも言ったように、日月星辰前にあり、室生犀星茲にありと魚眠洞の洞天に尻を据えている。"
"25","akutagawa","dekiagatta_hito.txt","僕は室生と親んだ後この点に最も感心したのみならずこの点に感心したことを少からず幸福に思っている。"
"26","akutagawa","dekiagatta_hito.txt","先頃「高麗の花」を評した時に詩人室生犀星には言い及んだから、今度は聊か友人――と言うよりも室生の人となりを記すことにした。"
"27","akutagawa","dekiagatta_hito.txt","或はこれも室生の為に「こりゃ」と叱られるものかも知れない。"
"28","akutagawa","dekiagatta_hito.txt",""
"29","akutagawa","dekiagatta_hito.txt",""
"30","akutagawa","dekiagatta_hito.txt",""
"31","akutagawa","dekiagatta_hito.txt",""
"32","akutagawa","dekiagatta_hito.txt","底本：「大川の水・追憶・本所両国現代日本のエッセイ」講談社文芸文庫、講談社"
"33","akutagawa","dekiagatta_hito.txt","1995（平成7）年1月10日第1刷発行"
"34","akutagawa","dekiagatta_hito.txt","底本の親本：「芥川龍之介全集第一〜九、一二巻」岩波書店"
"35","akutagawa","dekiagatta_hito.txt","1977（昭和52）年7、9〜12月、1978（昭和53）年1〜4、7月発行"
"36","akutagawa","dekiagatta_hito.txt","入力：向井樹里"
"37","akutagawa","dekiagatta_hito.txt","校正：砂場清隆"
"38","akutagawa","dekiagatta_hito.txt","2007年2月12日作成"
"39","akutagawa","dekiagatta_hito.txt","青空文庫作成ファイル："
"40","akutagawa","dekiagatta_hito.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"41","akutagawa","dekiagatta_hito.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"42","akutagawa","dekiagatta_hito.txt",""
