"","auth","piece","line"
"0","akutagawa","dobutsuen.txt","動物園"
"1","akutagawa","dobutsuen.txt","芥川龍之介"
"2","akutagawa","dobutsuen.txt",""
"3","akutagawa","dobutsuen.txt","-------------------------------------------------------"
"4","akutagawa","dobutsuen.txt","【テキスト中に現れる記号について】"
"5","akutagawa","dobutsuen.txt",""
"6","akutagawa","dobutsuen.txt","《》：ルビ"
"7","akutagawa","dobutsuen.txt","（例）鰐"
"8","akutagawa","dobutsuen.txt",""
"9","akutagawa","dobutsuen.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","dobutsuen.txt","（例）桃色｜繻子"
"11","akutagawa","dobutsuen.txt",""
"12","akutagawa","dobutsuen.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","dobutsuen.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","dobutsuen.txt","（例）※"
"15","akutagawa","dobutsuen.txt","-------------------------------------------------------"
"16","akutagawa","dobutsuen.txt",""
"17","akutagawa","dobutsuen.txt","象"
"18","akutagawa","dobutsuen.txt",""
"19","akutagawa","dobutsuen.txt","象よ。"
"20","akutagawa","dobutsuen.txt","キツプリングは昔お前の先祖が、鰐に鼻を啣へられたものだから、未だにお前まで長い鼻をぶら下げて歩いてゐると云つた。"
"21","akutagawa","dobutsuen.txt","が、おれにはどうしても、あいつの云ふ事が信用出来ない。"
"22","akutagawa","dobutsuen.txt","お前の先祖は仏陀御在世の時分、きつとガンヂス河の燈心草の中で、昼寝か何かしてゐたのだ。"
"23","akutagawa","dobutsuen.txt","すると河の泥に隠れてゐた、途方もなく大きな蛭が、その頃はまだ短かつた、お前の先祖の鼻の先へ、吸ひついてしまつたのに違ひない。"
"24","akutagawa","dobutsuen.txt","さもなければお前の鼻が、これ程大きな蛭のやうに、伸びたり縮んだりはしないだらう。"
"25","akutagawa","dobutsuen.txt","象よ。"
"26","akutagawa","dobutsuen.txt","お前は印度の名門の生れだ。"
"27","akutagawa","dobutsuen.txt","どうかおれの云つた通り、あのキツプリングの説などは口から出放題の大法螺だと、先祖の寃を雪ぐ為に、一度でも好いからその鼻をあげて、喇叭のやうな声を轟かせてくれ。"
"28","akutagawa","dobutsuen.txt",""
"29","akutagawa","dobutsuen.txt",""
"30","akutagawa","dobutsuen.txt","鸛の鳥"
"31","akutagawa","dobutsuen.txt",""
"32","akutagawa","dobutsuen.txt","あの頸をさ、襟飾のやうに結んでしまつたら、一体あいつはどうしてほどく気なんだらう。"
"33","akutagawa","dobutsuen.txt",""
"34","akutagawa","dobutsuen.txt",""
"35","akutagawa","dobutsuen.txt","駱駝"
"36","akutagawa","dobutsuen.txt",""
"37","akutagawa","dobutsuen.txt","お爺さん。"
