"","auth","piece","line"
"0","akutagawa","eikyuni_fuyukaina.txt","永久に不愉快な二重生活"
"1","akutagawa","eikyuni_fuyukaina.txt","芥川龍之介"
"2","akutagawa","eikyuni_fuyukaina.txt",""
"3","akutagawa","eikyuni_fuyukaina.txt","-------------------------------------------------------"
"4","akutagawa","eikyuni_fuyukaina.txt","【テキスト中に現れる記号について】"
"5","akutagawa","eikyuni_fuyukaina.txt",""
"6","akutagawa","eikyuni_fuyukaina.txt","《》：ルビ"
"7","akutagawa","eikyuni_fuyukaina.txt","（例）中村さん"
"8","akutagawa","eikyuni_fuyukaina.txt",""
"9","akutagawa","eikyuni_fuyukaina.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","eikyuni_fuyukaina.txt","（例）生活｜全容に"
"11","akutagawa","eikyuni_fuyukaina.txt",""
"12","akutagawa","eikyuni_fuyukaina.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","eikyuni_fuyukaina.txt","（例）（大正七年十月）"
"14","akutagawa","eikyuni_fuyukaina.txt","-------------------------------------------------------"
"15","akutagawa","eikyuni_fuyukaina.txt",""
"16","akutagawa","eikyuni_fuyukaina.txt","中村さん。"
"17","akutagawa","eikyuni_fuyukaina.txt",""
"18","akutagawa","eikyuni_fuyukaina.txt","問題が大きいので、ちよいと手軽に考をまとめられませんが、ざつと思ふ所を云へばかうです。"
"19","akutagawa","eikyuni_fuyukaina.txt",""
"20","akutagawa","eikyuni_fuyukaina.txt","元来芸術の内容となるものは、人としての我々の生活｜全容に外ならないのだから、二重生活と云ふ事は、第一義的にはある筈がないと考へます。"
"21","akutagawa","eikyuni_fuyukaina.txt",""
"22","akutagawa","eikyuni_fuyukaina.txt","が、それが第二義的な意味になると、いろいろむづかしい問題が起つて来る。"
"23","akutagawa","eikyuni_fuyukaina.txt","生活を芸術化するとか、或は逆に芸術を生活化するとか云ふ事も、そこから起つて来るのでせう。"
"24","akutagawa","eikyuni_fuyukaina.txt",""
"25","akutagawa","eikyuni_fuyukaina.txt","あなたの手紙にあつた芸術家の職業問題などは、それを更に一歩｜皮相な方面へ移して来ての問題だと思ひます。"
"26","akutagawa","eikyuni_fuyukaina.txt",""
"27","akutagawa","eikyuni_fuyukaina.txt","だから「物心両面に於ける人としての生活と、芸術家としての生活の関係交渉」と云つても、それぞれの意義に相当な立場をきめてかからないと、折角の議論は混乱するより外にありますまい。"
"28","akutagawa","eikyuni_fuyukaina.txt",""
"29","akutagawa","eikyuni_fuyukaina.txt","所で私は前にも云つたやうに、今さう云ふ問題を辯じてゐる暇がない。"
"30","akutagawa","eikyuni_fuyukaina.txt",""
"31","akutagawa","eikyuni_fuyukaina.txt","が、強ひて何か云はなければならないとなると、職業として私は英語を教へてゐるから、そこに起る二重生活が不愉快で、しかもその不愉快を超越するのは全然物質的の問題だが、生憎それが現代の日本では当分解決されさうもない以上、永久に我々はこの不愉快な生存を続けて行く外はないと云ふ位な、甚平凡な事になつてしまひます。"
"32","akutagawa","eikyuni_fuyukaina.txt",""
"33","akutagawa","eikyuni_fuyukaina.txt","これでよかつたら、どうか諸家の解答の中へ加へて下さい。"
"34","akutagawa","eikyuni_fuyukaina.txt","以上。"
"35","akutagawa","eikyuni_fuyukaina.txt",""
"36","akutagawa","eikyuni_fuyukaina.txt","（大正七年十月）"
"37","akutagawa","eikyuni_fuyukaina.txt",""
"38","akutagawa","eikyuni_fuyukaina.txt",""
"39","akutagawa","eikyuni_fuyukaina.txt",""
"40","akutagawa","eikyuni_fuyukaina.txt","底本：「筑摩全集類聚芥川龍之介全集第四巻」筑摩書房"
"41","akutagawa","eikyuni_fuyukaina.txt","1971（昭和46）年6月5日初版第1刷発行"
"42","akutagawa","eikyuni_fuyukaina.txt","1979（昭和54）年4月10日初版第11刷発行"
"43","akutagawa","eikyuni_fuyukaina.txt","入力：土屋隆"
"44","akutagawa","eikyuni_fuyukaina.txt","校正：松永正敏"
"45","akutagawa","eikyuni_fuyukaina.txt","2007年6月26日作成"
"46","akutagawa","eikyuni_fuyukaina.txt","青空文庫作成ファイル："
"47","akutagawa","eikyuni_fuyukaina.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"48","akutagawa","eikyuni_fuyukaina.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"49","akutagawa","eikyuni_fuyukaina.txt",""
