"","auth","piece","line"
"0","akutagawa","futarino_tomo.txt","二人の友"
"1","akutagawa","futarino_tomo.txt","芥川龍之介"
"2","akutagawa","futarino_tomo.txt",""
"3","akutagawa","futarino_tomo.txt","-------------------------------------------------------"
"4","akutagawa","futarino_tomo.txt","【テキスト中に現れる記号について】"
"5","akutagawa","futarino_tomo.txt",""
"6","akutagawa","futarino_tomo.txt","《》：ルビ"
"7","akutagawa","futarino_tomo.txt","（例）福間先生"
"8","akutagawa","futarino_tomo.txt",""
"9","akutagawa","futarino_tomo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","futarino_tomo.txt","（例）又｜丁度"
"11","akutagawa","futarino_tomo.txt",""
"12","akutagawa","futarino_tomo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","futarino_tomo.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","futarino_tomo.txt","（例）※"
"15","akutagawa","futarino_tomo.txt","-------------------------------------------------------"
"16","akutagawa","futarino_tomo.txt",""
"17","akutagawa","futarino_tomo.txt","僕は一高へはひつた時、福間先生に独逸語を学んだ。"
"18","akutagawa","futarino_tomo.txt","福間先生は鴎外先生の「二人の友」の中のＦ君である。"
"19","akutagawa","futarino_tomo.txt","「二人の友」は当時はまだ活字になつてはいなかつたであらう。"
"20","akutagawa","futarino_tomo.txt","少くとも僕などのそんなことを全然知らなかつたのは確かである。"
"21","akutagawa","futarino_tomo.txt",""
"22","akutagawa","futarino_tomo.txt","福間先生は常人よりも寧ろ背は低かつたであらう。"
"23","akutagawa","futarino_tomo.txt","何でも金縁の近眼鏡をかけ、可成長い口髭を蓄へてゐられたやうに覚えてゐる。"
"24","akutagawa","futarino_tomo.txt",""
"25","akutagawa","futarino_tomo.txt","僕等は皆福間先生に或親しみを抱いてゐた。"
"26","akutagawa","futarino_tomo.txt","それは先生も青年のやうに諧謔を好んでゐられたからである。"
"27","akutagawa","futarino_tomo.txt","先生は一学期の或時間に久米正雄にかう言はれた。"
