"","auth","piece","line"
"0","akutagawa","fuyu.txt","冬"
"1","akutagawa","fuyu.txt","芥川龍之介"
"2","akutagawa","fuyu.txt",""
"3","akutagawa","fuyu.txt","-------------------------------------------------------"
"4","akutagawa","fuyu.txt","【テキスト中に現れる記号について】"
"5","akutagawa","fuyu.txt",""
"6","akutagawa","fuyu.txt","《》：ルビ"
"7","akutagawa","fuyu.txt","（例）外套"
"8","akutagawa","fuyu.txt",""
"9","akutagawa","fuyu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","fuyu.txt","（例）一体｜従兄に"
"11","akutagawa","fuyu.txt",""
"12","akutagawa","fuyu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","fuyu.txt","（例）冬枯れていた"
"14","akutagawa","fuyu.txt","-------------------------------------------------------"
"15","akutagawa","fuyu.txt",""
"16","akutagawa","fuyu.txt","僕は重い外套にアストラカンの帽をかぶり、市ヶ｜谷の刑務所へ歩いて行った。"
"17","akutagawa","fuyu.txt","僕の従兄は四五日前にそこの刑務所にはいっていた。"
"18","akutagawa","fuyu.txt","僕は従兄を慰める親戚総代にほかならなかった。"
"19","akutagawa","fuyu.txt","が、僕の気もちの中には刑務所に対する好奇心もまじっていることは確かだった。"
"20","akutagawa","fuyu.txt",""
"21","akutagawa","fuyu.txt","二月に近い往来は売出しの旗などの残っていたものの、どこの町全体も冬枯れていた。"
"22","akutagawa","fuyu.txt","僕は坂を登りながら、僕自身も肉体的にしみじみ疲れていることを感じた。"
"23","akutagawa","fuyu.txt","僕の叔父は去年の十一月に喉頭癌のために故人になっていた。"
"24","akutagawa","fuyu.txt","それから僕の遠縁の少年はこの正月に家出していた。"
"25","akutagawa","fuyu.txt","それから――しかし従兄の収監は僕には何よりも打撃だった。"
"26","akutagawa","fuyu.txt","僕は従兄の弟と一しょに最も僕には縁の遠い交渉を重ねなければならなかった。"
"27","akutagawa","fuyu.txt","のみならずそれ等の事件にからまる親戚同志の感情上の問題は東京に生まれた人々以外に通じ悪いこだわりを生じ勝ちだった。"
"28","akutagawa","fuyu.txt","僕は従兄と面会した上、ともかくどこかに一週間でも静養したいと思わずにはいられなかった。"
"29","akutagawa","fuyu.txt","………"
"30","akutagawa","fuyu.txt","市ヶ谷の刑務所は草の枯れた、高い土手をめぐらしていた。"
"31","akutagawa","fuyu.txt","のみならずどこか中世紀じみた門には太い木の格子戸の向うに、霜に焦げた檜などのある、砂利を敷いた庭を透かしていた。"
"32","akutagawa","fuyu.txt","僕はこの門の前に立ち、長い半白の髭を垂らした、好人物らしい看守に名刺を渡した。"
"33","akutagawa","fuyu.txt","それから余り門と離れていない、庇に厚い苔の乾いた面会人控室へつれて行って貰った。"
"34","akutagawa","fuyu.txt","そこにはもう僕のほかにも薄縁りを張った腰かけの上に何人も腰をおろしていた。"
