"","auth","piece","line"
"0","akutagawa","goriteki_dojini_taryono.txt","合理的、同時に多量の人間味"
"1","akutagawa","goriteki_dojini_taryono.txt","――相互印象・菊池氏――"
"2","akutagawa","goriteki_dojini_taryono.txt","芥川龍之介"
"3","akutagawa","goriteki_dojini_taryono.txt",""
"4","akutagawa","goriteki_dojini_taryono.txt","-------------------------------------------------------"
"5","akutagawa","goriteki_dojini_taryono.txt","【テキスト中に現れる記号について】"
"6","akutagawa","goriteki_dojini_taryono.txt",""
"7","akutagawa","goriteki_dojini_taryono.txt","《》：ルビ"
"8","akutagawa","goriteki_dojini_taryono.txt","（例）頭脳"
"9","akutagawa","goriteki_dojini_taryono.txt",""
"10","akutagawa","goriteki_dojini_taryono.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"11","akutagawa","goriteki_dojini_taryono.txt","（例）菊池は"
"12","akutagawa","goriteki_dojini_taryono.txt",""
"13","akutagawa","goriteki_dojini_taryono.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"14","akutagawa","goriteki_dojini_taryono.txt","（例）ぐん／＼"
"15","akutagawa","goriteki_dojini_taryono.txt","-------------------------------------------------------"
"16","akutagawa","goriteki_dojini_taryono.txt",""
"17","akutagawa","goriteki_dojini_taryono.txt","菊池は生き方が何時も徹底している。"
"18","akutagawa","goriteki_dojini_taryono.txt","中途半端のところにこだわっていない。"
"19","akutagawa","goriteki_dojini_taryono.txt","彼自身の正しいと思うところを、ぐん／＼実行にうつして行く。"
"20","akutagawa","goriteki_dojini_taryono.txt","その信念は合理的であると共に、必らず多量の人間味を含んでいる。"
"21","akutagawa","goriteki_dojini_taryono.txt","そこを僕は尊敬している。"
"22","akutagawa","goriteki_dojini_taryono.txt","僕なぞは芸術にかくれるという方だが、菊池は芸術に顕われる――と言っては、おかしいが、芸術は菊池の場合、彼の生活の一部に過ぎないかの観がある。"
"23","akutagawa","goriteki_dojini_taryono.txt","一体芸術家には、トルストイのように、その人がどう人生を見ているかに興味のある人と、フローベールのように、その人がどう芸術を見ているかに興味のある人と二とおりあるらしい。"
"24","akutagawa","goriteki_dojini_taryono.txt","菊池なぞは勿論、前者に属すべき芸術家で、その意味では人生のための芸術という主張に縁が近いようである。"
"25","akutagawa","goriteki_dojini_taryono.txt",""
"26","akutagawa","goriteki_dojini_taryono.txt","菊池の小説も、菊池の生活態度のように、思切ってぐん／＼書いてある。"
"27","akutagawa","goriteki_dojini_taryono.txt","だから、細かい味なぞというものは乏しいかも知れない。"
"28","akutagawa","goriteki_dojini_taryono.txt","そこが一部の世間には物足りないらしいが、それは不服を言う方が間違っている。"
"29","akutagawa","goriteki_dojini_taryono.txt","菊池の小説は大味であっても、小説としてちゃんと出来上っている。"
"30","akutagawa","goriteki_dojini_taryono.txt","細かい味以外に何もない作品よりどの位ましだか分らないと思う。"
"31","akutagawa","goriteki_dojini_taryono.txt",""
"32","akutagawa","goriteki_dojini_taryono.txt","菊池はそういう勇敢な生き方をしている人間だが、思いやりも決して薄い方ではない。"
"33","akutagawa","goriteki_dojini_taryono.txt","物質的に困っている人たちには、殊に同情が篤いようである。"
"34","akutagawa","goriteki_dojini_taryono.txt","それはいくらも実例のあることだが公けにすべき事ではないから、こゝに挙げることは差し控える。"
