"","auth","piece","line"
"0","akutagawa","gosaijinto_jusaijinto.txt","剛才人と柔才人と"
"1","akutagawa","gosaijinto_jusaijinto.txt","芥川龍之介"
"2","akutagawa","gosaijinto_jusaijinto.txt",""
"3","akutagawa","gosaijinto_jusaijinto.txt","-------------------------------------------------------"
"4","akutagawa","gosaijinto_jusaijinto.txt","【テキスト中に現れる記号について】"
"5","akutagawa","gosaijinto_jusaijinto.txt",""
"6","akutagawa","gosaijinto_jusaijinto.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"7","akutagawa","gosaijinto_jusaijinto.txt","（例）小島君も"
"8","akutagawa","gosaijinto_jusaijinto.txt","-------------------------------------------------------"
"9","akutagawa","gosaijinto_jusaijinto.txt",""
"10","akutagawa","gosaijinto_jusaijinto.txt","佐佐木君は剛才人、小島君は柔才人、兎に角どちらも才人です。"
"11","akutagawa","gosaijinto_jusaijinto.txt","僕はいつか佐佐木君と歩いていたら、佐佐木君が君に突き当った男へケンツクを食わせる勢を見、少からず驚嘆しました。"
"12","akutagawa","gosaijinto_jusaijinto.txt","実際その時の佐佐木君の勢は君と同姓の蒙古王の子孫かと思う位だったのです。"
"13","akutagawa","gosaijinto_jusaijinto.txt","小島君も江戸っ児ですから、啖呵を切ることはうまいようです。"
"14","akutagawa","gosaijinto_jusaijinto.txt","しかし小島君の喧嘩をする図などはどうも想像に浮びません。"
"15","akutagawa","gosaijinto_jusaijinto.txt","それから又どちらも勉強家です。"
"16","akutagawa","gosaijinto_jusaijinto.txt","佐佐木君は二三日前にこゝにいましたが、その間も何とか云うピランデロの芝居やサラア・ベルナアルのメモアの話などをし、大いに僕を啓発してくれました。"
"17","akutagawa","gosaijinto_jusaijinto.txt","小島君も和漢東西に通じた読書家です。"
"18","akutagawa","gosaijinto_jusaijinto.txt","これは小島君の小説よりも寧ろ小島君のお伽噺に看取出来ることゝ思います。"
"19","akutagawa","gosaijinto_jusaijinto.txt","最後にどちらも好い体で（これは僕が病中故、特にそう思うのかも知れず。"
"20","akutagawa","gosaijinto_jusaijinto.txt","）長命の相を具えています。"
"21","akutagawa","gosaijinto_jusaijinto.txt","いずれは御両人とも年をとると、佐佐木君は頤に髯をはやし、小島君は総入れ歯をし、「どうも当節の青年は」などと話し合うことだろうと思います。"
"22","akutagawa","gosaijinto_jusaijinto.txt","そんな事を考えると、不愉快に日を暮らしながらも、ちょっと明るい心もちになります。"
"23","akutagawa","gosaijinto_jusaijinto.txt","（湯河原にて）"
"24","akutagawa","gosaijinto_jusaijinto.txt",""
"25","akutagawa","gosaijinto_jusaijinto.txt",""
"26","akutagawa","gosaijinto_jusaijinto.txt",""
"27","akutagawa","gosaijinto_jusaijinto.txt","底本：「大川の水・追憶・本所両国現代日本のエッセイ」講談社文芸文庫、講談社"
"28","akutagawa","gosaijinto_jusaijinto.txt","1995（平成7）年1月10日第1刷発行"
"29","akutagawa","gosaijinto_jusaijinto.txt","底本の親本：「芥川龍之介全集第一〜九、一二巻」岩波書店"
"30","akutagawa","gosaijinto_jusaijinto.txt","1977（昭和52）年7、9〜12月、1978（昭和53）年1〜4、7月発行"
"31","akutagawa","gosaijinto_jusaijinto.txt","入力：向井樹里"
"32","akutagawa","gosaijinto_jusaijinto.txt","校正：砂場清隆"
"33","akutagawa","gosaijinto_jusaijinto.txt","2007年2月12日作成"
"34","akutagawa","gosaijinto_jusaijinto.txt","青空文庫作成ファイル："
"35","akutagawa","gosaijinto_jusaijinto.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"36","akutagawa","gosaijinto_jusaijinto.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"37","akutagawa","gosaijinto_jusaijinto.txt",""
