"","auth","piece","line"
"0","akutagawa","harunohino_sashita.txt","春の日のさした往来をぶらぶら一人歩いてゐる"
"1","akutagawa","harunohino_sashita.txt","芥川龍之介"
"2","akutagawa","harunohino_sashita.txt",""
"3","akutagawa","harunohino_sashita.txt","-------------------------------------------------------"
"4","akutagawa","harunohino_sashita.txt","【テキスト中に現れる記号について】"
"5","akutagawa","harunohino_sashita.txt",""
"6","akutagawa","harunohino_sashita.txt","《》：ルビ"
"7","akutagawa","harunohino_sashita.txt","（例）枝垂れた"
"8","akutagawa","harunohino_sashita.txt",""
"9","akutagawa","harunohino_sashita.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","akutagawa","harunohino_sashita.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"11","akutagawa","harunohino_sashita.txt","（例）※"
"12","akutagawa","harunohino_sashita.txt","-------------------------------------------------------"
"13","akutagawa","harunohino_sashita.txt",""
"14","akutagawa","harunohino_sashita.txt","春の日のさした往来をぶらぶら一人歩いてゐる。"
"15","akutagawa","harunohino_sashita.txt","向うから来るのは屋根屋の親かた。"
"16","akutagawa","harunohino_sashita.txt","屋根屋の親かたもこの節は紺の背広に中折帽をかぶり、ゴムか何かの長靴をはいてゐる。"
"17","akutagawa","harunohino_sashita.txt","それにしても大きい長靴だなあ。"
"18","akutagawa","harunohino_sashita.txt","膝――どころではない。"
"19","akutagawa","harunohino_sashita.txt","腿も半分がたは隠れてゐる。"
"20","akutagawa","harunohino_sashita.txt","ああ云ふ長靴をはいた時には、長靴をはいたと云ふよりも、何かの拍子に長靴の中へ落つこつたやうな気がするだらうなあ。"
"21","akutagawa","harunohino_sashita.txt",""
"22","akutagawa","harunohino_sashita.txt","顔馴染の道具屋を覗いて見る。"
"23","akutagawa","harunohino_sashita.txt","正面の紅木の棚の上に虫明けらしい徳利が一本。"
"24","akutagawa","harunohino_sashita.txt","あの徳利の口などは妙に猥褻に出来上つてゐる。"
"25","akutagawa","harunohino_sashita.txt","さうさう、いつか見た古備前の徳利の口もちよいと接吻位したかつたつけ。"
"26","akutagawa","harunohino_sashita.txt","鼻の先に染めつけの皿が一枚。"
"27","akutagawa","harunohino_sashita.txt","藍色の柳の枝垂れた下にやはり藍色の人が一人、莫迦に長い釣竿を伸ばしてゐる。"
"28","akutagawa","harunohino_sashita.txt","誰かと思つて覗きこんで見たら、金沢にゐる室生犀星！"
"29","akutagawa","harunohino_sashita.txt","又ぶらぶら歩きはじめる。"
"30","akutagawa","harunohino_sashita.txt","八百屋の店に慈姑がすこし。"
"31","akutagawa","harunohino_sashita.txt","慈姑の皮の色は上品だなあ。"
"32","akutagawa","harunohino_sashita.txt","古い泥七宝の青に似てゐる。"
"33","akutagawa","harunohino_sashita.txt","あの慈姑を買はうかしら。"
"34","akutagawa","harunohino_sashita.txt","※をつけ。"
"35","akutagawa","harunohino_sashita.txt","買ふ気のないことは知つてゐる癖に。"
"36","akutagawa","harunohino_sashita.txt","だが一体どう云ふものだらう、自分にも※をつきたい気のするのは。"
"37","akutagawa","harunohino_sashita.txt","今度は小鳥屋。"
"38","akutagawa","harunohino_sashita.txt","どこもかしこも鳥籠だらけだなあ。"
"39","akutagawa","harunohino_sashita.txt","おや、御亭主も気楽さうに山雀の籠の中に坐つてゐる！"
"40","akutagawa","harunohino_sashita.txt","「つまり馬に乗つた時と同じなのさ。"
"41","akutagawa","harunohino_sashita.txt","」"
"42","akutagawa","harunohino_sashita.txt","「カントの論文に崇られたんだね。"
"43","akutagawa","harunohino_sashita.txt","」"
"44","akutagawa","harunohino_sashita.txt","後ろからさつさと通りぬける制服制帽の大学生が二人。"
"45","akutagawa","harunohino_sashita.txt","ちよいと聞いた他人の会話と云ふものは気違ひの会話に似てゐるなあ。"
"46","akutagawa","harunohino_sashita.txt","この辺そろそろ上り坂。"
"47","akutagawa","harunohino_sashita.txt","もうあの家の椿などは落ちて茶色に変つてゐる。"
"48","akutagawa","harunohino_sashita.txt","尤も崖側の竹藪は不相変黄ばんだままなのだが………おつと向うから馬が来たぞ。"
"49","akutagawa","harunohino_sashita.txt","馬の目玉は大きいなあ。"
"50","akutagawa","harunohino_sashita.txt","竹藪も椿も己の顔もみんな目玉の中に映つてゐる。"
"51","akutagawa","harunohino_sashita.txt","馬のあとからはモンジロ蝶。"
"52","akutagawa","harunohino_sashita.txt",""
"53","akutagawa","harunohino_sashita.txt","「生ミタテ玉子アリマス。"
"54","akutagawa","harunohino_sashita.txt","」"
"55","akutagawa","harunohino_sashita.txt","アア、サウデスカ？ワタシハ玉子ハ入リマセン。"
"56","akutagawa","harunohino_sashita.txt","――春の日のさした往来をぶらぶら一人歩いてゐる。"
"57","akutagawa","harunohino_sashita.txt",""
"58","akutagawa","harunohino_sashita.txt",""
"59","akutagawa","harunohino_sashita.txt",""
"60","akutagawa","harunohino_sashita.txt",""
"61","akutagawa","harunohino_sashita.txt","底本：「芥川龍之介全集第十一巻」岩波書店"
"62","akutagawa","harunohino_sashita.txt","1996（平成8）年9月9日発行"
"63","akutagawa","harunohino_sashita.txt","入力：もりみつじゅんじ"
"64","akutagawa","harunohino_sashita.txt","校正：松永正敏"
"65","akutagawa","harunohino_sashita.txt","2002年5月17日作成"
"66","akutagawa","harunohino_sashita.txt","2004年3月7日修正"
"67","akutagawa","harunohino_sashita.txt","青空文庫作成ファイル："
"68","akutagawa","harunohino_sashita.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"69","akutagawa","harunohino_sashita.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"70","akutagawa","harunohino_sashita.txt",""
