"","auth","piece","line"
"0","akutagawa","hokku_shiken.txt","発句私見"
"1","akutagawa","hokku_shiken.txt","芥川龍之介"
"2","akutagawa","hokku_shiken.txt",""
"3","akutagawa","hokku_shiken.txt","-------------------------------------------------------"
"4","akutagawa","hokku_shiken.txt","【テキスト中に現れる記号について】"
"5","akutagawa","hokku_shiken.txt",""
"6","akutagawa","hokku_shiken.txt","《》：ルビ"
"7","akutagawa","hokku_shiken.txt","（例）発句"
"8","akutagawa","hokku_shiken.txt",""
"9","akutagawa","hokku_shiken.txt","｜：ルビの付いていない漢字とルビの付く漢字の境の記号"
"10","akutagawa","hokku_shiken.txt","（例）月｜御油より"
"11","akutagawa","hokku_shiken.txt",""
"12","akutagawa","hokku_shiken.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","hokku_shiken.txt","（例）"
"14","akutagawa","hokku_shiken.txt","-------------------------------------------------------"
"15","akutagawa","hokku_shiken.txt",""
"16","akutagawa","hokku_shiken.txt","一十七音"
"17","akutagawa","hokku_shiken.txt",""
"18","akutagawa","hokku_shiken.txt","発句は十七音を原則としてゐる。"
"19","akutagawa","hokku_shiken.txt","十七音以外のものを発句と呼ぶのは、――或は新傾向の句と呼ぶのは短詩と呼ぶのの勝れるに若かない。"
"20","akutagawa","hokku_shiken.txt","（勿論かう言ふ短詩の作家、河東碧梧桐、中塚一碧楼、荻原井泉水等の諸氏の作品にも佳作のあることは事実である。"
"21","akutagawa","hokku_shiken.txt","）若し単に内容に即して、かう云ふ短詩を発句と呼ぶならば、発句は他の文芸的形式と、――たとへば漢詩などと異らないであらう。"
"22","akutagawa","hokku_shiken.txt",""
"23","akutagawa","hokku_shiken.txt",""
"24","akutagawa","hokku_shiken.txt","初月波中上（勿論日本風に読むのである）何遜"
"25","akutagawa","hokku_shiken.txt","明月の波の中より上りけり子規"
"26","akutagawa","hokku_shiken.txt",""
"27","akutagawa","hokku_shiken.txt","単に内容に即すれば、子規居士の句は即ち何遜の詩である。"
"28","akutagawa","hokku_shiken.txt","同じく茶を飲むのに使ふとしても茶碗は畢に湯呑みではない。"
"29","akutagawa","hokku_shiken.txt","若し湯呑みを湯呑みたらしめるものを湯呑みと云ふ形式にありとすれば、又茶碗を茶碗たらしめるものを茶碗と云ふ形式にありとすれば、発句を発句たらしめるものもやはり発句と云ふ形式、――即ち十七音にある訣である。"
"30","akutagawa","hokku_shiken.txt",""
"31","akutagawa","hokku_shiken.txt",""
"32","akutagawa","hokku_shiken.txt","二季題"
"33","akutagawa","hokku_shiken.txt",""
"34","akutagawa","hokku_shiken.txt","発句は必しも季題を要しない。"
"35","akutagawa","hokku_shiken.txt","今日季題と呼ばれるものは玉葱、天の川、クリスマス、薔薇、蛙、ブランコ、汗、――いろいろのものを含んでゐる。"
"36","akutagawa","hokku_shiken.txt","従つて季題のない発句を作ることは事実上反つて容易ではない。"
"37","akutagawa","hokku_shiken.txt","しかし容易ではないにもせよ、森羅万象を季題としない限り、季題のない発句も出来る筈である。"
"38","akutagawa","hokku_shiken.txt",""
"39","akutagawa","hokku_shiken.txt","元来季題とは何かと言へば、名月、夜長などと云ふ詩語の外は大抵僕等の家常茶飯に使つてゐる言葉ばかりである。"
"40","akutagawa","hokku_shiken.txt","詩語は勿論詩語としての文芸的価値を持つてゐるであらう。"
"41","akutagawa","hokku_shiken.txt","しかしその他の当り前の言葉――たとへば玉葱、天の川等を特に季題とすることは寧ろ句作には有害である。"
"42","akutagawa","hokku_shiken.txt","僕等はこれ等の当り前の言葉を特に季題とする為に季感と呼ばれるものを生じ、反つて流俗の見に陥り易い。"
"43","akutagawa","hokku_shiken.txt","それから今日の農芸や園芸は在来の春夏秋冬のうちに草花や果物や蔬菜などを収められぬ位に発達してゐる。"
"44","akutagawa","hokku_shiken.txt",""
"45","akutagawa","hokku_shiken.txt","発句は少しも季題を要しない。"
"46","akutagawa","hokku_shiken.txt","寧ろ季題は無用である。"
"47","akutagawa","hokku_shiken.txt","現に短歌は発句のやうに季題などに手よつてゐない。"
"48","akutagawa","hokku_shiken.txt","これは何も発句よりも十四音だけ多いのにはよらぬ筈である。"
"49","akutagawa","hokku_shiken.txt",""
"50","akutagawa","hokku_shiken.txt",""
"51","akutagawa","hokku_shiken.txt","三詩語"
"52","akutagawa","hokku_shiken.txt",""
"53","akutagawa","hokku_shiken.txt","季題は発句には無用である。"
"54","akutagawa","hokku_shiken.txt","しかし季題は無用にしても、詩語は決して無用ではない。"
"55","akutagawa","hokku_shiken.txt","たとへば行春と云ふ言葉などは僕等の祖先から伝へ来つた、美しい語感を伴つてゐる。"
"56","akutagawa","hokku_shiken.txt","かう云ふ語感を軽蔑するのは僕等自身を軽蔑するに等しい。"
"57","akutagawa","hokku_shiken.txt",""
"58","akutagawa","hokku_shiken.txt",""
"59","akutagawa","hokku_shiken.txt","行春を近江の人と惜しみける芭蕉"
"60","akutagawa","hokku_shiken.txt",""
"61","akutagawa","hokku_shiken.txt","追記。"
"62","akutagawa","hokku_shiken.txt","詩語と詩語でない言葉との差別は勿論事実上ぼんやりしてゐる。"
"63","akutagawa","hokku_shiken.txt",""
"64","akutagawa","hokku_shiken.txt",""
"65","akutagawa","hokku_shiken.txt",""
"66","akutagawa","hokku_shiken.txt","四調べ"
"67","akutagawa","hokku_shiken.txt",""
"68","akutagawa","hokku_shiken.txt","発句も既に詩であるとすれば、おのづから調べを要する筈である。"
"69","akutagawa","hokku_shiken.txt","元禄びとには元禄びとの調べがあり、大正びとには大正びとの調べがあると言ふのは必しも謬見と称し難い。"
"70","akutagawa","hokku_shiken.txt","しかしその調べと云ふ意味を十七音か否かに限るのは所謂新傾向の作家たちの謬見である。"
