"","auth","piece","line"
"0","akutagawa","hoonki.txt","報恩記"
"1","akutagawa","hoonki.txt","芥川龍之介"
"2","akutagawa","hoonki.txt",""
"3","akutagawa","hoonki.txt","-------------------------------------------------------"
"4","akutagawa","hoonki.txt","【テキスト中に現れる記号について】"
"5","akutagawa","hoonki.txt",""
"6","akutagawa","hoonki.txt","《》：ルビ"
"7","akutagawa","hoonki.txt","（例）甚内"
"8","akutagawa","hoonki.txt",""
"9","akutagawa","hoonki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","hoonki.txt","（例）突然｜真面目に"
"11","akutagawa","hoonki.txt",""
"12","akutagawa","hoonki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","hoonki.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","hoonki.txt","（例）※"
"15","akutagawa","hoonki.txt","-------------------------------------------------------"
"16","akutagawa","hoonki.txt",""
"17","akutagawa","hoonki.txt","阿媽港甚内の話"
"18","akutagawa","hoonki.txt",""
"19","akutagawa","hoonki.txt","わたしは甚内と云うものです。"
"20","akutagawa","hoonki.txt","苗字は――さあ、世間ではずっと前から、阿媽港甚内と云っているようです。"
"21","akutagawa","hoonki.txt","阿媽港甚内、――あなたもこの名は知っていますか？いや、驚くには及びません。"
"22","akutagawa","hoonki.txt","わたしはあなたの知っている通り、評判の高い盗人です。"
"23","akutagawa","hoonki.txt","しかし今夜参ったのは、盗みにはいったのではありません。"
"24","akutagawa","hoonki.txt","どうかそれだけは安心して下さい。"
"25","akutagawa","hoonki.txt",""
"26","akutagawa","hoonki.txt","あなたは日本にいる伴天連の中でも、道徳の高い人だと聞いています。"
"27","akutagawa","hoonki.txt","して見れば盗人と名のついたものと、しばらくでも一しょにいると云う事は、愉快ではないかも知れません。"
"28","akutagawa","hoonki.txt","が、わたしも思いのほか、盗みばかりしてもいないのです。"
"29","akutagawa","hoonki.txt","いつぞや聚楽の御殿へ召された呂宋助左衛門の手代の一人も、確か甚内と名乗っていました。"
"30","akutagawa","hoonki.txt","また利休居士の珍重していた「赤がしら」と称える水さしも、それを贈った連歌師の本名は、甚内とか云ったと聞いています。"
"31","akutagawa","hoonki.txt","そう云えばつい二三年以前、阿媽港日記と云う本を書いた、大村あたりの通辞の名前も、甚内と云うのではなかったでしょうか？そのほか三条河原の喧嘩に、甲比丹「まるどなど」を救った虚無僧、堺の妙国寺門前に、南蛮の薬を売っていた商人、……そう云うものも名前を明かせば、何がし甚内だったのに違いありません。"
"32","akutagawa","hoonki.txt","いや、それよりも大事なのは、去年この「さん・ふらんしすこ」の御寺へ、おん母「まりや」の爪を収めた、黄金の舎利塔を献じているのも、やはり甚内と云う信徒だった筈です。"
"33","akutagawa","hoonki.txt",""
"34","akutagawa","hoonki.txt","しかし今夜は残念ながら、一々そう云う行状を話している暇はありません。"
"35","akutagawa","hoonki.txt","ただどうか阿媽港甚内は、世間一般の人間と余り変りのない事を信じて下さい。"
"36","akutagawa","hoonki.txt","そうですか？では出来るだけ手短かに、わたしの用向きを述べる事にしましょう。"
"37","akutagawa","hoonki.txt","わたしはある男の魂のために、「みさ」の御祈りを願いに来たのです。"
"38","akutagawa","hoonki.txt","いや、わたしの血縁のものではありません。"
"39","akutagawa","hoonki.txt","と云ってもまたわたしの刃金に、血を塗ったものでもないのです。"
"40","akutagawa","hoonki.txt","名前ですか？名前は、――さあ、それは明かして好いかどうか、わたしにも判断はつきません。"
"41","akutagawa","hoonki.txt","ある男の魂のために、――あるいは「ぽうろ」と云う日本人のために、冥福を祈ってやりたいのです。"
"42","akutagawa","hoonki.txt","いけませんか？――なるほど阿媽港甚内に、こう云う事を頼まれたのでは、手軽に受合う気にもなれますまい。"
"43","akutagawa","hoonki.txt","ではとにかく一通り、事情だけは話して見る事にしましょう。"
"44","akutagawa","hoonki.txt","しかしそれには生死を問わず、他言しない約束が必要です。"
"45","akutagawa","hoonki.txt","あなたはその胸の十字架に懸けても、きっと約束を守りますか？いや、――失礼は赦して下さい。"
"46","akutagawa","hoonki.txt","（微笑）伴天連のあなたを疑うのは、盗人のわたしには僭上でしょう。"
"47","akutagawa","hoonki.txt","しかしこの約束を守らなければ、（突然｜真面目に）「いんへるの」の猛火に焼かれずとも、現世に罰が下る筈です。"
"48","akutagawa","hoonki.txt",""
"49","akutagawa","hoonki.txt","もう二年あまり以前の話ですが、ちょうどある凩の真夜中です。"
"50","akutagawa","hoonki.txt","わたしは雲水に姿を変えながら、京の町中をうろついていました。"
"51","akutagawa","hoonki.txt","京の町中をうろついたのは、その夜に始まったのではありません。"
"52","akutagawa","hoonki.txt","もうかれこれ五日ばかり、いつも初更を過ぎさえすれば、必ず人目に立たないように、そっと家々を窺ったのです。"
"53","akutagawa","hoonki.txt","勿論何のためだったかは、註を入れるにも及びますまい。"
"54","akutagawa","hoonki.txt","殊にその頃は摩利伽へでも、一時渡っているつもりでしたから、余計に金の入用もあったのです。"
"55","akutagawa","hoonki.txt",""
"56","akutagawa","hoonki.txt","町は勿論とうの昔に人通りを絶っていましたが、星ばかりきらめいた空中には、小やみもない風の音がどよめいています。"
"57","akutagawa","hoonki.txt","わたしは暗い軒通いに、小川通りを下って来ると、ふと辻を一つ曲った所に、大きい角屋敷のあるのを見つけました。"
"58","akutagawa","hoonki.txt","これは京でも名を知られた、北条屋弥三右衛門の本宅です。"
"59","akutagawa","hoonki.txt","同じ渡海を渡世にしていても、北条屋は到底角倉などと肩を並べる事は出来ますまい。"
"60","akutagawa","hoonki.txt","しかしとにかく沙室や呂宋へ、船の一二｜艘も出しているのですから、一かどの分限者には違いありません。"
"61","akutagawa","hoonki.txt","わたしは何もこの家を目当に、うろついていたのではないのですが、ちょうどそこへ来合わせたのを幸い、一稼ぎする気を起しました。"
"62","akutagawa","hoonki.txt","その上前にも云った通り、夜は深いし風も出ている、――わたしの商売にとりかかるのには、万事持って来いの寸法です。"
"63","akutagawa","hoonki.txt","わたしは路ばたの天水桶の後に、網代の笠や杖を隠した上、たちまち高塀を乗り越えました。"
"64","akutagawa","hoonki.txt",""
"65","akutagawa","hoonki.txt","世間の噂を聞いて御覧なさい。"
"66","akutagawa","hoonki.txt","阿媽港甚内は、忍術を使う、――誰でも皆そう云っています。"
"67","akutagawa","hoonki.txt","しかしあなたは俗人のように、そんな事は本当と思いますまい。"
"68","akutagawa","hoonki.txt","わたしは忍術も使わなければ、悪魔も味方にはしていないのです。"
"69","akutagawa","hoonki.txt","ただ阿媽港にいた時分、葡萄牙の船の医者に、究理の学問を教わりました。"
"70","akutagawa","hoonki.txt","それを実地に役立てさえすれば、大きい錠前を※じ切ったり、重い閂を外したりするのは、格別むずかしい事ではありません。"
"71","akutagawa","hoonki.txt","（微笑）今までにない盗みの仕方、――それも日本と云う未開の土地は、十字架や鉄砲の渡来と同様、やはり西洋に教わったのです。"
"72","akutagawa","hoonki.txt",""
"73","akutagawa","hoonki.txt","わたしは一ときとたたない内に、北条屋の家の中にはいっていました。"
"74","akutagawa","hoonki.txt","が、暗い廊下をつき当ると、驚いた事にはこの夜更けにも、まだ火影のさしているばかりか、話し声のする小座敷があります。"
"75","akutagawa","hoonki.txt","それがあたりの容子では、どうしても茶室に違いありません。"
"76","akutagawa","hoonki.txt","「凩の茶か」――わたしはそう苦笑しながら、そっとそこへ忍び寄りました。"
"77","akutagawa","hoonki.txt","実際その時は人声のするのに、仕事の邪魔を思うよりも、数寄を凝らした囲いの中に、この家の主人や客に来た仲間が、どんな風流を楽しんでいるか？――そんな事に心が惹かれたのです。"
"78","akutagawa","hoonki.txt",""
"79","akutagawa","hoonki.txt","襖の外に身を寄せるが早いか、わたしの耳には思った通り、釜のたぎりがはいりました。"
"80","akutagawa","hoonki.txt","が、その音がすると同時に、意外にも誰か話をしては、泣いている声が聞えるのです。"
