"","auth","piece","line"
"0","akutagawa","itokara.txt","伊東から"
"1","akutagawa","itokara.txt","芥川龍之介"
"2","akutagawa","itokara.txt",""
"3","akutagawa","itokara.txt","-------------------------------------------------------"
"4","akutagawa","itokara.txt","【テキスト中に現れる記号について】"
"5","akutagawa","itokara.txt",""
"6","akutagawa","itokara.txt","《》：ルビ"
"7","akutagawa","itokara.txt","（例）御座候へども"
"8","akutagawa","itokara.txt",""
"9","akutagawa","itokara.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","itokara.txt","（例）心得｜居り候"
"11","akutagawa","itokara.txt",""
"12","akutagawa","itokara.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","itokara.txt","（例）芥川龍之介"
"14","akutagawa","itokara.txt","-------------------------------------------------------"
"15","akutagawa","itokara.txt",""
"16","akutagawa","itokara.txt","拝啓。"
"17","akutagawa","itokara.txt","小生は、元来新聞の編輯に無経験なるものに御座候へども文芸上の作品は文芸欄に載るものと心得｜居り候。"
"18","akutagawa","itokara.txt","然るに四月十三日の時事新報（静岡版）は文芸上の作品を文芸欄以外に掲げ居り候。"
"19","akutagawa","itokara.txt","それは「けふの自習課題」と申すものに之有候。"
"20","akutagawa","itokara.txt",""
"21","akutagawa","itokara.txt","小学四年。"
"22","akutagawa","itokara.txt","さくらの花はどんなくみたてになつてゐますか？"
"23","akutagawa","itokara.txt","小学五年。"
"24","akutagawa","itokara.txt","花崗岩はどんな鉱物から出来てゐますか？"
"25","akutagawa","itokara.txt","小学六年。"
"26","akutagawa","itokara.txt","海藻の効用をのべなさい。"
"27","akutagawa","itokara.txt",""
"28","akutagawa","itokara.txt","これは勿論詩と存じ候。"
"29","akutagawa","itokara.txt","殊に桜の花の「くみたて」などと申す言葉は稚拙の妙言ふべからず候。"
"30","akutagawa","itokara.txt","何か編輯上の手違ひとは存じ候へども、爾来かかる作品は文芸欄へお収め下され度、切望の至りに堪へず候。"
"31","akutagawa","itokara.txt","右差し出がましき次第ながら御注意までに申し上げ候。"
"32","akutagawa","itokara.txt","頓首。"
"33","akutagawa","itokara.txt",""
"34","akutagawa","itokara.txt","四月十三日伊東にて"
"35","akutagawa","itokara.txt","芥川龍之介"
"36","akutagawa","itokara.txt","佐佐木茂索様"
"37","akutagawa","itokara.txt","二伸。"
"38","akutagawa","itokara.txt","小生と同じ宿に十二三歳の少女｜有之、腎臓病とか申すことにて、蝋のやうな顔色を致し居り候。"
"39","akutagawa","itokara.txt","付き添ひ居り候は母親にや、但し余り似ても居らぬ五十｜恰好の婦人に御座候。"
"40","akutagawa","itokara.txt","小生、今朝ふと応接室へ参り候所、この影の薄き少女、籐のテエブルの上へのしかかり、熱心に「けふの自習課題」を読み居り候。"
"41","akutagawa","itokara.txt","定めし少女も小生と同様、桜の花や花崗岩や潮の滴る海藻を想ひ居りしことと存じ候。"
"42","akutagawa","itokara.txt","これは決して臆測には無之、少女の顔を一瞥致し候はば、誰にも看取出来ることに御座候。"
"43","akutagawa","itokara.txt","小生は勿論「けふの自習課題」の作者に芸術的｜嫉妬を感じ候。"
"44","akutagawa","itokara.txt","然れども恍惚たる少女の顔には言ふ可からざる幸福を感じ候。"
"45","akutagawa","itokara.txt","御同様文筆に従ひ居り候上は一行にてもかかる作品を書き度、若し又新聞の文芸欄にもかかる作品のみ載ることと相成り候はば、如何ばかり快からんなどとも存じ候。"
"46","akutagawa","itokara.txt","早早。"
"47","akutagawa","itokara.txt",""
"48","akutagawa","itokara.txt","（大正十二年四月）"
"49","akutagawa","itokara.txt",""
"50","akutagawa","itokara.txt",""
"51","akutagawa","itokara.txt",""
"52","akutagawa","itokara.txt","底本：「筑摩全集類聚芥川龍之介全集第四巻」筑摩書房"
"53","akutagawa","itokara.txt","1971（昭和46）年6月5日初版第1刷発行"
"54","akutagawa","itokara.txt","1979（昭和54）年4月10日初版第11刷発行"
"55","akutagawa","itokara.txt","入力：土屋隆"
"56","akutagawa","itokara.txt","校正：松永正敏"
"57","akutagawa","itokara.txt","2007年6月26日作成"
"58","akutagawa","itokara.txt","青空文庫作成ファイル："
"59","akutagawa","itokara.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"60","akutagawa","itokara.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"61","akutagawa","itokara.txt",""
