"","auth","piece","line"
"0","akutagawa","iwano_homei_shi.txt","岩野泡鳴氏"
"1","akutagawa","iwano_homei_shi.txt","芥川龍之介"
"2","akutagawa","iwano_homei_shi.txt",""
"3","akutagawa","iwano_homei_shi.txt","-------------------------------------------------------"
"4","akutagawa","iwano_homei_shi.txt","【テキスト中に現れる記号について】"
"5","akutagawa","iwano_homei_shi.txt",""
"6","akutagawa","iwano_homei_shi.txt","《》：ルビ"
"7","akutagawa","iwano_homei_shi.txt","（例）巣鴨行"
"8","akutagawa","iwano_homei_shi.txt","-------------------------------------------------------"
"9","akutagawa","iwano_homei_shi.txt",""
"10","akutagawa","iwano_homei_shi.txt","何でも秋の夜更けだつた。"
"11","akutagawa","iwano_homei_shi.txt",""
"12","akutagawa","iwano_homei_shi.txt","僕は岩野泡鳴氏と一しよに、巣鴨行の電車に乗つてゐた。"
"13","akutagawa","iwano_homei_shi.txt","泡鳴氏は昂然と洋傘の柄にマントの肘をかけて、例の如く声高に西洋草花の栽培法だの氏が自得の健胃法だのをいろいろ僕に話してくれた。"
"14","akutagawa","iwano_homei_shi.txt",""
"15","akutagawa","iwano_homei_shi.txt","その内にどう云ふ拍子だつたか、話題が当時評判だつた或小説の売れ行きに落ちた。"
"16","akutagawa","iwano_homei_shi.txt","すると泡鳴氏は傍若無人に、"
"17","akutagawa","iwano_homei_shi.txt","「しかし君、新進作家とか何とか云つたつて、そんなに本は売れやしないだらう。"
"18","akutagawa","iwano_homei_shi.txt","僕の本は大抵――部売れるが、君なんぞは一体何部位売れる？」と云つた。"
"19","akutagawa","iwano_homei_shi.txt",""
"20","akutagawa","iwano_homei_shi.txt","僕は聊か恐縮しながら、止むを得ず「傀儡師」の売れ高を答へた。"
"21","akutagawa","iwano_homei_shi.txt",""
"22","akutagawa","iwano_homei_shi.txt","「皆そんなものかね？」"
"23","akutagawa","iwano_homei_shi.txt","泡鳴氏は更に追求した。"
"24","akutagawa","iwano_homei_shi.txt",""
"25","akutagawa","iwano_homei_shi.txt","僕よりも著書の売れ高の多い新進作家は大勢ある。"
"26","akutagawa","iwano_homei_shi.txt","――僕は二三の小説を挙げて、僕の仄聞する売れ高を答へた。"
"27","akutagawa","iwano_homei_shi.txt","それらは不幸にも氏の著書より、多数は売行きが好いに違ひなかつた。"
"28","akutagawa","iwano_homei_shi.txt",""
"29","akutagawa","iwano_homei_shi.txt","「さうかね。"
"30","akutagawa","iwano_homei_shi.txt","存外好く売れるな。"
"31","akutagawa","iwano_homei_shi.txt","」"
"32","akutagawa","iwano_homei_shi.txt","泡鳴氏は一瞬間、不審さうに顔を曇らせた。"
"33","akutagawa","iwano_homei_shi.txt","が、それは文字通り、一瞬間に過ぎなかつた。"
"34","akutagawa","iwano_homei_shi.txt","僕がまだ何とも答へない内に、氏の眼には忽ち前のやうな溌剌たる光が還つて来た。"
"35","akutagawa","iwano_homei_shi.txt","と同時に泡鳴氏は恰も天下を憐れむが如く、悠然とかう云ひ放つた。"
"36","akutagawa","iwano_homei_shi.txt",""
"37","akutagawa","iwano_homei_shi.txt","「尤も僕の小説はむづかしいからな。"
"38","akutagawa","iwano_homei_shi.txt","」"
"39","akutagawa","iwano_homei_shi.txt","詩人、小説家、戯曲家、評論家、――それらの資格は余人がきめるが好い。"
"40","akutagawa","iwano_homei_shi.txt","少くとも僕の眼に映じた我岩野泡鳴氏は、殆ど荘厳な気がする位、愛すべき楽天主義者だつた。"
"41","akutagawa","iwano_homei_shi.txt",""
"42","akutagawa","iwano_homei_shi.txt",""
"43","akutagawa","iwano_homei_shi.txt",""
"44","akutagawa","iwano_homei_shi.txt",""
"45","akutagawa","iwano_homei_shi.txt","底本：「芥川龍之介全集第九巻」岩波書店"
"46","akutagawa","iwano_homei_shi.txt","1996（平成8）年7月8日発行"
"47","akutagawa","iwano_homei_shi.txt","入力：もりみつじゅんじ"
"48","akutagawa","iwano_homei_shi.txt","校正：松永正敏"
"49","akutagawa","iwano_homei_shi.txt","2002年5月17日作成"
"50","akutagawa","iwano_homei_shi.txt","青空文庫作成ファイル："
"51","akutagawa","iwano_homei_shi.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"52","akutagawa","iwano_homei_shi.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"53","akutagawa","iwano_homei_shi.txt",""
