"","auth","piece","line"
"0","akutagawa","jigokuhen_shinji.txt","地獄変"
"1","akutagawa","jigokuhen_shinji.txt","芥川龍之介"
"2","akutagawa","jigokuhen_shinji.txt",""
"3","akutagawa","jigokuhen_shinji.txt","-------------------------------------------------------"
"4","akutagawa","jigokuhen_shinji.txt","【テキスト中に現れる記号について】"
"5","akutagawa","jigokuhen_shinji.txt",""
"6","akutagawa","jigokuhen_shinji.txt","《》：ルビ"
"7","akutagawa","jigokuhen_shinji.txt","（例）大殿様"
"8","akutagawa","jigokuhen_shinji.txt",""
"9","akutagawa","jigokuhen_shinji.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","jigokuhen_shinji.txt","（例）格別｜御障りが"
"11","akutagawa","jigokuhen_shinji.txt",""
"12","akutagawa","jigokuhen_shinji.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","jigokuhen_shinji.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","jigokuhen_shinji.txt","（例）※"
"15","akutagawa","jigokuhen_shinji.txt",""
"16","akutagawa","jigokuhen_shinji.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","akutagawa","jigokuhen_shinji.txt","（例）夜な／＼"
"18","akutagawa","jigokuhen_shinji.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"19","akutagawa","jigokuhen_shinji.txt","-------------------------------------------------------"
"20","akutagawa","jigokuhen_shinji.txt",""
"21","akutagawa","jigokuhen_shinji.txt","一"
"22","akutagawa","jigokuhen_shinji.txt",""
"23","akutagawa","jigokuhen_shinji.txt","堀川の大殿様のやうな方は、これまでは固より、後の世には恐らく二人とはいらつしやいますまい。"
"24","akutagawa","jigokuhen_shinji.txt","噂に聞きますと、あの方の御誕生になる前には、大威徳明王の御姿が御母君の夢枕にお立ちになつたとか申す事でございますが、兎に角御生れつきから、並々の人間とは御違ひになつてゐたやうでございます。"
"25","akutagawa","jigokuhen_shinji.txt","でございますから、あの方の為さいました事には、一つとして私どもの意表に出てゐないものはございません。"
