"","auth","piece","line"
"0","akutagawa","kakusanto_shokuyoku.txt","格さんと食慾"
"1","akutagawa","kakusanto_shokuyoku.txt","――最近の宇野浩二氏――"
"2","akutagawa","kakusanto_shokuyoku.txt","芥川龍之介"
"3","akutagawa","kakusanto_shokuyoku.txt",""
"4","akutagawa","kakusanto_shokuyoku.txt","-------------------------------------------------------"
"5","akutagawa","kakusanto_shokuyoku.txt","【テキスト中に現れる記号について】"
"6","akutagawa","kakusanto_shokuyoku.txt",""
"7","akutagawa","kakusanto_shokuyoku.txt","《》：ルビ"
"8","akutagawa","kakusanto_shokuyoku.txt","（例）利鎌"
"9","akutagawa","kakusanto_shokuyoku.txt",""
"10","akutagawa","kakusanto_shokuyoku.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"11","akutagawa","kakusanto_shokuyoku.txt","（例）いざ子ども利鎌とりもち宇野麻呂が揉み上げ草を刈りて馬飼へ"
"12","akutagawa","kakusanto_shokuyoku.txt","-------------------------------------------------------"
"13","akutagawa","kakusanto_shokuyoku.txt",""
"14","akutagawa","kakusanto_shokuyoku.txt","宇野浩二は聡明の人である。"
"15","akutagawa","kakusanto_shokuyoku.txt","同時に又多感の人である。"
"16","akutagawa","kakusanto_shokuyoku.txt","尤も本来の喜劇的精神は人を欺くことがあるかも知れない。"
"17","akutagawa","kakusanto_shokuyoku.txt","が、己を欺くことは極めて稀にしかない人である。"
"18","akutagawa","kakusanto_shokuyoku.txt",""
"19","akutagawa","kakusanto_shokuyoku.txt","のみならず、又宇野浩二は喜劇的精神を発揮しないにもしろ、あらゆる多感と聡明とを二つとも兼ね具えた人のように滅多にムキにはならない人である。"
"20","akutagawa","kakusanto_shokuyoku.txt","喜劇的精神を発揮することそのことにもムキにはならない人である。"
"21","akutagawa","kakusanto_shokuyoku.txt","これは時には宇野浩二に怪物の看を与えるかも知れない。"
"22","akutagawa","kakusanto_shokuyoku.txt","しかし其処に独特のシャルム――たとえば精神的カメレオンに対するシャルムの存することも事実である。"
"23","akutagawa","kakusanto_shokuyoku.txt",""
"24","akutagawa","kakusanto_shokuyoku.txt","宇野浩二は本名格二（或は次）郎である。"
"25","akutagawa","kakusanto_shokuyoku.txt","あの色の浅黒い顔は正に格二郎に違いない。"
"26","akutagawa","kakusanto_shokuyoku.txt","殊に三味線を弾いている宇野は浩さん離れのした格さんである。"
"27","akutagawa","kakusanto_shokuyoku.txt",""
"28","akutagawa","kakusanto_shokuyoku.txt","次手に顔のことを少し書けば、わたしは宇野の顔を見る度に必ず多少の食慾を感じた。"
"29","akutagawa","kakusanto_shokuyoku.txt","あの顔は頬から耳のあたりをコオルド・ビフのように料理するが好い。"
"30","akutagawa","kakusanto_shokuyoku.txt","皿に載せた一片の肉はほんのりと赤い所どころに白い脂肪を交えている。"
"31","akutagawa","kakusanto_shokuyoku.txt","が、ちょっと裏返して見ると、鳥膚になった頬の皮はもじゃもじゃした揉み上げを残している。"
"32","akutagawa","kakusanto_shokuyoku.txt","――と云う空想をしたこともあった。"
"33","akutagawa","kakusanto_shokuyoku.txt","尤も実際口へ入れて見たら、予期通り一杯やれるかどうか、その辺は頗る疑問である。"
"34","akutagawa","kakusanto_shokuyoku.txt","多分はいくら香料をかけても、揉み上げにしみこんだ煙草の匂は羊肉の匂のようにぷんと来るであろう。"
"35","akutagawa","kakusanto_shokuyoku.txt",""
"36","akutagawa","kakusanto_shokuyoku.txt","いざ子ども利鎌とりもち宇野麻呂が揉み上げ草を刈りて馬飼へ"
"37","akutagawa","kakusanto_shokuyoku.txt",""
"38","akutagawa","kakusanto_shokuyoku.txt",""
"39","akutagawa","kakusanto_shokuyoku.txt",""
"40","akutagawa","kakusanto_shokuyoku.txt","底本：「大川の水・追憶・本所両国現代日本のエッセイ」講談社文芸文庫、講談社"
"41","akutagawa","kakusanto_shokuyoku.txt","1995（平成7）年1月10日第1刷発行"
"42","akutagawa","kakusanto_shokuyoku.txt","底本の親本：「芥川龍之介全集第一〜九、一二巻」岩波書店"
"43","akutagawa","kakusanto_shokuyoku.txt","1977（昭和52）年7、9〜12月、1978（昭和53）年1〜4、7月発行"
"44","akutagawa","kakusanto_shokuyoku.txt","入力：向井樹里"
"45","akutagawa","kakusanto_shokuyoku.txt","校正：砂場清隆"
"46","akutagawa","kakusanto_shokuyoku.txt","2007年2月12日作成"
"47","akutagawa","kakusanto_shokuyoku.txt","青空文庫作成ファイル："
"48","akutagawa","kakusanto_shokuyoku.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"49","akutagawa","kakusanto_shokuyoku.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"50","akutagawa","kakusanto_shokuyoku.txt",""
