"","auth","piece","line"
"0","akutagawa","kamenno_hitobito.txt","「仮面」の人々"
"1","akutagawa","kamenno_hitobito.txt","芥川龍之介"
"2","akutagawa","kamenno_hitobito.txt",""
"3","akutagawa","kamenno_hitobito.txt","-------------------------------------------------------"
"4","akutagawa","kamenno_hitobito.txt","【テキスト中に現れる記号について】"
"5","akutagawa","kamenno_hitobito.txt",""
"6","akutagawa","kamenno_hitobito.txt","《》：ルビ"
"7","akutagawa","kamenno_hitobito.txt","（例）同人"
"8","akutagawa","kamenno_hitobito.txt",""
"9","akutagawa","kamenno_hitobito.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","kamenno_hitobito.txt","（例）一二度｜山宮允君と"
"11","akutagawa","kamenno_hitobito.txt",""
"12","akutagawa","kamenno_hitobito.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","kamenno_hitobito.txt","（例）（大正十三年五月）"
"14","akutagawa","kamenno_hitobito.txt","-------------------------------------------------------"
"15","akutagawa","kamenno_hitobito.txt",""
"16","akutagawa","kamenno_hitobito.txt","学生時代の僕は第三次並びに第四次「新思潮」の同人と最も親密に往来してゐた。"
"17","akutagawa","kamenno_hitobito.txt","元来作家志望でもなかつた僕のとうとう作家になつてしまつたのは全然彼等の悪影響である。"
"18","akutagawa","kamenno_hitobito.txt","全然？――尤も全然かどうかは疑問かも知れない。"
"19","akutagawa","kamenno_hitobito.txt","当時の僕は彼等以外にも早稲田の連中と交際してゐた。"
"20","akutagawa","kamenno_hitobito.txt","その連中もやはり清浄なる僕に悪影響を及ぼしたことは確かである。"
"21","akutagawa","kamenno_hitobito.txt",""
"22","akutagawa","kamenno_hitobito.txt","その連中と云ふのは外でもない。"
"23","akutagawa","kamenno_hitobito.txt","同人雑誌「仮面」を出してゐた日夏耿之介、西条八十、森口多里の諸君である。"
"24","akutagawa","kamenno_hitobito.txt","僕は一二度｜山宮允君と一しよに、赤い笠の電燈をともした西条君の客間へ遊びに行つた。"
"25","akutagawa","kamenno_hitobito.txt","日夏君や森口君は勿論、先生格の吉江弧雁氏に紹介されたのもその客間である。"
"26","akutagawa","kamenno_hitobito.txt","当時どう云ふ話をしたか、それはもう殆ど覚えてゐない。"
"27","akutagawa","kamenno_hitobito.txt","唯いつか怪談の出た晩、人つ子｜一人通らない雨降りの大久保を帰つて来るのに辟易したことを覚えてゐる。"
"28","akutagawa","kamenno_hitobito.txt",""
"29","akutagawa","kamenno_hitobito.txt","しかしその後は吉江氏を始め、西条君や森口君とはずつと御無沙汰をつづけてゐる。"
"30","akutagawa","kamenno_hitobito.txt","唯鎌倉の大町にゐた頃、日夏君も長谷に居を移してゐたから、君とは時々｜往来した。"
"31","akutagawa","kamenno_hitobito.txt","当時の日夏君の八畳の座敷は御同様｜借家に住んでゐた為、すつかり障子をしめ切つた後でも、床の間の壁から陣々の風の吹きこんで来たのは滑稽である。"
"32","akutagawa","kamenno_hitobito.txt","けれども鎌倉を去つた後は日夏君ともいつか疎遠になつた。"
"33","akutagawa","kamenno_hitobito.txt","諸君は皆健在らし。"
"34","akutagawa","kamenno_hitobito.txt","日夏君は時々中央公論に詩に関する長論文を発表してゐる。"
"35","akutagawa","kamenno_hitobito.txt","あの原稿を書いてゐる部屋へはもう床の間の風なども吹きこんで来ないことであらう。"
"36","akutagawa","kamenno_hitobito.txt",""
"37","akutagawa","kamenno_hitobito.txt","（大正十三年五月）"
"38","akutagawa","kamenno_hitobito.txt",""
"39","akutagawa","kamenno_hitobito.txt",""
"40","akutagawa","kamenno_hitobito.txt",""
"41","akutagawa","kamenno_hitobito.txt","底本：「筑摩全集類聚芥川龍之介全集第四巻」筑摩書房"
"42","akutagawa","kamenno_hitobito.txt","1971（昭和46）年6月5日初版第1刷発行"
"43","akutagawa","kamenno_hitobito.txt","1979（昭和54）年4月10日初版第11刷発行"
"44","akutagawa","kamenno_hitobito.txt","入力：土屋隆"
"45","akutagawa","kamenno_hitobito.txt","校正：松永正敏"
"46","akutagawa","kamenno_hitobito.txt","2007年6月26日作成"
"47","akutagawa","kamenno_hitobito.txt","青空文庫作成ファイル："
"48","akutagawa","kamenno_hitobito.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"49","akutagawa","kamenno_hitobito.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"50","akutagawa","kamenno_hitobito.txt",""
