"","auth","piece","line"
"0","akutagawa","kappa.txt","河童"
"1","akutagawa","kappa.txt","どうか Kappa と発音してください。"
"2","akutagawa","kappa.txt",""
"3","akutagawa","kappa.txt","芥川龍之介"
"4","akutagawa","kappa.txt",""
"5","akutagawa","kappa.txt","-------------------------------------------------------"
"6","akutagawa","kappa.txt","【テキスト中に現れる記号について】"
"7","akutagawa","kappa.txt",""
"8","akutagawa","kappa.txt","《》：ルビ"
"9","akutagawa","kappa.txt","（例）両膝"
"10","akutagawa","kappa.txt",""
"11","akutagawa","kappa.txt","｜：ルビの付く文字列の始まりを特定する記号"
"12","akutagawa","kappa.txt","（例）三年｜前"
"13","akutagawa","kappa.txt",""
"14","akutagawa","kappa.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"15","akutagawa","kappa.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"16","akutagawa","kappa.txt","（例）※"
"17","akutagawa","kappa.txt","-------------------------------------------------------"
"18","akutagawa","kappa.txt",""
"19","akutagawa","kappa.txt","序"
"20","akutagawa","kappa.txt",""
"21","akutagawa","kappa.txt","これはある精神病院の患者、――第二十三号がだれにでもしゃべる話である。"
"22","akutagawa","kappa.txt","彼はもう三十を越しているであろう。"
"23","akutagawa","kappa.txt","が、一見したところはいかにも若々しい狂人である。"
"24","akutagawa","kappa.txt","彼の半生の経験は、――いや、そんなことはどうでもよい。"
"25","akutagawa","kappa.txt","彼はただじっと両膝をかかえ、時々窓の外へ目をやりながら、（鉄格子をはめた窓の外には枯れ葉さえ見えない樫の木が一本、雪曇りの空に枝を張っていた。"
"26","akutagawa","kappa.txt","）院長のＳ博士や僕を相手に長々とこの話をしゃべりつづけた。"
"27","akutagawa","kappa.txt","もっとも身ぶりはしなかったわけではない。"
"28","akutagawa","kappa.txt","彼はたとえば「驚いた」と言う時には急に顔をのけぞらせたりした。"
"29","akutagawa","kappa.txt","……"
"30","akutagawa","kappa.txt","僕はこういう彼の話をかなり正確に写したつもりである。"
"31","akutagawa","kappa.txt","もしまただれか僕の筆記に飽き足りない人があるとすれば、東京市外××村のＳ精神病院を尋ねてみるがよい。"
"32","akutagawa","kappa.txt","年よりも若い第二十三号はまず丁寧に頭を下げ、蒲団のない椅子を指さすであろう。"
"33","akutagawa","kappa.txt","それから憂鬱な微笑を浮かべ、静かにこの話を繰り返すであろう。"
"34","akutagawa","kappa.txt","最後に、――僕はこの話を終わった時の彼の顔色を覚えている。"
"35","akutagawa","kappa.txt","彼は最後に身を起こすが早いか、たちまち拳骨をふりまわしながら、だれにでもこう怒鳴りつけるであろう。"
"36","akutagawa","kappa.txt","――「出て行け！この悪党めが！貴様も莫迦な、嫉妬深い、猥褻な、ずうずうしい、うぬぼれきった、残酷な、虫のいい動物なんだろう。"
"37","akutagawa","kappa.txt","出ていけ！この悪党めが！」"
"38","akutagawa","kappa.txt",""
"39","akutagawa","kappa.txt","一"
"40","akutagawa","kappa.txt",""
"41","akutagawa","kappa.txt","三年｜前の夏のことです。"
"42","akutagawa","kappa.txt","僕は人並みにリュック・サックを背負い、あの上高地の温泉｜宿から穂高山へ登ろうとしました。"
"43","akutagawa","kappa.txt","穂高山へ登るのには御承知のとおり梓川をさかのぼるほかはありません。"
"44","akutagawa","kappa.txt","僕は前に穂高山はもちろん、槍ヶ｜岳にも登っていましたから、朝霧の下りた梓川の谷を案内者もつれずに登ってゆきました。"
"45","akutagawa","kappa.txt","朝霧の下りた梓川の谷を――しかしその霧はいつまでたっても晴れる景色は見えません。"
"46","akutagawa","kappa.txt","のみならずかえって深くなるのです。"
"47","akutagawa","kappa.txt","僕は一時間ばかり歩いた後、一度は上高地の温泉宿へ引き返すことにしようかと思いました。"
"48","akutagawa","kappa.txt","けれども上高地へ引き返すにしても、とにかく霧の晴れるのを待った上にしなければなりません。"
"49","akutagawa","kappa.txt","といって霧は一刻ごとにずんずん深くなるばかりなのです。"
"50","akutagawa","kappa.txt","「ええ、いっそ登ってしまえ。"
"51","akutagawa","kappa.txt","」――僕はこう考えましたから、梓川の谷を離れないように熊笹の中を分けてゆきました。"
"52","akutagawa","kappa.txt",""
"53","akutagawa","kappa.txt","しかし僕の目をさえぎるものはやはり深い霧ばかりです。"
"54","akutagawa","kappa.txt","もっとも時々霧の中から太い毛生欅や樅の枝が青あおと葉を垂らしたのも見えなかったわけではありません。"
"55","akutagawa","kappa.txt","それからまた放牧の馬や牛も突然僕の前へ顔を出しました。"
"56","akutagawa","kappa.txt","けれどもそれらは見えたと思うと、たちまち濛々とした霧の中に隠れてしまうのです。"
"57","akutagawa","kappa.txt","そのうちに足もくたびれてくれば、腹もだんだん減りはじめる、――おまけに霧にぬれ透った登山服や毛布なども並みたいていの重さではありません。"
"58","akutagawa","kappa.txt","僕はとうとう我を折りましたから、岩にせかれている水の音をたよりに梓川の谷へ下りることにしました。"
"59","akutagawa","kappa.txt",""
"60","akutagawa","kappa.txt","僕は水ぎわの岩に腰かけ、とりあえず食事にとりかかりました。"
"61","akutagawa","kappa.txt","コオンド・ビイフの罐を切ったり、枯れ枝を集めて火をつけたり、――そんなことをしているうちにかれこれ十分はたったでしょう。"
"62","akutagawa","kappa.txt","その間にどこまでも意地の悪い霧はいつかほのぼのと晴れかかりました。"
"63","akutagawa","kappa.txt","僕はパンをかじりながら、ちょっと腕｜時計をのぞいてみました。"
"64","akutagawa","kappa.txt","時刻はもう一時二十分過ぎです。"
"65","akutagawa","kappa.txt","が、それよりも驚いたのは何か気味の悪い顔が一つ、円い腕時計の硝子の上へちらりと影を落としたことです。"
"66","akutagawa","kappa.txt","僕は驚いてふり返りました。"
"67","akutagawa","kappa.txt","すると、――僕が河童というものを見たのは実にこの時がはじめてだったのです。"
"68","akutagawa","kappa.txt","僕の後ろにある岩の上には画にあるとおりの河童が一匹、片手は白樺の幹を抱え、片手は目の上にかざしたなり、珍しそうに僕を見おろしていました。"
"69","akutagawa","kappa.txt",""
"70","akutagawa","kappa.txt","僕は呆っ気にとられたまま、しばらくは身動きもしずにいました。"
"71","akutagawa","kappa.txt","河童もやはり驚いたとみえ、目の上の手さえ動かしません。"
"72","akutagawa","kappa.txt","そのうちに僕は飛び立つが早いか、岩の上の河童へおどりかかりました。"
"73","akutagawa","kappa.txt","同時にまた河童も逃げ出しました。"
"74","akutagawa","kappa.txt","いや、おそらくは逃げ出したのでしょう。"
"75","akutagawa","kappa.txt","実はひらりと身をかわしたと思うと、たちまちどこかへ消えてしまったのです。"
