"","auth","piece","line"
"0","akutagawa","kare.txt","彼"
"1","akutagawa","kare.txt","芥川龍之介"
"2","akutagawa","kare.txt",""
"3","akutagawa","kare.txt","-------------------------------------------------------"
"4","akutagawa","kare.txt","【テキスト中に現れる記号について】"
"5","akutagawa","kare.txt",""
"6","akutagawa","kare.txt","《》：ルビ"
"7","akutagawa","kare.txt","（例）言わずとも好い"
"8","akutagawa","kare.txt",""
"9","akutagawa","kare.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","kare.txt","（例）窓｜硝子"
"11","akutagawa","kare.txt",""
"12","akutagawa","kare.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","kare.txt","（例）結婚したのも去年だろう"
"14","akutagawa","kare.txt","-------------------------------------------------------"
"15","akutagawa","kare.txt",""
"16","akutagawa","kare.txt","一"
"17","akutagawa","kare.txt",""
"18","akutagawa","kare.txt","僕はふと旧友だった彼のことを思い出した。"
"19","akutagawa","kare.txt","彼の名前などは言わずとも好い。"
"20","akutagawa","kare.txt","彼は叔父さんの家を出てから、本郷のある印刷屋の二階の六畳に間借りをしていた。"
"21","akutagawa","kare.txt","階下の輪転機のまわり出す度にちょうど小蒸汽の船室のようにがたがた身震いをする二階である。"
"22","akutagawa","kare.txt","まだ一高の生徒だった僕は寄宿舎の晩飯をすませた後、度たびこの二階へ遊びに行った。"
"23","akutagawa","kare.txt","すると彼は硝子窓の下に人一倍細い頸を曲げながら、いつもトランプの運だめしをしていた。"
"24","akutagawa","kare.txt","そのまた彼の頭の上には真鍮の油壺の吊りランプが一つ、いつも円い影を落していた。"
"25","akutagawa","kare.txt","……"
"26","akutagawa","kare.txt",""
"27","akutagawa","kare.txt","二"
"28","akutagawa","kare.txt",""
"29","akutagawa","kare.txt","彼は本郷の叔父さんの家から僕と同じ本所の第三中学校へ通っていた。"
"30","akutagawa","kare.txt","彼が叔父さんの家にいたのは両親のいなかったためである。"
"31","akutagawa","kare.txt","両親のいなかったためと云っても、母だけは死んではいなかったらしい。"
"32","akutagawa","kare.txt","彼は父よりもこの母に、――このどこへか再縁した母に少年らしい情熱を感じていた。"
"33","akutagawa","kare.txt","彼は確かある年の秋、僕の顔を見るが早いか、吃るように僕に話しかけた。"
"34","akutagawa","kare.txt",""
"35","akutagawa","kare.txt","「僕はこの頃僕の妹が（妹が一人あったことはぼんやり覚えているんだがね。"
"36","akutagawa","kare.txt","）縁づいた先を聞いて来たんだよ。"
"37","akutagawa","kare.txt","今度の日曜にでも行って見ないか？」"
"38","akutagawa","kare.txt","僕は早速彼と一しょに亀井戸に近い場末の町へ行った。"
