"","auth","piece","line"
"0","akutagawa","kekkon_nan.txt","結婚難並びに恋愛難"
"1","akutagawa","kekkon_nan.txt","芥川龍之介"
"2","akutagawa","kekkon_nan.txt",""
"3","akutagawa","kekkon_nan.txt","-------------------------------------------------------"
"4","akutagawa","kekkon_nan.txt","【テキスト中に現れる記号について】"
"5","akutagawa","kekkon_nan.txt",""
"6","akutagawa","kekkon_nan.txt","《》：ルビ"
"7","akutagawa","kekkon_nan.txt","（例）頸"
"8","akutagawa","kekkon_nan.txt",""
"9","akutagawa","kekkon_nan.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","akutagawa","kekkon_nan.txt","（例）"
"11","akutagawa","kekkon_nan.txt","-------------------------------------------------------"
"12","akutagawa","kekkon_nan.txt",""
"13","akutagawa","kekkon_nan.txt","あなたがたはゼライイドの話を知つてゐますか？ゼライイドは美しい王女です。"
"14","akutagawa","kekkon_nan.txt","何でも文献に徴すれば、足は蝋石の如く、腿は象牙の如く、臍は真珠貝の孕める真珠の如く、腹は雪花石膏の甕の如く、乳房は百合の花束の如く、頸は白鳩の如く、髪は香草の如く、目は宮殿の池の如く、鼻は城門の櫓の如くだつたと言ふのですから、万人に一人もない美人だつたのでせう。"
"15","akutagawa","kekkon_nan.txt","このゼライイドも年ごろになるにつけ、誰か然るべき相手を定めて結婚することになりました。"
"16","akutagawa","kekkon_nan.txt","これは若し日本だつたとすれば、親戚とか知人とか乃至女学校の校長とか、甚だ当てにならぬ人物に媒介を頼む所だつたでせう。"
"17","akutagawa","kekkon_nan.txt","又西洋だつたとすれば、母親とか姉とかを参謀にし、未来の夫をつかまへる策戦計画を立てたかも知れません。"
"18","akutagawa","kekkon_nan.txt","しかしゼライイドは王女だつた上に大へん賢い生れつきでしたから、彼女自身の目がねにかなつた王子か宰相の子を選ぶことにしました。"
"19","akutagawa","kekkon_nan.txt","次に掲げる候補者表はゼライイドの結婚に志した後、三年七ケ月十六日の間に出来上つたものだと言ふことです。"
"20","akutagawa","kekkon_nan.txt","原文は「東洋文庫」の「アラビア」の部の｜Ｚの百三十八号文書にありますから、篤学のかたは読んで御覧なさい。"
"21","akutagawa","kekkon_nan.txt","ここには唯人名などを除いた大略だけを写すことにしませう。"
"22","akutagawa","kekkon_nan.txt",""
"23","akutagawa","kekkon_nan.txt","第一号。"
"24","akutagawa","kekkon_nan.txt","印度の王子。"
"25","akutagawa","kekkon_nan.txt","体格は頗る堂々としてゐる。"
"26","akutagawa","kekkon_nan.txt","が、余り聡明ではない。"
"27","akutagawa","kekkon_nan.txt","一度などは象を山と間違へ、もう少しで踏み殺されやうとしたと言ふことである。"
"28","akutagawa","kekkon_nan.txt",""
"29","akutagawa","kekkon_nan.txt","第二号。"
"30","akutagawa","kekkon_nan.txt","ペルシアの王子。"
"31","akutagawa","kekkon_nan.txt","女のやうに美しい代りに荒淫も亦甚しいさうである。"
