"","auth","piece","line"
"0","akutagawa","kigu.txt","奇遇"
"1","akutagawa","kigu.txt","芥川龍之介"
"2","akutagawa","kigu.txt",""
"3","akutagawa","kigu.txt","-------------------------------------------------------"
"4","akutagawa","kigu.txt","【テキスト中に現れる記号について】"
"5","akutagawa","kigu.txt",""
"6","akutagawa","kigu.txt","《》：ルビ"
"7","akutagawa","kigu.txt","（例）編輯者"
"8","akutagawa","kigu.txt",""
"9","akutagawa","kigu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","kigu.txt","（例）出発｜前に"
"11","akutagawa","kigu.txt",""
"12","akutagawa","kigu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","kigu.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","kigu.txt","（例）※"
"15","akutagawa","kigu.txt","-------------------------------------------------------"
"16","akutagawa","kigu.txt",""
"17","akutagawa","kigu.txt","編輯者支那へ旅行するそうですね。"
"18","akutagawa","kigu.txt","南ですか？北ですか？"
"19","akutagawa","kigu.txt","小説家南から北へ周るつもりです。"
"20","akutagawa","kigu.txt",""
"21","akutagawa","kigu.txt","編輯者準備はもう出来たのですか？"
"22","akutagawa","kigu.txt","小説家大抵出来ました。"
"23","akutagawa","kigu.txt","ただ読む筈だった紀行や地誌なぞが、未だに読み切れないのに弱っています。"
"24","akutagawa","kigu.txt",""
"25","akutagawa","kigu.txt","編輯者（気がなさそうに）そんな本が何冊もあるのですか？"
"26","akutagawa","kigu.txt","小説家存外ありますよ。"
"27","akutagawa","kigu.txt","日本人が書いたのでは、七十八日遊記、支那文明記、支那漫遊記、支那仏教遺物、支那風俗、支那人気質、燕山楚水、蘇浙小観、北清見聞録、長江十年、観光紀游、征塵録、満洲、巴蜀、湖南、漢口、支那風韻記、支那――"
"28","akutagawa","kigu.txt","編輯者それをみんな読んだのですか？"
"29","akutagawa","kigu.txt","小説家何、まだ一冊も読まないのです。"
"30","akutagawa","kigu.txt","それから支那人が書いた本では、大清一統志、燕都遊覧志、長安客話、帝京――"
"31","akutagawa","kigu.txt","編輯者いや、もう本の名は沢山です。"
"32","akutagawa","kigu.txt",""
"33","akutagawa","kigu.txt","小説家まだ西洋人が書いた本は、一冊も云わなかったと思いますが、――"
"34","akutagawa","kigu.txt","編輯者西洋人の書いた支那の本なぞには、どうせ碌な物はないでしょう。"
"35","akutagawa","kigu.txt","それより小説は出発｜前に、きっと書いて貰えるでしょうね。"
"36","akutagawa","kigu.txt",""
"37","akutagawa","kigu.txt","小説家（急に悄気る）さあ、とにかくその前には、書き上げるつもりでいるのですが、――"
"38","akutagawa","kigu.txt","編輯者一体｜何時出発する予定ですか？"
"39","akutagawa","kigu.txt","小説家実は今日出発する予定なのです。"
"40","akutagawa","kigu.txt",""
"41","akutagawa","kigu.txt","編輯者（驚いたように）今日ですか？"
"42","akutagawa","kigu.txt","小説家ええ、五時の急行に乗る筈なのです。"
"43","akutagawa","kigu.txt",""
"44","akutagawa","kigu.txt","編輯者するともう出発前には、半時間しかないじゃありませんか？"
"45","akutagawa","kigu.txt","小説家まあそう云う勘定です。"
"46","akutagawa","kigu.txt",""
"47","akutagawa","kigu.txt","編輯者（腹を立てたように）では小説はどうなるのですか？"
"48","akutagawa","kigu.txt","小説家（いよいよ悄気る）僕もどうなるかと思っているのです。"
"49","akutagawa","kigu.txt",""
"50","akutagawa","kigu.txt","編輯者どうもそう無責任では困りますなあ。"
"51","akutagawa","kigu.txt","しかし何しろ半時間ばかりでは、急に書いても貰えないでしょうし、………"
"52","akutagawa","kigu.txt","小説家そうですね。"
