"","auth","piece","line"
"0","akutagawa","kikaina_saikai.txt","奇怪な再会"
"1","akutagawa","kikaina_saikai.txt","芥川龍之介"
"2","akutagawa","kikaina_saikai.txt",""
"3","akutagawa","kikaina_saikai.txt","-------------------------------------------------------"
"4","akutagawa","kikaina_saikai.txt","【テキスト中に現れる記号について】"
"5","akutagawa","kikaina_saikai.txt",""
"6","akutagawa","kikaina_saikai.txt","《》：ルビ"
"7","akutagawa","kikaina_saikai.txt","（例）お蓮"
"8","akutagawa","kikaina_saikai.txt",""
"9","akutagawa","kikaina_saikai.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","kikaina_saikai.txt","（例）比較的｜町中らしくない"
"11","akutagawa","kikaina_saikai.txt",""
"12","akutagawa","kikaina_saikai.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","kikaina_saikai.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","kikaina_saikai.txt","（例）※"
"15","akutagawa","kikaina_saikai.txt","-------------------------------------------------------"
"16","akutagawa","kikaina_saikai.txt",""
"17","akutagawa","kikaina_saikai.txt","一"
"18","akutagawa","kikaina_saikai.txt",""
"19","akutagawa","kikaina_saikai.txt","お蓮が本所の横網に囲われたのは、明治二十八年の初冬だった。"
"20","akutagawa","kikaina_saikai.txt",""
"21","akutagawa","kikaina_saikai.txt","妾宅は御蔵橋の川に臨んだ、極く手狭な平家だった。"
"22","akutagawa","kikaina_saikai.txt","ただ庭先から川向うを見ると、今は両国停車場になっている御竹倉一帯の藪や林が、時雨勝な空を遮っていたから、比較的｜町中らしくない、閑静な眺めには乏しくなかった。"
"23","akutagawa","kikaina_saikai.txt","が、それだけにまた旦那が来ない夜なぞは寂し過ぎる事も度々あった。"
"24","akutagawa","kikaina_saikai.txt",""
"25","akutagawa","kikaina_saikai.txt","「婆や、あれは何の声だろう？」"
"26","akutagawa","kikaina_saikai.txt","「あれでございますか？あれは五位鷺でございますよ。"
"27","akutagawa","kikaina_saikai.txt","」"
"28","akutagawa","kikaina_saikai.txt","お蓮は眼の悪い傭い婆さんとランプの火を守りながら、気味悪そうにこんな会話を交換する事もないではなかった。"
"29","akutagawa","kikaina_saikai.txt",""
"30","akutagawa","kikaina_saikai.txt","旦那の牧野は三日にあげず、昼間でも役所の帰り途に、陸軍一等主計の軍服を着た、逞しい姿を運んで来た。"
"31","akutagawa","kikaina_saikai.txt","勿論日が暮れてから、厩橋向うの本宅を抜けて来る事も稀ではなかった。"
"32","akutagawa","kikaina_saikai.txt","牧野はもう女房ばかりか、男女二人の子持ちでもあった。"
"33","akutagawa","kikaina_saikai.txt",""
"34","akutagawa","kikaina_saikai.txt","この頃｜丸髷に結ったお蓮は、ほとんど宵毎に長火鉢を隔てながら、牧野の酒の相手をした。"
"35","akutagawa","kikaina_saikai.txt","二人の間の茶ぶ台には、大抵からすみや海鼠腸が、小綺麗な皿小鉢を並べていた。"
"36","akutagawa","kikaina_saikai.txt",""
"37","akutagawa","kikaina_saikai.txt","そう云う時には過去の生活が、とかくお蓮の頭の中に、はっきり浮んで来勝ちだった。"
"38","akutagawa","kikaina_saikai.txt","彼女はあの賑やかな家や朋輩たちの顔を思い出すと、遠い他国へ流れて来た彼女自身の便りなさが、一層心に沁みるような気がした。"
"39","akutagawa","kikaina_saikai.txt","それからまた以前よりも、ますます肥って来た牧野の体が、不意に妙な憎悪の念を燃え立たせる事も時々あった。"
"40","akutagawa","kikaina_saikai.txt",""
"41","akutagawa","kikaina_saikai.txt","牧野は始終愉快そうに、ちびちび杯を嘗めていた。"
"42","akutagawa","kikaina_saikai.txt","そうして何か冗談を云っては、お蓮の顔を覗きこむと、突然大声に笑い出すのが、この男の酒癖の一つだった。"
"43","akutagawa","kikaina_saikai.txt",""
"44","akutagawa","kikaina_saikai.txt","「いかがですな。"
"45","akutagawa","kikaina_saikai.txt","お蓮の方、東京も満更じゃありますまい。"
"46","akutagawa","kikaina_saikai.txt","」"
"47","akutagawa","kikaina_saikai.txt","お蓮は牧野にこう云われても、大抵は微笑を洩らしたまま、酒の燗などに気をつけていた。"
"48","akutagawa","kikaina_saikai.txt",""
"49","akutagawa","kikaina_saikai.txt","役所の勤めを抱えていた牧野は、滅多に泊って行かなかった。"
"50","akutagawa","kikaina_saikai.txt","枕もとに置いた時計の針が、十二時近くなったのを見ると、彼はすぐにメリヤスの襯衣へ、太い腕を通し始めた。"
"51","akutagawa","kikaina_saikai.txt","お蓮は自堕落な立て膝をしたなり、いつもただぼんやりと、せわしなそうな牧野の帰り仕度へ、懶い流し眼を送っていた。"
"52","akutagawa","kikaina_saikai.txt",""
"53","akutagawa","kikaina_saikai.txt","「おい、羽織をとってくれ。"
"54","akutagawa","kikaina_saikai.txt","」"
"55","akutagawa","kikaina_saikai.txt","牧野は夜中のランプの光に、脂の浮いた顔を照させながら、もどかしそうな声を出す事もあった。"
"56","akutagawa","kikaina_saikai.txt",""
"57","akutagawa","kikaina_saikai.txt","お蓮は彼を送り出すと、ほとんど毎夜の事ながら、気疲れを感ぜずにはいられなかった。"
"58","akutagawa","kikaina_saikai.txt","と同時にまた独りになった事が、多少は寂しくも思われるのだった。"
"59","akutagawa","kikaina_saikai.txt",""
"60","akutagawa","kikaina_saikai.txt","雨が降っても、風が吹いても、川一つ隔てた藪や林は、心細い響を立て易かった。"
"61","akutagawa","kikaina_saikai.txt","お蓮は酒臭い夜着の襟に、冷たい頬を埋めながら、じっとその響に聞き入っていた。"
"62","akutagawa","kikaina_saikai.txt","こうしている内に彼女の眼には、いつか涙が一ぱいに漂って来る事があった。"
"63","akutagawa","kikaina_saikai.txt","しかしふだんは重苦しい眠が、――それ自身悪夢のような眠が、間もなく彼女の心の上へ、昏々と下って来るのだった。"
"64","akutagawa","kikaina_saikai.txt",""
"65","akutagawa","kikaina_saikai.txt",""
"66","akutagawa","kikaina_saikai.txt","二"
"67","akutagawa","kikaina_saikai.txt",""
"68","akutagawa","kikaina_saikai.txt","「どうしたんですよ？その傷は。"
"69","akutagawa","kikaina_saikai.txt","」"
"70","akutagawa","kikaina_saikai.txt","ある静かな雨降りの夜、お蓮は牧野の酌をしながら、彼の右の頬へ眼をやった。"
"71","akutagawa","kikaina_saikai.txt","そこには青い剃痕の中に、大きな蚯蚓脹が出来ていた。"
"72","akutagawa","kikaina_saikai.txt",""
"73","akutagawa","kikaina_saikai.txt","「これか？これは嚊に引っ掻かれたのさ。"
"74","akutagawa","kikaina_saikai.txt","」"
"75","akutagawa","kikaina_saikai.txt","牧野は冗談かと思うほど、顔色も声もけろりとしていた。"
"76","akutagawa","kikaina_saikai.txt",""
"77","akutagawa","kikaina_saikai.txt","「まあ、嫌な御新造だ。"
"78","akutagawa","kikaina_saikai.txt","どうしてまたそんな事をしたんです？」"
"79","akutagawa","kikaina_saikai.txt","「どうしてもこうしてもあるものか。"
"80","akutagawa","kikaina_saikai.txt","御定りの角をはやしたのさ。"
"81","akutagawa","kikaina_saikai.txt","おれでさえこのくらいだから、お前なぞが遇って見ろ。"
"82","akutagawa","kikaina_saikai.txt","たちまち喉笛へ噛みつかれるぜ。"
"83","akutagawa","kikaina_saikai.txt","まず早い話が満洲犬さ。"
"84","akutagawa","kikaina_saikai.txt","」"
"85","akutagawa","kikaina_saikai.txt","お蓮はくすくす笑い出した。"
"86","akutagawa","kikaina_saikai.txt",""
"87","akutagawa","kikaina_saikai.txt","「笑い事じゃないぜ。"
"88","akutagawa","kikaina_saikai.txt","ここにいる事が知れた日にゃ、明日にも押しかけて来ないものじゃない。"
"89","akutagawa","kikaina_saikai.txt","」"
"90","akutagawa","kikaina_saikai.txt","牧野の言葉には思いのほか、真面目そうな調子も交っていた。"
"91","akutagawa","kikaina_saikai.txt",""
"92","akutagawa","kikaina_saikai.txt","「そうしたら、その時の事ですわ。"
"93","akutagawa","kikaina_saikai.txt","」"
"94","akutagawa","kikaina_saikai.txt","「へええ、ひどくまた度胸が好いな。"
"95","akutagawa","kikaina_saikai.txt","」"
"96","akutagawa","kikaina_saikai.txt","「度胸が好い訳じゃないんです。"
"97","akutagawa","kikaina_saikai.txt","私の国の人間は、――」"
"98","akutagawa","kikaina_saikai.txt","お蓮は考え深そうに、長火鉢の炭火へ眼を落した。"
"99","akutagawa","kikaina_saikai.txt",""
"100","akutagawa","kikaina_saikai.txt","「私の国の人間は、みんな諦めが好いんです。"
"101","akutagawa","kikaina_saikai.txt","」"
"102","akutagawa","kikaina_saikai.txt","「じゃお前は焼かないと云う訳か？」"
"103","akutagawa","kikaina_saikai.txt","牧野の眼にはちょいとの間、狡猾そうな表情が浮んだ。"
"104","akutagawa","kikaina_saikai.txt",""
"105","akutagawa","kikaina_saikai.txt","「おれの国の人間は、みんな焼くよ。"
"106","akutagawa","kikaina_saikai.txt","就中おれなんぞは、――」"
"107","akutagawa","kikaina_saikai.txt","そこへ婆さんが勝手から、あつらえ物の蒲焼を運んで来た。"
"108","akutagawa","kikaina_saikai.txt",""
"109","akutagawa","kikaina_saikai.txt","その晩牧野は久しぶりに、妾宅へ泊って行く事になった。"
"110","akutagawa","kikaina_saikai.txt",""
"111","akutagawa","kikaina_saikai.txt","雨は彼等が床へはいってから、霙の音に変り出した。"
"112","akutagawa","kikaina_saikai.txt","お蓮は牧野が寝入った後、何故かいつまでも眠られなかった。"
