"","auth","piece","line"
"0","akutagawa","kikuchi_kan_zenshuno_jo.txt","「菊池寛全集」の序"
"1","akutagawa","kikuchi_kan_zenshuno_jo.txt","芥川龍之介"
"2","akutagawa","kikuchi_kan_zenshuno_jo.txt",""
"3","akutagawa","kikuchi_kan_zenshuno_jo.txt","-------------------------------------------------------"
"4","akutagawa","kikuchi_kan_zenshuno_jo.txt","【テキスト中に現れる記号について】"
"5","akutagawa","kikuchi_kan_zenshuno_jo.txt",""
"6","akutagawa","kikuchi_kan_zenshuno_jo.txt","《》：ルビ"
"7","akutagawa","kikuchi_kan_zenshuno_jo.txt","（例）艱険に富んで"
"8","akutagawa","kikuchi_kan_zenshuno_jo.txt","-------------------------------------------------------"
"9","akutagawa","kikuchi_kan_zenshuno_jo.txt",""
"10","akutagawa","kikuchi_kan_zenshuno_jo.txt","スタンダアルとメリメとを比較した場合、スタンダアルはメリメよりも偉大であるが、メリメよりも芸術家ではないと云う。"
"11","akutagawa","kikuchi_kan_zenshuno_jo.txt","云う心はメリメよりも、一つ一つの作品に渾成の趣を与えなかった、或は与える才能に乏しかった、と云う事実を指したのであろう。"
"12","akutagawa","kikuchi_kan_zenshuno_jo.txt","この意味では菊池寛も、文壇の二三子と比較した場合、必しも卓越した芸術家ではない。"
"13","akutagawa","kikuchi_kan_zenshuno_jo.txt","たとえば彼の作品中、絵画的効果を収むべき描写は、屡、破綻を来しているようである。"
"14","akutagawa","kikuchi_kan_zenshuno_jo.txt","こう云う傾向の存する限り、微細な効果の享楽家には如何なる彼の傑作と雖も、十分の満足を与えないであろう。"
"15","akutagawa","kikuchi_kan_zenshuno_jo.txt",""
"16","akutagawa","kikuchi_kan_zenshuno_jo.txt","ショオとゴオルスウアアズイとを比較した場合、ショオはゴオルスウアアズイよりも偉大であるが、ゴオルスウアアズイよりも芸術家ではないと云う。"
"17","akutagawa","kikuchi_kan_zenshuno_jo.txt","云う心の大部分は、純粋な芸術的感銘以外に作者の人生観なり、世界観なり兎に角或思想を吐露するのに、急であると云う意味であろう。"
"18","akutagawa","kikuchi_kan_zenshuno_jo.txt","この限りでは菊池寛も、文壇の二三子と比較した場合、謂う所の生一本の芸術家ではない。"
"19","akutagawa","kikuchi_kan_zenshuno_jo.txt","たとえば彼が世に出た以来、テエマ小説の語が起った如きは、この間の消息を語るものである。"
"20","akutagawa","kikuchi_kan_zenshuno_jo.txt","こう云う傾向の存する限り、絵画から伝説を駆逐したように、文芸からも思想を駆逐せんとする、芸術上の一神論には、菊池の作品の大部分は、十分の満足を与えないであろう。"
"21","akutagawa","kikuchi_kan_zenshuno_jo.txt",""
"22","akutagawa","kikuchi_kan_zenshuno_jo.txt","この二点のいずれかに立てば、菊池寛は芸術家かどうか、疑問であると云うのも困難でない。"
"23","akutagawa","kikuchi_kan_zenshuno_jo.txt","しかしこの二つの「芸術家」と云う言葉は、それぞれ或限定に拠った言葉である。"
"24","akutagawa","kikuchi_kan_zenshuno_jo.txt","第一の意味の「芸術家」たる資格は、たとえばメリメと比較した場合、スタンダアルにも既に乏しかった。"
"25","akutagawa","kikuchi_kan_zenshuno_jo.txt","第二の意味の「芸術家」たる資格は、もっと狭い立ち場の問題である。"
"26","akutagawa","kikuchi_kan_zenshuno_jo.txt","して見れば菊池寛の作品を論ずる際、これらの尺度にのみ拠ろうとするのは、妥当を欠く非難を免れまい。"
"27","akutagawa","kikuchi_kan_zenshuno_jo.txt","では菊池寛の作品には、これらの割引を施した後にも、何か著しい特色が残っているか？彼の価値を問う為には、まず此処に心を留むべきである。"
"28","akutagawa","kikuchi_kan_zenshuno_jo.txt",""
"29","akutagawa","kikuchi_kan_zenshuno_jo.txt","何か著しい特色？――世間は必ずわたしと共に、幾多の特色を数え得るであろう。"
"30","akutagawa","kikuchi_kan_zenshuno_jo.txt","彼の構想力、彼の性格解剖、彼のペエソス、――それは勿論彼の作品に、光彩を与えているのに相違ない。"
"31","akutagawa","kikuchi_kan_zenshuno_jo.txt","しかしわたしはそれらの背後に、もう一つ、――いや、それよりも遥かに意味の深い、興味のある特色を指摘したい。"
"32","akutagawa","kikuchi_kan_zenshuno_jo.txt","その特色とは何であるか？それは道徳的意識に根ざした、何物をも容赦しないリアリズムである。"
"33","akutagawa","kikuchi_kan_zenshuno_jo.txt",""
"34","akutagawa","kikuchi_kan_zenshuno_jo.txt","菊池寛の感想を集めた「文芸春秋」の中に、「現代の作家は何人でも人道主義を持っている。"
"35","akutagawa","kikuchi_kan_zenshuno_jo.txt","同時に何人でもリアリストたらざる作家はない。"
"36","akutagawa","kikuchi_kan_zenshuno_jo.txt","」と云う意味を述べた一節がある。"
"37","akutagawa","kikuchi_kan_zenshuno_jo.txt","現代の作家は彼の云う通り大抵この傾向があるのに相違ない。"
"38","akutagawa","kikuchi_kan_zenshuno_jo.txt","しかし現代の作家の中でも、最もこの傾向の著しいものは、実に菊池寛自身である。"
"39","akutagawa","kikuchi_kan_zenshuno_jo.txt","彼は作家生涯を始めた時、イゴイズムの作家と云う貼り札を受けた。"
"40","akutagawa","kikuchi_kan_zenshuno_jo.txt","彼が到る所にイゴイズムを見たのは、勿論このリアリズムに裏書きを与えるものであろう。"
"41","akutagawa","kikuchi_kan_zenshuno_jo.txt","が、彼をしてリアリストたらしめたものは、明らかに道徳的意識の力である。"
"42","akutagawa","kikuchi_kan_zenshuno_jo.txt","砂の上に建てられた旧道徳を壊って、巌の上に新道徳を築かんとした内部の要求の力である。"
"43","akutagawa","kikuchi_kan_zenshuno_jo.txt","わたしは以前彼と共に、善とか美とか云う議論をした時、こう云った彼の風貌を未だにはっきりと覚えている。"
"44","akutagawa","kikuchi_kan_zenshuno_jo.txt","「そりゃ君、善は美よりも重大だね。"
"45","akutagawa","kikuchi_kan_zenshuno_jo.txt","僕には何と云っても重大だね。"
"46","akutagawa","kikuchi_kan_zenshuno_jo.txt","」――善は実に彼にとっては、美よりも重大なものであった。"
"47","akutagawa","kikuchi_kan_zenshuno_jo.txt","彼の爾後の作家生涯は、その善を探求すべき労作だったと称しても好い。"
"48","akutagawa","kikuchi_kan_zenshuno_jo.txt","この道徳的意識に根ざした、リアリスティックな小説や戯曲、――現代は其処に、恐らくは其処にのみ、彼等の代弁者を見出したのである。"
"49","akutagawa","kikuchi_kan_zenshuno_jo.txt","彼が忽ち盛名を負ったのは、当然の事だと云わなければならぬ。"
"50","akutagawa","kikuchi_kan_zenshuno_jo.txt",""
"51","akutagawa","kikuchi_kan_zenshuno_jo.txt","彼は第一高等学校に在学中、「笑へるイブセン」と云う題の下に、バアナアド・ショオの評論を草した。"
"52","akutagawa","kikuchi_kan_zenshuno_jo.txt","人は彼の戯曲の中に、愛蘭土劇の与えた影響を数える。"
"53","akutagawa","kikuchi_kan_zenshuno_jo.txt","しかしわたしはそれよりも先に、戯曲と云わず小説と云わず、彼の観照に方向を与えた、ショオの影響を数え上げたい。"
"54","akutagawa","kikuchi_kan_zenshuno_jo.txt","ショオの言葉に従えば、「あらゆる文芸はジャアナリズムである。"
"55","akutagawa","kikuchi_kan_zenshuno_jo.txt","」こう云う意識があったかどうか、それは問題にしないでも好い。"
"56","akutagawa","kikuchi_kan_zenshuno_jo.txt","が、菊池はショオのように、細い線を選ぶよりも、太い線の画を描いて行った。"
"57","akutagawa","kikuchi_kan_zenshuno_jo.txt","その画は微細な効果には乏しいにしても、大きい情熱に溢れていた事は、我々友人の間にさえ打ち消し難い事実である。"
"58","akutagawa","kikuchi_kan_zenshuno_jo.txt","（天下に作家仲間の友人程、手厳しい鑑賞家が見出されるであろうか？）この事実の存する限り、如何に割引きを加えて見ても、菊池の力量は争われない。"
"59","akutagawa","kikuchi_kan_zenshuno_jo.txt","菊池は Parnassus に住む神々ではないかも知れぬ。"
"60","akutagawa","kikuchi_kan_zenshuno_jo.txt","が、その力量は風貌と共に宛然 Pelion に住む巨人のものである。"
"61","akutagawa","kikuchi_kan_zenshuno_jo.txt",""
"62","akutagawa","kikuchi_kan_zenshuno_jo.txt","が、容赦のないリアリズムを用い尽した後、菊池は人間の心の何処に、新道徳の礎を築き上げるのであろう？美は既に捨ててしまった。"
"63","akutagawa","kikuchi_kan_zenshuno_jo.txt","しかし真と善との峰は、まだ雪をかぶった儘深谷を隔てているかも知れぬ。"
"64","akutagawa","kikuchi_kan_zenshuno_jo.txt","菊池の前途もこの意味では艱険に富んでいそうである。"
"65","akutagawa","kikuchi_kan_zenshuno_jo.txt","巴里や倫敦を見て来た菊池、――それは会っても会わないでも好い。"
"66","akutagawa","kikuchi_kan_zenshuno_jo.txt","わたしの一番会いたい彼は、その峰々に亘るべき、不思議の虹を仰ぎ見た菊池、――我々の知らない智慧の光に、遍照された菊池ばかりである。"
"67","akutagawa","kikuchi_kan_zenshuno_jo.txt",""
"68","akutagawa","kikuchi_kan_zenshuno_jo.txt",""
"69","akutagawa","kikuchi_kan_zenshuno_jo.txt",""
"70","akutagawa","kikuchi_kan_zenshuno_jo.txt",""
"71","akutagawa","kikuchi_kan_zenshuno_jo.txt","底本：「大川の水・追憶・本所両国現代日本のエッセイ」講談社文芸文庫、講談社"
"72","akutagawa","kikuchi_kan_zenshuno_jo.txt","1995（平成7）年1月10日第1刷発行"
"73","akutagawa","kikuchi_kan_zenshuno_jo.txt","底本の親本：「芥川龍之介全集第一〜九、一二巻」岩波書店"
"74","akutagawa","kikuchi_kan_zenshuno_jo.txt","1977（昭和52）年7、9〜12月、1978（昭和53）年1〜4、7月初版発行"
"75","akutagawa","kikuchi_kan_zenshuno_jo.txt","入力：向井樹里"
"76","akutagawa","kikuchi_kan_zenshuno_jo.txt","校正：門田裕志"
"77","akutagawa","kikuchi_kan_zenshuno_jo.txt","2005年2月20日作成"
"78","akutagawa","kikuchi_kan_zenshuno_jo.txt","青空文庫作成ファイル："
"79","akutagawa","kikuchi_kan_zenshuno_jo.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
