"","auth","piece","line"
"0","akutagawa","kirishitohoro_shoninden.txt","きりしとほろ上人伝"
"1","akutagawa","kirishitohoro_shoninden.txt","芥川龍之介"
"2","akutagawa","kirishitohoro_shoninden.txt",""
"3","akutagawa","kirishitohoro_shoninden.txt","-------------------------------------------------------"
"4","akutagawa","kirishitohoro_shoninden.txt","【テキスト中に現れる記号について】"
"5","akutagawa","kirishitohoro_shoninden.txt",""
"6","akutagawa","kirishitohoro_shoninden.txt","《》：ルビ"
"7","akutagawa","kirishitohoro_shoninden.txt","（例）嘗て"
"8","akutagawa","kirishitohoro_shoninden.txt",""
"9","akutagawa","kirishitohoro_shoninden.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","kirishitohoro_shoninden.txt","（例）古来｜洽く"
"11","akutagawa","kirishitohoro_shoninden.txt",""
"12","akutagawa","kirishitohoro_shoninden.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","kirishitohoro_shoninden.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","kirishitohoro_shoninden.txt","（例）※々"
"15","akutagawa","kirishitohoro_shoninden.txt","-------------------------------------------------------"
"16","akutagawa","kirishitohoro_shoninden.txt",""
"17","akutagawa","kirishitohoro_shoninden.txt","小序"
"18","akutagawa","kirishitohoro_shoninden.txt",""
"19","akutagawa","kirishitohoro_shoninden.txt","これは予が嘗て三田文学誌上に掲載した「奉教人の死」と同じく、予が所蔵の切支丹版「れげんだ・おうれあ」の一章に、多少の潤色を加へたものである。"
"20","akutagawa","kirishitohoro_shoninden.txt","但し「奉教人の死」は本邦西教徒の逸事であつたが、「きりしとほろ上人伝」は古来｜洽く欧洲天主教国に流布した聖人行状記の一種であるから、予の「れげんだ・おうれあ」の紹介も、彼是相俟つて始めて全豹を彷彿する事が出来るかも知れない。"
"21","akutagawa","kirishitohoro_shoninden.txt",""
"22","akutagawa","kirishitohoro_shoninden.txt","伝中殆ど滑稽に近い時代錯誤や場所錯誤が続出するが、予は原文の時代色を損ふまいとした結果、わざと何等の筆削をも施さない事にした。"
"23","akutagawa","kirishitohoro_shoninden.txt","大方の諸君子にして、予が常識の有無を疑はれなければ幸甚である。"
"24","akutagawa","kirishitohoro_shoninden.txt",""
"25","akutagawa","kirishitohoro_shoninden.txt",""
"26","akutagawa","kirishitohoro_shoninden.txt","一山ずまひのこと"
"27","akutagawa","kirishitohoro_shoninden.txt",""
"28","akutagawa","kirishitohoro_shoninden.txt","遠い昔のことでおぢやる。"
"29","akutagawa","kirishitohoro_shoninden.txt","「しりあ」の国の山奥に、「れぷろぼす」と申す山男がおぢやつた。"
"30","akutagawa","kirishitohoro_shoninden.txt","その頃「れぷろぼす」ほどな大男は、御主の日輪の照らさせ給ふ天が下はひろしと云へ、絶えて一人もおりなかつたと申す。"
"31","akutagawa","kirishitohoro_shoninden.txt","まづ身の丈は三丈あまりもおぢやらうか。"
"32","akutagawa","kirishitohoro_shoninden.txt","葡萄蔓かとも見ゆる髪の中には、いたいけな四十雀が何羽とも知れず巣食うて居つた。"
"33","akutagawa","kirishitohoro_shoninden.txt","まいて手足はさながら深山の松檜にまがうて、足音は七つの谷々にも谺するばかりでおぢやる。"
"34","akutagawa","kirishitohoro_shoninden.txt","さればその日の糧を猟らうにも、鹿熊なんどのたぐひをとりひしぐは、指の先の一ひねりぢや。"
"35","akutagawa","kirishitohoro_shoninden.txt","又は折ふし海べに下り立つて、すなどらうと思ふ時も、海松房ほどな髯の垂れた顋をひたと砂につけて、ある程の水を一吸ひ吸へば、鯛も鰹も尾鰭をふるうて、ざはざはと口へ流れこんだ。"
"36","akutagawa","kirishitohoro_shoninden.txt","ぢやによつて沖を通る廻船さへ、時ならぬ潮のさしひきに漂はされて、水夫楫取の慌てふためく事もおぢやつたと申し伝へた。"
"37","akutagawa","kirishitohoro_shoninden.txt",""
"38","akutagawa","kirishitohoro_shoninden.txt","なれど「れぷろぼす」は、性得心根のやさしいものでおぢやれば、山ずまひの杣猟夫は元より、往来の旅人にも害を加へたと申す事はおりない。"
