"","auth","piece","line"
"0","akutagawa","kiseru.txt","煙管"
"1","akutagawa","kiseru.txt","芥川龍之介"
"2","akutagawa","kiseru.txt",""
"3","akutagawa","kiseru.txt","-------------------------------------------------------"
"4","akutagawa","kiseru.txt","【テキスト中に現れる記号について】"
"5","akutagawa","kiseru.txt",""
"6","akutagawa","kiseru.txt","《》：ルビ"
"7","akutagawa","kiseru.txt","（例）加州"
"8","akutagawa","kiseru.txt",""
"9","akutagawa","kiseru.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","kiseru.txt","（例）石川｜郡"
"11","akutagawa","kiseru.txt",""
"12","akutagawa","kiseru.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","kiseru.txt","（例）うすいものある顔を"
"14","akutagawa","kiseru.txt",""
"15","akutagawa","kiseru.txt","〔〕：アクセント分解された欧文をかこむ"
"16","akutagawa","kiseru.txt","（例）主な 〔role^〕 をつとめる"
"17","akutagawa","kiseru.txt","アクセント分解についての詳細は下記URLを参照してください"
"18","akutagawa","kiseru.txt","http://aozora.gr.jp/accent_separation.html"
"19","akutagawa","kiseru.txt","-------------------------------------------------------"
"20","akutagawa","kiseru.txt",""
"21","akutagawa","kiseru.txt","一"
"22","akutagawa","kiseru.txt",""
"23","akutagawa","kiseru.txt","加州石川｜郡金沢城の城主、前田｜斉広は、参覲中、江戸城の本丸へ登城する毎に、必ず愛用の煙管を持って行った。"
"24","akutagawa","kiseru.txt","当時有名な煙管商、住吉屋七兵衛の手に成った、金無垢地に、剣梅鉢の紋ぢらしと云う、数寄を凝らした煙管である。"
"25","akutagawa","kiseru.txt",""
"26","akutagawa","kiseru.txt","前田家は、幕府の制度によると、五世、加賀守綱紀以来、大廊下詰で、席次は、世々｜尾紀水三家の次を占めている。"
"27","akutagawa","kiseru.txt","勿論、裕福な事も、当時の大小名の中で、肩を比べる者は、ほとんど、一人もない。"
"28","akutagawa","kiseru.txt","だから、その当主たる斉広が、金無垢の煙管を持つと云う事は、寧ろ身分相当の装飾品を持つのに過ぎないのである。"
"29","akutagawa","kiseru.txt",""
"30","akutagawa","kiseru.txt","しかし斉広は、その煙管を持っている事を甚だ、得意に感じていた。"
"31","akutagawa","kiseru.txt","もっとも断って置くが、彼の得意は決して、煙管そのものを、どんな意味ででも、愛翫したからではない。"
"32","akutagawa","kiseru.txt","彼はそう云う煙管を日常口にし得る彼自身の勢力が、他の諸侯に比して、優越な所以を悦んだのである。"
"33","akutagawa","kiseru.txt","つまり、彼は、加州百万石が金無垢の煙管になって、どこへでも、持って行けるのが、得意だった――と云っても差支えない。"
"34","akutagawa","kiseru.txt",""
"35","akutagawa","kiseru.txt","そう云う次第だから、斉広は、登城している間中、殆どその煙管を離した事がない。"
"36","akutagawa","kiseru.txt","人と話しをしている時は勿論、独りでいる時でも、彼はそれを懐中から出して、鷹揚に口に啣えながら、長崎煙草か何かの匂いの高い煙りを、必ず悠々とくゆらせている。"
"37","akutagawa","kiseru.txt",""
"38","akutagawa","kiseru.txt","勿論この得意な心もちは、煙管なり、それによって代表される百万石なりを、人に見せびらかすほど、増長慢な性質のものではなかったかも知れない。"
"39","akutagawa","kiseru.txt","が、彼自身が見せびらかさないまでも、殿中の注意は、明かに、その煙管に集注されている観があった。"
"40","akutagawa","kiseru.txt","そうして、その集注されていると云う事を意識するのが斉広にとっては、かなり愉快な感じを与えた。"
"41","akutagawa","kiseru.txt","――現に彼には、同席の大名に、あまりお煙管が見事だからちょいと拝見させて頂きたいと、云われた後では、のみなれた煙草の煙までがいつもより、一層快く、舌を刺戟するような気さえ、したのである。"
"42","akutagawa","kiseru.txt",""
"43","akutagawa","kiseru.txt",""
"44","akutagawa","kiseru.txt","二"
"45","akutagawa","kiseru.txt",""
"46","akutagawa","kiseru.txt","斉広の持っている、金無垢の煙管に、眼を駭かした連中の中で、最もそれを話題にする事を好んだのは所謂、お坊主の階級である。"
"47","akutagawa","kiseru.txt","彼等はよるとさわると、鼻をつき合せて、この「加賀の煙管」を材料に得意の饒舌を闘わせた。"
"48","akutagawa","kiseru.txt",""
"49","akutagawa","kiseru.txt","「さすがは、大名道具だて。"
"50","akutagawa","kiseru.txt","」"
"51","akutagawa","kiseru.txt","「同じ道具でも、ああ云う物は、つぶしが利きやす。"
"52","akutagawa","kiseru.txt","」"
