"","auth","piece","line"
"0","akutagawa","kodokujigoku.txt","孤独地獄"
"1","akutagawa","kodokujigoku.txt","芥川龍之介"
"2","akutagawa","kodokujigoku.txt",""
"3","akutagawa","kodokujigoku.txt","-------------------------------------------------------"
"4","akutagawa","kodokujigoku.txt","【テキスト中に現れる記号について】"
"5","akutagawa","kodokujigoku.txt",""
"6","akutagawa","kodokujigoku.txt","《》：ルビ"
"7","akutagawa","kodokujigoku.txt","（例）所謂大通の一人で"
"8","akutagawa","kodokujigoku.txt",""
"9","akutagawa","kodokujigoku.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","kodokujigoku.txt","（例）同｜冬映"
"11","akutagawa","kodokujigoku.txt",""
"12","akutagawa","kodokujigoku.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","kodokujigoku.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","kodokujigoku.txt","（例）※々"
"15","akutagawa","kodokujigoku.txt","-------------------------------------------------------"
"16","akutagawa","kodokujigoku.txt",""
"17","akutagawa","kodokujigoku.txt","この話を自分は母から聞いた。"
"18","akutagawa","kodokujigoku.txt","母はそれを自分の大叔父から聞いたと云つてゐる。"
"19","akutagawa","kodokujigoku.txt","話の真偽は知らない。"
"20","akutagawa","kodokujigoku.txt","唯大叔父自身の性行から推して、かう云ふ事も随分ありさうだと思ふだけである。"
"21","akutagawa","kodokujigoku.txt",""
"22","akutagawa","kodokujigoku.txt","大叔父は所謂大通の一人で、幕末の芸人や文人の間に知己の数が多かつた。"
"23","akutagawa","kodokujigoku.txt","河竹黙阿弥、柳下亭種員、善哉庵永機、同｜冬映、九代目団十郎、宇治紫文、都千中、乾坤坊良斎などの人々である。"
"24","akutagawa","kodokujigoku.txt","中でも黙阿弥は、「江戸桜清水清玄」で紀国屋文左衛門を書くのに、この大叔父を粉本にした。"
"25","akutagawa","kodokujigoku.txt","物故してから、もう彼是五十年になるが、生前一時は今紀文と綽号された事があるから、今でも名だけは聞いてゐる人があるかも知れない。"
"26","akutagawa","kodokujigoku.txt","――姓は細木、名は藤次郎、俳名は香以、俗称は山城河岸の津藤と云つた男である。"
"27","akutagawa","kodokujigoku.txt",""
"28","akutagawa","kodokujigoku.txt","その津藤が或時吉原の玉屋で、一人の僧侶と近づきになつた。"
"29","akutagawa","kodokujigoku.txt","本郷｜界隈の或禅寺の住職で、名は禅超と云つたさうである。"
"30","akutagawa","kodokujigoku.txt","それがやはり嫖客となつて、玉屋の錦木と云ふ華魁に馴染んでゐた。"
"31","akutagawa","kodokujigoku.txt","勿論、肉食妻帯が僧侶に禁ぜられてゐた時分の事であるから、表向きはどこまでも出家ではない。"
"32","akutagawa","kodokujigoku.txt","黄八丈の着物に黒羽二重の紋付と云ふ拵へで人には医者だと号してゐる。"
"33","akutagawa","kodokujigoku.txt","――それと偶然近づきになつた。"
"34","akutagawa","kodokujigoku.txt",""
"35","akutagawa","kodokujigoku.txt","偶然と云ふのは燈籠時分の或夜、玉屋の二階で、津藤が厠へ行つた帰りしなに何気なく廊下を通ると、欄干にもたれながら、月を見てゐる男があつた。"
"36","akutagawa","kodokujigoku.txt","坊主頭の、どちらかと云へば背の低い、痩ぎすな男である。"
"37","akutagawa","kodokujigoku.txt","津藤は、月あかりで、これを出入の太鼓医者｜竹内だと思つた。"
"38","akutagawa","kodokujigoku.txt","そこで、通りすぎながら、手をのばして、ちよいとその耳を引張つた。"
"39","akutagawa","kodokujigoku.txt","驚いてふり向く所を、笑つてやらうと思つたからである。"
"40","akutagawa","kodokujigoku.txt",""
"41","akutagawa","kodokujigoku.txt","所がふり向いた顔を見ると、反つて此方が驚いた。"
"42","akutagawa","kodokujigoku.txt","坊主頭と云ふ事を除いたら、竹内と似てゐる所などは一つもない。"
"43","akutagawa","kodokujigoku.txt","――相手は額の広い割に、眉と眉との間が険しく狭つてゐる。"
"44","akutagawa","kodokujigoku.txt","眼の大きく見えるのは、肉の落ちてゐるからであらう。"
"45","akutagawa","kodokujigoku.txt","左の頬にある大きな黒子は、その時でもはつきり見えた。"
"46","akutagawa","kodokujigoku.txt","その上｜顴骨が高い。"
"47","akutagawa","kodokujigoku.txt","――これだけの顔かたちが、とぎれとぎれに、慌しく津藤の眼にはいつた。"
"48","akutagawa","kodokujigoku.txt",""
"49","akutagawa","kodokujigoku.txt","「何か御用かな。"
"50","akutagawa","kodokujigoku.txt","」その坊主は腹を立てたやうな声でかう云つた。"
"51","akutagawa","kodokujigoku.txt","いくらか酒気も帯びてゐるらしい。"
"52","akutagawa","kodokujigoku.txt",""
"53","akutagawa","kodokujigoku.txt","前に書くのを忘れたが、その時津藤には芸者が一人に幇間が一人ついてゐた。"
"54","akutagawa","kodokujigoku.txt","この手合は津藤にあやまらせて、それを黙つて見てゐるわけには行かない。"
"55","akutagawa","kodokujigoku.txt","そこで幇間が、津藤に代つて、その客に疎忽の詑をした。"
"56","akutagawa","kodokujigoku.txt","さうしてその間に、津藤は芸者をつれて、※々自分の座敷へ帰つて来た。"
"57","akutagawa","kodokujigoku.txt","いくら大通でも間が悪かつたものと見える。"
"58","akutagawa","kodokujigoku.txt","坊主の方では、幇間から間違の仔細をきくと、すぐに機嫌を直して大笑ひをしたさうである。"
"59","akutagawa","kodokujigoku.txt","その坊主が禅超だつた事は云ふまでもない。"
"60","akutagawa","kodokujigoku.txt",""
"61","akutagawa","kodokujigoku.txt","その後で、津藤が菓子の台を持たせて、向うへ詑びにやる。"
"62","akutagawa","kodokujigoku.txt","向うでも気の毒がつて、わざわざ礼に来る。"
"63","akutagawa","kodokujigoku.txt","それから二人の交情が結ばれた。"
"64","akutagawa","kodokujigoku.txt","尤も結ばれたと云つても、玉屋の二階で遇ふだけで、互に往来はしなかつたらしい。"
"65","akutagawa","kodokujigoku.txt","津藤は酒を一滴も飲まないが、禅超は寧、大酒家である。"
"66","akutagawa","kodokujigoku.txt","それからどちらかと云ふと、禅超の方が持物に贅をつくしてゐる。"
"67","akutagawa","kodokujigoku.txt","最後に女色に沈湎するのも、やはり禅超の方が甚しい。"
"68","akutagawa","kodokujigoku.txt","津藤自身が、これをどちらが出家だか解らないと批評した。"
"69","akutagawa","kodokujigoku.txt","――大兵肥満で、容貌の醜かつた津藤は、五分月代に銀鎖の懸守と云ふ姿で、平素は好んでめくら縞の着物に白木の三尺をしめてゐたと云ふ男である。"
"70","akutagawa","kodokujigoku.txt",""
"71","akutagawa","kodokujigoku.txt","或日津藤が禅超に遇ふと、禅超は錦木のしかけを羽織つて、三味線をひいてゐた。"
"72","akutagawa","kodokujigoku.txt","日頃から血色の悪い男であるが、今日は殊によくない。"
"73","akutagawa","kodokujigoku.txt","眼も充血してゐる。"
"74","akutagawa","kodokujigoku.txt","弾力のない皮膚が時々｜口許で痙攣する。"
"75","akutagawa","kodokujigoku.txt","津藤はすぐに何か心配があるのではないかと思つた。"
"76","akutagawa","kodokujigoku.txt","自分のやうなものでも相談相手になれるなら是非させて頂きたい――さう云ふ口吻を洩らして見たが、別にこれと云つて打明ける事もないらしい。"
"77","akutagawa","kodokujigoku.txt","唯、何時もよりも口数が少くなつて、ややもすると談柄を失しがちである。"
