"","auth","piece","line"
"0","akutagawa","kondo_koichiro.txt","近藤浩一路氏"
"1","akutagawa","kondo_koichiro.txt","芥川龍之介"
"2","akutagawa","kondo_koichiro.txt",""
"3","akutagawa","kondo_koichiro.txt","近藤君は漫画家として有名であった。"
"4","akutagawa","kondo_koichiro.txt","今は正道を踏んだ日本画家としても有名である。"
"5","akutagawa","kondo_koichiro.txt",""
"6","akutagawa","kondo_koichiro.txt","が、これは偶然ではない。"
"7","akutagawa","kondo_koichiro.txt","漫画には落想の滑稽な漫画がある。"
"8","akutagawa","kondo_koichiro.txt","画そのものの滑稽な漫画がある。"
"9","akutagawa","kondo_koichiro.txt","或は二者を兼ねた漫画がある。"
"10","akutagawa","kondo_koichiro.txt","近藤君の漫画の多くは、この二者を兼ねた漫画でなければ、画そのものの滑稽な漫画であった。"
"11","akutagawa","kondo_koichiro.txt","唯、威儀を正しさえすれば、一頁の漫画が忽ちに、一幅の山水となるのは当然である。"
"12","akutagawa","kondo_koichiro.txt",""
"13","akutagawa","kondo_koichiro.txt","近藤君の画は枯淡ではない。"
"14","akutagawa","kondo_koichiro.txt","南画じみた山水の中にも、何処か肉の臭いのする、しつこい所が潜んでいる。"
"15","akutagawa","kondo_koichiro.txt","其処に芸術家としての貪婪が、あらゆるものから養分を吸収しようとする欲望が、露骨に感ぜられるのは愉快である。"
"16","akutagawa","kondo_koichiro.txt",""
"17","akutagawa","kondo_koichiro.txt","今日の流俗は昨日の流俗ではない。"
"18","akutagawa","kondo_koichiro.txt","昨日の流俗は、反抗的な一切に冷淡なのが常であった。"
"19","akutagawa","kondo_koichiro.txt","今日の流俗は反抗的ならざる一切に冷淡なのを常としている。"
"20","akutagawa","kondo_koichiro.txt","二種の流俗が入り交った現代の日本に処するには、――近藤君もしっかりと金剛座上に尻を据えて、死身に修業をしなければなるまい。"
"21","akutagawa","kondo_koichiro.txt",""
"22","akutagawa","kondo_koichiro.txt","近藤君に始めて会ったのは、丁度去年の今頃である。"
"23","akutagawa","kondo_koichiro.txt","君はその時神経衰弱とか号して甚意気が昂らなかった。"
"24","akutagawa","kondo_koichiro.txt","が、殆丸太のような桜のステッキをついていた所を見ると、いくら神経衰弱でも、犬位は撲殺する余勇があったのに違いない。"
"25","akutagawa","kondo_koichiro.txt","が、最近君に会った時、君は神経衰弱も癒ったとか云って、甚元気らしい顔をしていた。"
"26","akutagawa","kondo_koichiro.txt","健康も恢復したのには違いないが、その間に君の名声が大いに挙り出したのも事実である。"
"27","akutagawa","kondo_koichiro.txt","自分はその時君と、小杉未醒氏の噂を少々した。"
"28","akutagawa","kondo_koichiro.txt","君はいが栗頭も昔の通りである。"
"29","akutagawa","kondo_koichiro.txt","書生らしい容子も、以前と変っていない。"
"30","akutagawa","kondo_koichiro.txt","しかしあの丸太のような、偉大なる桜のステッキだけは、再び君の手に見られなかった。"
"31","akutagawa","kondo_koichiro.txt","――"
"32","akutagawa","kondo_koichiro.txt",""
"33","akutagawa","kondo_koichiro.txt",""
"34","akutagawa","kondo_koichiro.txt",""
"35","akutagawa","kondo_koichiro.txt","底本：「大川の水・追憶・本所両国現代日本のエッセイ」講談社文芸文庫、講談社"
"36","akutagawa","kondo_koichiro.txt","1995（平成7）年1月10日第1刷発行"
"37","akutagawa","kondo_koichiro.txt","底本の親本：「芥川龍之介全集第一〜九、一二巻」岩波書店"
"38","akutagawa","kondo_koichiro.txt","1977（昭和52）年7、9〜12月、1978（昭和53）年1〜4、7月発行"
"39","akutagawa","kondo_koichiro.txt","入力：向井樹里"
"40","akutagawa","kondo_koichiro.txt","校正：砂場清隆"
"41","akutagawa","kondo_koichiro.txt","2007年2月12日作成"
"42","akutagawa","kondo_koichiro.txt","青空文庫作成ファイル："
"43","akutagawa","kondo_koichiro.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"44","akutagawa","kondo_koichiro.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"45","akutagawa","kondo_koichiro.txt",""
