"","auth","piece","line"
"0","akutagawa","koseigoni.txt","校正後に"
"1","akutagawa","koseigoni.txt","芥川龍之介"
"2","akutagawa","koseigoni.txt",""
"3","akutagawa","koseigoni.txt","-------------------------------------------------------"
"4","akutagawa","koseigoni.txt","【テキスト中に現れる記号について】"
"5","akutagawa","koseigoni.txt",""
"6","akutagawa","koseigoni.txt","《》：ルビ"
"7","akutagawa","koseigoni.txt","（例）酒虫"
"8","akutagawa","koseigoni.txt",""
"9","akutagawa","koseigoni.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","akutagawa","koseigoni.txt","（例）（大正五年三月―大正六年一月）"
"11","akutagawa","koseigoni.txt","-------------------------------------------------------"
"12","akutagawa","koseigoni.txt",""
"13","akutagawa","koseigoni.txt","○僕はこれからも今月のと同じような材料を使って創作するつもりである。"
"14","akutagawa","koseigoni.txt","あれを単なる歴史小説の仲間入をさせられてはたまらない。"
"15","akutagawa","koseigoni.txt","もちろん今のがたいしたものだとは思わないが。"
"16","akutagawa","koseigoni.txt","そのうちにもう少しどうにかできるだろう。"
"17","akutagawa","koseigoni.txt","（新思潮創刊号）"
"18","akutagawa","koseigoni.txt","○酒虫は材料を聊斎志異からとった。"
"19","akutagawa","koseigoni.txt","原の話とほとんど変わったところはない。"
"20","akutagawa","koseigoni.txt","（新思潮第四号）"
"21","akutagawa","koseigoni.txt","○酒虫は「しゅちゅう」で「さかむし」ではない。"
"22","akutagawa","koseigoni.txt","気になるから、書き加える。"
"23","akutagawa","koseigoni.txt","（新思潮第六号）"
"24","akutagawa","koseigoni.txt","○僕は新小説の九月号に「芋粥」という小説を書いた。"
"25","akutagawa","koseigoni.txt",""
"26","akutagawa","koseigoni.txt","○まだあき地があるそうだから、もう少し書く。"
"27","akutagawa","koseigoni.txt","松岡の手紙によると、新思潮は新潟県にまじめな読者をかなり持っているそうだ。"
"28","akutagawa","koseigoni.txt","そうしてその人たちの中には、創作に志している青年も多いそうだ。"
"29","akutagawa","koseigoni.txt","ひとり新思潮のためのみならず、日本のためにも、そういう人たちの多くなることを祈りたい。"
"30","akutagawa","koseigoni.txt","もし同人のうぬぼれが、単にうぬぼれにとどまらない以上は。"
"31","akutagawa","koseigoni.txt",""
"32","akutagawa","koseigoni.txt","○僕の書くものを、小さくまとまりすぎていると言うて非難する人がある。"
"33","akutagawa","koseigoni.txt","しかし僕は、小さくとも完成品を作りたいと思っている。"
"34","akutagawa","koseigoni.txt","芸術の境に未成品はない。"
"35","akutagawa","koseigoni.txt","大いなる完成品に至る途は、小なる完成品あるのみである。"
"36","akutagawa","koseigoni.txt","流行の大なる未成品のごときは、僕にとって、なんらの意味もない。"
"37","akutagawa","koseigoni.txt","（以上新思潮第七号）"
"38","akutagawa","koseigoni.txt","○「煙草」の材料は、昔、高木さんの比較神話学を読んだ時に見た話を少し変えて使った。"
"39","akutagawa","koseigoni.txt","どこの伝説だか、その本にも書いてなかったように思う。"
"40","akutagawa","koseigoni.txt",""
"41","akutagawa","koseigoni.txt","○新小説へ書いた「煙管」の材料も、加州藩の古老に聞いた話を、やはり少し変えて使った。"
"42","akutagawa","koseigoni.txt","前に出した「虱」とこれと、来月出す「明君」とは皆、同じ人の集めてくれた材料である。"
"43","akutagawa","koseigoni.txt",""
"44","akutagawa","koseigoni.txt","○同人は皆、非常に自信家のように思う人があるが、それは大ちがいだ。"
"45","akutagawa","koseigoni.txt","ほかの作家の書いたものに、帽子をとることも、ずいぶんある。"
"46","akutagawa","koseigoni.txt","なんでもしっかりつかまえて、書いてある人を見ると、書いていることはしばらく問題外に置いて、つかまえ方、書き方のうまいのには、敬意を表せずにはいられないことが多い。"
"47","akutagawa","koseigoni.txt","（そういう人は、自然派の作家の中にもいる）傾向ばかり見て感心するより、こういう感心のしかたのほうが、より合理的だと思っているから。"
"48","akutagawa","koseigoni.txt",""
"49","akutagawa","koseigoni.txt","○ほめられれば作家が必ずよろこぶと思うのは少し虫がいい。"
"50","akutagawa","koseigoni.txt",""
"51","akutagawa","koseigoni.txt","○批評家が作家に折紙をつけるばかりではない。"
"52","akutagawa","koseigoni.txt","作家も批評家へ折紙をつける。"
"53","akutagawa","koseigoni.txt","しかも作家のつける折紙のほうが、論理的な部分は、客観的にも、正否がきめられうるから。"
"54","akutagawa","koseigoni.txt","（以上新思潮第九号）"
"55","akutagawa","koseigoni.txt","○夏目先生の逝去ほど惜しいものはない。"
"56","akutagawa","koseigoni.txt","先生は過去において、十二分に仕事をされた人である。"
"57","akutagawa","koseigoni.txt","が、先生の逝去ほど惜しいものはない。"
"58","akutagawa","koseigoni.txt","先生は、このごろある転機の上に立っていられたようだから。"
"59","akutagawa","koseigoni.txt","すべての偉大な人のように、五十歳を期として、さらに大踏歩を進められようとしていたから。"
"60","akutagawa","koseigoni.txt",""
"61","akutagawa","koseigoni.txt","○僕一身から言うと、ほかの人にどんな悪口を言われても先生にほめられれば、それで満足だった。"
"62","akutagawa","koseigoni.txt","同時に先生を唯一の標準にすることの危険を、時々は怖れもした。"
"63","akutagawa","koseigoni.txt",""
"64","akutagawa","koseigoni.txt","○それから僕はいろんな事情に妨げられて、この正月にはちっとも働けなかった。"
"65","akutagawa","koseigoni.txt","働いた範囲においても時間が足りないので、無理をしたのが多い。"
"66","akutagawa","koseigoni.txt","これは今考えても不快である。"
"67","akutagawa","koseigoni.txt","自分の良心の上からばかりでなく、ほかの雑誌の編輯者に、さぞ迷惑をかけたろうと思うと、実際いい気はしない。"
"68","akutagawa","koseigoni.txt",""
"69","akutagawa","koseigoni.txt","○これからは、作ができてから、遣うものなら遣ってもらうようにしたいと思う。"
"70","akutagawa","koseigoni.txt","とうからもそう思っていたが、このごろは特にその感が深い。"
"71","akutagawa","koseigoni.txt",""
"72","akutagawa","koseigoni.txt","○そうして、ゆっくり腰をすえて、自分の力の許す範囲で、少しは大きなものにぶつかりたい。"
"73","akutagawa","koseigoni.txt","計画がないでもないが、どうも失敗しそうで、逡巡したくなる。"
"74","akutagawa","koseigoni.txt","アミエルの言ったように、腕だめしに剣を揮ってみるばかりで、一度もそれを実際に使わないようなことになっては、たいへんだと思う。"
"75","akutagawa","koseigoni.txt",""
"76","akutagawa","koseigoni.txt","○絶えず必然に、底力強く進歩していかれた夏目先生を思うと、自分のいくじないのが恥かしい。"
"77","akutagawa","koseigoni.txt","心から恥かしい。"
"78","akutagawa","koseigoni.txt",""
"79","akutagawa","koseigoni.txt","○文壇は来るべきなにものかに向かって動きつつある。"
"80","akutagawa","koseigoni.txt","亡ぶべき者が亡びるとともに、生まるべき者は必ず生まれそうに思われる。"
"81","akutagawa","koseigoni.txt","今年は必ず何かある。"
"82","akutagawa","koseigoni.txt","何かあらずにはいられない、僕らは皆小手しらべはすんだという気がしている。"
"83","akutagawa","koseigoni.txt","（以上新思潮第二年第一号）"
"84","akutagawa","koseigoni.txt","（大正五年三月―大正六年一月）"
"85","akutagawa","koseigoni.txt",""
"86","akutagawa","koseigoni.txt",""
"87","akutagawa","koseigoni.txt",""
"88","akutagawa","koseigoni.txt","底本：「羅生門・鼻・芋粥」角川文庫、角川書店"
"89","akutagawa","koseigoni.txt","1950（昭和25）年10月20日初版発行"
"90","akutagawa","koseigoni.txt","1985（昭和60）年11月10日改版38版発行"
"91","akutagawa","koseigoni.txt","入力：j.utiyama"
"92","akutagawa","koseigoni.txt","校正：かとうかおり"
"93","akutagawa","koseigoni.txt","1999年1月12日公開"
"94","akutagawa","koseigoni.txt","2004年3月10日修正"
"95","akutagawa","koseigoni.txt","青空文庫作成ファイル："
"96","akutagawa","koseigoni.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"97","akutagawa","koseigoni.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"98","akutagawa","koseigoni.txt",""
