"","auth","piece","line"
"0","akutagawa","koshoku.txt","好色"
"1","akutagawa","koshoku.txt","芥川龍之介"
"2","akutagawa","koshoku.txt",""
"3","akutagawa","koshoku.txt","-------------------------------------------------------"
"4","akutagawa","koshoku.txt","【テキスト中に現れる記号について】"
"5","akutagawa","koshoku.txt",""
"6","akutagawa","koshoku.txt","《》：ルビ"
"7","akutagawa","koshoku.txt","（例）平中"
"8","akutagawa","koshoku.txt",""
"9","akutagawa","koshoku.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","koshoku.txt","（例）平中｜病付にけり"
"11","akutagawa","koshoku.txt",""
"12","akutagawa","koshoku.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","koshoku.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","koshoku.txt","（例）※"
"15","akutagawa","koshoku.txt","-------------------------------------------------------"
"16","akutagawa","koshoku.txt",""
"17","akutagawa","koshoku.txt",""
"18","akutagawa","koshoku.txt","平中といふ色ごのみにて、宮仕人はさらなり、人の女など忍びて見"
"19","akutagawa","koshoku.txt","ぬはなかりけり。"
"20","akutagawa","koshoku.txt",""
"21","akutagawa","koshoku.txt",""
"22","akutagawa","koshoku.txt","宇治拾遺物語"
"23","akutagawa","koshoku.txt",""
"24","akutagawa","koshoku.txt","何でかこの人に不会では止まむと思ひ迷ける程に、平中｜病付にけり。"
"25","akutagawa","koshoku.txt",""
"26","akutagawa","koshoku.txt","然て悩ける程に死にけり。"
"27","akutagawa","koshoku.txt",""
"28","akutagawa","koshoku.txt",""
"29","akutagawa","koshoku.txt","今昔物語"
"30","akutagawa","koshoku.txt",""
"31","akutagawa","koshoku.txt","色を好むといふは、かやうのふるまひなり。"
"32","akutagawa","koshoku.txt",""
"33","akutagawa","koshoku.txt",""
"34","akutagawa","koshoku.txt","十訓抄"
"35","akutagawa","koshoku.txt",""
"36","akutagawa","koshoku.txt","一画姿"
"37","akutagawa","koshoku.txt",""
"38","akutagawa","koshoku.txt","泰平の時代にふさはしい、優美なきらめき烏帽子の下には、下ぶくれの顔がこちらを見てゐる。"
"39","akutagawa","koshoku.txt","そのふつくりと肥つた頬に、鮮かな赤みがさしてゐるのは、何も臙脂をぼかしたのではない。"
"40","akutagawa","koshoku.txt","男には珍しい餅肌が、自然と血の色を透かせたのである。"
"41","akutagawa","koshoku.txt","髭は品の好い鼻の下に、――と云ふよりも薄い唇の左右に、丁度薄墨を刷いたやうに、僅ばかりしか残つてゐない。"
"42","akutagawa","koshoku.txt","しかしつややかな鬢の上には、霞も立たない空の色さへ、ほんのりと青みを映してゐる。"
"43","akutagawa","koshoku.txt","耳はその鬢のはづれに、ちよいと上つた耳たぶだけ見える。"
"44","akutagawa","koshoku.txt","それが蛤の貝のやうな、暖かい色をしてゐるのは、かすかな光の加減らしい。"
"45","akutagawa","koshoku.txt","眼は人よりも細い中に、絶えず微笑が漂つてゐる。"
"46","akutagawa","koshoku.txt","殆その瞳の底には、何時でも咲き匂つた桜の枝が、浮んでゐるのかと思ふ位、晴れ晴れした微笑が漂つてゐる。"
"47","akutagawa","koshoku.txt","が、多少注意をすれば、其処には必しも幸福のみが住まつてゐない事がわかるかも知れない。"
"48","akutagawa","koshoku.txt","これは遠い何物かに、※※を持つた微笑である。"
"49","akutagawa","koshoku.txt","同時に又手近い一切に、軽蔑を抱いた微笑である。"
"50","akutagawa","koshoku.txt","頸は顔に比べると、寧ろ華奢すぎると評しても好い。"
"51","akutagawa","koshoku.txt","その頸には白い汗衫の襟が、かすかに香を焚きしめた、菜の花色の水干の襟と、細い一線を画いてゐる。"
"52","akutagawa","koshoku.txt","顔の後にほのめいてゐるのは、鶴を織り出した几帳であらうか？それとものどかな山の裾に、女松を描いた障子であらうか？兎に角曇つた銀のやうな、薄白い明みが拡がつてゐる。"
"53","akutagawa","koshoku.txt","……"
"54","akutagawa","koshoku.txt","これが古い物語の中から、わたしの前に浮んで来た「天が下の色好み」平の貞文の似顔である。"
"55","akutagawa","koshoku.txt","平の好風に子が三人ある、丁度その次男に生まれたから、平中と渾名を呼ばれたと云ふ、わたしの Don Juan の似顔である。"
"56","akutagawa","koshoku.txt",""
"57","akutagawa","koshoku.txt",""
"58","akutagawa","koshoku.txt","二桜"
"59","akutagawa","koshoku.txt",""
"60","akutagawa","koshoku.txt","平中は柱によりかかりながら、漫然と桜を眺めてゐる。"
"61","akutagawa","koshoku.txt","近々と軒に迫つた桜は、もう盛りが過ぎたらしい。"
"62","akutagawa","koshoku.txt","そのやや赤みの褪せた花には、永い昼過ぎの日の光が、さし交した枝の向き向きに、複雑な影を投げ合つてゐる。"
"63","akutagawa","koshoku.txt","が、平中の眼は桜にあつても、平中の心は桜にない。"
"64","akutagawa","koshoku.txt","彼はさつきから漫然と、侍従の事を考へてゐる。"
"65","akutagawa","koshoku.txt",""
"66","akutagawa","koshoku.txt","「始めて侍従を見かけたのは、――」"
"67","akutagawa","koshoku.txt","平中はかう思ひ続けた。"
"68","akutagawa","koshoku.txt",""
"69","akutagawa","koshoku.txt","「始めて侍従を見かけたのは、――あれは何時の事だつたかな？さうさう、何でも稲荷詣でに出かけると云つてゐたのだから、初午の朝だつたのに違ひない。"
"70","akutagawa","koshoku.txt","あの女が車へ乗らうとする、おれが其処へ通りかかる、――と云ふのが抑々の起りだつた。"
"71","akutagawa","koshoku.txt","顔は扇をかざした陰にちらりと見えただけだつたが、紅梅や萌黄を重ねた上へ、紫の袿をひつかけてゐる、――その容子が何とも云へなかつた。"
"72","akutagawa","koshoku.txt","おまけに※へはひる所だから、片手に袴をつかんだ儘、心もち腰をかがめ加減にした、――その又恰好もたまらなかつたつけ。"
"73","akutagawa","koshoku.txt","本院の大臣の御屋形には、ずゐぶん女房も沢山ゐるが、まづあの位なのは一人もないな。"
"74","akutagawa","koshoku.txt","あれなら平中が惚れたと云つても、――」"
"75","akutagawa","koshoku.txt","平中はちよいと真顔になつた。"
"76","akutagawa","koshoku.txt",""
"77","akutagawa","koshoku.txt","「だが本当に惚れてゐるかしら？惚れてゐると云へば、惚れてゐるやうでもあるし、惚れてゐないと云へば、惚れて、――一体こんな事は考へてゐると、だんだんわからなくなるものだが、まあ一通りは惚れてゐるな。"
"78","akutagawa","koshoku.txt","尤もおれの事だから、いくら侍従に惚れたと云つても、眼さきまで昏んでしまひはしない。"
"79","akutagawa","koshoku.txt","何時かあの範実のやつと、侍従の噂をしてゐたら、憾むらくは髪が薄すぎると、聞いた風な事を云つたつけ、あんな事は一目見た時にもうちやんと気がついてゐたのだ。"
"80","akutagawa","koshoku.txt","範実などと云ふ男は、篳篥こそちつとは吹けるだらうが、好色の話となつた日には、――まあ、あいつはあいつとして置け。"
"81","akutagawa","koshoku.txt","差向きおれが考へたいのは、侍従一人の事なのだから、――所でもう少し欲を云へば、顔もあれぢや寂しすぎるな。"
"82","akutagawa","koshoku.txt","それも寂しすぎると云ふだけなら、何処か古い画巻じみた、上品な所がある筈だが、寂しい癖に薄情らしい、妙に落着いた所があるのは、どう考へても頼もしくない。"
"83","akutagawa","koshoku.txt","女でもああ云ふ顔をしたのは、存外人を食つてゐるものだ。"
"84","akutagawa","koshoku.txt","その上色も白い方ぢやない、浅黒いとまでは行かなくつても、琥珀色位な所はあるな。"
"85","akutagawa","koshoku.txt","しかし何時見てもあの女は、何だかかう水際立つた、震ひつきたいやうな風をしてゐる。"
"86","akutagawa","koshoku.txt","あれは確かにどの女も、真似の出来ない芸当だらう。"
"87","akutagawa","koshoku.txt","……」"
"88","akutagawa","koshoku.txt","平中は袴の膝を立てながら、うつとりと軒の空を見上げた。"
"89","akutagawa","koshoku.txt","空は簇つた花の間に、薄青い色をなごませてゐる。"
"90","akutagawa","koshoku.txt",""
"91","akutagawa","koshoku.txt","「それにしてもこの間から、いくら文を持たせてやつても、返事一つよこさないのは、剛情にも程があるぢやないか？まあおれが文をつけた女は、大抵は三度目に靡いてしまふ。"
"92","akutagawa","koshoku.txt","たまに堅い女があつても、五度と文をやつた事はない。"
"93","akutagawa","koshoku.txt","あの恵眼と云ふ仏師の娘なぞは、一首の歌だけに落ちたものだ。"
"94","akutagawa","koshoku.txt","それもおれの作つた歌ぢやない。"
"95","akutagawa","koshoku.txt","誰かが、さうさう、――義輔が作つた歌だつけ。"
"96","akutagawa","koshoku.txt","義輔はその歌を書いてやつても、とんと先方の青女房には相手にされなかつたとか云ふ話だが、同じ歌でもおれが書けば――尤も侍従はおれが書いても、やつぱり返事はくれなかつたから、あんまり自慢は出来ないかも知れない。"
"97","akutagawa","koshoku.txt","しかし兎に角おれの文には必ず女の返事が来る、返事が来れば逢ふ事になる。"
"98","akutagawa","koshoku.txt","逢ふ事になれば大騒ぎをされる。"
"99","akutagawa","koshoku.txt","大騒ぎをされれば――ぢきに又それが鼻についてしまふ。"
"100","akutagawa","koshoku.txt","かうまあ相場がきまつてゐたものだ。"
"101","akutagawa","koshoku.txt","所が侍従には一月ばかりに、ざつと二十通も文を書いたが、何とも便りがないのだからな。"
"102","akutagawa","koshoku.txt","おれの艶書の文体にしても、さう無際限にある訳ぢやなし、そろそろもう跡が続かなくなつた。"
"103","akutagawa","koshoku.txt","だが今日やつた文の中には、『せめては唯見つとばかりの、二文字だに見せ給へ』と書いてやつたから、何とか今度こそ返事があるだらう。"
"104","akutagawa","koshoku.txt","ないかな？もし今日も亦ないとすれば、――ああ、ああ、おれもついこの間までは、こんな事に気骨を折る程、意気地のない人間ぢやなかつたのだがな。"
"105","akutagawa","koshoku.txt","何でも豊楽院の古狐は、女に化けると云ふ事だが、きつとあの狐に化かされたのは、こんな気がするのに違ひない。"
"106","akutagawa","koshoku.txt","同じ狐でも奈良坂の狐は、三抱へもあらうと云ふ杉の木に化ける。"
"107","akutagawa","koshoku.txt","嵯峨の狐は牛車に化ける。"
"108","akutagawa","koshoku.txt","高陽川の狐は女の童に化ける。"
"109","akutagawa","koshoku.txt","桃薗の狐は大池に化け――狐の事なぞはどうでも好い。"
"110","akutagawa","koshoku.txt","ええと、何を考へてゐたのだつけ？」"
"111","akutagawa","koshoku.txt","平中は空を見上げた儘、そつと欠伸を噛殺した。"
"112","akutagawa","koshoku.txt","花に埋まつた軒先からは、傾きかけた日の光の中に、時々白いものが飜つて来る。"
"113","akutagawa","koshoku.txt","何処かに鳩も啼いてゐるらしい。"
"114","akutagawa","koshoku.txt",""
"115","akutagawa","koshoku.txt","「兎に角あの女には根負けがする。"
"116","akutagawa","koshoku.txt","たとひ逢ふと云はないまでも、おれと一度話さへすれば、きつと手に入れて見せるのだがな。"
