"","auth","piece","line"
"0","akutagawa","kujaku.txt","孔雀"
"1","akutagawa","kujaku.txt","芥川龍之介"
"2","akutagawa","kujaku.txt",""
"3","akutagawa","kujaku.txt","-------------------------------------------------------"
"4","akutagawa","kujaku.txt","【テキスト中に現れる記号について】"
"5","akutagawa","kujaku.txt",""
"6","akutagawa","kujaku.txt","《》：ルビ"
"7","akutagawa","kujaku.txt","（例）伊曾保"
"8","akutagawa","kujaku.txt","-------------------------------------------------------"
"9","akutagawa","kujaku.txt",""
"10","akutagawa","kujaku.txt","これは異本「伊曾保の物語」の一章である。"
"11","akutagawa","kujaku.txt","この本はまだ誰も知らない。"
"12","akutagawa","kujaku.txt",""
"13","akutagawa","kujaku.txt","「或鴉おのれが人物を驕慢し、孔雀の羽根を見つけて此処かしこにまとひ、爾余の諸鳥をば大きに卑しめ、わが上はあるまじいと飛び廻れば、諸鳥安からず思ひ、『なんぢはまことの孔雀でもないに、なぜにわれらをおとしめるぞ』と、取りまはいてさんざんに打擲したれば、羽根は抜かれ脚は折られ、なよなよとなつて息が絶えた。"
"14","akutagawa","kujaku.txt",""
"15","akutagawa","kujaku.txt","「その後またまことの孔雀が来たに、諸鳥はこれも鴉ぢやと思うたれば、やはり打ちつ蹴つして殺してしまうた。"
"16","akutagawa","kujaku.txt","して諸鳥の云うたことは、『まことの孔雀にめぐり遇うたなら、如何やうな礼儀をも尽さうずるものを。"
"17","akutagawa","kujaku.txt","さてもさても世の中には偽せ孔雀ばかり多いことぢや。"
"18","akutagawa","kujaku.txt","』"
"19","akutagawa","kujaku.txt","「下心。"
"20","akutagawa","kujaku.txt","――天下の諸人は阿呆ばかりぢや。"
"21","akutagawa","kujaku.txt","才も不才もわかることではござらぬ。"
"22","akutagawa","kujaku.txt","」"
"23","akutagawa","kujaku.txt",""
"24","akutagawa","kujaku.txt",""
"25","akutagawa","kujaku.txt",""
"26","akutagawa","kujaku.txt","底本：「筑摩全集類聚芥川龍之介全集第四巻」筑摩書房"
"27","akutagawa","kujaku.txt","1971（昭和46）年6月5日初版第1刷発行"
"28","akutagawa","kujaku.txt","1979（昭和54）年4月10日初版第11刷発行"
"29","akutagawa","kujaku.txt","入力：土屋隆"
"30","akutagawa","kujaku.txt","校正：松永正敏"
"31","akutagawa","kujaku.txt","2007年6月26日作成"
"32","akutagawa","kujaku.txt","青空文庫作成ファイル："
"33","akutagawa","kujaku.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"34","akutagawa","kujaku.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"35","akutagawa","kujaku.txt",""
