"","auth","piece","line"
"0","akutagawa","kume_masao.txt","久米正雄"
"1","akutagawa","kume_masao.txt","――傚久米正雄文体――"
"2","akutagawa","kume_masao.txt","芥川龍之介"
"3","akutagawa","kume_masao.txt",""
"4","akutagawa","kume_masao.txt","-------------------------------------------------------"
"5","akutagawa","kume_masao.txt","【テキスト中に現れる記号について】"
"6","akutagawa","kume_masao.txt",""
"7","akutagawa","kume_masao.txt","《》：ルビ"
"8","akutagawa","kume_masao.txt","（例）浪曼主義者"
"9","akutagawa","kume_masao.txt",""
"10","akutagawa","kume_masao.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"11","akutagawa","kume_masao.txt","（例）この久米は"
"12","akutagawa","kume_masao.txt","-------------------------------------------------------"
"13","akutagawa","kume_masao.txt",""
"14","akutagawa","kume_masao.txt","……新しき時代の浪曼主義者は三汀久米正雄である。"
"15","akutagawa","kume_masao.txt","「涙は理智の薄明り、感情の灯し火」とうたえる久米、真白草花の涼しげなるにも、よき人の面影を忘れ得ぬ久米、鮮かに化粧の匂える妓の愛想よく酒を勧むる暇さえ、「招かれざる客」の歎きをする久米、――そう云う多感多情の久米の愛すべきことは誰でも云う。"
"16","akutagawa","kume_masao.txt","が、私は殊に、如何なる悲しみをもおのずから堪える、あわれにも勇ましい久米正雄をば、こよなく嬉しく思うものである。"
"17","akutagawa","kume_masao.txt",""
"18","akutagawa","kume_masao.txt","この久米はもう弱気ではない。"
"19","akutagawa","kume_masao.txt","そしてその輝かしい微苦笑には、本来の素質に鍛錬を加えた、大いなる才人の強気しか見えない。"
"20","akutagawa","kume_masao.txt","更に又杯盤狼藉の間に、従容迫らない態度などは何とはなしに心憎いものがある。"
"21","akutagawa","kume_masao.txt","いつも人生を薔薇色の光りに仄めかそうとする浪曼主義。"
"22","akutagawa","kume_masao.txt","その誘惑を意識しつつ、しかもその誘惑に抵抗しない、たとえば中途まで送って来た妓と、「何事かひそひそ囁き交したる後」莫迦莫迦しさをも承知した上、「わざと取ってつけたように高く左様なら」と云い合いて、別れ別れに一方は大路へ、一方は小路へ、姿を下駄音と共に消すのも、満更厭な気ばかり起させる訳でもない。"
"23","akutagawa","kume_masao.txt",""
"24","akutagawa","kume_masao.txt","私も嘗て、本郷なる何某と云うレストランに、久米とマンハッタン・カクテルに酔いて、その生活の放漫なるを非難したる事ありしが、何時か久米の倨然たる一家の風格を感じたのを見ては、鶏は陸に米を啄み家鴨は水に泥鰌を追うを悟り、寝静まりたる家家の向う「低き夢夢の畳める間に、晩くほの黄色き月の出を見出でて」去り得ない趣さえ感じたことがある。"
"25","akutagawa","kume_masao.txt","愛すべき三汀、今は蜜月の旅に上りて東京にあらず。"
"26","akutagawa","kume_masao.txt","…………"
"27","akutagawa","kume_masao.txt","小春日や小島眺むる頬寄せて三汀"
"28","akutagawa","kume_masao.txt",""
"29","akutagawa","kume_masao.txt",""
"30","akutagawa","kume_masao.txt",""
"31","akutagawa","kume_masao.txt","底本：「大川の水・追憶・本所両国現代日本のエッセイ」講談社文芸文庫、講談社"
"32","akutagawa","kume_masao.txt","1995（平成7）年1月10日第1刷発行"
"33","akutagawa","kume_masao.txt","底本の親本：「芥川龍之介全集第一〜九、一二巻」岩波書店"
"34","akutagawa","kume_masao.txt","1977（昭和52）年7、9〜12月、1978（昭和53）年1〜4、7月発行"
"35","akutagawa","kume_masao.txt","入力：向井樹里"
"36","akutagawa","kume_masao.txt","校正：砂場清隆"
"37","akutagawa","kume_masao.txt","2007年2月12日作成"
"38","akutagawa","kume_masao.txt","青空文庫作成ファイル："
"39","akutagawa","kume_masao.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"40","akutagawa","kume_masao.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"41","akutagawa","kume_masao.txt",""
