"","auth","piece","line"
"0","akutagawa","los_caprichos.txt","LOS CAPRICHOS"
"1","akutagawa","los_caprichos.txt","芥川龍之介"
"2","akutagawa","los_caprichos.txt",""
"3","akutagawa","los_caprichos.txt","-------------------------------------------------------"
"4","akutagawa","los_caprichos.txt","【テキスト中に現れる記号について】"
"5","akutagawa","los_caprichos.txt",""
"6","akutagawa","los_caprichos.txt","《》：ルビ"
"7","akutagawa","los_caprichos.txt","（例）笑"
"8","akutagawa","los_caprichos.txt",""
"9","akutagawa","los_caprichos.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","los_caprichos.txt","（例）悪魔｜三度ユダに云ひけるは"
"11","akutagawa","los_caprichos.txt",""
"12","akutagawa","los_caprichos.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","los_caprichos.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","los_caprichos.txt","（例）※"
"15","akutagawa","los_caprichos.txt",""
"16","akutagawa","los_caprichos.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","akutagawa","los_caprichos.txt","（例）さん／＼"
"18","akutagawa","los_caprichos.txt","-------------------------------------------------------"
"19","akutagawa","los_caprichos.txt",""
"20","akutagawa","los_caprichos.txt",""
"21","akutagawa","los_caprichos.txt","笑は量的に分てば微笑哄笑の二種あり。"
"22","akutagawa","los_caprichos.txt","質的に分てば嬉笑嘲笑苦笑の三種あり。"
"23","akutagawa","los_caprichos.txt","……予が最も愛する笑は嬉笑嘲苦笑と兼ねたる、爆声の如き哄笑なり。"
"24","akutagawa","los_caprichos.txt","アウエルバツハの穴蔵に愚昧の学生を奔らせたる、メフイストフエレエスの哄笑なり。"
"25","akutagawa","los_caprichos.txt",""
"26","akutagawa","los_caprichos.txt","――カアル・エミリウス――"
"27","akutagawa","los_caprichos.txt",""
"28","akutagawa","los_caprichos.txt",""
"29","akutagawa","los_caprichos.txt","ユダ"
"30","akutagawa","los_caprichos.txt",""
"31","akutagawa","los_caprichos.txt","逾越と云へる「種入れぬ麺包の祭」近づけり。"
"32","akutagawa","los_caprichos.txt","祭司の長学者たち、如何にしてかイエスを殺さんと窺ふ。"
"33","akutagawa","los_caprichos.txt","但民を畏れたり。"
"34","akutagawa","los_caprichos.txt","偖悪魔十二の中のイスカリオテと称ふるユダに憑きぬ。"
"35","akutagawa","los_caprichos.txt","ユダ橄欖の林を歩める時、悪魔彼に云ひけるは、「イエスを祭司の長たちに売せ。"
"36","akutagawa","los_caprichos.txt","然すれば三十枚の銀子を得べし。"
"37","akutagawa","los_caprichos.txt","」されどユダ耳を蔽ひ、林の外に走り去れり。"
"38","akutagawa","los_caprichos.txt","後又イエルサレムの町をさまよへる時、悪魔彼に云ひけるは、「イエスを祭司の長たちに売せ。"
"39","akutagawa","los_caprichos.txt","然らずば爾もイエスと共に、必十字架に釘けらるべし。"
"40","akutagawa","los_caprichos.txt","」されどユダ耳を蔽ひ、イエスのもとに走り去れり。"
"41","akutagawa","los_caprichos.txt","イエス彼に云ひけるは、「ユダよ。"
"42","akutagawa","los_caprichos.txt","我誠に爾を知る。"
"43","akutagawa","los_caprichos.txt","爾は荒野の獅子よりも強し。"
"44","akutagawa","los_caprichos.txt","但小羊の心を忘るる勿れ。"
"45","akutagawa","los_caprichos.txt","」ユダ、イエスの言葉を悦べり。"
"46","akutagawa","los_caprichos.txt","されどその意味を覚らざりき。"
"47","akutagawa","los_caprichos.txt","逾越の祭来りし時、イエス弟子と共に食に就けり。"
"48","akutagawa","los_caprichos.txt","悪魔｜三度ユダに云ひけるは、「イエスを祭司の長たちに売せ。"
"49","akutagawa","los_caprichos.txt","然すれば爾の名、イエスの名と共に伝はらん。"
"50","akutagawa","los_caprichos.txt","イエスの名太陽よりも光あれば、爾の名｜黒暗よりも恐怖あらん。"
"51","akutagawa","los_caprichos.txt","爾は天国の奴隷たらざるも、必地獄の王たるべし。"
"52","akutagawa","los_caprichos.txt","バビロンの淫婦は爾の妃、七頭の毒竜は爾の馬、火と煙と硫黄とは汝が黒檀の宝座の前に、不断の香煙を上らしめん。"
"53","akutagawa","los_caprichos.txt","」ユダこの声を聞きし時、目のあたりに地獄の荘厳を見たり。"
"54","akutagawa","los_caprichos.txt","イエス忽ちユダに一撮の食物を与へ、静かに彼に云ひけるは、「爾が為さんとする事は速かに為せ。"
"55","akutagawa","los_caprichos.txt","」ユダ一撮の食物を受け、直ちに出でたり。"
"56","akutagawa","los_caprichos.txt","時既に夜なりき。"
"57","akutagawa","los_caprichos.txt","ユダ祭司の長カヤパの前に至り、イエスを彼に売さんと云へり。"
"58","akutagawa","los_caprichos.txt","カヤパ駭きて云ひけるは、「爾は何物なるか、イエスの弟子か、はたイエスの師か。"
"59","akutagawa","los_caprichos.txt","」そはユダの姿、額は嵐の空よりも黒み、眼は焔よりも輝きつつ、王者の如く振舞ひしが故なり。"
"60","akutagawa","los_caprichos.txt","……"
"61","akutagawa","los_caprichos.txt",""
"62","akutagawa","los_caprichos.txt","眼"
"63","akutagawa","los_caprichos.txt","――中華第一の名庖丁張粛臣の談――"
"64","akutagawa","los_caprichos.txt",""
"65","akutagawa","los_caprichos.txt","眼をね、今日は眼を御馳走しようと思つたのです。"
"66","akutagawa","los_caprichos.txt","何の眼？無論人間の眼をですよ。"
"67","akutagawa","los_caprichos.txt","そりや眼を召上がらなければ、人間を召上つたとは云はれませんや。"
"68","akutagawa","los_caprichos.txt","眼と云ふやつはうまいものですぜ。"
"69","akutagawa","los_caprichos.txt","脂があつて、歯ぎれがよくつて、――え、何にする？まあ、湯へ入れるんですね。"
"70","akutagawa","los_caprichos.txt","丁度鳩の卵のやうに、白眼と黒眼とはつきりしたやつが、香菜が何かぶちこんだ中に、ふはふは浮いてゐやうと云ふんです。"
"71","akutagawa","los_caprichos.txt","どうです？悪くはありますまい。"
"72","akutagawa","los_caprichos.txt","私なんぞは話してゐても、自然と唾気がたまつて来ますぜ。"
"73","akutagawa","los_caprichos.txt","そりや清湯燕窩だとか清湯｜鴒蛋だとかとは、比べものにも何にもなりませんや。"
"74","akutagawa","los_caprichos.txt","所が今日その眼を抜いて見ると、――これにや私も驚きましたね。"
"75","akutagawa","los_caprichos.txt","まるで使ひものにやならないんです。"
"76","akutagawa","los_caprichos.txt","何、男か女か？男ですよ。"
"77","akutagawa","los_caprichos.txt","男も男も、髭の生えた、フロツク・コオトを着てゐる男ですがね。"
"78","akutagawa","los_caprichos.txt","御覧なさい。"
"79","akutagawa","los_caprichos.txt","此処に名刺があります。"
"80","akutagawa","los_caprichos.txt","Herr Stuffendpuff. ちつとは有名な男ですか？成程ね、つまりその新聞や何かに議論を書いてゐる人間なんでせう。"
"81","akutagawa","los_caprichos.txt","そいつの眼玉がこれぢやありませんか？そら、壁へ叩きつけても、容易な事ぢや破れませんや。"
"82","akutagawa","los_caprichos.txt","驚いたでせう。"
"83","akutagawa","los_caprichos.txt","二つともこの通り入れ眼ですよ。"
"84","akutagawa","los_caprichos.txt","硝子細工の入れ眼ですよ。"
"85","akutagawa","los_caprichos.txt",""
"86","akutagawa","los_caprichos.txt",""
"87","akutagawa","los_caprichos.txt","疲労"
"88","akutagawa","los_caprichos.txt",""
"89","akutagawa","los_caprichos.txt","雨を孕んだ風の中に、竜騎兵の士官を乗せた、アラビア種の白馬が一頭、喘ぎ喘ぎ走つて行つた。"
"90","akutagawa","los_caprichos.txt","と思ふと銃声が五六発、続けさまに街道の寂寞を破つた。"
"91","akutagawa","los_caprichos.txt","その時｜白楊の並木の根がたに、尿をしやんだ一頭の犬は、これも其処へ来かかつた、仲間の尨犬に話しかけた。"
"92","akutagawa","los_caprichos.txt",""
"93","akutagawa","los_caprichos.txt","「どうだい、あの白馬の疲れやうは？」"
"94","akutagawa","los_caprichos.txt","「莫迦々々しいなあ。"
"95","akutagawa","los_caprichos.txt","馬ばかりが獣ぢやあるまいし、――」"
"96","akutagawa","los_caprichos.txt","「さうとも、僕等に乗つてくれれば、地球の極へも飛んで行くのだが、――」"
"97","akutagawa","los_caprichos.txt","二匹の犬はかう云ふが早いか、竜騎兵の士官でも乗せてゐるやうに、昂然と街道を走つて行つた。"
"98","akutagawa","los_caprichos.txt",""
"99","akutagawa","los_caprichos.txt",""
"100","akutagawa","los_caprichos.txt","魔女"
"101","akutagawa","los_caprichos.txt",""
"102","akutagawa","los_caprichos.txt","魔女は箒に跨りながら、片々と空を飛んで行つた。"
"103","akutagawa","los_caprichos.txt",""
"104","akutagawa","los_caprichos.txt","それを見たものが三人あつた。"
"105","akutagawa","los_caprichos.txt",""
"106","akutagawa","los_caprichos.txt","一人は年をとつた月だつた。"
"107","akutagawa","los_caprichos.txt","これは又かと云ふやうに、黙々と塔の上にかかつてゐた。"
"108","akutagawa","los_caprichos.txt",""
"109","akutagawa","los_caprichos.txt","もう一人は風見の鶏だつた。"
"110","akutagawa","los_caprichos.txt","これはびつくりしたやうに、ぎいぎい桿の上に啼きまはつた。"
"111","akutagawa","los_caprichos.txt",""
"112","akutagawa","los_caprichos.txt","最後の一人は大学教授 Dundergutz 先生だつた。"
"113","akutagawa","los_caprichos.txt","これはその後熱心に、魔女が空を飛んで行つたのは、箒が魔女を飛ばせたのか、魔女が箒を飛ばせたものか、どちらかと云ふ事を研究し出した。"
"114","akutagawa","los_caprichos.txt",""
"115","akutagawa","los_caprichos.txt","何でも先生は今日でも、やはり同じ大問題を研究し続けてゐるさうである。"
"116","akutagawa","los_caprichos.txt",""
"117","akutagawa","los_caprichos.txt","魔女は箒に跨りながら、昨夜も大きな蝙蝠のやうに、片々と空を飛んで行つた。"
"118","akutagawa","los_caprichos.txt",""
"119","akutagawa","los_caprichos.txt",""
"120","akutagawa","los_caprichos.txt","遊び"
"121","akutagawa","los_caprichos.txt",""
"122","akutagawa","los_caprichos.txt","崖に臨んだ岩の隙には、一株の羊歯が茂つてゐる。"
"123","akutagawa","los_caprichos.txt","トムはその羊歯の葉の上に、さつきから一匹の大土蜘蛛と、必死の格闘を続けてゐる。"
"124","akutagawa","los_caprichos.txt","何しろ評判の渾名通り、親指｜位しかない男だから、蜘蛛と戦ふのも容易ではない。"
"125","akutagawa","los_caprichos.txt","蜘蛛は足を拡げた儘、まつしぐらにトムへ殺到する。"
"126","akutagawa","los_caprichos.txt","トムはその度に身をかはせては、咄嗟に蜘蛛の腹へ一撃を加へる。"
"127","akutagawa","los_caprichos.txt","……"
"128","akutagawa","los_caprichos.txt","それが十分程続いた後、彼等は息も絶え絶えに、どちらも其処へゐすくまつてしまつた。"
"129","akutagawa","los_caprichos.txt",""
"130","akutagawa","los_caprichos.txt","羊歯の生えた岩の下には、深い谷底が開いてゐる。"
"131","akutagawa","los_caprichos.txt","一匹の毒竜はその谷底に、白馬へ跨つた聖ヂヨオヂと、もう半日も戦つてゐる。"
"132","akutagawa","los_caprichos.txt","何しろ相手の騎士の上には、天主の冥護が加つてゐるから、毒竜も容易に勝つ事は出来ない。"
"133","akutagawa","los_caprichos.txt","毒竜は火を吐きかけ、吐きかけ、何度も馬の鞍へ跳り上る。"
"134","akutagawa","los_caprichos.txt","が、何時でも竜の爪は、騎士の鎧に辷つてしまつた。"
"135","akutagawa","los_caprichos.txt","聖ヂヨオヂは槍を揮ひながら、縦横に馬を跳らせてゐる。"
"136","akutagawa","los_caprichos.txt","軽快な蹄の音、花々しい槍の閃き、それから毒竜の炎の中に、※々と靡いた兜の乱れ毛、……"
"137","akutagawa","los_caprichos.txt","トムは遠い崖の下に、勇ましい聖ヂヨオヂの姿を見ると、苦々しさうに舌打ちをした。"
"138","akutagawa","los_caprichos.txt",""
