"","auth","piece","line"
"0","akutagawa","matsue_inshoki.txt","松江印象記"
"1","akutagawa","matsue_inshoki.txt","芥川龍之介"
"2","akutagawa","matsue_inshoki.txt",""
"3","akutagawa","matsue_inshoki.txt","-------------------------------------------------------"
"4","akutagawa","matsue_inshoki.txt","【テキスト中に現れる記号について】"
"5","akutagawa","matsue_inshoki.txt",""
"6","akutagawa","matsue_inshoki.txt","《》：ルビ"
"7","akutagawa","matsue_inshoki.txt","（例）この市を縦横に"
"8","akutagawa","matsue_inshoki.txt",""
"9","akutagawa","matsue_inshoki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","matsue_inshoki.txt","（例）詩人｜石※翁"
"11","akutagawa","matsue_inshoki.txt",""
"12","akutagawa","matsue_inshoki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","matsue_inshoki.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","matsue_inshoki.txt","（例）※"
"15","akutagawa","matsue_inshoki.txt","-------------------------------------------------------"
"16","akutagawa","matsue_inshoki.txt",""
"17","akutagawa","matsue_inshoki.txt","一"
"18","akutagawa","matsue_inshoki.txt",""
"19","akutagawa","matsue_inshoki.txt","松江へ来て、まず自分の心をひいたものは、この市を縦横に貫いている川の水とその川の上に架けられた多くの木造の橋とであった。"
"20","akutagawa","matsue_inshoki.txt","河流の多い都市はひとり松江のみではない。"
"21","akutagawa","matsue_inshoki.txt","しかし、そういう都市の水は、自分の知っている限りでたいていはそこに架けられた橋梁によって少からず、その美しさを殺がれていた。"
"22","akutagawa","matsue_inshoki.txt","なぜといえば、その都市の人々は必ずその川の流れに第三流の櫛形鉄橋を架けてしかもその醜い鉄橋を彼らの得意なものの一つに数えていたからである。"
"23","akutagawa","matsue_inshoki.txt","自分はこの間にあって愛すべき木造の橋梁を松江のあらゆる川の上に見いだしえたことをうれしく思う。"
"24","akutagawa","matsue_inshoki.txt","ことにその橋の二、三が古日本の版画家によって、しばしばその構図に利用せられた青銅の擬宝珠をもって主要なる装飾としていた一事は自分をしていよいよ深くこれらの橋梁を愛せしめた。"
"25","akutagawa","matsue_inshoki.txt","松江へ着いた日の薄暮雨にぬれて光る大橋の擬宝珠を、灰色を帯びた緑の水の上に望みえたなつかしさは事新しくここに書きたてるまでもない。"
"26","akutagawa","matsue_inshoki.txt","これらの木橋を有する松江に比して、朱塗りの神橋に隣るべく、醜悪なる鉄のつり橋を架けた日光町民の愚は、誠にわらうべきものがある。"
"27","akutagawa","matsue_inshoki.txt",""
"28","akutagawa","matsue_inshoki.txt","橋梁に次いで、自分の心をとらえたものは千鳥城の天主閣であった。"
"29","akutagawa","matsue_inshoki.txt","天主閣はその名の示すがごとく、天主教の渡来とともに、はるばる南蛮から輸入された西洋築城術の産物であるが、自分たちの祖先の驚くべき同化力は、ほとんど何人もこれに対してエキゾティックな興味を感じえないまでに、その屋根と壁とをことごとく日本化し去ったのである。"
