"","auth","piece","line"
"0","akutagawa","mikan.txt","蜜柑"
"1","akutagawa","mikan.txt","芥川龍之介"
"2","akutagawa","mikan.txt",""
"3","akutagawa","mikan.txt","-------------------------------------------------------"
"4","akutagawa","mikan.txt","【テキスト中に現れる記号について】"
"5","akutagawa","mikan.txt",""
"6","akutagawa","mikan.txt","《》：ルビ"
"7","akutagawa","mikan.txt","（例）或"
"8","akutagawa","mikan.txt",""
"9","akutagawa","mikan.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","mikan.txt","（例）二｜等客車"
"11","akutagawa","mikan.txt",""
"12","akutagawa","mikan.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","mikan.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","akutagawa","mikan.txt","（例）※"
"15","akutagawa","mikan.txt","-------------------------------------------------------"
"16","akutagawa","mikan.txt",""
"17","akutagawa","mikan.txt","或曇つた冬の日暮である。"
"18","akutagawa","mikan.txt","私は横須賀發上り二｜等客車の隅に腰を下して、ぼんやり發車の笛を待つてゐた。"
"19","akutagawa","mikan.txt","とうに電燈のついた客車の中には、珍らしく私の外に一人も乘客はゐなかつた。"
"20","akutagawa","mikan.txt","外を覗くと、うす暗いプラットフォオムにも、今日は珍らしく見送りの人影さへ跡を絶つて、唯、檻に入れられた小犬が一｜匹、時時悲しさうに、吠え立ててゐた。"
"21","akutagawa","mikan.txt","これらはその時の私の心もちと、不思議な位似つかはしい景色だつた。"
"22","akutagawa","mikan.txt","私の頭の中には云ひやうのない疲勞と倦怠とが、まるで雪曇りの空のやうなどんよりした影を落してゐた。"
"23","akutagawa","mikan.txt","私は外套のポケットへぢつと兩手をつつこんだ儘、そこにはひつてゐる夕刊を出して見ようと云ふ元氣さへ起らなかつた。"
"24","akutagawa","mikan.txt",""
"25","akutagawa","mikan.txt","が、やがて發車の笛が鳴つた。"
"26","akutagawa","mikan.txt","私はかすかな心の寛ぎを感じながら、後の窓枠へ頭をもたせて、眼の前の停車場がずるずると後ずさりを始めるのを待つともなく待ちかまへてゐた。"
"27","akutagawa","mikan.txt","所がそれよりも先にけたたましい日和下駄の音が、改札口の方から聞え出したと思ふと、間もなく車掌の何か云ひ罵る聲と共に、私の乘つてゐる二｜等室の戸ががらりと開いて十三四の小娘が一人、慌しく中へはひつて來た。"
"28","akutagawa","mikan.txt","と同時に一つづしりと搖れて、徐に汽車は動き出した。"
"29","akutagawa","mikan.txt","一｜本づつ眼をくぎつて行くプラットフォオムの柱、置き忘れたやうな運水車、それから車内の誰かに祝儀の禮を云つてゐる赤帽――さう云ふすべては、窓へ吹きつける煤煙の中に、未練がましく後へ倒れて行つた。"
"30","akutagawa","mikan.txt","私は漸くほつとした心もちになつて、卷煙草に火をつけながら、始て懶い睚をあげて、前の席に腰を下してゐた小娘の顏を一｜瞥した。"
"31","akutagawa","mikan.txt",""
"32","akutagawa","mikan.txt","それは油氣のない髮をひつつめの銀杏返しに結つて、横なでの痕のある皸だらけの兩頬を氣持の惡い程赤く火照らせた、如何にも田舍者らしい娘だつた。"
"33","akutagawa","mikan.txt","しかも垢じみた萌黄色の毛絲の襟卷がだらりと垂れ下つた膝の上には、大きな風呂敷包みがあつた。"
"34","akutagawa","mikan.txt","その又包みを抱いた霜燒けの手の中には、三｜等の赤切符が大事さうにしつかり握られてゐた。"
"35","akutagawa","mikan.txt","私はこの小娘の下品な顏だちを好まなかつた。"
"36","akutagawa","mikan.txt","それから彼女の服裝が不潔なのもやはり不快だつた。"
"37","akutagawa","mikan.txt","最後にその二｜等と三｜等との區別さへも辨へない愚鈍な心が腹立たしかつた。"
"38","akutagawa","mikan.txt","だから卷煙草に火をつけた私は、一つにはこの小娘の存在を忘れたいと云ふ心もちもあつて、今度はポケットの夕刊を漫然と膝の上へひろげて見た。"
"39","akutagawa","mikan.txt","すると其時夕刊の紙面に落ちてゐた外光が、突然電燈の光に變つて、刷の惡い何欄かの活字が意外な位鮮に私の眼の前へ浮んで來た。"
"40","akutagawa","mikan.txt","云ふ迄もなく汽車は今、横須賀線に多い隧道の最初のそれへはひつたのである。"
"41","akutagawa","mikan.txt",""
"42","akutagawa","mikan.txt","しかしその電燈の光に照らされた夕刊の紙面を見渡しても、やはり私の憂鬱を慰むべく世間は餘りに平凡な出來事ばかりで持ち切つてゐた。"
"43","akutagawa","mikan.txt","講和問題、新婦、新郎、涜職事件、死亡廣告――私は隧道へはひつた一｜瞬間、汽車の走つてゐる方向が逆になつたやうな錯覺を感じながら、それらの索漠とした記事から記事へ殆、機械的に眼を通した。"
"44","akutagawa","mikan.txt","が、その間も勿論あの小娘が、恰も卑俗な現實を人間にしたやうな面もちで、私の前に坐つてゐる事を絶えず意識せずにはゐられなかつた。"
"45","akutagawa","mikan.txt","この隧道の中の汽車と、この田舍者の小娘と、さうして又この平凡な記事に埋つてゐる夕刊と、――これが象徴でなくて何であらう。"
"46","akutagawa","mikan.txt","不可解な、下等な、退屈な人生の象徴でなくて何であらう。"
"47","akutagawa","mikan.txt","私は一｜切がくだらなくなつて、讀みかけた夕刊を抛り出すと、又窓枠に頭を靠せながら、死んだやうに眼をつぶつて、うつらうつらし始めた。"
"48","akutagawa","mikan.txt",""
"49","akutagawa","mikan.txt","それから幾分か過ぎた後であつた。"
"50","akutagawa","mikan.txt","ふと何かに脅されたやうな心もちがして、思はずあたりを見まはすと、何時の間にか例の小娘が、向う側から席を私の隣へ移して、頻に窓を開けようとしてゐる。"
"51","akutagawa","mikan.txt","が、重い硝子戸は中中思ふやうにあがらないらしい。"
"52","akutagawa","mikan.txt","あの皸だらけの頬は愈、赤くなつて、時時鼻洟をすすりこむ音が、小さな息の切れる聲と一しよに、せはしなく耳へはひつて來る。"
"53","akutagawa","mikan.txt","これは勿論私にも、幾分ながら同情を惹くに足るものには相違なかつた。"
"54","akutagawa","mikan.txt","しかし汽車が今將に隧道の口へさしかからうとしてゐる事は、暮色の中に枯草ばかり明い兩側の山腹が、間近く窓側に迫つて來たのでも、すぐに合點の行く事であつた。"
"55","akutagawa","mikan.txt","にも關らずこの小娘は、わざわざしめてある窓の戸を下さうとする、――その理由が私には呑みこめなかつた。"
"56","akutagawa","mikan.txt","いや、それが私には、單にこの小娘の氣まぐれだとしか考へられなかつた。"
"57","akutagawa","mikan.txt","だから私は腹の底に依然として險しい感情を蓄へながら、あの霜燒けの手が硝子戸を擡げようとして惡戰苦鬪する容子を、まるでそれが永久に成功しない事でも祈るやうな冷酷な眼で眺めてゐた。"
"58","akutagawa","mikan.txt","すると間もなく凄じい音をはためかせて、汽車が隧道へなだれこむと同時に、小娘の開けようとした硝子戸は、とうとうばたりと下へ落ちた。"
"59","akutagawa","mikan.txt","さうしてその四｜角な穴の中から、煤を溶したやうなどす黒い空氣が、俄に息苦しい煙になつて濛濛と車内へ漲り出した。"
"60","akutagawa","mikan.txt","元來咽喉を害してゐた私は、手巾を顏に當てる暇さへなく、この煙を滿面に浴びせられたおかげで、殆、息もつけない程咳きこまなければならなかつた。"
"61","akutagawa","mikan.txt","が、小娘は私に頓著する氣色も見えず、窓から外へ首をのばして、闇を吹く風に銀杏返しの鬢の毛を戰がせながら、ぢつと汽車の進む方向を見やつてゐる。"
"62","akutagawa","mikan.txt","その姿を煤煙と電燈の光との中に眺めた時、もう窓の外が見る見る明くなつて、そこから土の※や枯草の※や水の※が冷かに流れこんで來なかつたなら、漸く咳きやんだ私は、この見知らない小娘を頭ごなしに叱りつけてでも、又元の通り窓の戸をしめさせたのに相違なかつたのである。"
"63","akutagawa","mikan.txt",""
"64","akutagawa","mikan.txt","しかし汽車はその時分には、もう安安と隧道を辷りぬけて、枯草の山と山との間に挾まれた、或貧しい町はづれの踏切りに通りかかつてゐた。"
"65","akutagawa","mikan.txt","踏切りの近くには、いづれも見すぼらしい藁屋根や瓦屋根がごみごみと狹苦しく建てこんで、踏切り番が振るのであらう、唯一｜旒のうす白い旗が懶げに暮色を搖つてゐた。"
"66","akutagawa","mikan.txt","やつと隧道を出たと思ふ――その時その蕭索とした踏切りの柵の向うに、私は頬の赤い三｜人の男の子が、目白押しに竝んで立つてゐるのを見た。"
"67","akutagawa","mikan.txt","彼等は皆、この曇天に押しすくめられたかと思ふ程、揃つて脊が低かつた。"
"68","akutagawa","mikan.txt","さうして又この町はづれの陰慘たる風物と同じやうな色の著物を著てゐた。"
"69","akutagawa","mikan.txt","それが汽車の通るのを仰ぎ見ながら、一｜齊に手を擧げるが早いか、いたいけな喉を高く反らせて、何とも意味の分らない喊聲を一｜生懸命に迸らせた。"
"70","akutagawa","mikan.txt","するとその瞬間である。"
"71","akutagawa","mikan.txt","窓から半身を乘り出してゐた例の娘が、あの霜燒けの手をつとのばして、勢よく左右に振つたと思ふと、忽ち心を躍らすばかり暖な日の色に染まつてゐる蜜柑が凡そ五つ六つ、汽車を見送つた子供たちの上へばらばらと空から降つて來た。"
"72","akutagawa","mikan.txt","私は思はず息を呑んだ。"
"73","akutagawa","mikan.txt","さうして刹那に一｜切を了解した。"
"74","akutagawa","mikan.txt","小娘は、恐らくはこれから奉公先へ赴かうとしてゐる小娘は、その懷に藏してゐた幾顆の蜜柑を窓から投げて、わざわざ踏切りまで見送りに來た弟たちの勞に報いたのである。"
"75","akutagawa","mikan.txt",""
"76","akutagawa","mikan.txt","暮色を帶びた町はづれの踏切りと、小鳥のやうに聲を擧げた三｜人の子供たちと、さうしてその上に亂落する鮮な蜜柑の色と――すべては汽車の窓の外に、瞬く暇もなく通り過ぎた。"
"77","akutagawa","mikan.txt","が、私の心の上には、切ない程はつきりと、この光景が燒きつけられた。"
"78","akutagawa","mikan.txt","さうしてそこから、或得體の知れない朗な心もちが湧き上つて來るのを意識した。"
