"","auth","piece","line"
"0","akutagawa","mittsuno_mado.txt","三つの窓"
"1","akutagawa","mittsuno_mado.txt","芥川龍之介"
"2","akutagawa","mittsuno_mado.txt",""
"3","akutagawa","mittsuno_mado.txt","-------------------------------------------------------"
"4","akutagawa","mittsuno_mado.txt","【テキスト中に現れる記号について】"
"5","akutagawa","mittsuno_mado.txt",""
"6","akutagawa","mittsuno_mado.txt","《》：ルビ"
"7","akutagawa","mittsuno_mado.txt","（例）横須賀軍港"
"8","akutagawa","mittsuno_mado.txt",""
"9","akutagawa","mittsuno_mado.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","mittsuno_mado.txt","（例）二万｜噸"
"11","akutagawa","mittsuno_mado.txt",""
"12","akutagawa","mittsuno_mado.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","mittsuno_mado.txt","（例）"
"14","akutagawa","mittsuno_mado.txt","-------------------------------------------------------"
"15","akutagawa","mittsuno_mado.txt",""
"16","akutagawa","mittsuno_mado.txt","１鼠"
"17","akutagawa","mittsuno_mado.txt",""
"18","akutagawa","mittsuno_mado.txt","一等戦闘艦××の横須賀軍港へはいったのは六月にはいったばかりだった。"
"19","akutagawa","mittsuno_mado.txt","軍港を囲んだ山々はどれも皆雨のために煙っていた。"
"20","akutagawa","mittsuno_mado.txt","元来軍艦は碇泊したが最後、鼠の殖えなかったと云うためしはない。"
"21","akutagawa","mittsuno_mado.txt","――××もまた同じことだった。"
"22","akutagawa","mittsuno_mado.txt","長雨の中に旗を垂らした二万｜噸の××の甲板の下にも鼠はいつか手箱だの衣嚢だのにもつきはじめた。"
"23","akutagawa","mittsuno_mado.txt",""
"24","akutagawa","mittsuno_mado.txt","こう云う鼠を狩るために鼠を一匹｜捉えたものには一日の上陸を許すと云う副長の命令の下ったのは碇泊後｜三日にならない頃だった。"
"25","akutagawa","mittsuno_mado.txt","勿論水兵や機関兵はこの命令の下った時から熱心に鼠狩りにとりかかった。"
"26","akutagawa","mittsuno_mado.txt","鼠は彼等の力のために見る見る数を減らして行った。"
"27","akutagawa","mittsuno_mado.txt","従って彼等は一匹の鼠も争わない訣には行かなかった。"
"28","akutagawa","mittsuno_mado.txt",""
"29","akutagawa","mittsuno_mado.txt","「この頃みんなの持って来る鼠は大抵八つ裂きになっているぜ。"
"30","akutagawa","mittsuno_mado.txt","寄ってたかって引っぱり合うものだから。"
"31","akutagawa","mittsuno_mado.txt","」"
"32","akutagawa","mittsuno_mado.txt","ガンルウムに集った将校たちはこんなことを話して笑ったりした。"
"33","akutagawa","mittsuno_mado.txt","少年らしい顔をしたＡ中尉もやはり彼等の一人だった。"
"34","akutagawa","mittsuno_mado.txt","つゆ空に近い人生はのんびりと育ったＡ中尉にはほんとうには何もわからなかった。"
"35","akutagawa","mittsuno_mado.txt","が、水兵や機関兵の上陸したがる心もちは彼にもはっきりわかっていた。"
"36","akutagawa","mittsuno_mado.txt","Ａ中尉は巻煙草をふかしながら、彼等の話にまじる時にはいつもこう云う返事をしていた。"
"37","akutagawa","mittsuno_mado.txt",""
"38","akutagawa","mittsuno_mado.txt","「そうだろうな。"
"39","akutagawa","mittsuno_mado.txt","おれでも八つ裂きにし兼ねないから。"
"40","akutagawa","mittsuno_mado.txt","」"
"41","akutagawa","mittsuno_mado.txt","彼の言葉は独身者の彼だけに言われるのに違いなかった。"
"42","akutagawa","mittsuno_mado.txt","彼の友だちのＹ中尉は一年ほど前に妻帯していたために大抵水兵や機関兵の上にわざと冷笑を浴びせていた。"
"43","akutagawa","mittsuno_mado.txt","それはまた何ごとにも容易に弱みを見せまいとするふだんの彼の態度にも合していることは確かだった。"
"44","akutagawa","mittsuno_mado.txt","褐色の口髭の短い彼は一杯の麦酒に酔った時さえ、テエブルの上に頬杖をつき、時々Ａ中尉にこう言ったりしていた。"
"45","akutagawa","mittsuno_mado.txt",""
"46","akutagawa","mittsuno_mado.txt","「どうだ、おれたちも鼠狩をしては？」"
