"","auth","piece","line"
"0","akutagawa","mittsuno_takara.txt","三つの宝"
"1","akutagawa","mittsuno_takara.txt","芥川龍之介"
"2","akutagawa","mittsuno_takara.txt",""
"3","akutagawa","mittsuno_takara.txt","-------------------------------------------------------"
"4","akutagawa","mittsuno_takara.txt","【テキスト中に現れる記号について】"
"5","akutagawa","mittsuno_takara.txt",""
"6","akutagawa","mittsuno_takara.txt","《》：ルビ"
"7","akutagawa","mittsuno_takara.txt","（例）盗人"
"8","akutagawa","mittsuno_takara.txt",""
"9","akutagawa","mittsuno_takara.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","mittsuno_takara.txt","（例）皆｜献上する"
"11","akutagawa","mittsuno_takara.txt",""
"12","akutagawa","mittsuno_takara.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","mittsuno_takara.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","mittsuno_takara.txt","（例）※"
"15","akutagawa","mittsuno_takara.txt","-------------------------------------------------------"
"16","akutagawa","mittsuno_takara.txt",""
"17","akutagawa","mittsuno_takara.txt","一"
"18","akutagawa","mittsuno_takara.txt",""
"19","akutagawa","mittsuno_takara.txt",""
"20","akutagawa","mittsuno_takara.txt","森の中。"
"21","akutagawa","mittsuno_takara.txt","三人の盗人が宝を争っている。"
"22","akutagawa","mittsuno_takara.txt","宝とは一飛びに千里飛ぶ長靴、着れば姿の隠れるマントル、鉄でもまっ二つに切れる剣――ただしいずれも見たところは、古道具らしい物ばかりである。"
"23","akutagawa","mittsuno_takara.txt",""
"24","akutagawa","mittsuno_takara.txt",""
"25","akutagawa","mittsuno_takara.txt","第一の盗人そのマントルをこっちへよこせ。"
"26","akutagawa","mittsuno_takara.txt",""
"27","akutagawa","mittsuno_takara.txt","第二の盗人余計な事を云うな。"
"28","akutagawa","mittsuno_takara.txt","その剣こそこっちへよこせ。"
"29","akutagawa","mittsuno_takara.txt","――おや、おれの長靴を盗んだな。"
"30","akutagawa","mittsuno_takara.txt",""
"31","akutagawa","mittsuno_takara.txt","第三の盗人この長靴はおれの物じゃないか？貴様こそおれの物を盗んだのだ。"
"32","akutagawa","mittsuno_takara.txt",""
"33","akutagawa","mittsuno_takara.txt","第一の盗人よしよし、ではこのマントルはおれが貰って置こう。"
"34","akutagawa","mittsuno_takara.txt",""
"35","akutagawa","mittsuno_takara.txt","第二の盗人こん畜生！貴様なぞに渡してたまるものか。"
"36","akutagawa","mittsuno_takara.txt",""
"37","akutagawa","mittsuno_takara.txt","第一の盗人よくもおれを撲ったな。"
"38","akutagawa","mittsuno_takara.txt","――おや、またおれの剣も盗んだな？"
"39","akutagawa","mittsuno_takara.txt","第三の盗人何だ、このマントル泥坊め！"
"40","akutagawa","mittsuno_takara.txt",""
"41","akutagawa","mittsuno_takara.txt","三人の者が大喧嘩になる。"
"42","akutagawa","mittsuno_takara.txt","そこへ馬に跨った王子が一人、森の中の路を通りかかる。"
"43","akutagawa","mittsuno_takara.txt",""
"44","akutagawa","mittsuno_takara.txt",""
"45","akutagawa","mittsuno_takara.txt","王子おいおい、お前たちは何をしているのだ？（馬から下りる）"
"46","akutagawa","mittsuno_takara.txt","第一の盗人何、こいつが悪いのです。"
"47","akutagawa","mittsuno_takara.txt","わたしの剣を盗んだ上、マントルさえよこせと云うものですから、――"
"48","akutagawa","mittsuno_takara.txt","第三の盗人いえ、そいつが悪いのです。"
"49","akutagawa","mittsuno_takara.txt","マントルはわたしのを盗んだのです。"
"50","akutagawa","mittsuno_takara.txt",""
"51","akutagawa","mittsuno_takara.txt","第二の盗人いえ、こいつ等は二人とも大泥坊です。"
"52","akutagawa","mittsuno_takara.txt","これは皆わたしのものなのですから、――"
"53","akutagawa","mittsuno_takara.txt","第一の盗人嘘をつけ！"
"54","akutagawa","mittsuno_takara.txt","第二の盗人この大法螺吹きめ！"
"55","akutagawa","mittsuno_takara.txt",""
"56","akutagawa","mittsuno_takara.txt","三人また喧嘩をしようとする。"
"57","akutagawa","mittsuno_takara.txt",""
"58","akutagawa","mittsuno_takara.txt",""
"59","akutagawa","mittsuno_takara.txt","王子待て待て。"
"60","akutagawa","mittsuno_takara.txt","たかが古いマントルや、穴のあいた長靴ぐらい、誰がとっても好いじゃないか？"
"61","akutagawa","mittsuno_takara.txt","第二の盗人いえ、そうは行きません。"
"62","akutagawa","mittsuno_takara.txt","このマントルは着たと思うと、姿の隠れるマントルなのです。"
"63","akutagawa","mittsuno_takara.txt",""
"64","akutagawa","mittsuno_takara.txt","第一の盗人どんなまた鉄の兜でも、この剣で切れば切れるのです。"
"65","akutagawa","mittsuno_takara.txt",""
"66","akutagawa","mittsuno_takara.txt","第三の盗人この長靴もはきさえすれば、一飛びに千里飛べるのです。"
"67","akutagawa","mittsuno_takara.txt",""
"68","akutagawa","mittsuno_takara.txt","王子なるほど、そう云う宝なら、喧嘩をするのももっともな話だ。"
"69","akutagawa","mittsuno_takara.txt","が、それならば欲張らずに、一つずつ分ければ好いじゃないか？"
"70","akutagawa","mittsuno_takara.txt","第二の盗人そんな事をしてごらんなさい。"
"71","akutagawa","mittsuno_takara.txt","わたしの首はいつ何時、あの剣に切られるかわかりはしません。"
"72","akutagawa","mittsuno_takara.txt",""
"73","akutagawa","mittsuno_takara.txt","第一の盗人いえ、それよりも困るのは、あのマントルを着られれば、何を盗まれるか知れますまい。"
"74","akutagawa","mittsuno_takara.txt",""
"75","akutagawa","mittsuno_takara.txt","第二の盗人いえ、何を盗んだ所が、あの長靴をはかなければ、思うようには逃げられない訣です。"
"76","akutagawa","mittsuno_takara.txt",""
"77","akutagawa","mittsuno_takara.txt","王子それもなるほど一理窟だな。"
"78","akutagawa","mittsuno_takara.txt","では物は相談だが、わたしにみんな売ってくれないか？そうすれば心配も入らないはずだから。"
"79","akutagawa","mittsuno_takara.txt",""
"80","akutagawa","mittsuno_takara.txt","第一の盗人どうだい、この殿様に売ってしまうのは？"
"81","akutagawa","mittsuno_takara.txt","第三の盗人なるほど、それも好いかも知れない。"
"82","akutagawa","mittsuno_takara.txt",""
"83","akutagawa","mittsuno_takara.txt","第二の盗人ただ値段次第だな。"
"84","akutagawa","mittsuno_takara.txt",""
"85","akutagawa","mittsuno_takara.txt","王子値段は――そうだ。"
"86","akutagawa","mittsuno_takara.txt","そのマントルの代りには、この赤いマントルをやろう、これには刺繍の縁もついている。"
"87","akutagawa","mittsuno_takara.txt","それからその長靴の代りには、この宝石のはいった靴をやろう。"
"88","akutagawa","mittsuno_takara.txt","この黄金細工の剣をやれば、その剣をくれても損はあるまい。"
"89","akutagawa","mittsuno_takara.txt","どうだ、この値段では？"
"90","akutagawa","mittsuno_takara.txt","第二の盗人わたしはこのマントルの代りに、そのマントルを頂きましょう。"
"91","akutagawa","mittsuno_takara.txt",""
"92","akutagawa","mittsuno_takara.txt","第一の盗人と第三の盗人わたしたちも申し分はありません。"
"93","akutagawa","mittsuno_takara.txt",""
"94","akutagawa","mittsuno_takara.txt","王子そうか。"
"95","akutagawa","mittsuno_takara.txt","では取り換えて貰おう。"
"96","akutagawa","mittsuno_takara.txt",""
"97","akutagawa","mittsuno_takara.txt",""
"98","akutagawa","mittsuno_takara.txt","王子はマントル、剣、長靴等を取り換えた後、また馬の上に跨りながら、森の中の路を行きかける。"
"99","akutagawa","mittsuno_takara.txt",""
"100","akutagawa","mittsuno_takara.txt",""
"101","akutagawa","mittsuno_takara.txt","王子この先に宿屋はないか？"
"102","akutagawa","mittsuno_takara.txt","第一の盗人森の外へ出さえすれば「黄金の角笛」という宿屋があります。"
"103","akutagawa","mittsuno_takara.txt","では御大事にいらっしゃい。"
"104","akutagawa","mittsuno_takara.txt",""
"105","akutagawa","mittsuno_takara.txt","王子そうか。"
"106","akutagawa","mittsuno_takara.txt","ではさようなら。"
"107","akutagawa","mittsuno_takara.txt","（去る）"
"108","akutagawa","mittsuno_takara.txt","第三の盗人うまい商売をしたな。"
"109","akutagawa","mittsuno_takara.txt","おれはあの長靴が、こんな靴になろうとは思わなかった。"
