"","auth","piece","line"
"0","akutagawa","mizuno_mikka.txt","水の三日"
"1","akutagawa","mizuno_mikka.txt","芥川龍之介"
"2","akutagawa","mizuno_mikka.txt",""
"3","akutagawa","mizuno_mikka.txt","-------------------------------------------------------"
"4","akutagawa","mizuno_mikka.txt","【テキスト中に現れる記号について】"
"5","akutagawa","mizuno_mikka.txt",""
"6","akutagawa","mizuno_mikka.txt","《》：ルビ"
"7","akutagawa","mizuno_mikka.txt","（例）罹災民"
"8","akutagawa","mizuno_mikka.txt",""
"9","akutagawa","mizuno_mikka.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","mizuno_mikka.txt","（例）何百｜膳"
"11","akutagawa","mizuno_mikka.txt",""
"12","akutagawa","mizuno_mikka.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","mizuno_mikka.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","mizuno_mikka.txt","（例）※"
"15","akutagawa","mizuno_mikka.txt","-------------------------------------------------------"
"16","akutagawa","mizuno_mikka.txt",""
"17","akutagawa","mizuno_mikka.txt","講堂で、罹災民慰問会の開かれる日の午後。"
"18","akutagawa","mizuno_mikka.txt","一年の丙組（当日はここを、僕ら――卒業生と在校生との事務所にした）の教室をはいると、もう上原君と岩佐君とが、部屋のまん中へ机をすえて、何かせっせと書いていた。"
"19","akutagawa","mizuno_mikka.txt","うつむいた上原君の顔が、窓からさす日の光で赤く見える。"
"20","akutagawa","mizuno_mikka.txt","入口に近い机の上では、七条君や下村君やその他僕が名を知らない卒業生諸君が、寄附の浴衣やら手ぬぐいやら晒布やら浅草紙やらを、罹災民に分配する準備に忙しい。"
"21","akutagawa","mizuno_mikka.txt","紺飛白が二人でせっせと晒布をたたんでは手ぬぐいの大きさに截っている。"
"22","akutagawa","mizuno_mikka.txt","それを、茶の小倉の袴が、せっせと折目をつけては、行儀よく積み上げている。"
"23","akutagawa","mizuno_mikka.txt","向こうのすみでは、原君や小野君が机の上に塩せんべいの袋をひろげてせっせと数を勘定している。"
"24","akutagawa","mizuno_mikka.txt",""
"25","akutagawa","mizuno_mikka.txt","依田君もそのかたわらで、大きな餡パンの袋をあけてせっせと「ええ五つ、十う、二十」をやっているのが見える。"
"26","akutagawa","mizuno_mikka.txt","なにしろ、塩せんべいと餡パンとを合わせると、四円ばかりになるんだから、三人とも少々、勘定には辟易しているらしい。"
"27","akutagawa","mizuno_mikka.txt",""
"28","akutagawa","mizuno_mikka.txt","教壇の方を見ると、繩でくくった浅草紙や、手ぬぐいの截らないのが、雑然として取乱された中で、平塚君や国富君や清水君が、黒板へ、罹災民の数やら塩せんべいの数やらを書いてせっせと引いたり割ったりしている。"
"29","akutagawa","mizuno_mikka.txt","急いで書くせいか、数字までせっせと忙しそうなかっこうをしているから、おかしい。"
"30","akutagawa","mizuno_mikka.txt","そうすると広瀬先生がおいでになる。"
"31","akutagawa","mizuno_mikka.txt","ちょっと、二言三言話して、すぐまたせっせと出ていらっしゃる。"
"32","akutagawa","mizuno_mikka.txt","そのうちにパンが足りなくなって、せっせと買い足しにやる。"
"33","akutagawa","mizuno_mikka.txt","せっせと先生の所へ通信部を開く交渉に行く。"
"34","akutagawa","mizuno_mikka.txt","開成社へ電話をかけてせっせとはがきを取寄せる。"
"35","akutagawa","mizuno_mikka.txt","誰でも皆せっせとやる。"
"36","akutagawa","mizuno_mikka.txt","何をやるのでもせっせとやる。"
"37","akutagawa","mizuno_mikka.txt","その代わり埓のあくことおびただしい。"
"38","akutagawa","mizuno_mikka.txt","窓から外を見ると運動場は、処々に水のひいた跡の、じくじくした赤土を残して、まだ、壁土を溶かしたような色をした水が、八月の青空を映しながら、とろりと動かずにたたえている。"
"39","akutagawa","mizuno_mikka.txt","その水の中を、やせた毛の長い黒犬が、鼻を鳴らしながら、ぐしょぬれになって、かけてゆく。"
"40","akutagawa","mizuno_mikka.txt","犬まで、生意気にせっせと忙しそうな気がする。"
"41","akutagawa","mizuno_mikka.txt",""
"42","akutagawa","mizuno_mikka.txt",""
"43","akutagawa","mizuno_mikka.txt","慰問会が開かれたのは三時ごろである。"
"44","akutagawa","mizuno_mikka.txt",""
"45","akutagawa","mizuno_mikka.txt","鼠色の壁と、不景気なガラス窓とに囲まれた、伽藍のような講堂には、何百人かの罹災民諸君が、雑然として、憔悴した顔を並べていた。"
"46","akutagawa","mizuno_mikka.txt","垢じみた浴衣で、肌っこに白雲のある男の児をおぶった、おかみさんもあった。"
"47","akutagawa","mizuno_mikka.txt","よごれた、薄い※袍に手ぬぐいの帯をしめた、目のただれた、おばあさんもあった。"
"48","akutagawa","mizuno_mikka.txt","白いメリヤスのシャツと下ばきばかりの若い男もあった。"
"49","akutagawa","mizuno_mikka.txt","大きなかぎ裂きのある印半纏に、三尺をぐるぐるまきつけた、若い女もあった。"
"50","akutagawa","mizuno_mikka.txt","色のさめた赤毛布を腰のまわりにまいた、鼻の赤いおじいさんもあった。"
