"","auth","piece","line"
"0","akutagawa","momotaro.txt","桃太郎"
"1","akutagawa","momotaro.txt","芥川龍之介"
"2","akutagawa","momotaro.txt",""
"3","akutagawa","momotaro.txt","-------------------------------------------------------"
"4","akutagawa","momotaro.txt","【テキスト中に現れる記号について】"
"5","akutagawa","momotaro.txt",""
"6","akutagawa","momotaro.txt","《》：ルビ"
"7","akutagawa","momotaro.txt","（例）桃"
"8","akutagawa","momotaro.txt",""
"9","akutagawa","momotaro.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","momotaro.txt","（例）天地｜開闢の頃おい"
"11","akutagawa","momotaro.txt",""
"12","akutagawa","momotaro.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","momotaro.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","akutagawa","momotaro.txt","（例）※"
"15","akutagawa","momotaro.txt","-------------------------------------------------------"
"16","akutagawa","momotaro.txt",""
"17","akutagawa","momotaro.txt","一"
"18","akutagawa","momotaro.txt",""
"19","akutagawa","momotaro.txt","むかし、むかし、大むかし、ある深い山の奥に大きい桃の木が一本あった。"
"20","akutagawa","momotaro.txt","大きいとだけではいい足りないかも知れない。"
"21","akutagawa","momotaro.txt","この桃の枝は雲の上にひろがり、この桃の根は大地の底の黄泉の国にさえ及んでいた。"
"22","akutagawa","momotaro.txt","何でも天地｜開闢の頃おい、伊弉諾の尊は黄最津平阪に八つの雷を却けるため、桃の実を礫に打ったという、――その神代の桃の実はこの木の枝になっていたのである。"
"23","akutagawa","momotaro.txt",""
"24","akutagawa","momotaro.txt","この木は世界の夜明以来、一万年に一度花を開き、一万年に一度実をつけていた。"
"25","akutagawa","momotaro.txt","花は真紅の衣蓋に黄金の流蘇を垂らしたようである。"
"26","akutagawa","momotaro.txt","実は――実もまた大きいのはいうを待たない。"
"27","akutagawa","momotaro.txt","が、それよりも不思議なのはその実は核のあるところに美しい赤児を一人ずつ、おのずから孕んでいたことである。"
"28","akutagawa","momotaro.txt",""
"29","akutagawa","momotaro.txt","むかし、むかし、大むかし、この木は山谷を掩った枝に、累々と実を綴ったまま、静かに日の光りに浴していた。"
"30","akutagawa","momotaro.txt","一万年に一度結んだ実は一千年の間は地へ落ちない。"
"31","akutagawa","momotaro.txt","しかしある寂しい朝、運命は一羽の八咫鴉になり、さっとその枝へおろして来た。"
"32","akutagawa","momotaro.txt","と思うともう赤みのさした、小さい実を一つ啄み落した。"
"33","akutagawa","momotaro.txt","実は雲霧の立ち昇る中に遥か下の谷川へ落ちた。"
"34","akutagawa","momotaro.txt","谷川は勿論峯々の間に白い水煙をなびかせながら、人間のいる国へ流れていたのである。"
"35","akutagawa","momotaro.txt",""
"36","akutagawa","momotaro.txt","この赤児を孕んだ実は深い山の奥を離れた後、どういう人の手に拾われたか？――それはいまさら話すまでもあるまい。"
"37","akutagawa","momotaro.txt","谷川の末にはお婆さんが一人、日本中の子供の知っている通り、柴刈りに行ったお爺さんの着物か何かを洗っていたのである。"
"38","akutagawa","momotaro.txt","……"
"39","akutagawa","momotaro.txt",""
"40","akutagawa","momotaro.txt","二"
"41","akutagawa","momotaro.txt",""
"42","akutagawa","momotaro.txt","桃から生れた桃太郎は鬼が島の征伐を思い立った。"
"43","akutagawa","momotaro.txt","思い立った訣はなぜかというと、彼はお爺さんやお婆さんのように、山だの川だの畑だのへ仕事に出るのがいやだったせいである。"
"44","akutagawa","momotaro.txt","その話を聞いた老人夫婦は内心この腕白ものに愛想をつかしていた時だったから、一刻も早く追い出したさに旗とか太刀とか陣羽織とか、出陣の支度に入用のものは云うなり次第に持たせることにした。"
"45","akutagawa","momotaro.txt","のみならず途中の兵糧には、これも桃太郎の註文通り、黍団子さえこしらえてやったのである。"
"46","akutagawa","momotaro.txt",""
"47","akutagawa","momotaro.txt","桃太郎は意気｜揚々と鬼が島征伐の途に上った。"
"48","akutagawa","momotaro.txt","すると大きい野良犬が一匹、饑えた眼を光らせながら、こう桃太郎へ声をかけた。"
"49","akutagawa","momotaro.txt",""
"50","akutagawa","momotaro.txt","「桃太郎さん。"
"51","akutagawa","momotaro.txt","桃太郎さん。"
"52","akutagawa","momotaro.txt","お腰に下げたのは何でございます？」"
"53","akutagawa","momotaro.txt","「これは日本一の黍団子だ。"
"54","akutagawa","momotaro.txt","」"
"55","akutagawa","momotaro.txt","桃太郎は得意そうに返事をした。"
"56","akutagawa","momotaro.txt","勿論実際は日本一かどうか、そんなことは彼にも怪しかったのである。"
"57","akutagawa","momotaro.txt","けれども犬は黍団子と聞くと、たちまち彼の側へ歩み寄った。"
"58","akutagawa","momotaro.txt",""
"59","akutagawa","momotaro.txt","「一つ下さい。"
"60","akutagawa","momotaro.txt","お伴しましょう。"
"61","akutagawa","momotaro.txt","」"
"62","akutagawa","momotaro.txt","桃太郎は咄嗟に算盤を取った。"
"63","akutagawa","momotaro.txt",""
"64","akutagawa","momotaro.txt","「一つはやられぬ。"
"65","akutagawa","momotaro.txt","半分やろう。"
"66","akutagawa","momotaro.txt","」"
"67","akutagawa","momotaro.txt","犬はしばらく強情に、「一つ下さい」を繰り返した。"
"68","akutagawa","momotaro.txt","しかし桃太郎は何といっても「半分やろう」を撤回しない。"
"69","akutagawa","momotaro.txt","こうなればあらゆる商売のように、所詮持たぬものは持ったものの意志に服従するばかりである。"
"70","akutagawa","momotaro.txt","犬もとうとう嘆息しながら、黍団子を半分貰う代りに、桃太郎の伴をすることになった。"
"71","akutagawa","momotaro.txt",""
"72","akutagawa","momotaro.txt","桃太郎はその後犬のほかにも、やはり黍団子の半分を餌食に、猿や雉を家来にした。"
"73","akutagawa","momotaro.txt","しかし彼等は残念ながら、あまり仲の好い間がらではない。"
"74","akutagawa","momotaro.txt","丈夫な牙を持った犬は意気地のない猿を莫迦にする。"
"75","akutagawa","momotaro.txt","黍団子の勘定に素早い猿はもっともらしい雉を莫迦にする。"
"76","akutagawa","momotaro.txt","地震学などにも通じた雉は頭の鈍い犬を莫迦にする。"
"77","akutagawa","momotaro.txt","――こういういがみ合いを続けていたから、桃太郎は彼等を家来にした後も、一通り骨の折れることではなかった。"
"78","akutagawa","momotaro.txt",""
"79","akutagawa","momotaro.txt","その上猿は腹が張ると、たちまち不服を唱え出した。"
"80","akutagawa","momotaro.txt","どうも黍団子の半分くらいでは、鬼が島征伐の伴をするのも考え物だといい出したのである。"
"81","akutagawa","momotaro.txt","すると犬は吠えたけりながら、いきなり猿を噛み殺そうとした。"
"82","akutagawa","momotaro.txt","もし雉がとめなかったとすれば、猿は蟹の仇打ちを待たず、この時もう死んでいたかも知れない。"
"83","akutagawa","momotaro.txt","しかし雉は犬をなだめながら猿に主従の道徳を教え、桃太郎の命に従えと云った。"
"84","akutagawa","momotaro.txt","それでも猿は路ばたの木の上に犬の襲撃を避けた後だったから、容易に雉の言葉を聞き入れなかった。"
"85","akutagawa","momotaro.txt","その猿をとうとう得心させたのは確かに桃太郎の手腕である。"
"86","akutagawa","momotaro.txt","桃太郎は猿を見上げたまま、日の丸の扇を使い使いわざと冷かにいい放した。"
"87","akutagawa","momotaro.txt",""
"88","akutagawa","momotaro.txt","「よしよし、では伴をするな。"
"89","akutagawa","momotaro.txt","その代り鬼が島を征伐しても宝物は一つも分けてやらないぞ。"
"90","akutagawa","momotaro.txt","」"
"91","akutagawa","momotaro.txt","欲の深い猿は円い眼をした。"
"92","akutagawa","momotaro.txt",""
"93","akutagawa","momotaro.txt","「宝物？へええ、鬼が島には宝物があるのですか？」"
"94","akutagawa","momotaro.txt","「あるどころではない。"
"95","akutagawa","momotaro.txt","何でも好きなものの振り出せる打出の小槌という宝物さえある。"
"96","akutagawa","momotaro.txt","」"
