"","auth","piece","line"
"0","akutagawa","mori_sensei.txt","毛利先生"
"1","akutagawa","mori_sensei.txt","芥川龍之介"
"2","akutagawa","mori_sensei.txt",""
"3","akutagawa","mori_sensei.txt","-------------------------------------------------------"
"4","akutagawa","mori_sensei.txt","【テキスト中に現れる記号について】"
"5","akutagawa","mori_sensei.txt",""
"6","akutagawa","mori_sensei.txt","《》：ルビ"
"7","akutagawa","mori_sensei.txt","（例）歳晩のある暮方"
"8","akutagawa","mori_sensei.txt",""
"9","akutagawa","mori_sensei.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","mori_sensei.txt","（例）急性｜肺炎で"
"11","akutagawa","mori_sensei.txt",""
"12","akutagawa","mori_sensei.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","mori_sensei.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","mori_sensei.txt","（例）※"
"15","akutagawa","mori_sensei.txt","-------------------------------------------------------"
"16","akutagawa","mori_sensei.txt",""
"17","akutagawa","mori_sensei.txt","歳晩のある暮方、自分は友人の批評家と二人で、所謂腰弁街道の、裸になった並樹の柳の下を、神田橋の方へ歩いていた。"
"18","akutagawa","mori_sensei.txt","自分たちの左右には、昔、島崎藤村が「もっと頭をあげて歩け」と慷慨した、下級官吏らしい人々が、まだ漂っている黄昏の光の中に、蹌踉たる歩みを運んで行く。"
"19","akutagawa","mori_sensei.txt","期せずして、同じく憂鬱な心もちを、払いのけようとしても払いのけられなかったからであろう。"
"20","akutagawa","mori_sensei.txt","自分たちは外套の肩をすり合せるようにして、心もち足を早めながら、大手町の停留場を通りこすまでは、ほとんど一言もきかずにいた。"
"21","akutagawa","mori_sensei.txt","すると友人の批評家が、あすこの赤い柱の下に、電車を待っている人々の寒むそうな姿を一瞥すると、急に身ぶるいを一つして、"
"22","akutagawa","mori_sensei.txt","「毛利先生の事を思い出す。"
"23","akutagawa","mori_sensei.txt","」と、独り語のように呟いた。"
"24","akutagawa","mori_sensei.txt",""
"25","akutagawa","mori_sensei.txt","「毛利先生と云うのは誰だい。"
"26","akutagawa","mori_sensei.txt","」"
"27","akutagawa","mori_sensei.txt","「僕の中学の先生さ。"
"28","akutagawa","mori_sensei.txt","まだ君には話した事がなかったかな。"
"29","akutagawa","mori_sensei.txt","」"
"30","akutagawa","mori_sensei.txt","自分は否と云う代りに、黙って帽子の庇を下げた。"
"31","akutagawa","mori_sensei.txt","これから下に掲げるのはその時その友人が、歩きながら自分に話してくれた、その毛利先生の追憶である。"
"32","akutagawa","mori_sensei.txt","――"
"33","akutagawa","mori_sensei.txt",""
"34","akutagawa","mori_sensei.txt","―――――――――――――――――――――――――"
"35","akutagawa","mori_sensei.txt",""
"36","akutagawa","mori_sensei.txt","もうかれこれ十年ばかり以前、自分がまだある府立中学の三年級にいた時の事である。"
"37","akutagawa","mori_sensei.txt","自分の級に英語を教えていた、安達先生と云う若い教師が、インフルエンザから来た急性｜肺炎で冬期休業の間に物故してしまった。"
"38","akutagawa","mori_sensei.txt","それが余り突然だったので、適当な後任を物色する余裕がなかったからの窮策であろう。"
"39","akutagawa","mori_sensei.txt","自分の中学は、当時ある私立中学で英語の教師を勤めていた、毛利先生と云う老人に、今まで安達先生の受持っていた授業を一時嘱託した。"
"40","akutagawa","mori_sensei.txt",""
"41","akutagawa","mori_sensei.txt","自分が始めて毛利先生を見たのは、その就任当日の午後である。"
