"","auth","piece","line"
"0","akutagawa","nenmatsuno_ichinichi.txt","年末の一日"
"1","akutagawa","nenmatsuno_ichinichi.txt","芥川龍之介"
"2","akutagawa","nenmatsuno_ichinichi.txt",""
"3","akutagawa","nenmatsuno_ichinichi.txt","-------------------------------------------------------"
"4","akutagawa","nenmatsuno_ichinichi.txt","【テキスト中に現れる記号について】"
"5","akutagawa","nenmatsuno_ichinichi.txt",""
"6","akutagawa","nenmatsuno_ichinichi.txt","《》：ルビ"
"7","akutagawa","nenmatsuno_ichinichi.txt","（例）崖"
"8","akutagawa","nenmatsuno_ichinichi.txt",""
"9","akutagawa","nenmatsuno_ichinichi.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","nenmatsuno_ichinichi.txt","（例）兼｜昼飯"
"11","akutagawa","nenmatsuno_ichinichi.txt",""
"12","akutagawa","nenmatsuno_ichinichi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","nenmatsuno_ichinichi.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","akutagawa","nenmatsuno_ichinichi.txt","（例）※"
"15","akutagawa","nenmatsuno_ichinichi.txt","-------------------------------------------------------"
"16","akutagawa","nenmatsuno_ichinichi.txt",""
"17","akutagawa","nenmatsuno_ichinichi.txt","………僕は何でも雑木の生えた、寂しい崖の上を歩いて行った。"
"18","akutagawa","nenmatsuno_ichinichi.txt","崖の下はすぐに沼になっていた。"
"19","akutagawa","nenmatsuno_ichinichi.txt","その又沼の岸寄りには水鳥が二羽泳いでいた。"
"20","akutagawa","nenmatsuno_ichinichi.txt","どちらも薄い苔の生えた石の色に近い水鳥だった。"
"21","akutagawa","nenmatsuno_ichinichi.txt","僕は格別その水鳥に珍しい感じは持たなかった。"
"22","akutagawa","nenmatsuno_ichinichi.txt","が、余り翼などの鮮かに見えるのは無気味だった。"
"23","akutagawa","nenmatsuno_ichinichi.txt","――"
"24","akutagawa","nenmatsuno_ichinichi.txt","――僕はこう言う夢の中からがたがた言う音に目をさました。"
"25","akutagawa","nenmatsuno_ichinichi.txt","それは書斎と鍵の手になった座敷の硝子戸の音らしかった。"
"26","akutagawa","nenmatsuno_ichinichi.txt","僕は新年号の仕事中、書斎に寝床をとらせていた。"
"27","akutagawa","nenmatsuno_ichinichi.txt","三軒の雑誌社に約束した仕事は三篇とも僕には不満足だった。"
"28","akutagawa","nenmatsuno_ichinichi.txt","しかし兎に角最後の仕事はきょうの夜明け前に片づいていた。"
"29","akutagawa","nenmatsuno_ichinichi.txt",""
"30","akutagawa","nenmatsuno_ichinichi.txt","寝床の裾の障子には竹の影もちらちら映っていた。"
"31","akutagawa","nenmatsuno_ichinichi.txt","僕は思い切って起き上り、一まず後架へ小便をしに行った。"
"32","akutagawa","nenmatsuno_ichinichi.txt","近頃この位小便から水蒸気の盛んに立ったことはなかった。"
"33","akutagawa","nenmatsuno_ichinichi.txt","僕は便器に向いながら、今日はふだんよりも寒いぞと思った。"
"34","akutagawa","nenmatsuno_ichinichi.txt",""
"35","akutagawa","nenmatsuno_ichinichi.txt","伯母や妻は座敷の縁側にせっせと硝子戸を磨いていた。"
"36","akutagawa","nenmatsuno_ichinichi.txt","がたがた言うのはこの音だった。"
"37","akutagawa","nenmatsuno_ichinichi.txt","袖無しの上へ襷をかけた伯母はバケツの雑巾を絞りながら、多少僕にからかうように「お前、もう十二時ですよ」と言った。"
"38","akutagawa","nenmatsuno_ichinichi.txt","成程十二時に違いなかった。"
"39","akutagawa","nenmatsuno_ichinichi.txt","廊下を抜けた茶の間にはいつか古い長火鉢の前に昼飯の支度も出来上っていた。"
"40","akutagawa","nenmatsuno_ichinichi.txt","のみならず母は次男の多加志に牛乳やトオストを養っていた。"
"41","akutagawa","nenmatsuno_ichinichi.txt","しかし僕は習慣上朝らしい気もちを持ったまま、人気のない台所へ顔を洗いに行った。"
"42","akutagawa","nenmatsuno_ichinichi.txt",""
"43","akutagawa","nenmatsuno_ichinichi.txt","朝飯兼｜昼飯をすませた後、僕は書斎の置き炬燵へはいり、二三種の新聞を読みはじめた。"
"44","akutagawa","nenmatsuno_ichinichi.txt","新聞の記事は諸会社のボオナスや羽子板の売れ行きで持ち切っていた。"
"45","akutagawa","nenmatsuno_ichinichi.txt","けれども僕の心もちは少しも陽気にはならなかった。"
"46","akutagawa","nenmatsuno_ichinichi.txt","僕は仕事をすませる度に妙に弱るのを常としていた。"
"47","akutagawa","nenmatsuno_ichinichi.txt","それは房後の疲労のようにどうすることも出来ないものだった。"
"48","akutagawa","nenmatsuno_ichinichi.txt","………"
"49","akutagawa","nenmatsuno_ichinichi.txt","Ｋ君の来たのは二時前だった。"
"50","akutagawa","nenmatsuno_ichinichi.txt","僕はＫ君を置き炬燵に請じ、差し当りの用談をすませることにした。"
"51","akutagawa","nenmatsuno_ichinichi.txt","縞の背広を着たＫ君はもとは奉天の特派員、――今は本社詰めの新聞記者だった。"
"52","akutagawa","nenmatsuno_ichinichi.txt",""
"53","akutagawa","nenmatsuno_ichinichi.txt","「どうです？暇ならば出ませんか？」"
"54","akutagawa","nenmatsuno_ichinichi.txt","僕は用談をすませた頃、じっと家にとじこもっているのはやり切れない気もちになっていた。"
"55","akutagawa","nenmatsuno_ichinichi.txt",""
"56","akutagawa","nenmatsuno_ichinichi.txt","「ええ、四時頃までならば。"
"57","akutagawa","nenmatsuno_ichinichi.txt","………どこかお出かけになる先はおきまりになっているんですか？」"
