"","auth","piece","line"
"0","akutagawa","nezumikozo_jirokichi.txt","鼠小僧次郎吉"
"1","akutagawa","nezumikozo_jirokichi.txt","芥川龍之介"
"2","akutagawa","nezumikozo_jirokichi.txt",""
"3","akutagawa","nezumikozo_jirokichi.txt","-------------------------------------------------------"
"4","akutagawa","nezumikozo_jirokichi.txt","【テキスト中に現れる記号について】"
"5","akutagawa","nezumikozo_jirokichi.txt",""
"6","akutagawa","nezumikozo_jirokichi.txt","《》：ルビ"
"7","akutagawa","nezumikozo_jirokichi.txt","（例）"
"8","akutagawa","nezumikozo_jirokichi.txt",""
"9","akutagawa","nezumikozo_jirokichi.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","nezumikozo_jirokichi.txt","（例）"
"11","akutagawa","nezumikozo_jirokichi.txt",""
"12","akutagawa","nezumikozo_jirokichi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","nezumikozo_jirokichi.txt","（例）（大正八年十二月）"
"14","akutagawa","nezumikozo_jirokichi.txt","-------------------------------------------------------"
"15","akutagawa","nezumikozo_jirokichi.txt",""
"16","akutagawa","nezumikozo_jirokichi.txt","一"
"17","akutagawa","nezumikozo_jirokichi.txt",""
"18","akutagawa","nezumikozo_jirokichi.txt","或初秋の日暮であつた。"
"19","akutagawa","nezumikozo_jirokichi.txt",""
"20","akutagawa","nezumikozo_jirokichi.txt","汐留の船宿、伊豆屋の表二階には、遊び人らしい二人の男が、さつきから差し向ひで、頻に献酬を重ねてゐた。"
"21","akutagawa","nezumikozo_jirokichi.txt",""
"22","akutagawa","nezumikozo_jirokichi.txt","一人は色の浅黒い、小肥りに肥つた男で、形の如く結城の単衣物に、八反の平ぐけを締めたのが、上に羽織つた古渡り唐桟の半天と一しよに、その苦みばしつた男ぶりを、一層いなせに見せてゐる趣があつた。"
"23","akutagawa","nezumikozo_jirokichi.txt","もう一人は色の白い、どちらかと云へば小柄な男だが、手首まで彫つてある剳青が目立つせゐか、糊の落ちた小弁慶の単衣物に算盤珠の三尺をぐるぐる巻きつけたのも、意気と云ふよりは寧ろ凄味のある、自堕落な心もちしか起させなかつた。"
"24","akutagawa","nezumikozo_jirokichi.txt","のみならずこの男は、役者が二三枚落ちると見えて、相手の男を呼びかける時にも、始終親分と云ふ名を用ひてゐた。"
"25","akutagawa","nezumikozo_jirokichi.txt","が、年輩は彼是同じ位らしく、それだけ又世間の親分子分よりも、打ち融けた交情が通つてゐる事は、互に差しつ抑へつする盃の間にも明らかだつた。"
"26","akutagawa","nezumikozo_jirokichi.txt",""
"27","akutagawa","nezumikozo_jirokichi.txt","初秋の日暮とは云ひながら、向うに見える唐津様の海鼠壁には、まだ赤々と入日がさして、その日を浴びた一株の柳が、こんもりと葉かげを蒸してゐるのも、去つて間がない残暑の思ひ出を新しくするのに十分だつた。"
"28","akutagawa","nezumikozo_jirokichi.txt","だからこの船宿の表二階にも、葭戸こそもう唐紙に変つてゐたが、江戸に未練の残つてゐる夏は、手すりに下つてゐる伊予簾や、何時からか床に掛け残された墨絵の滝の掛物や、或は又二人の間に並べてある膳の水貝や洗ひなどに、まざまざと尽きない名残りを示してゐた。"
"29","akutagawa","nezumikozo_jirokichi.txt","実際往来を一つ隔ててゐる掘割の明るい水の上から、時たま此処に流れて来るそよ風も、微醺を帯びた二人の男には、刷毛先を少し左へ曲げた水髪の鬢を吹かれる度に、涼しいとは感じられるにした所が、毛頭秋らしいうそ寒さを覚えさせるやうな事はないのである。"
"30","akutagawa","nezumikozo_jirokichi.txt","殊に色の白い男の方になると、こればかりは冷たさうな掛守りの銀鎖もちらつく程、思入れ小弁慶の胸をひろげてゐた。"
"31","akutagawa","nezumikozo_jirokichi.txt",""
"32","akutagawa","nezumikozo_jirokichi.txt","二人は女中まで遠ざけて、暫くは何やら密談に耽つてゐたが、やがてそれも一段落ついたと見えて、色の浅黒い、小肥りに肥つた男は、無造作に猪口を相手に返すと、膝の下の煙草入をとり上げながら、"
"33","akutagawa","nezumikozo_jirokichi.txt","「と云ふ訳での、おれもやつと三年ぶりに、又江戸へ帰つて来たのよ。"
"34","akutagawa","nezumikozo_jirokichi.txt","」"
"35","akutagawa","nezumikozo_jirokichi.txt","「道理でちつと御帰りが、遅すぎると思つてゐやしたよ。"
"36","akutagawa","nezumikozo_jirokichi.txt","だがまあ、かうして帰つて来ておくんなさりや、子分子方のものばかりぢや無え、江戸つ子一統が喜びやすぜ。"
"37","akutagawa","nezumikozo_jirokichi.txt","」"
"38","akutagawa","nezumikozo_jirokichi.txt","「さう云つてくれるのは、手前だけよ。"
"39","akutagawa","nezumikozo_jirokichi.txt","」"
"40","akutagawa","nezumikozo_jirokichi.txt","「へへ、仰有つたものだぜ。"
"41","akutagawa","nezumikozo_jirokichi.txt","」"
"42","akutagawa","nezumikozo_jirokichi.txt","色の白い、小柄な男は、わざと相手を睨めると、人が悪るさうににやりと笑つて、"
"43","akutagawa","nezumikozo_jirokichi.txt","「小花｜姐さんにも聞いて御覧なせえまし。"
"44","akutagawa","nezumikozo_jirokichi.txt","」"
"45","akutagawa","nezumikozo_jirokichi.txt","「そりや無え。"
"46","akutagawa","nezumikozo_jirokichi.txt","」"
"47","akutagawa","nezumikozo_jirokichi.txt","親分と呼ばれた男は、如心形の煙管を啣へた儘、僅に苦笑の色を漂はせたが、すぐに又｜真面目な調子になつて、"
"48","akutagawa","nezumikozo_jirokichi.txt","「だがの、おれが三年見｜無え間に、江戸もめつきり変つたやうだ。"
"49","akutagawa","nezumikozo_jirokichi.txt","」"
"50","akutagawa","nezumikozo_jirokichi.txt","「いや、変つたの、変ら無えの。"
"51","akutagawa","nezumikozo_jirokichi.txt","岡場所なんぞの寂れ方と来ちや、まるで嘘のやうでごぜえますぜ。"
"52","akutagawa","nezumikozo_jirokichi.txt","」"
"53","akutagawa","nezumikozo_jirokichi.txt","「かうなると、年よりの云ひぐさぢや無えが、やつぱり昔が恋しいの。"
"54","akutagawa","nezumikozo_jirokichi.txt","」"
"55","akutagawa","nezumikozo_jirokichi.txt","「変ら無えのは私ばかりさ。"
"56","akutagawa","nezumikozo_jirokichi.txt","へへ、何時になつてもひつてんだ。"
"57","akutagawa","nezumikozo_jirokichi.txt","」"
"58","akutagawa","nezumikozo_jirokichi.txt","小弁慶の浴衣を着た男は、受けた盃をぐいとやると、その手ですぐに口の端の滴を払つて、自ら嘲るやうに眉を動かしたが、"
"59","akutagawa","nezumikozo_jirokichi.txt","「今から見りや、三年｜前は、まるでこの世の極楽さね。"
"60","akutagawa","nezumikozo_jirokichi.txt","ねえ、親分、お前さんが江戸を御売んなすつた時分にや、盗つ人にせえあの鼠小僧のやうな、石川五右衛門とは行かねえまでも、ちつとは睨みの利いた野郎があつたものぢやごぜえませんか。"
"61","akutagawa","nezumikozo_jirokichi.txt","」"
"62","akutagawa","nezumikozo_jirokichi.txt","「飛んだ事を云ふぜ。"
"63","akutagawa","nezumikozo_jirokichi.txt","何処の国におれと盗つ人とを一つ扱ひにする奴があるものだ。"
"64","akutagawa","nezumikozo_jirokichi.txt","」"
"65","akutagawa","nezumikozo_jirokichi.txt","唐桟の半天をひつかけた男は、煙草の煙にむせながら、思はず又苦笑を洩らしたが、鉄火な相手はそんな事に頓着する気色もなく、手酌でもう一杯ひつかけると、"
"66","akutagawa","nezumikozo_jirokichi.txt","「そいつがこの頃は御覧なせえ。"
"67","akutagawa","nezumikozo_jirokichi.txt","けちな稼ぎをする奴は、箒で掃く程ゐやすけれど、あの位な大泥坊は、つひぞ聞か無えぢやごぜえませんか。"
"68","akutagawa","nezumikozo_jirokichi.txt","」"
"69","akutagawa","nezumikozo_jirokichi.txt","「聞か無えだつて、好いぢや無えか。"
"70","akutagawa","nezumikozo_jirokichi.txt","国に盗賊、家に鼠だ。"
"71","akutagawa","nezumikozo_jirokichi.txt","大泥坊なんぞはゐ無え方が好い。"
"72","akutagawa","nezumikozo_jirokichi.txt","」"
"73","akutagawa","nezumikozo_jirokichi.txt","「そりや居無え方が好い。"
"74","akutagawa","nezumikozo_jirokichi.txt","居無え方が好いにや違えごぜえませんがね。"
"75","akutagawa","nezumikozo_jirokichi.txt","」"
"76","akutagawa","nezumikozo_jirokichi.txt","色の白い、小柄な男は、剳青のある臂を延べて、親分へ猪口を差しながら、"
"77","akutagawa","nezumikozo_jirokichi.txt","「あの時分の事を考へると、へへ、妙なもので盗つ人せえ、懐しくなつて来やすのさ。"
"78","akutagawa","nezumikozo_jirokichi.txt","先刻御承知にや違え無えが、あの鼠小僧と云ふ野郎は、心意気が第一嬉しいや。"
"79","akutagawa","nezumikozo_jirokichi.txt","ねえ、親分。"
"80","akutagawa","nezumikozo_jirokichi.txt","」"
"81","akutagawa","nezumikozo_jirokichi.txt","「嘘は無え。"
"82","akutagawa","nezumikozo_jirokichi.txt","盗つ人の尻押しにや、こりや博奕打が持つて来いだ。"
"83","akutagawa","nezumikozo_jirokichi.txt","」"
"84","akutagawa","nezumikozo_jirokichi.txt","「へへ、こいつは一番おそれべか。"
"85","akutagawa","nezumikozo_jirokichi.txt","」"
"86","akutagawa","nezumikozo_jirokichi.txt","と云つて、ちよいと小弁慶の肩を落したが、こちらは忽ち又元気な声になつて、"
"87","akutagawa","nezumikozo_jirokichi.txt","「私だつて何も盗つ人の肩を持つにや当ら無えけれど、あいつは懐の暖え大名屋敷へ忍びこんぢや、御手許金と云ふやつを掻攫つて、その日に追はれる貧乏人へ恵んでやるのだと云ひやすぜ。"
"88","akutagawa","nezumikozo_jirokichi.txt","成程善悪にや二つは無えが、どうせ盗みをするからにや、悪党｜冥利にこの位な陰徳は積んで置き度えとね、まあ、私なんぞは思つてゐやすのさ。"
"89","akutagawa","nezumikozo_jirokichi.txt","」"
"90","akutagawa","nezumikozo_jirokichi.txt","「さうか。"
"91","akutagawa","nezumikozo_jirokichi.txt","さう聞きや無理は無えの。"
"92","akutagawa","nezumikozo_jirokichi.txt","いや、鼠小僧と云ふ野郎も、改代町の裸松が贔屓になつてくれようとは、夢にも思つちや居無えだらう。"
"93","akutagawa","nezumikozo_jirokichi.txt","思へば冥加な盗つ人だ。"
"94","akutagawa","nezumikozo_jirokichi.txt","」"
"95","akutagawa","nezumikozo_jirokichi.txt","色の浅黒い、小肥りに肥つた男は、相手に猪口を返しながら、思ひの外しんみりとかう云つたが、やがて何か思ひついたらしく、大様に膝を進めると、急に晴々した微笑を浮べて、"
"96","akutagawa","nezumikozo_jirokichi.txt","「ぢや聞きねえ。"
"97","akutagawa","nezumikozo_jirokichi.txt","おれもその鼠小僧ぢや、とんだ御茶番を見た事があつての、今でも思ひ出すたんびに、腹の皮がよれてなら無えのよ。"
"98","akutagawa","nezumikozo_jirokichi.txt","」"
"99","akutagawa","nezumikozo_jirokichi.txt","親分と呼ばれた男は、かう云ふ前置きを聞かせてから、又悠々と煙管を啣へて、夕日の中に消えて行く煙草の煙の輪と一しよに、次のやうな話をし始めた。"
"100","akutagawa","nezumikozo_jirokichi.txt",""
"101","akutagawa","nezumikozo_jirokichi.txt",""
"102","akutagawa","nezumikozo_jirokichi.txt","二"
"103","akutagawa","nezumikozo_jirokichi.txt",""
"104","akutagawa","nezumikozo_jirokichi.txt","丁度今から三年前、おれが盆茣蓙の上の達て引きから、江戸を売つた時の事だ。"
"105","akutagawa","nezumikozo_jirokichi.txt",""
"106","akutagawa","nezumikozo_jirokichi.txt","東海道にやちつと差しがあつて、路は悪いが甲州街道を身延まで出にやなら無えから、忘れもし無え、極月の十一日、四谷の荒木町を振り出しに、とうとう旅鴉に身をやつしたが、なりは手前も知つてた通り、結城紬の二枚重ねに一本｜独銛の博多の帯、道中差をぶつこんでの、革色の半合羽に菅笠をかぶつてゐたと思ひねえ。"
"107","akutagawa","nezumikozo_jirokichi.txt","元より振分けの行李の外にや、道づれも無え独り旅だ。"
"108","akutagawa","nezumikozo_jirokichi.txt","脚絆草鞋の足拵へは、見てくればかり軽さうだが、当分は御膝許の日の目せえ、拝まれ無え事を考へりや、実は気も滅入つての、古風ぢやあるが一足毎に、後髪を引かれるやうな心もちよ。"
"109","akutagawa","nezumikozo_jirokichi.txt",""
"110","akutagawa","nezumikozo_jirokichi.txt","その日が又意地悪く、底冷えのする雪曇りでの、まして甲州街道は、何処の山だか知ら無えが、一面の雲のかかつたやつが、枯つ葉一つがさつか無え桑畑の上に屏風を立てよ、その桑の枝を掴んだ鶸も、寒さに咽喉を痛めたのか、声も立て無えやうな凍て方だ。"
"111","akutagawa","nezumikozo_jirokichi.txt","おまけに時々身を切るやうな、小仏颪のからつ風がやけにざつと吹きまくつて、横なぐれに合羽を煽りやがる。"
"112","akutagawa","nezumikozo_jirokichi.txt","かうなつちやいくら威張つても、旅慣れ無え江戸つ子は形無しよ。"
"113","akutagawa","nezumikozo_jirokichi.txt","おれは菅笠の縁に手をかけちや、今朝四谷から新宿と踏み出して来た江戸の方を、何度振り返つて見たか知れやし無え。"
"114","akutagawa","nezumikozo_jirokichi.txt",""
"115","akutagawa","nezumikozo_jirokichi.txt","するとおれの旅慣れ無えのが、通りがかりの人目にも、気の毒たらしかつたのに違え無え。"
"116","akutagawa","nezumikozo_jirokichi.txt","府中の宿をはづれると、堅気らしい若え男が、後からおれに追ひついて、口まめに話しかけやがる。"
"117","akutagawa","nezumikozo_jirokichi.txt","見りや紺の合羽に菅笠は、こりや御定りの旅仕度だが、色の褪めた唐桟の風呂敷包を頸へかけの、洗ひざらした木綿縞に剥げつちよろけの小倉の帯、右の小鬢に禿があつて、顋の悪くしやくれたのせえ、よしんば風にや吹かれ無えでも、懐の寒むさうな御人体だ。"
"118","akutagawa","nezumikozo_jirokichi.txt","だがの、見かけよりや人は好いと見えて、親切さうに道中の名所古蹟なんぞを教へてくれる。"
"119","akutagawa","nezumikozo_jirokichi.txt","こつちは元より相手欲しやだ。"
"120","akutagawa","nezumikozo_jirokichi.txt",""
"121","akutagawa","nezumikozo_jirokichi.txt","「御前さんは何処まで行きなさる。"
"122","akutagawa","nezumikozo_jirokichi.txt","」"
"123","akutagawa","nezumikozo_jirokichi.txt","「私は甲府まで参りやす。"
"124","akutagawa","nezumikozo_jirokichi.txt","旦那は又どちらへ。"
"125","akutagawa","nezumikozo_jirokichi.txt","」"
"126","akutagawa","nezumikozo_jirokichi.txt","「私は何、身延詣りさ。"
"127","akutagawa","nezumikozo_jirokichi.txt","」"
"128","akutagawa","nezumikozo_jirokichi.txt","「時に旦那は江戸でござりやせう。"
"129","akutagawa","nezumikozo_jirokichi.txt","江戸はどの辺へ御住ひなせえます。"
"130","akutagawa","nezumikozo_jirokichi.txt","」"
"131","akutagawa","nezumikozo_jirokichi.txt","「茅場町の植木店さ。"
"132","akutagawa","nezumikozo_jirokichi.txt","お前さんも江戸かい。"
"133","akutagawa","nezumikozo_jirokichi.txt","」"
"134","akutagawa","nezumikozo_jirokichi.txt","「へえ、私は深川の六間堀で、これでも越後屋重吉と云ふ小間物｜渡世でござりやす。"
"135","akutagawa","nezumikozo_jirokichi.txt","」"
"136","akutagawa","nezumikozo_jirokichi.txt","とまあ、云つた調子での。"
"137","akutagawa","nezumikozo_jirokichi.txt","同じ江戸懐しい話をしながら、互に好い道づれを見つけた気でよ、一しよに路を急いで行くと、追つけ日野宿へかからうと云ふ時分に、ちらちら白い物が降り出しやがつた。"
"138","akutagawa","nezumikozo_jirokichi.txt","独り旅であつて見ねえ。"
"139","akutagawa","nezumikozo_jirokichi.txt","時刻も彼是七つ下りぢやあるし、この雪空を見上げちや、川千鳥の声も身に滲みるやうで、今夜はどうでも日野泊りと、出かけ無けりやなら無え所だが、いくら懐は寒むさうでも、其処は越後屋重吉と云ふ道づれのある御かげ様だ。"
"140","akutagawa","nezumikozo_jirokichi.txt",""
"141","akutagawa","nezumikozo_jirokichi.txt","「旦那え、この雪ぢや明日の路は、とても捗が参りやせんから、今日の中に八王子までのして置かうぢやござりやせんか。"
"142","akutagawa","nezumikozo_jirokichi.txt","」"
"143","akutagawa","nezumikozo_jirokichi.txt","と云はれて見りや、その気になつての、雪の中を八王子まで、辿りついたと思ひねえ。"
"144","akutagawa","nezumikozo_jirokichi.txt","もう空はまつ暗で、とうに白くなつた両側の屋根が、夜目にも跡の見える街道へ、押つかぶさるやうに重なり合つた、――その下に所々、掛行燈が赤く火を入れて、帰り遅れた馬の鈴が、だんだん近くなつて来るなんぞは、手もなく浮世画の雪景色よ。"
"145","akutagawa","nezumikozo_jirokichi.txt","するとその越後屋重吉と云ふ野郎が、先に立つて雪を踏みながら、"
"146","akutagawa","nezumikozo_jirokichi.txt","「旦那え、今夜はどうか御一しよに願ひたうござりやす。"
"147","akutagawa","nezumikozo_jirokichi.txt","」"
"148","akutagawa","nezumikozo_jirokichi.txt","と何度もうるさく頼みやがるから、おれも異存がある訳ぢやなし、"
"149","akutagawa","nezumikozo_jirokichi.txt","「そりやさう願へれば、私も寂しくなくつて好い。"
"150","akutagawa","nezumikozo_jirokichi.txt","だが私は生憎と、始めて来た八王子だ。"
"151","akutagawa","nezumikozo_jirokichi.txt","何処も旅籠を知ら無えが。"
"152","akutagawa","nezumikozo_jirokichi.txt","」"
"153","akutagawa","nezumikozo_jirokichi.txt","「何に、あすこの山甚と云ふのが、私の定宿でござりやす。"
"154","akutagawa","nezumikozo_jirokichi.txt","」"
"155","akutagawa","nezumikozo_jirokichi.txt","と云つておれをつれこんだのは、やつぱり掛行燈のともつてゐる、新見世だとか云ふ旅籠屋だがの、入口の土間を広くとつて、その奥はすぐに台所へ続くやうな構へだつたらしい。"
