"","auth","piece","line"
"0","akutagawa","noroma_ningyo.txt","野呂松人形"
"1","akutagawa","noroma_ningyo.txt","芥川龍之介"
"2","akutagawa","noroma_ningyo.txt",""
"3","akutagawa","noroma_ningyo.txt","-------------------------------------------------------"
"4","akutagawa","noroma_ningyo.txt","【テキスト中に現れる記号について】"
"5","akutagawa","noroma_ningyo.txt",""
"6","akutagawa","noroma_ningyo.txt","《》：ルビ"
"7","akutagawa","noroma_ningyo.txt","（例）野呂松人形"
"8","akutagawa","noroma_ningyo.txt",""
"9","akutagawa","noroma_ningyo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","noroma_ningyo.txt","（例）江戸｜和泉太夫"
"11","akutagawa","noroma_ningyo.txt",""
"12","akutagawa","noroma_ningyo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","noroma_ningyo.txt","（例）そうありたいばかりでなく、"
"14","akutagawa","noroma_ningyo.txt",""
"15","akutagawa","noroma_ningyo.txt","〔〕：アクセント分解された欧文をかこむ"
"16","akutagawa","noroma_ningyo.txt","（例）日本の 〔e'tiquette〕 も、"
"17","akutagawa","noroma_ningyo.txt","アクセント分解についての詳細は下記URLを参照してください"
"18","akutagawa","noroma_ningyo.txt","http://aozora.gr.jp/accent_separation.html"
"19","akutagawa","noroma_ningyo.txt","-------------------------------------------------------"
"20","akutagawa","noroma_ningyo.txt",""
"21","akutagawa","noroma_ningyo.txt","野呂松人形を使うから、見に来ないかと云う招待が突然来た。"
"22","akutagawa","noroma_ningyo.txt","招待してくれたのは、知らない人である。"
"23","akutagawa","noroma_ningyo.txt","が、文面で、その人が、僕の友人の知人だと云う事がわかった。"
"24","akutagawa","noroma_ningyo.txt","「Ｋ氏も御出の事と存じ候えば」とか何とか、書いてある。"
"25","akutagawa","noroma_ningyo.txt","Ｋが、僕の友人である事は云うまでもない。"
"26","akutagawa","noroma_ningyo.txt","――僕は、ともかくも、招待に応ずる事にした。"
"27","akutagawa","noroma_ningyo.txt",""
"28","akutagawa","noroma_ningyo.txt","野呂松人形と云うものが、どんなものかと云う事は、その日になって、Ｋの説明を聞くまでは、僕もよく知らなかった。"
"29","akutagawa","noroma_ningyo.txt","その後、世事談を見ると、のろまは「江戸｜和泉太夫、芝居に野呂松勘兵衛と云うもの、頭ひらたく色青黒きいやしげなる人形を使う。"
"30","akutagawa","noroma_ningyo.txt","これをのろま人形と云う。"
"31","akutagawa","noroma_ningyo.txt","野呂松の略語なり」とある。"
"32","akutagawa","noroma_ningyo.txt","昔は蔵前の札差とか諸大名の御金御用とかあるいはまたは長袖とかが、楽しみに使ったものだそうだが、今では、これを使う人も数えるほどしかないらしい。"
"33","akutagawa","noroma_ningyo.txt",""
"34","akutagawa","noroma_ningyo.txt","当日、僕は車で、その催しがある日暮里のある人の別荘へ行った。"
"35","akutagawa","noroma_ningyo.txt","二月の末のある曇った日の夕方である。"
"36","akutagawa","noroma_ningyo.txt","日の暮には、まだ間があるので、光とも影ともつかない明るさが、往来に漂っている。"
"37","akutagawa","noroma_ningyo.txt","木の芽を誘うには早すぎるが、空気は、湿気を含んで、どことなく暖い。"
"38","akutagawa","noroma_ningyo.txt","二三ヶ所で問うて、漸く、見つけた家は、人通りの少ない横町にあった。"
"39","akutagawa","noroma_ningyo.txt","が、想像したほど、閑静な住居でもないらしい。"
"40","akutagawa","noroma_ningyo.txt","昔通りのくぐり門をはいって、幅の狭い御影石の石だたみを、玄関の前へ来ると、ここには、式台の柱に、銅鑼が一つ下っている。"
"41","akutagawa","noroma_ningyo.txt","そばに、手ごろな朱塗の棒まで添えてあるから、これで叩くのかなと思っていると、まだ、それを手にしない中に、玄関の障子のかげにいた人が、「どうぞこちらへ」と声をかけた。"
"42","akutagawa","noroma_ningyo.txt",""
"43","akutagawa","noroma_ningyo.txt","受附のような所で、罫紙の帳面に名前を書いて、奥へ通ると、玄関の次の八畳と六畳と、二間一しょにした、うす暗い座敷には、もう大分、客の数が見えていた。"
"44","akutagawa","noroma_ningyo.txt","僕は、人中へ出る時は、大抵、洋服を着てゆく。"
"45","akutagawa","noroma_ningyo.txt","袴だと、拘泥しなければならない。"
