"","auth","piece","line"
"0","akutagawa","numa.txt","沼"
"1","akutagawa","numa.txt","芥川龍之介"
"2","akutagawa","numa.txt",""
"3","akutagawa","numa.txt","-------------------------------------------------------"
"4","akutagawa","numa.txt","【テキスト中に現れる記号について】"
"5","akutagawa","numa.txt",""
"6","akutagawa","numa.txt","《》：ルビ"
"7","akutagawa","numa.txt","（例）夜"
"8","akutagawa","numa.txt",""
"9","akutagawa","numa.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","numa.txt","（例）又｜枝蛙の"
"11","akutagawa","numa.txt",""
"12","akutagawa","numa.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","numa.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","numa.txt","（例）※や"
"15","akutagawa","numa.txt","-------------------------------------------------------"
"16","akutagawa","numa.txt",""
"17","akutagawa","numa.txt","おれは沼のほとりを歩いてゐる。"
"18","akutagawa","numa.txt",""
"19","akutagawa","numa.txt","昼か、夜か、それもおれにはわからない。"
"20","akutagawa","numa.txt","唯、どこかで蒼鷺の啼く声がしたと思つたら、蔦葛に掩はれた木々の梢に、薄明りの仄めく空が見えた。"
"21","akutagawa","numa.txt",""
"22","akutagawa","numa.txt","沼にはおれの丈よりも高い芦が、ひつそりと水面をとざしてゐる。"
"23","akutagawa","numa.txt","水も動かない。"
"24","akutagawa","numa.txt","藻も動かない。"
"25","akutagawa","numa.txt","水の底に棲んでゐる魚も――魚がこの沼に棲んでゐるであらうか。"
"26","akutagawa","numa.txt",""
"27","akutagawa","numa.txt","昼か、夜か、それもおれにはわからない。"
"28","akutagawa","numa.txt","おれはこの五六日、この沼のほとりばかり歩いてゐた。"
"29","akutagawa","numa.txt","寒い朝日の光と一しよに、水の※や芦の※ひがおれの体を包んだ事もある。"
"30","akutagawa","numa.txt","と思ふと又｜枝蛙の声が、蔦葛に蔽はれた木々の梢から、一つ一つかすかな星を呼びさました覚えもあつた。"
"31","akutagawa","numa.txt",""
"32","akutagawa","numa.txt","おれは沼のほとりを歩いてゐる。"
"33","akutagawa","numa.txt",""
"34","akutagawa","numa.txt","沼にはおれの丈よりも高い芦が、ひつそりと水面をとざしてゐる。"
"35","akutagawa","numa.txt","おれは遠い昔から、その芦の茂つた向うに、不思議な世界のある事を知つてゐた。"
"36","akutagawa","numa.txt","いや、今でもおれの耳には、Invitation au Voyage の曲が、絶え絶えに其処から漂つて来る。"
"37","akutagawa","numa.txt","さう云へば水の※や芦の※と一しよに、あの「スマトラの忘れな艸の花」も、蜜のやうな甘い※を送つて来はしないであらうか。"
"38","akutagawa","numa.txt",""
"39","akutagawa","numa.txt","昼か、夜か、それもおれにはわからない。"
"40","akutagawa","numa.txt","おれはこの五六日、その不思議な世界に憧がれて、蔦葛に掩はれた木々の間を、夢現のやうに歩いてゐた。"
"41","akutagawa","numa.txt","が、此処に待つてゐても、唯芦と水とばかりがひつそりと拡がつてゐる以上、おれは進んで沼の中へ、あの「スマトラの忘れな艸の花」を探しに行かなければならぬ。"
"42","akutagawa","numa.txt","見れば幸、芦の中から半ば沼へさし出てゐる、年経た柳が一株ある。"
"43","akutagawa","numa.txt","あすこから沼へ飛びこみさへすれば、造作なく水の底にある世界へ行かれるのに違ひない。"
"44","akutagawa","numa.txt",""
"45","akutagawa","numa.txt","おれはとうとうその柳の上から、思ひ切つて沼へ身を投げた。"
"46","akutagawa","numa.txt",""
"47","akutagawa","numa.txt","おれの丈より高い芦が、その拍子に何かしやべり立てた。"
"48","akutagawa","numa.txt","水が呟く。"
"49","akutagawa","numa.txt","藻が身ぶるひをする。"
"50","akutagawa","numa.txt","あの蔦葛に掩はれた、枝蛙の鳴くあたりの木々さへ、一時はさも心配さうに吐息を洩らし合つたらしい。"
"51","akutagawa","numa.txt","おれは石のやうに水底へ沈みながら、数限りもない青い焔が、目まぐるしくおれの身のまはりに飛びちがふやうな心もちがした。"
"52","akutagawa","numa.txt",""
"53","akutagawa","numa.txt","昼か、夜か、それもおれにはわからない。"
"54","akutagawa","numa.txt",""
"55","akutagawa","numa.txt","おれの死骸は沼の底の滑な泥に横はつてゐる。"
"56","akutagawa","numa.txt","死骸の周囲にはどこを見ても、まつ青な水があるばかりであつた。"
"57","akutagawa","numa.txt","この水の下にこそ不思議な世界があると思つたのは、やはりおれの迷だつたのであらうか。"
"58","akutagawa","numa.txt","事によると Invitation au Voyage の曲も、この沼の精が悪戯に、おれの耳を欺してゐたのかも知れない。"
"59","akutagawa","numa.txt","が、さう思つてゐる内に、何やら細い茎が一すぢ、おれの死骸の口の中から、すらすらと長く伸び始めた。"
"60","akutagawa","numa.txt","さうしてそれが頭の上の水面へやつと届いたと思ふと、忽ち白い睡蓮の花が、丈の高い芦に囲まれた、藻の※のする沼の中に、的※と鮮な莟を破つた。"
"61","akutagawa","numa.txt",""
