"","auth","piece","line"
"0","akutagawa","ogin.txt","おぎん"
"1","akutagawa","ogin.txt","芥川龍之介"
"2","akutagawa","ogin.txt",""
"3","akutagawa","ogin.txt","-------------------------------------------------------"
"4","akutagawa","ogin.txt","【テキスト中に現れる記号について】"
"5","akutagawa","ogin.txt",""
"6","akutagawa","ogin.txt","《》：ルビ"
"7","akutagawa","ogin.txt","（例）元和"
"8","akutagawa","ogin.txt",""
"9","akutagawa","ogin.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","ogin.txt","（例）天性｜奸智に富んだ釈迦は"
"11","akutagawa","ogin.txt",""
"12","akutagawa","ogin.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","ogin.txt","（例）さん・じょあん・ばちすた"
"14","akutagawa","ogin.txt","-------------------------------------------------------"
"15","akutagawa","ogin.txt",""
"16","akutagawa","ogin.txt","元和か、寛永か、とにかく遠い昔である。"
"17","akutagawa","ogin.txt",""
"18","akutagawa","ogin.txt","天主のおん教を奉ずるものは、その頃でももう見つかり次第、火炙りや磔に遇わされていた。"
"19","akutagawa","ogin.txt","しかし迫害が烈しいだけに、「万事にかない給うおん主」も、その頃は一層この国の宗徒に、あらたかな御加護を加えられたらしい。"
"20","akutagawa","ogin.txt","長崎あたりの村々には、時々日の暮の光と一しょに、天使や聖徒の見舞う事があった。"
"21","akutagawa","ogin.txt","現にあのさん・じょあん・ばちすたさえ、一度などは浦上の宗徒みげる弥兵衛の水車小屋に、姿を現したと伝えられている。"
"22","akutagawa","ogin.txt","と同時に悪魔もまた宗徒の精進を妨げるため、あるいは見慣れぬ黒人となり、あるいは舶来の草花となり、あるいは網代の乗物となり、しばしば同じ村々に出没した。"
"23","akutagawa","ogin.txt","夜昼さえ分たぬ土の牢に、みげる弥兵衛を苦しめた鼠も、実は悪魔の変化だったそうである。"
"24","akutagawa","ogin.txt","弥兵衛は元和八年の秋、十一人の宗徒と火炙りになった。"
"25","akutagawa","ogin.txt","――その元和か、寛永か、とにかく遠い昔である。"
"26","akutagawa","ogin.txt",""
"27","akutagawa","ogin.txt","やはり浦上の山里村に、おぎんと云う童女が住んでいた。"
"28","akutagawa","ogin.txt","おぎんの父母は大阪から、はるばる長崎へ流浪して来た。"
"29","akutagawa","ogin.txt","が、何もし出さない内に、おぎん一人を残したまま、二人とも故人になってしまった。"
"30","akutagawa","ogin.txt","勿論彼等他国ものは、天主のおん教を知るはずはない。"
"31","akutagawa","ogin.txt","彼等の信じたのは仏教である。"
"32","akutagawa","ogin.txt","禅か、法華か、それともまた浄土か、何にもせよ釈迦の教である。"
"33","akutagawa","ogin.txt","ある仏蘭西のジェスウイットによれば、天性｜奸智に富んだ釈迦は、支那各地を遊歴しながら、阿弥陀と称する仏の道を説いた。"
"34","akutagawa","ogin.txt","その後また日本の国へも、やはり同じ道を教に来た。"
"35","akutagawa","ogin.txt","釈迦の説いた教によれば、我々人間の霊魂は、その罪の軽重深浅に従い、あるいは小鳥となり、あるいは牛となり、あるいはまた樹木となるそうである。"
"36","akutagawa","ogin.txt","のみならず釈迦は生まれる時、彼の母を殺したと云う。"
"37","akutagawa","ogin.txt","釈迦の教の荒誕なのは勿論、釈迦の大悪もまた明白である。"
"38","akutagawa","ogin.txt","（ジアン・クラッセ）しかしおぎんの母親は、前にもちょいと書いた通り、そう云う真実を知るはずはない。"
"39","akutagawa","ogin.txt","彼等は息を引きとった後も、釈迦の教を信じている。"
"40","akutagawa","ogin.txt","寂しい墓原の松のかげに、末は「いんへるの」に堕ちるのも知らず、はかない極楽を夢見ている。"
"41","akutagawa","ogin.txt",""
"42","akutagawa","ogin.txt","しかしおぎんは幸いにも、両親の無知に染まっていない。"
"43","akutagawa","ogin.txt","これは山里村居つきの農夫、憐みの深いじょあん孫七は、とうにこの童女の額へ、ばぷちずものおん水を注いだ上、まりやと云う名を与えていた。"
"44","akutagawa","ogin.txt","おぎんは釈迦が生まれた時、天と地とを指しながら、「天上天下唯我独尊」と獅子吼した事などは信じていない。"
"45","akutagawa","ogin.txt","その代りに、「深く御柔軟、深く御哀憐、勝れて甘くまします童女さんた・まりあ様」が、自然と身ごもった事を信じている。"
"46","akutagawa","ogin.txt","「十字架に懸り死し給い、石の御棺に納められ給い、」大地の底に埋められたぜすすが、三日の後よみ返った事を信じている。"
"47","akutagawa","ogin.txt","御糺明の喇叭さえ響き渡れば、「おん主、大いなる御威光、大いなる御威勢を以て天下り給い、土埃になりたる人々の色身を、もとの霊魂に併せてよみ返し給い、善人は天上の快楽を受け、また悪人は天狗と共に、地獄に堕ち」る事を信じている。"
"48","akutagawa","ogin.txt","殊に「御言葉の御聖徳により、ぱんと酒の色形は変らずといえども、その正体はおん主の御血肉となり変る」尊いさがらめんとを信じている。"
"49","akutagawa","ogin.txt","おぎんの心は両親のように、熱風に吹かれた沙漠ではない。"
"50","akutagawa","ogin.txt","素朴な野薔薇の花を交えた、実りの豊かな麦畠である。"
"51","akutagawa","ogin.txt","おぎんは両親を失った後、じょあん孫七の養女になった。"
"52","akutagawa","ogin.txt","孫七の妻、じょあんなおすみも、やはり心の優しい人である。"
"53","akutagawa","ogin.txt","おぎんはこの夫婦と一しょに、牛を追ったり麦を刈ったり、幸福にその日を送っていた。"
"54","akutagawa","ogin.txt","勿論そう云う暮しの中にも、村人の目に立たない限りは、断食や祈祷も怠った事はない。"
"55","akutagawa","ogin.txt","おぎんは井戸端の無花果のかげに、大きい三日月を仰ぎながら、しばしば熱心に祈祷を凝らした。"
"56","akutagawa","ogin.txt","この垂れ髪の童女の祈祷は、こう云う簡単なものなのである。"
"57","akutagawa","ogin.txt",""
"58","akutagawa","ogin.txt","「憐みのおん母、おん身におん礼をなし奉る。"
"59","akutagawa","ogin.txt","流人となれるえわの子供、おん身に叫びをなし奉る。"
"60","akutagawa","ogin.txt","あわれこの涙の谷に、柔軟のおん眼をめぐらさせ給え。"
"61","akutagawa","ogin.txt","あんめい。"
"62","akutagawa","ogin.txt","」"
"63","akutagawa","ogin.txt","するとある年のなたら（降誕祭）の夜、悪魔は何人かの役人と一しょに、突然｜孫七の家へはいって来た。"
"64","akutagawa","ogin.txt","孫七の家には大きな囲炉裡に「お伽の焚き物」の火が燃えさかっている。"
"65","akutagawa","ogin.txt","それから煤びた壁の上にも、今夜だけは十字架が祭ってある。"
