"","auth","piece","line"
"0","akutagawa","ojo_emaki.txt","往生絵巻"
"1","akutagawa","ojo_emaki.txt","芥川龍之介"
"2","akutagawa","ojo_emaki.txt",""
"3","akutagawa","ojo_emaki.txt","-------------------------------------------------------"
"4","akutagawa","ojo_emaki.txt","【テキスト中に現れる記号について】"
"5","akutagawa","ojo_emaki.txt",""
"6","akutagawa","ojo_emaki.txt","《》：ルビ"
"7","akutagawa","ojo_emaki.txt","（例）童"
"8","akutagawa","ojo_emaki.txt",""
"9","akutagawa","ojo_emaki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","ojo_emaki.txt","（例）近頃｜健気な"
"11","akutagawa","ojo_emaki.txt",""
"12","akutagawa","ojo_emaki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","ojo_emaki.txt","（例）"
"14","akutagawa","ojo_emaki.txt","-------------------------------------------------------"
"15","akutagawa","ojo_emaki.txt",""
"16","akutagawa","ojo_emaki.txt",""
"17","akutagawa","ojo_emaki.txt","童やあ、あそこへ妙な法師が来た。"
"18","akutagawa","ojo_emaki.txt","みんな見ろ。"
"19","akutagawa","ojo_emaki.txt","みんな見ろ。"
"20","akutagawa","ojo_emaki.txt",""
"21","akutagawa","ojo_emaki.txt","鮓売の女ほんたうに妙な法師ぢやないか？あんなに金鼓をたたきながら、何だか大声に喚いてゐる。"
"22","akutagawa","ojo_emaki.txt","……"
"23","akutagawa","ojo_emaki.txt","薪売の翁わしは耳が遠いせゐか、何を喚くのやら、さつぱりわからぬ。"
"24","akutagawa","ojo_emaki.txt","もしもし、あれは何と云うて居りますな？"
"25","akutagawa","ojo_emaki.txt","箔打の男あれは「阿弥陀仏よや。"
"26","akutagawa","ojo_emaki.txt","おおい。"
"27","akutagawa","ojo_emaki.txt","おおい」と云つてゐるのさ。"
"28","akutagawa","ojo_emaki.txt",""
"29","akutagawa","ojo_emaki.txt","薪売の翁ははあ、――では気違ひだな。"
"30","akutagawa","ojo_emaki.txt",""
"31","akutagawa","ojo_emaki.txt","箔打の男まあ、そんな事だらうよ。"
"32","akutagawa","ojo_emaki.txt",""
"33","akutagawa","ojo_emaki.txt","菜売の媼いやいや、難有い御上人かも知れぬ。"
"34","akutagawa","ojo_emaki.txt","私は今の間に拝んで置かう。"
"35","akutagawa","ojo_emaki.txt",""
"36","akutagawa","ojo_emaki.txt","鮓売の女それでも憎々しい顔ぢやないか？あんな顔をした御上人が何処の国にゐるものかね。"
"37","akutagawa","ojo_emaki.txt",""
"38","akutagawa","ojo_emaki.txt","菜売の媼勿体ない事を御云ひでない。"
"39","akutagawa","ojo_emaki.txt","罰でも当つたら、どうおしだえ？"
"40","akutagawa","ojo_emaki.txt","童気違ひやい。"
"41","akutagawa","ojo_emaki.txt","気違ひやい。"
"42","akutagawa","ojo_emaki.txt",""
"43","akutagawa","ojo_emaki.txt","五位の入道阿弥陀仏よや。"
"44","akutagawa","ojo_emaki.txt","おおい。"
"45","akutagawa","ojo_emaki.txt","おおい。"
"46","akutagawa","ojo_emaki.txt",""
"47","akutagawa","ojo_emaki.txt","犬わんわん。"
"48","akutagawa","ojo_emaki.txt","わんわん。"
"49","akutagawa","ojo_emaki.txt",""
"50","akutagawa","ojo_emaki.txt","物詣の女房御覧なさいまし。"
"51","akutagawa","ojo_emaki.txt","可笑しい法師が参りました。"
"52","akutagawa","ojo_emaki.txt",""
"53","akutagawa","ojo_emaki.txt","その伴ああ云ふ莫迦者は女と見ると、悪戯をせぬとも限りません。"
"54","akutagawa","ojo_emaki.txt","幸ひ近くならぬ内に、こちらの路へ切れてしまひませう。"
"55","akutagawa","ojo_emaki.txt",""
"56","akutagawa","ojo_emaki.txt","鋳物師おや、あれは多度の五位殿ぢやないか？"
"57","akutagawa","ojo_emaki.txt","水銀を商ふ旅人五位殿だか何だか知らないが、あの人が急に弓矢を捨てて、出家してしまつたものだから、多度では大変な騒ぎだつたよ。"
"58","akutagawa","ojo_emaki.txt",""
"59","akutagawa","ojo_emaki.txt","青侍成程五位殿に違ひない。"
"60","akutagawa","ojo_emaki.txt","北の方や御子様たちは、さぞかし御歎きなすつたらう。"
"61","akutagawa","ojo_emaki.txt",""
"62","akutagawa","ojo_emaki.txt","水銀を商ふ旅人何でも奥方や御子供衆は、泣いてばかり御出でだとか云ふ事でした。"
"63","akutagawa","ojo_emaki.txt",""
"64","akutagawa","ojo_emaki.txt","鋳物師しかし妻子を捨ててまでも、仏門に入らうとなすつたのは、近頃｜健気な御志だ。"
"65","akutagawa","ojo_emaki.txt",""
"66","akutagawa","ojo_emaki.txt","干魚を売る女何の健気な事がありますものか？捨てられた妻子の身になれば、弥陀仏でも女でも、男を取つたものには怨みがありますわね。"
"67","akutagawa","ojo_emaki.txt",""
"68","akutagawa","ojo_emaki.txt","青侍いや、大きにこれも一理窟だ。"
"69","akutagawa","ojo_emaki.txt","ははははは。"
"70","akutagawa","ojo_emaki.txt",""
"71","akutagawa","ojo_emaki.txt","犬わんわん。"
"72","akutagawa","ojo_emaki.txt","わんわん。"
"73","akutagawa","ojo_emaki.txt",""
"74","akutagawa","ojo_emaki.txt","五位の入道阿弥陀仏よや。"
"75","akutagawa","ojo_emaki.txt","おおい。"
"76","akutagawa","ojo_emaki.txt","おおい。"
"77","akutagawa","ojo_emaki.txt",""
"78","akutagawa","ojo_emaki.txt","馬上の武者ええ、馬が驚くわ。"
"79","akutagawa","ojo_emaki.txt","どうどう。"
"80","akutagawa","ojo_emaki.txt",""
"81","akutagawa","ojo_emaki.txt","櫃をおへる従者気違ひには手がつけられませぬ。"
"82","akutagawa","ojo_emaki.txt",""
"83","akutagawa","ojo_emaki.txt","老いたる尼あの法師は御存知の通り、殺生好きな悪人でしたが、よく発心したものですね。"
"84","akutagawa","ojo_emaki.txt",""
"85","akutagawa","ojo_emaki.txt","若き尼ほんたうに恐しい人でございました。"
"86","akutagawa","ojo_emaki.txt","山狩や川狩をするばかりか、乞食なぞも遠矢にかけましたつけ。"
"87","akutagawa","ojo_emaki.txt",""
"88","akutagawa","ojo_emaki.txt","手に足駄を穿ける乞食好い時に遇つたものだ。"
"89","akutagawa","ojo_emaki.txt","もう二三日早かつたら、胴中に矢の穴が明いたかも知れぬ。"
"90","akutagawa","ojo_emaki.txt",""
"91","akutagawa","ojo_emaki.txt","栗｜胡桃などを商ふ主どうして又ああ云ふ殺伐な人が、頭を剃る気になつたのでせう？"
"92","akutagawa","ojo_emaki.txt","老いたる尼さあ、それは不思議ですが、やはり御仏の御計らひでせう。"
"93","akutagawa","ojo_emaki.txt",""
"94","akutagawa","ojo_emaki.txt","油を商ふ主私はきつと天狗か何かが、憑いてゐると思ふのだがね。"
"95","akutagawa","ojo_emaki.txt",""
"96","akutagawa","ojo_emaki.txt","栗胡桃などを商ふ主いや、私は狐だと思つてるのさ。"
"97","akutagawa","ojo_emaki.txt",""
"98","akutagawa","ojo_emaki.txt","油を商ふ主それでも天狗はどうかすると、仏に化けると云ふぢやないか？"
"99","akutagawa","ojo_emaki.txt","栗胡桃などを商ふ主何、仏に化けるものは、天狗ばかりに限つた事ぢやない。"
"100","akutagawa","ojo_emaki.txt","狐もやつぱり化けるさうだ。"
"101","akutagawa","ojo_emaki.txt",""
"102","akutagawa","ojo_emaki.txt","手に足駄を穿ける乞食どれ、この暇に頸の袋へ、栗でも一ぱい盗んで行かうか。"
"103","akutagawa","ojo_emaki.txt",""
"104","akutagawa","ojo_emaki.txt","若き尼あれあれ、あの金鼓の音に驚いたのか、鶏が皆屋根へ上りました。"
"105","akutagawa","ojo_emaki.txt",""
"106","akutagawa","ojo_emaki.txt","五位の入道阿弥陀仏よや。"
"107","akutagawa","ojo_emaki.txt","おおい。"
"108","akutagawa","ojo_emaki.txt","おおい。"
"109","akutagawa","ojo_emaki.txt",""
"110","akutagawa","ojo_emaki.txt","釣をする下衆これは騒々しい法師が来たものだ。"
