"","auth","piece","line"
"0","akutagawa","okunno_shinshu.txt","Ｏ君の新秋"
"1","akutagawa","okunno_shinshu.txt","芥川龍之介"
"2","akutagawa","okunno_shinshu.txt",""
"3","akutagawa","okunno_shinshu.txt","-------------------------------------------------------"
"4","akutagawa","okunno_shinshu.txt","【テキスト中に現れる記号について】"
"5","akutagawa","okunno_shinshu.txt",""
"6","akutagawa","okunno_shinshu.txt","《》：ルビ"
"7","akutagawa","okunno_shinshu.txt","（例）膝"
"8","akutagawa","okunno_shinshu.txt",""
"9","akutagawa","okunno_shinshu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","okunno_shinshu.txt","（例）白｜足袋"
"11","akutagawa","okunno_shinshu.txt",""
"12","akutagawa","okunno_shinshu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","okunno_shinshu.txt","（例）"
"14","akutagawa","okunno_shinshu.txt","-------------------------------------------------------"
"15","akutagawa","okunno_shinshu.txt",""
"16","akutagawa","okunno_shinshu.txt","僕は膝を抱へながら、洋画家のＯ君と話してゐた。"
"17","akutagawa","okunno_shinshu.txt","赤シヤツを着たＯ君は畳の上に腹這ひになり、のべつにバツトをふかしてゐた。"
"18","akutagawa","okunno_shinshu.txt","その又Ｏ君の傍らには妙にものものしい義足が一つ、白｜足袋の足を仰向かせてゐた。"
"19","akutagawa","okunno_shinshu.txt",""
"20","akutagawa","okunno_shinshu.txt","「まだ残暑と云ふ感じだね。"
"21","akutagawa","okunno_shinshu.txt","」"
"22","akutagawa","okunno_shinshu.txt","Ｏ君は返事をする前にちよつと眉をひそめるやうにし、縁先の紫苑へ目をやつた。"
"23","akutagawa","okunno_shinshu.txt","何本かの紫苑はいつの間にか細かい花を簇らせたまま、そよりともせずに日を受けてゐた。"
"24","akutagawa","okunno_shinshu.txt",""
"25","akutagawa","okunno_shinshu.txt","「おや、こいつはもう咲いてゐらあ。"
"26","akutagawa","okunno_shinshu.txt","この………何と云つたつけ、団扇の画の中にゐる花の野郎は。"
"27","akutagawa","okunno_shinshu.txt","」"
"28","akutagawa","okunno_shinshu.txt",""
"29","akutagawa","okunno_shinshu.txt","×"
"30","akutagawa","okunno_shinshu.txt",""
"31","akutagawa","okunno_shinshu.txt","海の音の聞えない、空気の澄んだ日の暮だつた。"
"32","akutagawa","okunno_shinshu.txt","僕はやはりＯ君と一しよに広い砂の道を散歩してゐた。"
"33","akutagawa","okunno_shinshu.txt","すると向うからお嬢さんが一人、生け垣に沿うて歩いて来た。"
"34","akutagawa","okunno_shinshu.txt","白地の絣に赤い帯をしめた、可也背の高いお嬢さんだつた。"
"35","akutagawa","okunno_shinshu.txt",""
"36","akutagawa","okunno_shinshu.txt","「あ、あのお嬢さんは気の毒だなあ。"
"37","akutagawa","okunno_shinshu.txt","長い脚を持て扱つてゐる。"
"38","akutagawa","okunno_shinshu.txt","」"
"39","akutagawa","okunno_shinshu.txt","実際その又お嬢さんの態度はＯ君の言葉にそつくりだつた。"
"40","akutagawa","okunno_shinshu.txt",""
"41","akutagawa","okunno_shinshu.txt",""
"42","akutagawa","okunno_shinshu.txt","×"
"43","akutagawa","okunno_shinshu.txt",""
"44","akutagawa","okunno_shinshu.txt","Ｏ君は杖を小脇にしたまま、或大きい別荘の裏のコンクリイトの塀に立ち小便をしてゐた。"
"45","akutagawa","okunno_shinshu.txt","そこへ近眼鏡か何かかけた巡査が一人通りかかつた。"
"46","akutagawa","okunno_shinshu.txt","巡査は勿論｜咎めたかつたと見え、白扇でＯ君を指さすやうにした。"
"47","akutagawa","okunno_shinshu.txt",""
"48","akutagawa","okunno_shinshu.txt","「これです。"
"49","akutagawa","okunno_shinshu.txt","これです。"
"50","akutagawa","okunno_shinshu.txt","」"
"51","akutagawa","okunno_shinshu.txt","Ｏ君は多少｜吃りながら、杖で二三度右の脚を打つた。"
"52","akutagawa","okunno_shinshu.txt","右の脚は義足だつたから、かんかん云つたのに違ひなかつた。"
"53","akutagawa","okunno_shinshu.txt",""
"54","akutagawa","okunno_shinshu.txt","「僕の家はそこなんですが、……」"
"55","akutagawa","okunno_shinshu.txt","巡査はにやにや笑つたぎり、何も言はずに通りすぎてしまつた。"
"56","akutagawa","okunno_shinshu.txt",""
"57","akutagawa","okunno_shinshu.txt",""
"58","akutagawa","okunno_shinshu.txt","×"
"59","akutagawa","okunno_shinshu.txt",""
"60","akutagawa","okunno_shinshu.txt","家々の屋根や松の梢に西日の残つてゐる夕がただつた。"
"61","akutagawa","okunno_shinshu.txt","僕はキヤンデイイ・ストアアの前に偶然Ｏ君と顔を合せた。"
"62","akutagawa","okunno_shinshu.txt","Ｏ君は久しぶりに和服に着換へ、松葉杖をついて来たのだつた。"
"63","akutagawa","okunno_shinshu.txt",""
"64","akutagawa","okunno_shinshu.txt","「けふは松葉杖だね。"
"65","akutagawa","okunno_shinshu.txt","」"
"66","akutagawa","okunno_shinshu.txt","Ｏ君は白い歯を見せて笑つた。"
"67","akutagawa","okunno_shinshu.txt",""
"68","akutagawa","okunno_shinshu.txt","「ああ、けふはオオル（櫂）にしたよ。"
"69","akutagawa","okunno_shinshu.txt","」"
"70","akutagawa","okunno_shinshu.txt",""
"71","akutagawa","okunno_shinshu.txt","×"
"72","akutagawa","okunno_shinshu.txt",""
"73","akutagawa","okunno_shinshu.txt","僕はＯ君の家へ遊びに行き、四畳半の電燈の下にいろいろのことを話し合つた。"
"74","akutagawa","okunno_shinshu.txt","が、大抵は神経とかテレパシイとかの話だつた。"
"75","akutagawa","okunno_shinshu.txt","Ｕと云ふ僕の友だちの一人はコツプに水を入れて枕もとへ置き、暫くたつてそのコツプを見ると、いつか水が半分になつてゐる、或晩などはうとうとしてゐると、いきなり顔へ水がかかつた。"
"76","akutagawa","okunno_shinshu.txt","しかし驚いて飛び起きて見ると、コツプだけは倒れずにちやんとしてゐる、――そんな話も出たものだつた。"
"77","akutagawa","okunno_shinshu.txt",""
"78","akutagawa","okunno_shinshu.txt","それから僕等は散歩かたがた、町まで買ひものに出かけることにした。"
"79","akutagawa","okunno_shinshu.txt","するとＯ君はいつもに似合はず、肘掛け窓の戸などをしめはじめた。"
"80","akutagawa","okunno_shinshu.txt","のみならず僕にかう言つて笑つた。"
"81","akutagawa","okunno_shinshu.txt",""
"82","akutagawa","okunno_shinshu.txt","「この窓に明りがさしてゐるとね、どうもそとから帰つて来た時に誰か一人ここに坐つて、湯でものんでゐさうな気がするからね。"
"83","akutagawa","okunno_shinshu.txt","」"
"84","akutagawa","okunno_shinshu.txt","Ｏ君は勿論この家に自炊生活をしてゐるのである。"
"85","akutagawa","okunno_shinshu.txt",""
"86","akutagawa","okunno_shinshu.txt",""
"87","akutagawa","okunno_shinshu.txt","×"
"88","akutagawa","okunno_shinshu.txt",""
"89","akutagawa","okunno_shinshu.txt","Ｏ君はけふも不相変赤シヤツに黒いチヨツキを着たまま、午前十一時の裏庇の下に七輪の火を起してゐた。"
"90","akutagawa","okunno_shinshu.txt","焚きつけは枯れ松葉や松蓋だつた。"
"91","akutagawa","okunno_shinshu.txt","僕は裏木戸へ顔を出しながら、「どうだね？飯は炊けるかね？」と言つた。"
"92","akutagawa","okunno_shinshu.txt","が、Ｏ君はふり返ると、僕の問には答へずにあたりの松の木へ顋をやつた。"
"93","akutagawa","okunno_shinshu.txt",""
"94","akutagawa","okunno_shinshu.txt","「かうやつて飯を炊いてゐるとね、松は皆焚きつけの木――だよ。"
"95","akutagawa","okunno_shinshu.txt","」"
"96","akutagawa","okunno_shinshu.txt",""
"97","akutagawa","okunno_shinshu.txt","×"
"98","akutagawa","okunno_shinshu.txt",""
"99","akutagawa","okunno_shinshu.txt","パナマ帽をかぶつたＯ君は小高い砂丘に腰をおろし、せつせとブラツシユを動かしてゐた。"
"100","akutagawa","okunno_shinshu.txt","柱だけの白いバンガロオが一軒、若い松の群立つた中にひつそりと鎧戸を下してゐる。"
"101","akutagawa","okunno_shinshu.txt","――それを写生してゐるのだつた。"
"102","akutagawa","okunno_shinshu.txt","松は僕等の居まはりにも二三尺の高さに伸びたまま、さすがに秋らしい風の中に青い松かさを実のらせてゐた。"
"103","akutagawa","okunno_shinshu.txt",""
"104","akutagawa","okunno_shinshu.txt","「松ぼつくりと云ふものはこんな松にもなるものなんだね。"
"105","akutagawa","okunno_shinshu.txt","」"
"106","akutagawa","okunno_shinshu.txt","Ｏ君はブラツシユを動かしながら、僕の方へ向かずに返事をした。"
"107","akutagawa","okunno_shinshu.txt",""
"108","akutagawa","okunno_shinshu.txt","「女の子が妊娠したと云ふ感じだなあ。"
"109","akutagawa","okunno_shinshu.txt","」"
"110","akutagawa","okunno_shinshu.txt",""
"111","akutagawa","okunno_shinshu.txt","×"
"112","akutagawa","okunno_shinshu.txt",""
"113","akutagawa","okunno_shinshu.txt","Ｏ君は本職の仕事の間にせつせと発句を作つてゐる。"
"114","akutagawa","okunno_shinshu.txt","ちよつとＯ君を写生した次手にそれ等の発句もつけ加へるとすれば――"
"115","akutagawa","okunno_shinshu.txt",""
"116","akutagawa","okunno_shinshu.txt","らん竹に鋏入れたる曇り哉"
"117","akutagawa","okunno_shinshu.txt","夜具綿は糸瓜の棚に干しもせよ"
"118","akutagawa","okunno_shinshu.txt","わくら葉は蝶となりけり糸すすき"
"119","akutagawa","okunno_shinshu.txt","うすら日を糸瓜かはむけ井戸端に"
"120","akutagawa","okunno_shinshu.txt","ひときはにあをきは草の松林"
"121","akutagawa","okunno_shinshu.txt","大つぶもまじへて栗のはしり哉"
"122","akutagawa","okunno_shinshu.txt","鳳仙花種をわりてぞもずのこゑ"
"123","akutagawa","okunno_shinshu.txt",""
"124","akutagawa","okunno_shinshu.txt","（十五・十・十一｜鵠沼）"
"125","akutagawa","okunno_shinshu.txt",""
"126","akutagawa","okunno_shinshu.txt",""
"127","akutagawa","okunno_shinshu.txt",""
