"","auth","piece","line"
"0","akutagawa","omu.txt","鸚鵡"
"1","akutagawa","omu.txt","――大震覚え書の一つ――"
"2","akutagawa","omu.txt","芥川龍之介"
"3","akutagawa","omu.txt",""
"4","akutagawa","omu.txt","-------------------------------------------------------"
"5","akutagawa","omu.txt","【テキスト中に現れる記号について】"
"6","akutagawa","omu.txt",""
"7","akutagawa","omu.txt","《》：ルビ"
"8","akutagawa","omu.txt","（例）余裕"
"9","akutagawa","omu.txt",""
"10","akutagawa","omu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","akutagawa","omu.txt","（例）日比谷｜迄"
"12","akutagawa","omu.txt",""
"13","akutagawa","omu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","akutagawa","omu.txt","（例）おちたら"
"15","akutagawa","omu.txt","-------------------------------------------------------"
"16","akutagawa","omu.txt",""
"17","akutagawa","omu.txt","これは御覧の通り覚え書に過ぎない。"
"18","akutagawa","omu.txt","覚え書を覚え書のまま発表するのは時間の余裕に乏しい為である。"
"19","akutagawa","omu.txt","或は又その外にも気持の余裕に乏しい為である。"
"20","akutagawa","omu.txt","しかし覚え書のまま発表することに多少は意味のない訣でもない。"
"21","akutagawa","omu.txt","大正十二年九月十四日記。"
"22","akutagawa","omu.txt",""
"23","akutagawa","omu.txt",""
"24","akutagawa","omu.txt","本所横網町に住める一中節の師匠。"
"25","akutagawa","omu.txt","名は鐘大夫。"
"26","akutagawa","omu.txt","年は六十三歳。"
"27","akutagawa","omu.txt","十七歳の孫娘と二人暮らしなり。"
"28","akutagawa","omu.txt",""
"29","akutagawa","omu.txt","家は地震にも潰れざりしかど、忽ち近隣に出火あり。"
"30","akutagawa","omu.txt","孫娘と共に両国に走る。"
"31","akutagawa","omu.txt","携へしものは鸚鵡の籠のみ。"
"32","akutagawa","omu.txt","鸚鵡の名は五郎。"
"33","akutagawa","omu.txt","背は鼠色、腹は桃色。"
"34","akutagawa","omu.txt","芸は錺屋の槌の音と「ナアル」（成程の略）といふ言葉とを真似るだけなり。"
"35","akutagawa","omu.txt",""
"36","akutagawa","omu.txt","両国より人形町へ出づる間にいつか孫娘と離れ離れになる。"
"37","akutagawa","omu.txt","心配なれども探してゐる暇なし。"
"38","akutagawa","omu.txt","往来の人波。"
"39","akutagawa","omu.txt","荷物の山。"
"40","akutagawa","omu.txt","カナリヤの籠を持ちし女を見る。"
"41","akutagawa","omu.txt","待合の女将かと思はるる服装。"
"42","akutagawa","omu.txt","「こちとらに似たものもあると思ひました」といふ。"
"43","akutagawa","omu.txt","その位の余裕はあるものと見ゆ。"
"44","akutagawa","omu.txt",""
"45","akutagawa","omu.txt","鎧橋に出づ。"
"46","akutagawa","omu.txt","町の片側は火事なり。"
"47","akutagawa","omu.txt","その側に面せるに顔、焼くるかと思ふほど熱かりし由。"
"48","akutagawa","omu.txt","又何か落つると思へば、電線を被へる鉛管の火熱の為に熔け落つるなり。"
"49","akutagawa","omu.txt","この辺より一層人に押され、度たび鸚鵡の籠も潰れずやと思ふ。"
"50","akutagawa","omu.txt","鸚鵡は始終狂ひまはりて已まず。"
"51","akutagawa","omu.txt",""
"52","akutagawa","omu.txt","丸の内に出づれば日比谷の空に火事の煙の揚がるを見る。"
"53","akutagawa","omu.txt","警視庁、帝劇などの焼け居りしならん。"
"54","akutagawa","omu.txt","やつと楠の銅像のほとりに至る。"
"55","akutagawa","omu.txt","芝の上に坐りしかど、孫娘のことが気にかかりてならず。"
"56","akutagawa","omu.txt","大声に孫娘の名を呼びつつ、避難民の間を探しまはる。"
"57","akutagawa","omu.txt","日暮。"
"58","akutagawa","omu.txt","遂に松のかげに横はる。"
"59","akutagawa","omu.txt","隣りは店員数人をつれたる株屋。"
"60","akutagawa","omu.txt","空は火事の煙の為、どちらを見てもまつ赤なり。"
"61","akutagawa","omu.txt","鸚鵡、突然「ナアル」といふ。"
"62","akutagawa","omu.txt",""
"63","akutagawa","omu.txt","翌日も丸の内一帯より日比谷｜迄、孫娘を探しまはる。"
"64","akutagawa","omu.txt","「人形町なり両国なりへ引つ返さうといふ気は出ませんでした」といふ。"
"65","akutagawa","omu.txt","午ごろより饑渇を覚ゆること切なり。"
"66","akutagawa","omu.txt","やむを得ず日比谷の池の水を飲む。"
"67","akutagawa","omu.txt","孫娘は遂に見つからず。"
"68","akutagawa","omu.txt","夜は又丸の内の芝の上に横はる。"
"69","akutagawa","omu.txt","鸚鵡の籠を枕べに置きつつ、人に盗まれはせぬかと思ふ。"
"70","akutagawa","omu.txt","日比谷の池の家鴨を食らへる避難民を見たればなり。"
"71","akutagawa","omu.txt","空にはなほ火事の明りを見る。"
"72","akutagawa","omu.txt",""
"73","akutagawa","omu.txt","三日は孫娘を断念し、新宿の甥を尋ねんとす。"
"74","akutagawa","omu.txt","桜田より半蔵門に出づるに、新宿も亦焼けたりと聞き、谷中の檀那寺を手頼らばやと思ふ。"
"75","akutagawa","omu.txt","饑渇愈甚だし。"
"76","akutagawa","omu.txt","「五郎を殺すのは厭ですが、おちたら食はうと思ひました」といふ。"
"77","akutagawa","omu.txt","九段上へ出づる途中、役所の小使らしきものにやつと玄米一合余りを貰ひ、生のまま噛み砕きて食す。"
"78","akutagawa","omu.txt","又つらつら考へれば、鸚鵡の籠を提げたるまま、檀那寺の世話にはなられぬやうなり。"
"79","akutagawa","omu.txt","即ち鸚鵡に玄米の残りを食はせ、九段上の濠端よりこれを放つ。"
"80","akutagawa","omu.txt","薄暮、谷中の檀那寺に至る。"
"81","akutagawa","omu.txt","和尚、親切に幾日でもゐろといふ。"
"82","akutagawa","omu.txt",""
"83","akutagawa","omu.txt","五日の朝、僕の家に来る。"
"84","akutagawa","omu.txt","未だ孫娘の行く方を知らずといふ。"
"85","akutagawa","omu.txt","意気な平生のお師匠さんとは思はれぬほど憔悴し居たり。"
"86","akutagawa","omu.txt",""
"87","akutagawa","omu.txt","附記。"
"88","akutagawa","omu.txt","新宿の甥の家は焼けざりし由。"
"89","akutagawa","omu.txt","孫娘は其処に避難し居りし由。"
"90","akutagawa","omu.txt",""
"91","akutagawa","omu.txt",""
"92","akutagawa","omu.txt",""
"93","akutagawa","omu.txt",""
"94","akutagawa","omu.txt","底本：「筑摩全集類聚芥川龍之介全集第四巻」筑摩書房"
"95","akutagawa","omu.txt","1971（昭和46）年6月5日初版第1刷発行"
"96","akutagawa","omu.txt","1979（昭和54）年4月10日初版第11刷発行"
"97","akutagawa","omu.txt","入力：土屋隆"
"98","akutagawa","omu.txt","校正：松永正敏"
"99","akutagawa","omu.txt","2007年6月26日作成"
"100","akutagawa","omu.txt","青空文庫作成ファイル："
"101","akutagawa","omu.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"102","akutagawa","omu.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"103","akutagawa","omu.txt",""
