"","auth","piece","line"
"0","akutagawa","onsen_dayori.txt","温泉だより"
"1","akutagawa","onsen_dayori.txt","芥川龍之介"
"2","akutagawa","onsen_dayori.txt",""
"3","akutagawa","onsen_dayori.txt","-------------------------------------------------------"
"4","akutagawa","onsen_dayori.txt","【テキスト中に現れる記号について】"
"5","akutagawa","onsen_dayori.txt",""
"6","akutagawa","onsen_dayori.txt","《》：ルビ"
"7","akutagawa","onsen_dayori.txt","（例）宿"
"8","akutagawa","onsen_dayori.txt",""
"9","akutagawa","onsen_dayori.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","onsen_dayori.txt","（例）温泉｜宿"
"11","akutagawa","onsen_dayori.txt",""
"12","akutagawa","onsen_dayori.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","onsen_dayori.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","onsen_dayori.txt","（例）※"
"15","akutagawa","onsen_dayori.txt","-------------------------------------------------------"
"16","akutagawa","onsen_dayori.txt",""
"17","akutagawa","onsen_dayori.txt","……わたしはこの温泉｜宿にもう一月ばかり滞在しています。"
"18","akutagawa","onsen_dayori.txt","が、肝腎の「風景」はまだ一枚も仕上げません。"
"19","akutagawa","onsen_dayori.txt","まず湯にはいったり、講談本を読んだり、狭い町を散歩したり、――そんなことを繰り返して暮らしているのです。"
"20","akutagawa","onsen_dayori.txt","我ながらだらしのないのには呆れますが。"
"21","akutagawa","onsen_dayori.txt","（作者註。"
"22","akutagawa","onsen_dayori.txt","この間に桜の散っていること、鶺鴒の屋根へ来ること、射的に七円五十銭使ったこと、田舎芸者のこと、安来節芝居に驚いたこと、蕨狩りに行ったこと、消防の演習を見たこと、蟇口を落したことなどを記せる十数｜行あり。"
"23","akutagawa","onsen_dayori.txt","）それから次手に小説じみた事実談を一つ報告しましょう。"
"24","akutagawa","onsen_dayori.txt","もっともわたしは素人ですから、小説になるかどうかはわかりません。"
"25","akutagawa","onsen_dayori.txt","ただこの話を聞いた時にちょうど小説か何か読んだような心もちになったと言うだけのことです。"
"26","akutagawa","onsen_dayori.txt","どうかそのつもりで読んで下さい。"
"27","akutagawa","onsen_dayori.txt",""
"28","akutagawa","onsen_dayori.txt","何でも明治三十年代に萩野半之丞と言う大工が一人、この町の山寄りに住んでいました。"
"29","akutagawa","onsen_dayori.txt","萩野半之丞と言う名前だけ聞けば、いかなる優男かと思うかも知れません。"
"30","akutagawa","onsen_dayori.txt","しかし身の丈六尺五寸、体重三十七貫と言うのですから、太刀山にも負けない大男だったのです。"
