"","auth","piece","line"
"0","akutagawa","oritsuto_korato.txt","お律と子等と"
"1","akutagawa","oritsuto_korato.txt","芥川龍之介"
"2","akutagawa","oritsuto_korato.txt",""
"3","akutagawa","oritsuto_korato.txt","-------------------------------------------------------"
"4","akutagawa","oritsuto_korato.txt","【テキスト中に現れる記号について】"
"5","akutagawa","oritsuto_korato.txt",""
"6","akutagawa","oritsuto_korato.txt","《》：ルビ"
"7","akutagawa","oritsuto_korato.txt","（例）洋一"
"8","akutagawa","oritsuto_korato.txt",""
"9","akutagawa","oritsuto_korato.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","oritsuto_korato.txt","（例）始終｜爛れている眼を"
"11","akutagawa","oritsuto_korato.txt",""
"12","akutagawa","oritsuto_korato.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","oritsuto_korato.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","oritsuto_korato.txt","（例）※"
"15","akutagawa","oritsuto_korato.txt","-------------------------------------------------------"
"16","akutagawa","oritsuto_korato.txt",""
"17","akutagawa","oritsuto_korato.txt","一"
"18","akutagawa","oritsuto_korato.txt",""
"19","akutagawa","oritsuto_korato.txt","雨降りの午後、今年中学を卒業した洋一は、二階の机に背を円くしながら、北原白秋風の歌を作っていた。"
"20","akutagawa","oritsuto_korato.txt","すると「おい」と云う父の声が、突然彼の耳を驚かした。"
"21","akutagawa","oritsuto_korato.txt","彼は倉皇と振り返る暇にも、ちょうどそこにあった辞書の下に、歌稿を隠す事を忘れなかった。"
"22","akutagawa","oritsuto_korato.txt","が、幸い父の賢造は、夏外套をひっかけたまま、うす暗い梯子の上り口へ胸まで覗かせているだけだった。"
"23","akutagawa","oritsuto_korato.txt",""
"24","akutagawa","oritsuto_korato.txt","「どうもお律の容態が思わしくないから、慎太郎の所へ電報を打ってくれ。"
"25","akutagawa","oritsuto_korato.txt","」"
"26","akutagawa","oritsuto_korato.txt","「そんなに悪いの？」"
"27","akutagawa","oritsuto_korato.txt","洋一は思わず大きな声を出した。"
"28","akutagawa","oritsuto_korato.txt",""
"29","akutagawa","oritsuto_korato.txt","「まあ、ふだんが達者だから、急にどうと云う事もあるまいがね、――慎太郎へだけ知らせた方が――」"
"30","akutagawa","oritsuto_korato.txt","洋一は父の言葉を奪った。"
"31","akutagawa","oritsuto_korato.txt",""
"32","akutagawa","oritsuto_korato.txt","「戸沢さんは何だって云うんです？」"
"33","akutagawa","oritsuto_korato.txt","「やっぱり十二指腸の潰瘍だそうだ。"
"34","akutagawa","oritsuto_korato.txt","――心配はなかろうって云うんだが。"
"35","akutagawa","oritsuto_korato.txt","」"
"36","akutagawa","oritsuto_korato.txt","賢造は妙に洋一と、視線の合う事を避けたいらしかった。"
"37","akutagawa","oritsuto_korato.txt",""
"38","akutagawa","oritsuto_korato.txt","「しかしあしたは谷村博士に来て貰うように頼んで置いた。"
"39","akutagawa","oritsuto_korato.txt","戸沢さんもそう云うから、――じゃ慎太郎の所を頼んだよ。"
"40","akutagawa","oritsuto_korato.txt","宿所はお前が知っているね。"
"41","akutagawa","oritsuto_korato.txt","」"
"42","akutagawa","oritsuto_korato.txt","「ええ、知っています。"
"43","akutagawa","oritsuto_korato.txt","――お父さんはどこかへ行くの？」"
"44","akutagawa","oritsuto_korato.txt","「ちょいと銀行へ行って来る。"
"45","akutagawa","oritsuto_korato.txt","――ああ、下に浅川の叔母さんが来ているぜ。"
"46","akutagawa","oritsuto_korato.txt","」"
"47","akutagawa","oritsuto_korato.txt","賢造の姿が隠れると、洋一には外の雨の音が、急に高くなったような心もちがした。"
"48","akutagawa","oritsuto_korato.txt","愚図愚図している場合じゃない――そんな事もはっきり感じられた。"
"49","akutagawa","oritsuto_korato.txt","彼はすぐに立ち上ると、真鍮の手すりに手を触れながら、どしどし梯子を下りて行った。"
"50","akutagawa","oritsuto_korato.txt",""
"51","akutagawa","oritsuto_korato.txt","まっすぐに梯子を下りた所が、ぎっしり右左の棚の上に、メリヤス類のボオル箱を並べた、手広い店になっている。"
"52","akutagawa","oritsuto_korato.txt","――その店先の雨明りの中に、パナマ帽をかぶった賢造は、こちらへ後を向けたまま、もう入口に直した足駄へ、片足下している所だった。"
"53","akutagawa","oritsuto_korato.txt",""
"54","akutagawa","oritsuto_korato.txt","「旦那。"
"55","akutagawa","oritsuto_korato.txt","工場から電話です。"
"56","akutagawa","oritsuto_korato.txt","今日あちらへ御見えになりますか、伺ってくれろと申すんですが………」"
"57","akutagawa","oritsuto_korato.txt","洋一が店へ来ると同時に、電話に向っていた店員が、こう賢造の方へ声をかけた。"
"58","akutagawa","oritsuto_korato.txt","店員はほかにも四五人、金庫の前や神棚の下に、主人を送り出すと云うよりは、むしろ主人の出て行くのを待ちでもするような顔をしていた。"
"59","akutagawa","oritsuto_korato.txt",""
"60","akutagawa","oritsuto_korato.txt","「きょうは行けない。"
"61","akutagawa","oritsuto_korato.txt","あした行きますってそう云ってくれ。"
"62","akutagawa","oritsuto_korato.txt","」"
"63","akutagawa","oritsuto_korato.txt","電話の切れるのが合図だったように、賢造は大きな洋傘を開くと、さっさと往来へ歩き出した。"
"64","akutagawa","oritsuto_korato.txt","その姿がちょいとの間、浅く泥を刷いたアスファルトの上に、かすかな影を落して行くのが見えた。"
"65","akutagawa","oritsuto_korato.txt",""
"66","akutagawa","oritsuto_korato.txt","「神山さんはいないのかい？」"
"67","akutagawa","oritsuto_korato.txt","洋一は帳場机に坐りながら、店員の一人の顔を見上げた。"
"68","akutagawa","oritsuto_korato.txt",""
"69","akutagawa","oritsuto_korato.txt","「さっき、何だか奥の使いに行きました。"
"70","akutagawa","oritsuto_korato.txt","――良さん。"
"71","akutagawa","oritsuto_korato.txt","どこだか知らないかい？」"
"72","akutagawa","oritsuto_korato.txt","「神山さんか？I don't know ですな。"
"73","akutagawa","oritsuto_korato.txt","」"
"74","akutagawa","oritsuto_korato.txt","そう答えた店員は、上り框にしゃがんだまま、あとは口笛を鳴らし始めた。"
"75","akutagawa","oritsuto_korato.txt",""
"76","akutagawa","oritsuto_korato.txt","その間に洋一は、そこにあった頼信紙へ、せっせと万年筆を動かしていた。"
"77","akutagawa","oritsuto_korato.txt","ある地方の高等学校へ、去年の秋入学した兄、――彼よりも色の黒い、彼よりも肥った兄の顔が、彼には今も頭のどこかに、ありあり浮んで見えるような気がした。"
"78","akutagawa","oritsuto_korato.txt","「ハハワルシ、スグカエレ」――彼は始こう書いたが、すぐにまた紙を裂いて、「ハハビョウキ、スグカエレ」と書き直した。"
"79","akutagawa","oritsuto_korato.txt","それでも「ワルシ」と書いた事が、何か不吉な前兆のように、頭にこびりついて離れなかった。"
"80","akutagawa","oritsuto_korato.txt",""
"81","akutagawa","oritsuto_korato.txt","「おい、ちょいとこれを打って来てくれないか？」"
"82","akutagawa","oritsuto_korato.txt","やっと書き上げた電報を店員の一人に渡した後、洋一は書き損じた紙を噛み噛み、店の後にある台所へ抜けて、晴れた日も薄暗い茶の間へ行った。"
"83","akutagawa","oritsuto_korato.txt","茶の間には長火鉢の上の柱に、ある毛糸屋の広告を兼ねた、大きな日暦が懸っている。"
"84","akutagawa","oritsuto_korato.txt","――そこに髪を切った浅川の叔母が、しきりと耳掻きを使いながら、忘れられたように坐っていた。"
"85","akutagawa","oritsuto_korato.txt","それが洋一の足音を聞くと、やはり耳掻きを当てがったまま、始終｜爛れている眼を擡げた。"
"86","akutagawa","oritsuto_korato.txt",""
"87","akutagawa","oritsuto_korato.txt","「今日は。"
"88","akutagawa","oritsuto_korato.txt","お父さんはもうお出かけかえ？」"
"89","akutagawa","oritsuto_korato.txt","「ええ、今し方。"
"90","akutagawa","oritsuto_korato.txt","――お母さんにも困りましたね。"
"91","akutagawa","oritsuto_korato.txt","」"
"92","akutagawa","oritsuto_korato.txt","「困ったねえ、私は何も名のつくような病気じゃないと思っていたんだよ。"
"93","akutagawa","oritsuto_korato.txt","」"
"94","akutagawa","oritsuto_korato.txt","洋一は長火鉢の向うに、いやいや落着かない膝を据えた。"
"95","akutagawa","oritsuto_korato.txt","襖一つ隔てた向うには、大病の母が横になっている。"
"96","akutagawa","oritsuto_korato.txt","――そう云う意識がいつもよりも、一層この昔風な老人の相手を苛立たしいものにさせるのだった。"
"97","akutagawa","oritsuto_korato.txt","叔母はしばらく黙っていたが、やがて額で彼を見ながら、"
"98","akutagawa","oritsuto_korato.txt","「お絹ちゃんが今来るとさ。"
"99","akutagawa","oritsuto_korato.txt","」と云った。"
"100","akutagawa","oritsuto_korato.txt",""
"101","akutagawa","oritsuto_korato.txt","「姉さんはまだ病気じゃないの？」"
"102","akutagawa","oritsuto_korato.txt","「もう今日は好いんだとさ。"
"103","akutagawa","oritsuto_korato.txt","何、またいつもの鼻っ風邪だったんだよ。"
"104","akutagawa","oritsuto_korato.txt","」"
"105","akutagawa","oritsuto_korato.txt","浅川の叔母の言葉には、軽い侮蔑を帯びた中に、反って親しそうな調子があった。"
"106","akutagawa","oritsuto_korato.txt","三人きょうだいがある内でも、お律の腹を痛めないお絹が、一番叔母には気に入りらしい。"
"107","akutagawa","oritsuto_korato.txt","それには賢造の先妻が、叔母の身内だと云う理由もある。"
"108","akutagawa","oritsuto_korato.txt","――洋一は誰かに聞かされた、そんな話を思い出しながら、しばらくの間は不承不承に、一昨年ある呉服屋へ縁づいた、病気勝ちな姉の噂をしていた。"
"109","akutagawa","oritsuto_korato.txt",""
"110","akutagawa","oritsuto_korato.txt","「慎ちゃんの所はどうおしだえ？お父さんは知らせた方が好いとか云ってお出でだったけれど。"
