"","auth","piece","line"
"0","akutagawa","pekin_nikki_sho.txt","北京日記抄"
"1","akutagawa","pekin_nikki_sho.txt","芥川龍之介"
"2","akutagawa","pekin_nikki_sho.txt",""
"3","akutagawa","pekin_nikki_sho.txt","-------------------------------------------------------"
"4","akutagawa","pekin_nikki_sho.txt","【テキスト中に現れる記号について】"
"5","akutagawa","pekin_nikki_sho.txt",""
"6","akutagawa","pekin_nikki_sho.txt","《》：ルビ"
"7","akutagawa","pekin_nikki_sho.txt","（例）亦"
"8","akutagawa","pekin_nikki_sho.txt",""
"9","akutagawa","pekin_nikki_sho.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","pekin_nikki_sho.txt","（例）皆｜藍面"
"11","akutagawa","pekin_nikki_sho.txt",""
"12","akutagawa","pekin_nikki_sho.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","pekin_nikki_sho.txt","（数字は、JIS_X_0213の面区点番号またはUnicode、底本のページと行数）"
"14","akutagawa","pekin_nikki_sho.txt","（例）※"
"15","akutagawa","pekin_nikki_sho.txt","-------------------------------------------------------"
"16","akutagawa","pekin_nikki_sho.txt",""
"17","akutagawa","pekin_nikki_sho.txt","一雍和宮"
"18","akutagawa","pekin_nikki_sho.txt",""
"19","akutagawa","pekin_nikki_sho.txt","今日も亦中野江漢君につれられ、午頃より雍和宮一見に出かける。"
"20","akutagawa","pekin_nikki_sho.txt","喇嘛寺などに興味も何もなけれど、否、寧ろ喇嘛寺などは大嫌いなれど、北京名物の一つと言えば、紀行を書かされる必要上、義理にも一見せざる可らず。"
"21","akutagawa","pekin_nikki_sho.txt","我ながら御苦労千万なり。"
"22","akutagawa","pekin_nikki_sho.txt",""
"23","akutagawa","pekin_nikki_sho.txt","薄汚い人力車に乗り、やっと門前に辿りついて見れば、成程大伽藍には違いなし。"
"24","akutagawa","pekin_nikki_sho.txt","尤も大伽藍などと言えば、大きいお堂が一つあるようなれど、この喇嘛寺は中々そんなものにあらず。"
"25","akutagawa","pekin_nikki_sho.txt","永祐殿、綏成殿、天王殿、法輪殿などと云う幾つものお堂の寄り合い世帯なり。"
"26","akutagawa","pekin_nikki_sho.txt","それも日本のお寺とは違い、屋根は黄色く、壁は赤く、階段は大理石を用いたる上、石の獅子だの、青銅の惜字塔だの（支那人は文字を尊ぶ故、文字を書きたる紙を拾えば、この塔の中へ入れるよし、中野君の説明なり。"
"27","akutagawa","pekin_nikki_sho.txt","つまり多少芸術的なる青銅製の紙屑籠を思えば好し。"
"28","akutagawa","pekin_nikki_sho.txt","）乾降帝の「御碑」だのも立っていれば、兎に角荘厳なるに近かるべし。"
"29","akutagawa","pekin_nikki_sho.txt",""
"30","akutagawa","pekin_nikki_sho.txt","第六所東配殿に木彫りの歓喜仏四体あり。"
"31","akutagawa","pekin_nikki_sho.txt","堂守に銀貨を一枚やると、繍幔をとって見せてくれる。"
"32","akutagawa","pekin_nikki_sho.txt","仏は皆｜藍面赤髪、背中に何本も手を生やし、無数の人頭を頸飾にしたる醜悪無双の怪物なり。"
"33","akutagawa","pekin_nikki_sho.txt","歓喜仏第一号は人間の皮をかけたる馬に跨り、炎口に小人を啣うるもの、第二号は象頭人身の女を足の下に踏まえたるもの、第三号は立って女を婬するもの。"
"34","akutagawa","pekin_nikki_sho.txt","第四号は――最も敬服したるは第四号なり。"
"35","akutagawa","pekin_nikki_sho.txt","第四号は牛の背上に立ち、その又牛は僭越にも仰臥せる女を婬しつつあり。"
"36","akutagawa","pekin_nikki_sho.txt","されど是等の歓喜仏は少しもエロティックな感じを与えず。"
"37","akutagawa","pekin_nikki_sho.txt","只何か残酷なる好奇心の満足を与うるのみ。"
"38","akutagawa","pekin_nikki_sho.txt","歓喜仏第四号の隣には半ば口を開きたるやはり木彫りの大熊あり。"
"39","akutagawa","pekin_nikki_sho.txt","この熊も因縁を聞いて見れば、定めし何かの象徴ならん。"
"40","akutagawa","pekin_nikki_sho.txt","熊は前に武人二人（藍面にして黒毛をつけたる槍を持てり）、後に二匹の小熊を伴う。"
"41","akutagawa","pekin_nikki_sho.txt",""
"42","akutagawa","pekin_nikki_sho.txt","それから寧阿殿なりしと覚ゆ。"
"43","akutagawa","pekin_nikki_sho.txt","ワンタン屋のチャルメラに似たる音せしかば、ちょっと中を覗きて見しに、喇嘛僧二人、怪しげなる喇叭を吹奏しいたり。"
"44","akutagawa","pekin_nikki_sho.txt","喇嘛僧と言うもの、或は黄、或は赤、或は紫などの毛のつきたる三角帽を頂けるは多少の画趣あるに違いなけれど、どうも皆悪党に思われてならず。"
"45","akutagawa","pekin_nikki_sho.txt","幾分にても好意を感じたるはこの二人の喇叭吹きだけなり。"
"46","akutagawa","pekin_nikki_sho.txt",""
"47","akutagawa","pekin_nikki_sho.txt","それから又中野君と石畳の上を歩いていたるに、万福殿の手前の楼の上より堂守一人顔を出し、上って来いと手招きをしたり。"
"48","akutagawa","pekin_nikki_sho.txt","狭い梯子を上って見れば、此処にも亦幕に蔽われたる仏あれど、堂守容易に幕をとってくれず。"
"49","akutagawa","pekin_nikki_sho.txt","二十銭出せなどと手を出すのみ。"
"50","akutagawa","pekin_nikki_sho.txt","やっと十銭に妥協し、幕をとって拝し奉れば、藍面、白面、黄面、赤面、馬面等を生やしたる怪物なり。"
"51","akutagawa","pekin_nikki_sho.txt","おまけに又何本も腕を生やしたる上、（腕は斧や弓の外にも、人間の首や腕をふりかざしいたり）右の脚は鳥の脚にして左の脚は獣の脚なれば、頗る狂人の画に類したりと言うべし。"
"52","akutagawa","pekin_nikki_sho.txt","されど予期したる歓喜仏にはあらず。"
"53","akutagawa","pekin_nikki_sho.txt","（尤もこの怪物は脚下に二人の人間を踏まえいたり。"
"54","akutagawa","pekin_nikki_sho.txt","）中野君即ち目を瞋らせて、「貴様は※をついたな。"
"55","akutagawa","pekin_nikki_sho.txt","」と言えば、堂守大いに狼狽し、頻に「これがある、これがある」と言う。"
"56","akutagawa","pekin_nikki_sho.txt","「これ」とは藍色の男根なり。"
"57","akutagawa","pekin_nikki_sho.txt","隆々たる一具、子を作ることを為さず、空しく堂守をして煙草銭を儲けしむ。"
"58","akutagawa","pekin_nikki_sho.txt","悲しいかな、喇嘛仏の男根や。"
"59","akutagawa","pekin_nikki_sho.txt",""
"60","akutagawa","pekin_nikki_sho.txt","喇嘛寺の前に喇嘛画師の店七軒あり。"
"61","akutagawa","pekin_nikki_sho.txt","画師の総数三十余人。"
"62","akutagawa","pekin_nikki_sho.txt","皆｜西蔵より来れるよし。"
"63","akutagawa","pekin_nikki_sho.txt","恒豊号と言う店に入り、喇嘛仏の画数枚を購う。"
"64","akutagawa","pekin_nikki_sho.txt","この画、一年に一万二三千元売れると言えば、喇嘛画師の収入も莫迦にならず。"
"65","akutagawa","pekin_nikki_sho.txt",""
"66","akutagawa","pekin_nikki_sho.txt",""
"67","akutagawa","pekin_nikki_sho.txt","二辜鴻銘先生"
"68","akutagawa","pekin_nikki_sho.txt",""
"69","akutagawa","pekin_nikki_sho.txt","辜鴻銘先生を訪う。"
"70","akutagawa","pekin_nikki_sho.txt","ボイに案内されて通りしは素壁に石刷の掛物をぶら下げ、床にアンペラを敷ける庁堂なり。"
"71","akutagawa","pekin_nikki_sho.txt","ちょっと南京虫はいそうなれど、蕭散愛すべき庁堂と言うべし。"
"72","akutagawa","pekin_nikki_sho.txt",""
"73","akutagawa","pekin_nikki_sho.txt","待つこと一分ならざるに眼光｜烱々たる老人あり。"
"74","akutagawa","pekin_nikki_sho.txt","闥を排して入り来り、英語にて「よく来た、まあ坐れ」と言う。"
"75","akutagawa","pekin_nikki_sho.txt","勿論辜鴻銘先生なり。"
"76","akutagawa","pekin_nikki_sho.txt","胡麻塩の辮髪、白の大掛児、顔は鼻の寸法短かければ、何処か大いなる蝙蝠に似たり。"
"77","akutagawa","pekin_nikki_sho.txt","先生の僕と談ずるや、テエブルの上に数枚の藁半紙を置き、手は鉛筆を動かしてさっさと漢字を書きながら、口はのべつ幕なしに英吉利語をしゃべる。"
"78","akutagawa","pekin_nikki_sho.txt","僕の如く耳の怪しきものにはまことに便利なる会話法なり。"
"79","akutagawa","pekin_nikki_sho.txt",""
"80","akutagawa","pekin_nikki_sho.txt","先生、南は福建に生れ、西は蘇格蘭のエディンバラに学び、東は日本の婦人を娶り、北は北京に住するを以て東西南北の人と号す。"
"81","akutagawa","pekin_nikki_sho.txt","英語は勿論、独逸語も仏蘭西語も出来るよし。"
"82","akutagawa","pekin_nikki_sho.txt","されどヤング・チャイニィイズと異り、西洋の文明を買い冠らず。"
"83","akutagawa","pekin_nikki_sho.txt","基督教、共和政体、機械万能などを罵る次手に、僕の支那服を着たるを見て、「洋服を着ないのは感心だ。"
"84","akutagawa","pekin_nikki_sho.txt","只｜憾むらくは辮髪がない。"
"85","akutagawa","pekin_nikki_sho.txt","」と言う。"
"86","akutagawa","pekin_nikki_sho.txt","先生と談ずること三十分、忽ち八九歳の少女あり。"
"87","akutagawa","pekin_nikki_sho.txt","羞かしそうに庁堂へ入り来る。"
"88","akutagawa","pekin_nikki_sho.txt","蓋し先生のお嬢さんなり。"
