"","auth","piece","line"
"0","akutagawa","piano.txt","ピアノ"
"1","akutagawa","piano.txt","芥川龍之介"
"2","akutagawa","piano.txt",""
"3","akutagawa","piano.txt","-------------------------------------------------------"
"4","akutagawa","piano.txt","【テキスト中に現れる記号について】"
"5","akutagawa","piano.txt",""
"6","akutagawa","piano.txt","《》：ルビ"
"7","akutagawa","piano.txt","（例）藜"
"8","akutagawa","piano.txt",""
"9","akutagawa","piano.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","piano.txt","（例）一｜音"
"11","akutagawa","piano.txt","-------------------------------------------------------"
"12","akutagawa","piano.txt",""
"13","akutagawa","piano.txt","或雨のふる秋の日、わたしは或人を訪ねる為に横浜の山手を歩いて行つた。"
"14","akutagawa","piano.txt","この辺の荒廃は震災当時と殆ど変つてゐなかつた。"
"15","akutagawa","piano.txt","若し少しでも変つてゐるとすれば、それは一面にスレヱトの屋根や煉瓦の壁の落ち重なつた中に藜の伸びてゐるだけだつた。"
"16","akutagawa","piano.txt","現に或家の崩れた跡には蓋をあけた弓なりのピアノさへ、半ば壁にひしがれたまゝ、つややかに鍵盤を濡らしてゐた。"
"17","akutagawa","piano.txt","のみならず大小さまざまの譜本もかすかに色づいた藜の中に桃色、水色、薄黄色などの横文字の表紙を濡らしてゐた。"
"18","akutagawa","piano.txt",""
"19","akutagawa","piano.txt","わたしはわたしの訪ねた人と或こみ入つた用件を話した。"
"20","akutagawa","piano.txt","話は容易に片づかなかつた。"
"21","akutagawa","piano.txt","わたしはとうとう夜に入つた後、やつとその人の家を辞することにした。"
"22","akutagawa","piano.txt","それも近近にもう一度面談を約した上のことだつた。"
"23","akutagawa","piano.txt",""
"24","akutagawa","piano.txt","雨は幸ひにも上つてゐた。"
"25","akutagawa","piano.txt","おまけに月も風立つた空に時々光を洩らしてゐた。"
"26","akutagawa","piano.txt","わたしは汽車に乗り遅れぬ為に（煙草の吸はれぬ省線電車は勿論わたしには禁もつだつた。"
"27","akutagawa","piano.txt","）出来るだけ足を早めて行つた。"
"28","akutagawa","piano.txt",""
"29","akutagawa","piano.txt","すると突然聞えたのは誰かのピアノを打つた音だつた。"
"30","akutagawa","piano.txt","いや、「打つた」と言ふよりも寧ろ触つた音だつた。"
"31","akutagawa","piano.txt","わたしは思はず足をゆるめ、荒涼としたあたりを眺めまはした。"
"32","akutagawa","piano.txt","ピアノは丁度月の光に細長い鍵盤を仄めかせてゐた、あの藜の中にあるピアノは。"
"33","akutagawa","piano.txt","――しかし人かげはどこにもなかつた。"
"34","akutagawa","piano.txt",""
"35","akutagawa","piano.txt","それはたつた一｜音だつた。"
"36","akutagawa","piano.txt","が、ピアノには違ひなかつた。"
"37","akutagawa","piano.txt","わたしは多少無気味になり、もう一度足を早めようとした。"
"38","akutagawa","piano.txt","その時わたしの後ろにしたピアノは確かに又かすかに音を出した。"
"39","akutagawa","piano.txt","わたしは勿論振りかへらずにさつさと足を早めつゞけた、湿気を孕んだ一陣の風のわたしを送るのを感じながら。"
"40","akutagawa","piano.txt","……"
"41","akutagawa","piano.txt","わたしはこのピアノの音に超自然の解釈を加へるには余りにリアリストに違ひなかつた。"
"42","akutagawa","piano.txt","成程人かげは見えなかつたにしろ、あの崩れた壁のあたりに猫でも潜んでゐたかも知れない。"
"43","akutagawa","piano.txt","若し猫ではなかつたとすれば、――わたしはまだその外にも鼬だの蟇がへるだのを数へてゐた。"
"44","akutagawa","piano.txt","けれども兎に角人手を借らずにピアノの鳴つたのは不思議だつた。"
"45","akutagawa","piano.txt",""
"46","akutagawa","piano.txt","五日ばかりたつた後、わたしは同じ用件の為に同じ山手を通りかゝつた。"
"47","akutagawa","piano.txt","ピアノは不相変ひつそりと藜の中に蹲つてゐた。"
"48","akutagawa","piano.txt","桃色、水色、薄黄色などの譜本の散乱してゐることもやはりこの前に変らなかつた。"
"49","akutagawa","piano.txt","只けふはそれ等は勿論、崩れ落ちた煉瓦やスレヱトも秋晴れの日の光にかがやいてゐた。"
"50","akutagawa","piano.txt",""
"51","akutagawa","piano.txt","わたしは譜本を踏まぬやうにピアノの前へ歩み寄つた。"
"52","akutagawa","piano.txt","ピアノは今目のあたりに見れば、鍵盤の象牙も光沢を失ひ、蓋の漆も剥落してゐた。"
"53","akutagawa","piano.txt","殊に脚には海老かづらに似た一すぢの蔓草もからみついてゐた。"
"54","akutagawa","piano.txt","わたしはこのピアノを前に何か失望に近いものを感じた。"
"55","akutagawa","piano.txt",""
"56","akutagawa","piano.txt","「第一これでも鳴るのかしら。"
"57","akutagawa","piano.txt","」"
"58","akutagawa","piano.txt","わたしはかう独り語を言つた。"
"59","akutagawa","piano.txt","するとピアノはその拍子に忽ちかすかに音を発した。"
"60","akutagawa","piano.txt","それは殆どわたしの疑惑を叱つたかと思ふ位だつた。"
"61","akutagawa","piano.txt","しかしわたしは驚かなかつた。"
"62","akutagawa","piano.txt","のみならず微笑の浮んだのを感じた。"
"63","akutagawa","piano.txt","ピアノは今も日の光に白じらと鍵盤をひろげてゐた。"
"64","akutagawa","piano.txt","が、そこにはいつの間にか落ち栗が一つ転がつてゐた。"
"65","akutagawa","piano.txt",""
"66","akutagawa","piano.txt","わたしは往来へ引き返した後、もう一度この廃墟をふり返つた。"
"67","akutagawa","piano.txt","やつと気のついた栗の木はスレヱトの屋根に押されたまま、斜めにピアノを蔽つてゐた。"
"68","akutagawa","piano.txt","けれどもそれはどちらでも好かつた。"
"69","akutagawa","piano.txt","わたしは只藜の中の弓なりのピアノに目を注いだ。"
"70","akutagawa","piano.txt","あの去年の震災以来、誰も知らぬ音を保つてゐたピアノに。"
"71","akutagawa","piano.txt",""
"72","akutagawa","piano.txt",""
"73","akutagawa","piano.txt",""
"74","akutagawa","piano.txt",""
"75","akutagawa","piano.txt","底本：「芥川龍之介全集第十二巻」岩波書店"
"76","akutagawa","piano.txt","1996（平成8）年10月8日発行"
"77","akutagawa","piano.txt","入力：もりみつじゅんじ"
"78","akutagawa","piano.txt","校正：松永正敏"
"79","akutagawa","piano.txt","2002年5月17日作成"
"80","akutagawa","piano.txt","2004年3月9日修正"
"81","akutagawa","piano.txt","青空文庫作成ファイル："
"82","akutagawa","piano.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"83","akutagawa","piano.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"84","akutagawa","piano.txt",""
