"","auth","piece","line"
"0","akutagawa","rashomon.txt","羅生門"
"1","akutagawa","rashomon.txt","芥川龍之介"
"2","akutagawa","rashomon.txt",""
"3","akutagawa","rashomon.txt","-------------------------------------------------------"
"4","akutagawa","rashomon.txt","【テキスト中に現れる記号について】"
"5","akutagawa","rashomon.txt",""
"6","akutagawa","rashomon.txt","《》：ルビ"
"7","akutagawa","rashomon.txt","（例）下人"
"8","akutagawa","rashomon.txt",""
"9","akutagawa","rashomon.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","rashomon.txt","（例）所々｜丹塗の剥げた"
"11","akutagawa","rashomon.txt",""
"12","akutagawa","rashomon.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","rashomon.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","rashomon.txt","（例）※"
"15","akutagawa","rashomon.txt","-------------------------------------------------------"
"16","akutagawa","rashomon.txt",""
"17","akutagawa","rashomon.txt","ある日の暮方の事である。"
"18","akutagawa","rashomon.txt","一人の下人が、羅生門の下で雨やみを待っていた。"
"19","akutagawa","rashomon.txt",""
"20","akutagawa","rashomon.txt","広い門の下には、この男のほかに誰もいない。"
"21","akutagawa","rashomon.txt","ただ、所々｜丹塗の剥げた、大きな円柱に、蟋蟀が一匹とまっている。"
"22","akutagawa","rashomon.txt","羅生門が、朱雀大路にある以上は、この男のほかにも、雨やみをする市女笠や揉烏帽子が、もう二三人はありそうなものである。"
"23","akutagawa","rashomon.txt","それが、この男のほかには誰もいない。"
"24","akutagawa","rashomon.txt",""
"25","akutagawa","rashomon.txt","何故かと云うと、この二三年、京都には、地震とか辻風とか火事とか饑饉とか云う災がつづいて起った。"
"26","akutagawa","rashomon.txt","そこで洛中のさびれ方は一通りではない。"
"27","akutagawa","rashomon.txt","旧記によると、仏像や仏具を打砕いて、その丹がついたり、金銀の箔がついたりした木を、路ばたにつみ重ねて、薪の料に売っていたと云う事である。"
"28","akutagawa","rashomon.txt","洛中がその始末であるから、羅生門の修理などは、元より誰も捨てて顧る者がなかった。"
"29","akutagawa","rashomon.txt","するとその荒れ果てたのをよい事にして、狐狸が棲む。"
"30","akutagawa","rashomon.txt","盗人が棲む。"
"31","akutagawa","rashomon.txt","とうとうしまいには、引取り手のない死人を、この門へ持って来て、棄てて行くと云う習慣さえ出来た。"
"32","akutagawa","rashomon.txt","そこで、日の目が見えなくなると、誰でも気味を悪るがって、この門の近所へは足ぶみをしない事になってしまったのである。"
"33","akutagawa","rashomon.txt",""
"34","akutagawa","rashomon.txt","その代りまた鴉がどこからか、たくさん集って来た。"
"35","akutagawa","rashomon.txt","昼間見ると、その鴉が何羽となく輪を描いて、高い鴟尾のまわりを啼きながら、飛びまわっている。"
"36","akutagawa","rashomon.txt","ことに門の上の空が、夕焼けであかくなる時には、それが胡麻をまいたようにはっきり見えた。"
"37","akutagawa","rashomon.txt","鴉は、勿論、門の上にある死人の肉を、啄みに来るのである。"
"38","akutagawa","rashomon.txt","――もっとも今日は、刻限が遅いせいか、一羽も見えない。"
"39","akutagawa","rashomon.txt","ただ、所々、崩れかかった、そうしてその崩れ目に長い草のはえた石段の上に、鴉の糞が、点々と白くこびりついているのが見える。"
"40","akutagawa","rashomon.txt","下人は七段ある石段の一番上の段に、洗いざらした紺の襖の尻を据えて、右の頬に出来た、大きな面皰を気にしながら、ぼんやり、雨のふるのを眺めていた。"
"41","akutagawa","rashomon.txt",""
"42","akutagawa","rashomon.txt","作者はさっき、「下人が雨やみを待っていた」と書いた。"
"43","akutagawa","rashomon.txt","しかし、下人は雨がやんでも、格別どうしようと云う当てはない。"
"44","akutagawa","rashomon.txt","ふだんなら、勿論、主人の家へ帰る可き筈である。"
"45","akutagawa","rashomon.txt","所がその主人からは、四五日前に暇を出された。"
"46","akutagawa","rashomon.txt","前にも書いたように、当時京都の町は一通りならず衰微していた。"
"47","akutagawa","rashomon.txt","今この下人が、永年、使われていた主人から、暇を出されたのも、実はこの衰微の小さな余波にほかならない。"
"48","akutagawa","rashomon.txt","だから「下人が雨やみを待っていた」と云うよりも「雨にふりこめられた下人が、行き所がなくて、途方にくれていた」と云う方が、適当である。"
"49","akutagawa","rashomon.txt","その上、今日の空模様も少からず、この平安朝の下人の Sentimentalisme に影響した。"
"50","akutagawa","rashomon.txt","申の刻下りからふり出した雨は、いまだに上るけしきがない。"
"51","akutagawa","rashomon.txt","そこで、下人は、何をおいても差当り明日の暮しをどうにかしようとして――云わばどうにもならない事を、どうにかしようとして、とりとめもない考えをたどりながら、さっきから朱雀大路にふる雨の音を、聞くともなく聞いていたのである。"
"52","akutagawa","rashomon.txt",""
"53","akutagawa","rashomon.txt","雨は、羅生門をつつんで、遠くから、ざあっと云う音をあつめて来る。"
"54","akutagawa","rashomon.txt","夕闇は次第に空を低くして、見上げると、門の屋根が、斜につき出した甍の先に、重たくうす暗い雲を支えている。"
"55","akutagawa","rashomon.txt",""
"56","akutagawa","rashomon.txt","どうにもならない事を、どうにかするためには、手段を選んでいる遑はない。"
"57","akutagawa","rashomon.txt","選んでいれば、築土の下か、道ばたの土の上で、饑死をするばかりである。"
"58","akutagawa","rashomon.txt","そうして、この門の上へ持って来て、犬のように棄てられてしまうばかりである。"
"59","akutagawa","rashomon.txt","選ばないとすれば――下人の考えは、何度も同じ道を低徊した揚句に、やっとこの局所へ逢着した。"
"60","akutagawa","rashomon.txt","しかしこの「すれば」は、いつまでたっても、結局「すれば」であった。"
"61","akutagawa","rashomon.txt","下人は、手段を選ばないという事を肯定しながらも、この「すれば」のかたをつけるために、当然、その後に来る可き「盗人になるよりほかに仕方がない」と云う事を、積極的に肯定するだけの、勇気が出ずにいたのである。"
